word sentid sentpos wlen surp entropy entred
what 0 0 4 5.218100070953369 3.598426103591919 0
did 0 1 3 6.22922945022583 7.87407922744751 0
i 0 2 1 6.754460334777832 7.23189640045166 0.6421828269958496
buy 0 3 3 8.466869354248047 7.654764175415039 0
a 0 4 1 5.1062140464782715 6.062933921813965 1.5918302536010742
guitar 0 5 6 11.290068626403809 6.719743728637695 0
for 0 6 3 5.558119297027588 7.010431289672852 0
myself 0 7 6 14.349760055541992 3.874215602874756 3.1362156867980957
because 0 8 7 4.148892879486084 6.144200801849365 0
they 0 9 4 4.071343898773193 6.328272342681885 0
heard 0 10 5 10.664360046386719 6.895460605621338 0
? 0 11 1 7.836688995361328 5.537893772125244 1.3575668334960938
what 1 0 4 5.218100070953369 3.598426103591919 0
will 1 1 4 9.065969467163086 7.87407922744751 0
they 1 2 4 4.86700439453125 6.86926794052124 1.0048112869262695
fail 1 3 4 14.652010917663574 6.6892781257629395 0.17998981475830078
the 1 4 3 6.900566577911377 5.725297927856445 0.9639801979064941
test 1 5 4 11.005814552307129 10.109877586364746 0
if 1 6 2 8.055641174316406 7.69548225402832 2.414395332336426
they 1 7 4 4.597497940063477 7.361746788024902 0.33373546600341797
do 1 8 2 7.482840538024902 7.34388542175293 0.017861366271972656
not 1 9 3 6.210990905761719 7.344951629638672 0
? 1 10 1 6.039978504180908 7.707161903381348 0
whom 2 0 4 13.872987747192383 3.598426103591919 0
will 2 1 4 8.437334060668945 6.044182777404785 0
he 2 2 2 2.1571154594421387 6.300502777099609 0
hire 2 3 4 17.451101303100586 5.4113922119140625 0.8891105651855469
someone 2 4 7 7.481939315795898 6.599559783935547 0
if 2 5 2 7.855140209197998 3.964226245880127 2.63533353805542
i 2 6 1 6.02063512802124 5.92503547668457 0
need 2 7 4 11.642094612121582 6.875298023223877 0
? 2 8 1 5.765954494476318 6.770543575286865 0.10475444793701172
what 3 0 4 5.218100070953369 3.598426103591919 0
has 3 1 3 9.478043556213379 7.87407922744751 0
he 3 2 2 4.282126426696777 5.8921098709106445 1.9819693565368652
been 3 3 4 9.408995628356934 4.4272260665893555 1.464883804321289
circulating 3 4 11 13.6948823928833 5.482350826263428 0
who 3 5 3 9.352755546569824 4.894040584564209 0.5883102416992188
he 3 6 2 2.349870204925537 6.092451095581055 0
thought 3 7 7 10.395907402038574 5.52476167678833 0.5676894187927246
was 3 8 3 7.81316614151001 3.5967061519622803 1.9280555248260498
? 3 9 1 9.155095100402832 3.500393867492676 0.09631228446960449
what 4 0 4 5.218100070953369 3.598426103591919 0
will 4 1 4 9.065969467163086 7.87407922744751 0
he 4 2 2 2.6067216396331787 6.86926794052124 1.0048112869262695
try 4 3 3 13.472411155700684 5.697758674621582 1.1715092658996582
to 4 4 2 2.594419002532959 5.505641460418701 0.19211721420288086
call 4 5 4 8.803062438964844 7.4970808029174805 0
you 4 6 3 5.358853340148926 5.959424018859863 1.5376567840576172
if 4 7 2 8.599061965942383 5.775216102600098 0.18420791625976562
she 4 8 3 5.868825435638428 5.927420616149902 0
buys 4 9 4 18.17176055908203 5.46576452255249 0.4616560935974121
? 4 10 1 5.2369465827941895 6.565638542175293 0
what 5 0 4 5.218100070953369 3.598426103591919 0
did 5 1 3 6.22922945022583 7.87407922744751 0
she 5 2 3 6.6453094482421875 7.23189640045166 0.6421828269958496
