word sentid sentpos wlen surp entropy entred
where 0 0 5 10.307161331176758 3.598426103591919 0
did 0 1 3 6.974673271179199 6.1650896072387695 0
<unk> 0 2 5 4.9285888671875 6.23520565032959 0
ask 0 3 3 13.299633979797363 6.425440311431885 0
who 0 4 3 6.928600311279297 5.470109939575195 0.9553303718566895
<unk> 0 5 5 6.117193222045898 5.909023761749268 0
took 0 6 4 12.794012069702148 6.517521381378174 0
? 0 7 1 5.77836799621582 5.998899936676025 0.5186214447021484
what 1 0 4 5.218100070953369 3.598426103591919 0
did 1 1 3 6.22922945022583 7.87407922744751 0
she 1 2 3 6.6453094482421875 7.23189640045166 0.6421828269958496
say 1 3 3 8.321727752685547 6.435638427734375 0.7962579727172852
that 1 4 4 1.2976222038269043 3.7464051246643066 2.6892333030700684
<unk> 1 5 5 5.390038967132568 6.041064262390137 0
asked 1 6 5 12.689607620239258 6.453226089477539 0
who 1 7 3 7.1298112869262695 5.507974624633789 0.94525146484375
will 1 8 4 9.560935020446777 5.568049430847168 0
read 1 9 4 9.693828582763672 6.03964900970459 0
? 1 10 1 5.809108734130859 5.429080963134766 0.6105680465698242
where 2 0 5 10.307161331176758 3.598426103591919 0
did 2 1 3 6.974673271179199 6.1650896072387695 0
<unk> 2 2 5 4.9285888671875 6.23520565032959 0
ask 2 3 3 13.299633979797363 6.425440311431885 0
how 2 4 3 8.01978588104248 5.470109939575195 0.9553303718566895
<unk> 2 5 5 5.157021999359131 6.2309722900390625 0
went 2 6 4 10.27685832977295 6.37082576751709 0
? 2 7 1 4.846210479736328 3.3080246448516846 3.0628011226654053
what 3 0 4 5.218100070953369 3.598426103591919 0
did 3 1 3 6.22922945022583 7.87407922744751 0
will 3 2 4 9.873025894165039 7.23189640045166 0.6421828269958496
ask 3 3 3 13.16261100769043 7.473668575286865 0
why 3 4 3 6.923624038696289 5.554423809051514 1.9192447662353516
<unk> 3 5 5 4.582280158996582 6.8218770027160645 0
wears 3 6 5 14.97092056274414 6.890571117401123 0
? 3 7 1 2.4510889053344727 5.1273674964904785 1.7632036209106445
what 4 0 4 5.218100070953369 3.598426103591919 0
did 4 1 3 6.22922945022583 7.87407922744751 0
she 4 2 3 6.6453094482421875 7.23189640045166 0.6421828269958496
say 4 3 3 8.321727752685547 6.435638427734375 0.7962579727172852
that 4 4 4 1.2976222038269043 3.7464051246643066 2.6892333030700684
will 4 5 4 9.663501739501953 6.041064262390137 0
thinks 4 6 6 14.645949363708496 6.286327838897705 0
he 4 7 2 2.0220510959625244 4.007504463195801 2.2788233757019043
knows 4 8 5 11.07292652130127 4.21246862411499 0
where 4 9 5 8.41950511932373 4.207414627075195 0.005053997039794922
<unk> 4 10 5 6.339984893798828 5.210887432098389 0
announced 4 11 9 17.497304916381836 5.848440647125244 0
? 4 12 1 9.152347564697266 3.4709739685058594 2.3774666786193848
what 5 0 4 5.218100070953369 3.598426103591919 0
did 5 1 3 6.22922945022583 7.87407922744751 0
they 5 2 4 6.357879638671875 7.23189640045166 0.6421828269958496
not 5 3 3 7.032389163970947 6.77212381362915 0.45977258682250977
like 5 4 4 4.10633659362793 6.731388568878174 0.04073524475097656
that 5 5 4 2.774050712585449 6.512257099151611 0.2191314697265625
<unk> 5 6 5 6.095636367797852 6.804287433624268 0
wonders 5 7 7 18.147428512573242 6.939396858215332 0
how 5 8 3 7.166107177734375 4.345697402954102 2.5936994552612305
<unk> 5 9 5 5.681622505187988 6.163468360900879 0
was 5 10 3 7.302076816558838 6.3697662353515625 0
? 5 11 1 8.619900703430176 4.960000038146973 1.4097661972045898
what 6 0 4 5.218100070953369 3.598426103591919 0
did 6 1 3 6.22922945022583 7.87407922744751 0
<unk> 6 2 5 5.121150970458984 7.23189640045166 0.6421828269958496
ask 6 3 3 12.816960334777832 6.9105024337768555 0.3213939666748047
when 6 4 4 7.039861679077148 5.587447166442871 1.3230552673339844
<unk> 6 5 5 5.590751647949219 5.9789347648620605 0
ate 6 6 3 18.771493911743164 6.77085542678833 0
? 6 7 1 5.4619975090026855 6.871157646179199 0
what 7 0 4 5.218100070953369 3.598426103591919 0
does 7 1 4 9.037620544433594 7.87407922744751 0
<unk> 7 2 5 5.0557403564453125 7.354264259338379 0.5198149681091309
wonder 7 3 6 14.378865242004395 6.717916011810303 0.6363482475280762
where 7 4 5 7.85551643371582 5.349710464477539 1.3682055473327637
<unk> 7 5 5 4.639122009277344 6.741044998168945 0
buys 7 6 4 17.969284057617188 6.921721935272217 0
? 7 7 1 5.960098743438721 6.782299995422363 0.13942193984985352
what 8 0 4 5.218100070953369 3.598426103591919 0
does 8 1 4 9.037620544433594 7.87407922744751 0
will 8 2 4 10.14371109008789 7.354264259338379 0.5198149681091309
wonder 8 3 6 15.932914733886719 7.290455341339111 0.06380891799926758
how 8 4 3 6.276976108551025 4.924378395080566 2.366076946258545
he 8 5 2 2.8481364250183105 7.111958026885986 0
will 8 6 4 8.004602432250977 4.961315155029297 2.1506428718566895
read 8 7 4 10.3636474609375 6.9044342041015625 0
? 8 8 1 5.589494705200195 5.75756311416626 1.1468710899353027
how 9 0 3 9.24290657043457 3.598426103591919 0
did 9 1 3 4.7442626953125 6.911220550537109 0
he 9 2 2 2.283320188522339 6.310702323913574 0.6005182266235352
hear 9 3 4 12.22523021697998 5.414001941680908 0.896700382232666
that 9 4 4 1.8632680177688599 5.689013957977295 0
<unk> 9 5 5 5.814848899841309 5.802499771118164 0
thinks 9 6 6 14.458332061767578 6.47932243347168 0
he 9 7 2 1.4469883441925049 4.021955490112305 2.457366943359375
knows 9 8 5 11.534248352050781 4.34279727935791 0
where 9 9 5 8.366409301757812 3.96699857711792 0.37579870223999023
<unk> 9 10 5 6.215217590332031 4.838979244232178 0
gets 9 11 4 12.753024101257324 5.80656099319458 0
? 9 12 1 4.259222507476807 4.855500221252441 0.9510607719421387
whom 10 0 4 13.872987747192383 3.598426103591919 0
does 10 1 4 8.267346382141113 6.044182777404785 0
<unk> 10 2 5 4.970558166503906 6.943009853363037 0
wonder 10 3 6 13.499382019042969 6.430394649505615 0.5126152038574219
how 10 4 3 8.067018508911133 5.343644142150879 1.0867505073547363
<unk> 10 5 5 5.1318359375 6.667046546936035 0
is 10 6 2 7.432821750640869 6.589967727661133 0.07707881927490234
waiting 10 7 7 11.76224136352539 4.3834075927734375 2.2065601348876953
for 10 8 3 2.5592727661132812 5.76059627532959 0
? 10 9 1 5.506928443908691 5.768134117126465 0
what 11 0 4 5.218100070953369 3.598426103591919 0
did 11 1 3 6.22922945022583 7.87407922744751 0
<unk> 11 2 5 5.121150970458984 7.23189640045166 0.6421828269958496
ask 11 3 3 12.816960334777832 6.9105024337768555 0.3213939666748047
why 11 4 3 6.849228858947754 5.587447166442871 1.3230552673339844
<unk> 11 5 5 4.734209060668945 6.48822021484375 0
is 11 6 2 7.929351806640625 6.620345592498779 0
? 11 7 1 7.4713134765625 4.132463455200195 2.487882137298584
what 12 0 4 5.218100070953369 3.598426103591919 0
did 12 1 3 6.22922945022583 7.87407922744751 0
<unk> 12 2 5 5.121150970458984 7.23189640045166 0.6421828269958496
ask 12 3 3 12.816960334777832 6.9105024337768555 0.3213939666748047
who 12 4 3 6.916335105895996 5.587447166442871 1.3230552673339844
will 12 5 4 9.411736488342285 6.280689716339111 0
is 12 6 2 9.645113945007324 6.599314212799072 0
for 12 7 3 7.906325340270996 3.9772095680236816 2.6221046447753906
? 12 8 1 7.028176784515381 5.663687705993652 0
whom 13 0 4 13.872987747192383 3.598426103591919 0
did 13 1 3 6.303704738616943 6.044182777404785 0
<unk> 13 2 5 4.977264404296875 7.031692981719971 0
ask 13 3 3 12.929778099060059 6.420278072357178 0.611414909362793
where 13 4 5 8.682439804077148 5.525637626647949 0.8946404457092285
<unk> 13 5 5 5.323443412780762 5.761224269866943 0
loaned 13 6 6 19.908296585083008 6.376163482666016 0
a 13 7 1 5.681653022766113 5.834002494812012 0.5421609878540039
trumpet 13 8 7 15.64223575592041 8.298734664916992 0
to 13 9 2 3.4128973484039307 5.754796981811523 2.5439376831054688
? 13 10 1 7.552733898162842 6.514247417449951 0
what 14 0 4 5.218100070953369 3.598426103591919 0
did 14 1 3 6.22922945022583 7.87407922744751 0
he 14 2 2 2.585601329803467 7.23189640045166 0.6421828269958496
hear 14 3 4 10.778773307800293 6.107588291168213 1.1243081092834473
that 14 4 4 2.0534913539886475 5.912766933441162 0.19482135772705078
<unk> 14 5 5 5.87574577331543 5.979794979095459 0
asked 14 6 5 12.36152172088623 6.49551248550415 0
who 14 7 3 7.028429985046387 5.373530864715576 1.1219816207885742
<unk> 14 8 5 6.368585586547852 5.519201755523682 0
heard 14 9 5 11.643375396728516 6.339231014251709 0
about 14 10 5 6.239903926849365 4.685079097747803 1.6541519165039062
? 14 11 1 4.468899250030518 5.327929496765137 0
what 15 0 4 5.218100070953369 3.598426103591919 0
did 15 1 3 6.22922945022583 7.87407922744751 0
<unk> 15 2 5 5.121150970458984 7.23189640045166 0.6421828269958496
ask 15 3 3 12.816960334777832 6.9105024337768555 0.3213939666748047
why 15 4 3 6.849228858947754 5.587447166442871 1.3230552673339844
a 15 5 1 4.943608283996582 6.48822021484375 0
discreet 15 6 8 15.815040588378906 8.391138076782227 0
rumour 15 7 6 14.036860466003418 9.203956604003906 0
was 15 8 3 7.797933578491211 4.0503950119018555 5.153561592102051
? 15 9 1 11.449777603149414 3.369245767593384 0.6811492443084717
what 16 0 4 5.218100070953369 3.598426103591919 0
does 16 1 4 9.037620544433594 7.87407922744751 0
<unk> 16 2 5 5.0557403564453125 7.354264259338379 0.5198149681091309
wonder 16 3 6 14.378865242004395 6.717916011810303 0.6363482475280762
when 16 4 4 6.564645290374756 5.349710464477539 1.3682055473327637
the 16 5 3 6.0900187492370605 6.184571743011475 0
blue 16 6 4 11.499398231506348 10.29214859008789 0
teddy 16 7 5 16.872529983520508 9.59224796295166 0.6999006271362305
bear 16 8 4 6.88630485534668 8.09760570526123 1.4946422576904297
will 16 9 4 9.145200729370117 6.686300754547119 1.4113049507141113
eat 16 10 3 10.745450019836426 7.348390579223633 0
? 16 11 1 4.552100658416748 7.111923694610596 0.2364668846130371
where 17 0 5 10.307161331176758 3.598426103591919 0
did 17 1 3 6.974673271179199 6.1650896072387695 0
<unk> 17 2 5 4.9285888671875 6.23520565032959 0
<unk> 17 3 5 3.911149024963379 6.425440311431885 0
ask 17 4 3 13.325033187866211 6.340144634246826 0.0852956771850586
who 17 5 3 7.124626636505127 5.486516952514648 0.8536276817321777
took 17 6 4 12.70959758758545 6.166557788848877 0
the 17 7 3 6.104683876037598 6.446731090545654 0
expensive 17 8 9 15.846312522888184 9.137580871582031 0
picture 17 9 7 9.655411720275879 9.107810020446777 0.029770851135253906
to 17 10 2 4.804955005645752 5.719963550567627 3.3878464698791504
? 17 11 1 4.992031097412109 6.963264465332031 0
what 18 0 4 5.218100070953369 3.598426103591919 0
did 18 1 3 6.22922945022583 7.87407922744751 0
she 18 2 3 6.6453094482421875 7.23189640045166 0.6421828269958496
hear 18 3 4 10.037099838256836 6.435638427734375 0.7962579727172852
that 18 4 4 2.1022861003875732 6.0215654373168945 0.41407299041748047
<unk> 18 5 5 5.953826904296875 6.188285827636719 0
knows 18 6 5 13.409790992736816 6.661193370819092 0
where 18 7 5 8.166622161865234 4.546320915222168 2.114872455596924
<unk> 18 8 5 5.932024955749512 5.669604778289795 0
<unk> 18 9 5 4.896122455596924 6.232017517089844 0
buys 18 10 4 17.88273048400879 6.07328987121582 0.15872764587402344
? 18 11 1 5.544990539550781 6.482325553894043 0
whom 19 0 4 13.872987747192383 3.598426103591919 0
did 19 1 3 6.303704738616943 6.044182777404785 0
the 19 2 3 6.216124534606934 7.031692981719971 0
expensive 19 3 9 14.933737754821777 9.643062591552734 0
teacher 19 4 7 13.641758918762207 9.645539283752441 0
ask 19 5 3 14.4979887008667 6.399426460266113 3.246112823486328
what 19 6 4 4.731724262237549 5.8294806480407715 0.5699458122253418
the 19 7 3 5.772600173950195 7.922209739685059 0
lucky 19 8 5 14.779348373413086 10.260114669799805 0
teddy 19 9 5 16.71739959716797 8.343903541564941 1.9162111282348633
bear 19 10 4 6.916637897491455 7.152201175689697 1.1917023658752441
told 19 11 4 12.005982398986816 6.0981669425964355 1.0540342330932617
? 19 12 1 6.295272350311279 5.912321090698242 0.18584585189819336
what 20 0 4 5.218100070953369 3.598426103591919 0
did 20 1 3 6.22922945022583 7.87407922744751 0
the 20 2 3 6.659514904022217 7.23189640045166 0.6421828269958496
<unk> 20 3 5 3.6539623737335205 10.096794128417969 0
essays 20 4 6 16.792680740356445 8.166220664978027 1.9305734634399414
ask 20 5 3 16.30326271057129 5.208615779876709 2.9576048851013184
when 20 6 4 7.918920993804932 5.485193729400635 0
the 20 7 3 6.691162586212158 6.055055141448975 0
probable 20 8 8 16.116230010986328 10.32756519317627 0
account 20 9 7 9.9636869430542 10.393388748168945 0
was 20 10 3 6.613616943359375 4.931017875671387 5.462370872497559
? 20 11 1 12.513548851013184 3.477391242980957 1.4536266326904297
what 21 0 4 5.218100070953369 3.598426103591919 0
did 21 1 3 6.22922945022583 7.87407922744751 0
the 21 2 3 6.659514904022217 7.23189640045166 0.6421828269958496
man 21 3 3 9.263910293579102 10.096794128417969 0
wonder 21 4 6 17.84190559387207 5.13187837600708 4.964915752410889
who 21 5 3 6.921933650970459 5.760282516479492 0
announced 21 6 9 15.206793785095215 6.799697399139404 0
? 21 7 1 9.822694778442383 3.775329828262329 3.024367570877075
what 22 0 4 5.218100070953369 3.598426103591919 0
does 22 1 4 9.037620544433594 7.87407922744751 0
the 22 2 3 6.85636568069458 7.354264259338379 0.5198149681091309
party 22 3 5 8.402941703796387 10.035055160522461 0
think 22 4 5 11.014996528625488 6.906700134277344 3.128355026245117
how 22 5 3 9.613635063171387 4.522847652435303 2.383852481842041
the 22 6 3 6.143994331359863 6.840435981750488 0
boat 22 7 4 13.945404052734375 10.032730102539062 0
is 22 8 2 6.788973331451416 7.840076923370361 2.192653179168701
unrealistic 22 9 11 17.044157028198242 4.2988739013671875 3.541203022003174
to 22 10 2 4.99729585647583 4.544914245605469 0
do 22 11 2 6.960807800292969 7.440941333770752 0
? 22 12 1 7.2337327003479 6.798693656921387 0.6422476768493652
what 23 0 4 5.218100070953369 3.598426103591919 0
did 23 1 3 6.22922945022583 7.87407922744751 0
the 23 2 3 6.659514904022217 7.23189640045166 0.6421828269958496
brothers 23 3 8 12.6499662399292 10.096794128417969 0
ask 23 4 3 14.298421859741211 6.168641567230225 3.928152561187744
why 23 5 3 7.489331245422363 5.559633255004883 0.6090083122253418
the 23 6 3 6.315018177032471 6.610897541046143 0
<unk> 23 7 5 4.37978458404541 10.03994369506836 0
woman 23 8 5 10.041011810302734 7.598056793212891 2.4418869018554688
plays 23 9 5 13.673283576965332 6.357181072235107 1.2408757209777832
? 23 10 1 4.60741662979126 6.098359107971191 0.258821964263916
where 24 0 5 10.307161331176758 3.598426103591919 0
did 24 1 3 6.974673271179199 6.1650896072387695 0
the 24 2 3 5.863402366638184 6.23520565032959 0
scandalous 24 3 10 17.060958862304688 9.850581169128418 0
girls 24 4 5 12.900652885437012 9.597691535949707 0.25288963317871094
ask 24 5 3 13.879512786865234 5.211459636688232 4.386231899261475
how 24 6 3 7.791502952575684 5.742419719696045 0
the 24 7 3 6.2614827156066895 6.618523120880127 0
salad 24 8 5 18.075878143310547 10.091437339782715 0
went 24 9 4 10.621438980102539 7.168455123901367 2.9229822158813477
? 24 10 1 3.898542881011963 4.441356658935547 2.7270984649658203
