word sentid sentpos wlen surp entropy entred
what 0 0 4 6.533797740936279 7.3534417152404785 0
did 0 1 3 5.774653911590576 5.736963748931885 1.6164779663085938
i 0 2 1 9.640554428100586 7.951573848724365 0
buy 0 3 3 12.51434326171875 8.74903392791748 0
a 0 4 1 4.881657123565674 7.592691421508789 1.1563425064086914
guitar 0 5 6 13.56485652923584 10.116752624511719 0
for 0 6 3 7.3032660484313965 7.630913734436035 2.4858388900756836
myself 0 7 6 10.687180519104004 8.342529296875 0
because 0 8 7 9.946403503417969 6.437751770019531 1.9047775268554688
they 0 9 4 5.058298110961914 6.211243629455566 0.22650814056396484
heard 0 10 5 12.20145320892334 8.090356826782227 0
? 0 11 1 6.475823879241943 7.492656707763672 0.5977001190185547
what 1 0 4 6.533797740936279 7.3534417152404785 0
will 1 1 4 10.138821601867676 5.736963748931885 1.6164779663085938
they 1 2 4 7.247758865356445 8.63293170928955 0
fail 1 3 4 11.141716003417969 8.884483337402344 0
the 1 4 3 7.4798688888549805 5.311993598937988 3.5724897384643555
test 1 5 4 11.191356658935547 10.803817749023438 0
if 1 6 2 10.78217601776123 8.29700756072998 2.506810188293457
they 1 7 4 3.9745547771453857 6.00799036026001 2.2890172004699707
do 1 8 2 5.9740400314331055 8.042357444763184 0
not 1 9 3 5.870500564575195 7.193782329559326 0.8485751152038574
? 1 10 1 4.218014717102051 7.796688556671143 0
whom 2 0 4 8.474770545959473 7.3534417152404785 0
will 2 1 4 10.898943901062012 5.38610315322876 1.9673385620117188
he 2 2 2 7.289488792419434 8.556270599365234 0
hire 2 3 4 13.813732147216797 8.446050643920898 0.11021995544433594
someone 2 4 7 10.535604476928711 7.457683086395264 0.9883675575256348
if 2 5 2 10.78642749786377 3.7178120613098145 3.739871025085449
i 2 6 1 7.530542373657227 6.009006977081299 0
need 2 7 4 10.199914932250977 7.0945353507995605 0
? 2 8 1 6.939199924468994 6.527844429016113 0.5666909217834473
what 3 0 4 6.533797740936279 7.3534417152404785 0
has 3 1 3 9.432321548461914 5.736963748931885 1.6164779663085938
he 3 2 2 8.693718910217285 8.233744621276855 0
been 3 3 4 7.161397457122803 9.297303199768066 0
circulating 3 4 11 17.48288917541504 9.022173881530762 0.2751293182373047
who 3 5 3 5.333174228668213 7.484223365783691 1.5379505157470703
he 3 6 2 7.826677322387695 7.46994686126709 0.014276504516601562
thought 3 7 7 9.420621871948242 7.6353440284729 0
was 3 8 3 8.95738410949707 5.791477680206299 1.8438663482666016
? 3 9 1 6.194083213806152 7.61849308013916 0
what 4 0 4 6.533797740936279 7.3534417152404785 0
will 4 1 4 10.138821601867676 5.736963748931885 1.6164779663085938
he 4 2 2 7.701105117797852 8.63293170928955 0
try 4 3 3 9.728532791137695 8.831986427307129 0
to 4 4 2 1.1121814250946045 4.986108779907227 3.8458776473999023
call 4 5 4 6.175294399261475 8.051265716552734 0
you 4 6 3 6.831254005432129 6.886618137359619 1.1646475791931152
if 4 7 2 9.288500785827637 7.077103137969971 0
she 4 8 3 5.602799892425537 5.861652851104736 1.2154502868652344
buys 4 9 4 15.376501083374023 7.716725826263428 0
? 4 10 1 7.275856971740723 6.635799884796143 1.0809259414672852
what 5 0 4 6.533797740936279 7.3534417152404785 0
did 5 1 3 5.774653911590576 5.736963748931885 1.6164779663085938
she 5 2 3 6.455764293670654 7.951573848724365 0
say 5 3 3 6.811032295227051 8.520471572875977 0
