word sentid sentpos wlen surp entropy entred
where 0 0 5 9.8583345413208 8.118135452270508 0
did 0 1 3 8.676942825317383 4.958200454711914 3.1599349975585938
<unk> 0 2 5 5.517983913421631 4.200262069702148 0.7579383850097656
ask 0 3 3 12.557129859924316 5.979484558105469 0
who 0 4 3 9.321056365966797 5.459129810333252 0.5203547477722168
<unk> 0 5 5 4.990673542022705 6.691125392913818 0
took 0 6 4 12.40384292602539 6.505913734436035 0.1852116584777832
? 0 7 1 5.621158599853516 7.1635212898254395 0
what 1 0 4 5.944672584533691 8.118135452270508 0
did 1 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
she 1 2 3 9.01684856414795 4.736475467681885 0
say 1 3 3 10.10054874420166 7.8515706062316895 0
that 1 4 4 1.6663684844970703 4.747793197631836 3.1037774085998535
<unk> 1 5 5 4.602113723754883 6.397248268127441 0
asked 1 6 5 12.02127456665039 5.870584487915039 0.5266637802124023
who 1 7 3 8.452808380126953 5.701113224029541 0.16947126388549805
will 1 8 4 8.899612426757812 6.592848300933838 0
read 1 9 4 9.078731536865234 6.708776473999023 0
? 1 10 1 4.463582515716553 5.885034561157227 0.8237419128417969
where 2 0 5 9.8583345413208 8.118135452270508 0
did 2 1 3 8.676942825317383 4.958200454711914 3.1599349975585938
<unk> 2 2 5 5.517983913421631 4.200262069702148 0.7579383850097656
ask 2 3 3 12.557129859924316 5.979484558105469 0
how 2 4 3 8.276399612426758 5.459129810333252 0.5203547477722168
<unk> 2 5 5 5.065000057220459 6.402001857757568 0
went 2 6 4 9.57191276550293 6.77391242980957 0
? 2 7 1 6.390843391418457 6.995372295379639 0
what 3 0 4 5.944672584533691 8.118135452270508 0
did 3 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
will 3 2 4 14.805957794189453 4.736475467681885 0
ask 3 3 3 13.95942497253418 6.611227035522461 0
why 3 4 3 6.955783367156982 4.831806182861328 1.7794208526611328
<unk> 3 5 5 5.411109924316406 5.050002098083496 0
wears 3 6 5 16.529918670654297 5.4091315269470215 0
? 3 7 1 2.65393328666687 6.697976589202881 0
what 4 0 4 5.944672584533691 8.118135452270508 0
did 4 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
she 4 2 3 9.01684856414795 4.736475467681885 0
say 4 3 3 10.10054874420166 7.8515706062316895 0
that 4 4 4 1.6663684844970703 4.747793197631836 3.1037774085998535
will 4 5 4 8.790245056152344 6.397248268127441 0
thinks 4 6 6 16.68183708190918 7.075351238250732 0
he 4 7 2 6.052960395812988 5.801481246948242 1.2738699913024902
knows 4 8 5 8.275398254394531 7.388914585113525 0
where 4 9 5 8.657949447631836 5.611547470092773 1.777367115020752
<unk> 4 10 5 6.169900894165039 3.1315066814422607 2.4800407886505127
announced 4 11 9 13.555535316467285 4.748285293579102 0
? 4 12 1 6.268491744995117 4.135069370269775 0.6132159233093262
what 5 0 4 5.944672584533691 8.118135452270508 0
did 5 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
they 5 2 4 7.366587162017822 4.736475467681885 0
not 5 3 3 8.618535995483398 8.078311920166016 0
like 5 4 4 5.441103935241699 8.279376983642578 0
that 5 5 4 4.139721393585205 6.103024005889893 2.1763529777526855
<unk> 5 6 5 4.453977584838867 7.632584095001221 0
wonders 5 7 7 17.57505226135254 6.755481719970703 0.8771023750305176
how 5 8 3 7.8599114418029785 3.8043928146362305 2.9510889053344727
<unk> 5 9 5 5.024910926818848 6.522799015045166 0
was 5 10 3 7.039370059967041 5.923469066619873 0.599329948425293
? 5 11 1 4.759105205535889 2.568509578704834 3.354959487915039
what 6 0 4 5.944672584533691 8.118135452270508 0
did 6 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
<unk> 6 2 5 5.352260112762451 4.736475467681885 0
ask 6 3 3 12.26711368560791 6.646955490112305 0
when 6 4 4 10.75611400604248 5.049948692321777 1.5970067977905273
<unk> 6 5 5 5.503101825714111 3.766101121902466 1.2838475704193115
ate 6 6 3 15.186508178710938 5.3975629806518555 0
? 6 7 1 5.384671688079834 7.289965629577637 0
what 7 0 4 5.944672584533691 8.118135452270508 0
does 7 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
<unk> 7 2 5 5.607186317443848 4.3821868896484375 0
wonder 7 3 6 14.92988395690918 6.396690845489502 0
where 7 4 5 8.371694564819336 5.692699432373047 0.7039914131164551
<unk> 7 5 5 5.8722686767578125 3.6864073276519775 2.0062921047210693
buys 7 6 4 17.847410202026367 4.689480781555176 0
? 7 7 1 5.6903605461120605 5.912662506103516 0
what 8 0 4 5.944672584533691 8.118135452270508 0
does 8 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
will 8 2 4 14.245795249938965 4.3821868896484375 0
wonder 8 3 6 15.328723907470703 6.4892425537109375 0
how 8 4 3 7.3992695808410645 4.6491618156433105 1.840080738067627
he 8 5 2 6.162950038909912 6.593319416046143 0
will 8 6 4 8.085551261901855 7.5275068283081055 0
read 8 7 4 10.544538497924805 6.971842288970947 0.5556645393371582
? 8 8 1 4.35340690612793 6.241855621337891 0.7299866676330566
how 9 0 3 10.851533889770508 8.118135452270508 0
did 9 1 3 5.11507511138916 6.845577716827393 1.2725577354431152
he 9 2 2 7.643073558807373 4.033536911010742 2.8120408058166504
hear 9 3 4 12.492391586303711 8.090598106384277 0
that 9 4 4 3.6158525943756104 5.545373916625977 2.545224189758301
<unk> 9 5 5 4.93933629989624 6.766872882843018 0
thinks 9 6 6 14.77970027923584 6.295729637145996 0.4711432456970215
he 9 7 2 5.739021301269531 5.788763999938965 0.5069656372070312
knows 9 8 5 8.643806457519531 7.542481422424316 0
where 9 9 5 8.805217742919922 5.5509724617004395 1.991508960723877
<unk> 9 10 5 6.084290027618408 2.954953670501709 2.5960187911987305
gets 9 11 4 12.047709465026855 4.632271766662598 0
? 9 12 1 6.752340316772461 3.1045241355895996 1.527747631072998
whom 10 0 4 6.207610607147217 8.118135452270508 0
does 10 1 4 8.178664207458496 6.576956272125244 1.5411791801452637
<unk> 10 2 5 5.430119037628174 4.115339756011963 2.4616165161132812
wonder 10 3 6 15.082673072814941 4.930557727813721 0
how 10 4 3 8.186084747314453 5.470879077911377 0
<unk> 10 5 5 4.88881778717041 6.167482852935791 0
is 10 6 2 7.121703147888184 4.848255634307861 1.3192272186279297
waiting 10 7 7 12.677248001098633 1.649389624595642 3.1988660097122192
for 10 8 3 2.42995285987854 6.00066614151001 0
? 10 9 1 6.482057571411133 6.5490217208862305 0
what 11 0 4 5.944672584533691 8.118135452270508 0
did 11 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
<unk> 11 2 5 5.352260112762451 4.736475467681885 0
ask 11 3 3 12.26711368560791 6.646955490112305 0
why 11 4 3 7.08578634262085 5.049948692321777 1.5970067977905273
<unk> 11 5 5 5.178391933441162 5.358456134796143 0
is 11 6 2 7.472414493560791 5.668408393859863 0
? 11 7 1 5.045222759246826 2.0963802337646484 3.572028160095215
what 12 0 4 5.944672584533691 8.118135452270508 0
did 12 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
<unk> 12 2 5 5.352260112762451 4.736475467681885 0
ask 12 3 3 12.26711368560791 6.646955490112305 0
who 12 4 3 9.199664115905762 5.049948692321777 1.5970067977905273
will 12 5 4 9.27184009552002 6.636972904205322 0
is 12 6 2 9.73844051361084 6.809635162353516 0
for 12 7 3 9.564099311828613 1.7328084707260132 5.076826691627502
? 12 8 1 7.84511661529541 6.373378276824951 0
whom 13 0 4 6.207610607147217 8.118135452270508 0
did 13 1 3 5.131049156188965 6.576956272125244 1.5411791801452637
<unk> 13 2 5 5.893800258636475 4.104767799377441 2.4721884727478027
ask 13 3 3 13.126453399658203 5.68890380859375 0
where 13 4 5 10.88571834564209 5.053091049194336 0.6358127593994141
<unk> 13 5 5 5.122642993927002 4.313758850097656 0.7393321990966797
loaned 13 6 6 20.178800582885742 5.212119102478027 0
a 13 7 1 5.273169994354248 5.747428894042969 0
trumpet 13 8 7 16.109771728515625 10.497157096862793 0
to 13 9 2 5.678706645965576 8.749137878417969 1.7480192184448242
? 13 10 1 8.831961631774902 5.9698357582092285 2.7793021202087402
what 14 0 4 5.944672584533691 8.118135452270508 0
did 14 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
he 14 2 2 6.699747085571289 4.736475467681885 0
hear 14 3 4 12.191926002502441 7.617629051208496 0
that 14 4 4 3.30903697013855 5.609367370605469 2.0082616806030273
<unk> 14 5 5 4.973597049713135 6.867919445037842 0
asked 14 6 5 13.560172080993652 6.26838493347168 0.5995345115661621
who 14 7 3 8.617372512817383 5.745735168457031 0.5226497650146484
<unk> 14 8 5 4.743830680847168 6.530648231506348 0
heard 14 9 5 12.601737022399902 6.145019054412842 0.38562917709350586
about 14 10 5 5.560609340667725 4.583251476287842 1.561767578125
? 14 11 1 6.769749164581299 2.8488566875457764 1.7343947887420654
what 15 0 4 5.944672584533691 8.118135452270508 0
did 15 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
<unk> 15 2 5 5.352260112762451 4.736475467681885 0
ask 15 3 3 12.26711368560791 6.646955490112305 0
why 15 4 3 7.08578634262085 5.049948692321777 1.5970067977905273
a 15 5 1 6.16654109954834 5.358456134796143 0
discreet 15 6 8 15.43032169342041 10.486645698547363 0
rumour 15 7 6 13.064534187316895 9.514421463012695 0.972224235534668
was 15 8 3 5.931797981262207 5.302029132843018 4.212392330169678
? 15 9 1 4.961938858032227 4.377682209014893 0.924346923828125
what 16 0 4 5.944672584533691 8.118135452270508 0
does 16 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
<unk> 16 2 5 5.607186317443848 4.3821868896484375 0
wonder 16 3 6 14.92988395690918 6.396690845489502 0
when 16 4 4 9.490328788757324 5.692699432373047 0.7039914131164551
the 16 5 3 3.980539560317993 4.454785346984863 1.2379140853881836
blue 16 6 4 10.933615684509277 10.060774803161621 0
teddy 16 7 5 15.724475860595703 8.707839012145996 1.352935791015625
bear 16 8 4 9.073127746582031 8.095877647399902 0.6119613647460938
will 16 9 4 9.172391891479492 7.293797492980957 0.8020801544189453
eat 16 10 3 11.324655532836914 7.3050537109375 0
? 16 11 1 5.823685646057129 5.603044033050537 1.702009677886963
