word sentid sentpos wlen surp entropy entred
who 0 0 3 6.3972015380859375 6.994493007659912 0
do 0 1 2 6.041231155395508 3.6451008319854736 3.3493921756744385
n't 0 2 3 20.455690383911133 5.622159481048584 0
we 0 3 2 10.37132453918457 7.476296901702881 0
believe 0 4 7 7.151630401611328 4.757528781890869 2.7187681198120117
the 0 5 3 6.0636701583862305 4.028848171234131 0.7286806106567383
rumour 0 6 6 11.250802993774414 6.786000728607178 0
that 0 7 4 3.715134859085083 5.362800598144531 1.4232001304626465
<unk> 0 8 5 3.665712833404541 4.446649074554443 0.9161515235900879
is 0 9 2 8.342631340026855 4.706542015075684 0
dating 0 10 6 15.7518892288208 6.811007022857666 0
? 0 11 1 4.556365489959717 5.456821441650391 1.3541855812072754
how 1 0 3 7.561899662017822 6.994493007659912 0
does 1 1 4 5.565188884735107 6.264209270477295 0.7302837371826172
will 1 2 4 10.36861515045166 5.649402141571045 0.61480712890625
think 1 3 5 9.859259605407715 7.414632797241211 0
that 1 4 4 4.880380153656006 4.861666679382324 2.5529661178588867
she 1 5 3 9.746850967407227 5.437906265258789 0
is 1 6 2 7.30136251449585 6.006266117095947 0
dating 1 7 6 15.904119491577148 6.962737083435059 0
someone 1 8 7 10.927680015563965 5.854795932769775 1.1079411506652832
who 1 9 3 4.080923557281494 5.052097320556641 0.8026986122131348
solves 1 10 6 14.348901748657227 2.671717405319214 2.3803799152374268
? 1 11 1 7.036158561706543 0.4237973690032959 2.247920036315918
what 2 0 4 2.489025354385376 6.994493007659912 0
does 2 1 4 7.743382453918457 1.213553547859192 5.78093945980072
she 2 2 3 7.5696940422058105 5.948736190795898 0
believe 2 3 7 8.934832572937012 6.698641777038574 0
the 2 4 3 6.124699115753174 4.34621524810791 2.352426528930664
rumour 2 5 6 11.431180953979492 6.943882942199707 0
that 2 6 4 3.690251350402832 5.114549160003662 1.829333782196045
she 2 7 3 6.0776686668396 4.46098518371582 0.6535639762878418
might 2 8 5 10.402297973632812 5.25222110748291 0
have 2 9 4 4.172472953796387 6.573766231536865 0
this 2 10 4 9.060173034667969 7.4472761154174805 0
year 2 11 4 12.403421401977539 6.473799705505371 0.9734764099121094
? 2 12 1 2.2658262252807617 5.487124919891357 0.9866747856140137
how 3 0 3 7.561899662017822 6.994493007659912 0
many 3 1 4 8.151062965393066 6.264209270477295 0.7302837371826172
cities 3 2 6 12.212538719177246 8.966923713684082 0
does 3 3 4 8.156545639038086 6.708741664886475 2.2581820487976074
he 3 4 2 9.21992015838623 5.37497091293335 1.333770751953125
know 3 5 4 9.817487716674805 7.012919902801514 0
brothers 3 6 8 14.902385711669922 3.4816842079162598 3.531235694885254
who 3 7 3 6.191431045532227 5.770073413848877 0
live 3 8 4 7.821651935577393 3.6877129077911377 2.0823605060577393
in 3 9 2 4.275201320648193 6.387942790985107 0
? 3 10 1 1.549725890159607 5.244238376617432 1.1437044143676758
who 4 0 3 6.3972015380859375 6.994493007659912 0
do 4 1 2 6.041231155395508 3.6451008319854736 3.3493921756744385
they 4 2 4 8.25931167602539 5.622159481048584 0
believe 4 3 7 7.966726303100586 7.135934352874756 0
the 4 4 3 6.748926639556885 3.391777753829956 3.7441565990448
claim 4 5 5 7.689420700073242 7.268547058105469 0
that 4 6 4 3.034456729888916 6.014068603515625 1.2544784545898438
he 4 7 2 8.306052207946777 4.756650924682617 1.2574176788330078
likes 4 8 5 10.121517181396484 4.79277229309082 0
? 4 9 1 3.787675380706787 5.377789497375488 0
what 5 0 4 2.489025354385376 6.994493007659912 0
did 5 1 3 6.548758029937744 1.213553547859192 5.78093945980072
she 5 2 3 8.069762229919434 4.87201452255249 0
hear 5 3 4 6.405815124511719 5.596475124359131 0
a 5 4 1 8.791837692260742 4.089538097381592 1.506937026977539
rumour 5 5 6 9.065478324890137 7.560827732086182 0
that 5 6 4 2.7196414470672607 4.993322372436523 2.567505359649658
<unk> 5 7 5 3.665147066116333 4.611390590667725 0.38193178176879883
sleeps 5 8 6 18.883098602294922 5.269643306732178 0
with 5 9 4 5.6250762939453125 6.079658508300781 0
? 5 10 1 4.332466125488281 6.722206115722656 0
how 6 0 3 7.561899662017822 6.994493007659912 0
did 6 1 3 4.366515159606934 6.264209270477295 0.7302837371826172
my 6 2 2 9.321120262145996 6.163851261138916 0.1003580093383789
sister 6 3 6 8.477569580078125 7.1761579513549805 0
say 6 4 3 9.899641036987305 7.716815948486328 0
that 6 5 4 6.230183124542236 1.6790672540664673 6.037748694419861
<unk> 6 6 5 4.704142093658447 4.585089206695557 0
