word sentid sentpos wlen surp entropy entred
how 0 0 3 8.644973754882812 3.9928994178771973 0
<unk> 0 1 5 3.1299996376037598 4.853378772735596 0
did 0 2 3 2.9217798709869385 8.281575202941895 0
she 0 3 3 3.5598020553588867 4.007805824279785 4.273769378662109
say 0 4 3 1.9550920724868774 5.780762672424316 0
that 0 5 4 1.1442193984985352 3.712526798248291 2.0682358741760254
he 0 6 2 5.126357555389404 5.786479949951172 0
directed 0 7 8 15.172102928161621 4.408565521240234 1.3779144287109375
the 0 8 3 6.912083625793457 4.779634952545166 0
movie 0 9 5 9.448647499084473 7.904333591461182 0
that 0 10 4 6.531764984130859 6.4162139892578125 1.4881196022033691
i 0 11 1 4.666903495788574 5.99063777923584 0.42557621002197266
saw 0 12 3 5.823668479919434 5.3855180740356445 0.6051197052001953
yesterday 0 13 9 11.963357925415039 4.550727367401123 0.8347907066345215
? 0 14 1 1.633717656135559 5.321652412414551 0
how 1 0 3 8.644973754882812 3.9928994178771973 0
discreet 1 1 8 20.836402893066406 4.853378772735596 0
did 1 2 3 5.721183776855469 6.955699443817139 0
<unk> 1 3 5 3.1304047107696533 3.6931300163269043 3.2625694274902344
hire 1 4 4 13.026369094848633 6.0130133628845215 0
an 1 5 2 8.582512855529785 4.498239040374756 1.5147743225097656
agent 1 6 5 6.108524322509766 8.30125617980957 0
? 1 7 1 4.081629276275635 4.179747104644775 4.121509075164795
how 2 0 3 8.644973754882812 3.9928994178771973 0
pretty 2 1 6 17.21255874633789 4.853378772735596 0
does 2 2 4 8.221715927124023 6.2906575202941895 0
<unk> 2 3 5 3.707906723022461 3.3578989505767822 2.9327585697174072
like 2 4 4 5.9859490394592285 5.643941402435303 0
the 2 5 3 8.530601501464844 5.206546306610107 0.4373950958251953
woman 2 6 5 9.623578071594238 9.692863464355469 0
? 2 7 1 3.4741265773773193 5.52963924407959 4.163224220275879
how 3 0 3 8.644973754882812 3.9928994178771973 0
difficult 3 1 9 11.657394409179688 4.853378772735596 0
did 3 2 3 7.653748989105225 4.19448184967041 0.6588969230651855
he 3 3 2 4.453428268432617 3.958674669265747 0.23580718040466309
hear 3 4 4 4.193657875061035 6.034611701965332 0
that 3 5 4 2.2832729816436768 3.7136828899383545 2.3209288120269775
you 3 6 3 3.823505163192749 5.784646034240723 0
failed 3 7 6 11.669260025024414 6.861729145050049 0
the 3 8 3 12.156268119812012 0.8141934275627136 6.047535717487335
test 3 9 4 11.72476863861084 8.42569351196289 0
? 3 10 1 2.450831651687622 6.89174222946167 1.5339512825012207
whose 4 0 5 9.55435562133789 3.9928994178771973 0
did 4 1 3 13.542004585266113 10.70459270477295 0
she 4 2 3 3.405101776123047 4.742405891418457 5.962186813354492
say 4 3 3 3.0272138118743896 6.937652111053467 0
that 4 4 4 0.6452903151512146 2.6402206420898438 4.297431468963623
<unk> 4 5 5 2.315211296081543 5.486239910125732 0
eats 4 6 4 14.25340747833252 5.606678009033203 0
<unk> 4 7 5 4.540030479431152 4.080440998077393 1.5262370109558105
? 4 8 1 2.3369040489196777 6.4652605056762695 0
how 5 0 3 8.644973754882812 3.9928994178771973 0
<unk> 5 1 5 3.1299996376037598 4.853378772735596 0
did 5 2 3 2.9217798709869385 8.281575202941895 0
she 5 3 3 3.5598020553588867 4.007805824279785 4.273769378662109
say 5 4 3 1.9550920724868774 5.780762672424316 0
that 5 5 4 1.1442193984985352 3.712526798248291 2.0682358741760254
he 5 6 2 5.126357555389404 5.786479949951172 0
announced 5 7 9 17.404781341552734 4.408565521240234 1.3779144287109375
a 5 8 1 5.424922466278076 3.3111634254455566 1.0974020957946777
plan 5 9 4 3.1113033294677734 7.072403430938721 0
? 5 10 1 10.840486526489258 0.07161866128444672 7.000784769654274
how 6 0 3 8.644973754882812 3.9928994178771973 0
pretty 6 1 6 17.21255874633789 4.853378772735596 0
did 6 2 3 6.0605998039245605 6.2906575202941895 0
he 6 3 2 4.773898124694824 3.3419363498687744 2.948721170425415
hear 6 4 4 4.562380790710449 4.722603797912598 0
that 6 5 4 2.0589561462402344 4.21202278137207 0.5105810165405273
she 6 6 3 4.878173351287842 5.872646808624268 0
read 6 7 4 8.301268577575684 6.558291435241699 0
the 6 8 3 7.7301812171936035 3.8017373085021973 2.756554126739502
<unk> 6 9 5 6.914927959442139 5.005539417266846 0
comics 6 10 6 13.574967384338379 7.46820068359375 0
? 6 11 1 1.428812026977539 5.470063209533691 1.9981374740600586
what 7 0 4 1.7228440046310425 3.9928994178771973 0
kind 7 1 4 12.315308570861816 3.9278664588928223 0.065032958984375
does 7 2 4 7.576043605804443 3.109581232070923 0.8182852268218994
<unk> 7 3 5 3.000774621963501 4.550566673278809 0
speak 7 4 5 8.630332946777344 4.776190280914307 0
a 7 5 1 7.903316020965576 1.943483591079712 2.8327066898345947
language 7 6 8 12.707850456237793 4.859132289886475 0
? 7 7 1 4.943397045135498 2.6244454383850098 2.234686851501465
how 8 0 3 8.644973754882812 3.9928994178771973 0
expensive 8 1 9 13.63076400756836 4.853378772735596 0
did 8 2 3 5.712882041931152 6.43788480758667 0
they 8 3 4 4.738473415374756 3.474358081817627 2.963526725769043
not 8 4 3 5.348409652709961 6.917876720428467 0
like 8 5 4 2.1394832134246826 6.551290512084961 0.36658620834350586
that 8 6 4 1.927858829498291 3.4524521827697754 3.0988383293151855
she 8 7 3 6.468362331390381 7.230216026306152 0
wears 8 8 5 9.453208923339844 3.0123019218444824 4.21791410446167
rings 8 9 5 15.348706245422363 2.16611647605896 0.8461854457855225
? 8 10 1 2.9242334365844727 4.991791725158691 0
how 9 0 3 8.644973754882812 3.9928994178771973 0
pretty 9 1 6 17.21255874633789 4.853378772735596 0
did 9 2 3 6.0605998039245605 6.2906575202941895 0
she 9 3 3 2.558194637298584 3.3419363498687744 2.948721170425415
say 9 4 3 1.3249144554138184 4.724928379058838 0
that 9 5 4 1.1627109050750732 3.6711342334747314 1.0537941455841064
<unk> 9 6 5 2.5087709426879883 5.730081081390381 0
likes 9 7 5 7.850156307220459 6.395515441894531 0
the 9 8 3 9.212089538574219 3.4092116355895996 2.9863038063049316
woman 9 9 5 8.244208335876465 7.642121315002441 0
? 9 10 1 1.8115012645721436 5.084958076477051 2.5571632385253906
how 10 0 3 8.644973754882812 3.9928994178771973 0
blue 10 1 4 13.108328819274902 4.853378772735596 0
did 10 2 3 5.471594333648682 8.681998252868652 0
he 10 3 2 5.062918663024902 4.973187446594238 3.708810806274414
hear 10 4 4 4.4257588386535645 6.220284461975098 0
that 10 5 4 2.009446144104004 4.519419193267822 1.7008652687072754
<unk> 10 6 5 2.6180784702301025 6.099474906921387 0
loaned 10 7 6 20.12603759765625 7.404660701751709 0
a 10 8 1 5.330765724182129 3.0679547786712646 4.336705923080444
trumpet 10 9 7 20.01863670349121 5.92086935043335 0
to 10 10 2 0.5683037042617798 3.7435202598571777 2.177349090576172
you 10 11 3 4.831724166870117 6.990990161895752 0
? 10 12 1 1.6569006443023682 3.881474733352661 3.109515428543091
how 11 0 3 8.644973754882812 3.9928994178771973 0
extravagant 11 1 11 18.13873863220215 4.853378772735596 0
did 11 2 3 5.581920623779297 6.3087358474731445 0
