word sentid sentpos wlen surp entropy entred
what 0 0 4 0.10931195318698883 0.6414519548416138 0
did 0 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
i 0 2 1 6.63991641998291 4.181119918823242 0
buy 0 3 3 10.187006950378418 4.656777858734131 0
a 0 4 1 6.988837718963623 2.9029288291931152 1.7538490295410156
guitar 0 5 6 11.888428688049316 7.96895170211792 0
for 0 6 3 5.742514610290527 5.3167572021484375 2.6521944999694824
myself 0 7 6 14.01773738861084 1.5233567953109741 3.7934004068374634
because 0 8 7 13.17085075378418 0.8270445466041565 0.6963122487068176
they 0 9 4 5.551979064941406 1.6815954446792603 0
heard 0 10 5 8.702033042907715 7.387116432189941 0
? 0 11 1 2.021432638168335 3.672347068786621 3.7147693634033203
what 1 0 4 0.10931195318698883 0.6414519548416138 0
will 1 1 4 10.602703094482422 0.39528530836105347 0.2461666464805603
they 1 2 4 3.8396949768066406 6.480513572692871 0
fail 1 3 4 11.898799896240234 5.335768699645996 1.144744873046875
the 1 4 3 12.564594268798828 2.1058146953582764 3.2299540042877197
test 1 5 4 12.506599426269531 6.6011552810668945 0
if 1 6 2 11.830804824829102 7.28567361831665 0
they 1 7 4 3.533780097961426 1.290673017501831 5.995000600814819
do 1 8 2 4.628561496734619 6.915685176849365 0
not 1 9 3 5.815588474273682 1.8051553964614868 5.110529780387878
? 1 10 1 5.611741065979004 4.123716354370117 0
whom 2 0 4 4.779620170593262 0.6414519548416138 0
will 2 1 4 8.808534622192383 1.5600099563598633 0
he 2 2 2 4.756101608276367 8.642000198364258 0
hire 2 3 4 12.333298683166504 8.384830474853516 0.2571697235107422
someone 2 4 7 11.087614059448242 5.622368812561035 2.7624616622924805
if 2 5 2 10.718439102172852 5.784110069274902 0
i 2 6 1 8.062271118164062 1.7211503982543945 4.062959671020508
need 2 7 4 9.633967399597168 7.394966125488281 0
? 2 8 1 2.895674705505371 3.6865477561950684 3.708418369293213
what 3 0 4 0.10931195318698883 0.6414519548416138 0
has 3 1 3 10.368989944458008 0.39528530836105347 0.2461666464805603
he 3 2 2 10.751306533813477 0.9317522048950195 0
been 3 3 4 3.2547757625579834 6.996225833892822 0
circulating 3 4 11 16.940704345703125 3.651864767074585 3.3443610668182373
who 3 5 3 13.698358535766602 1.8189325332641602 1.8329322338104248
he 3 6 2 8.800467491149902 6.918500900268555 0
thought 3 7 7 6.915998458862305 6.977058410644531 0
was 3 8 3 5.183282375335693 5.831174850463867 1.145883560180664
? 3 9 1 4.694131374359131 6.667229175567627 0
what 4 0 4 0.10931195318698883 0.6414519548416138 0
will 4 1 4 10.602703094482422 0.39528530836105347 0.2461666464805603
he 4 2 2 3.854367256164551 6.480513572692871 0
try 4 3 3 10.718284606933594 6.7281389236450195 0
to 4 4 2 0.2284044772386551 1.3670791387557983 5.361059784889221
call 4 5 4 8.74101734161377 5.269742012023926 0
you 4 6 3 7.383028507232666 3.762859344482422 1.506882667541504
if 4 7 2 11.574301719665527 1.0484908819198608 2.714368462562561
she 4 8 3 9.50374698638916 0.8771372437477112 0.17135363817214966
buys 4 9 4 14.825399398803711 6.814035892486572 0
? 4 10 1 0.011031165719032288 0.120796799659729 6.693239092826843
what 5 0 4 0.10931195318698883 0.6414519548416138 0
did 5 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
she 5 2 3 8.813631057739258 4.181119918823242 0
say 5 3 3 7.006905555725098 5.365694046020508 0
she 5 4 3 8.895829200744629 3.442993640899658 1.9227004051208496
would 5 5 5 5.5955657958984375 6.742550373077393 0
like 5 6 4 2.18711519241333 5.820246696472168 0.9223036766052246
the 5 7 3 8.376870155334473 3.4258975982666016 2.3943490982055664
man 5 8 3 9.481022834777832 7.785486221313477 0
if 5 9 2 11.014013290405273 2.2599618434906006 5.525524377822876
he 5 10 2 7.663301467895508 0.7763904333114624 1.4835714101791382
read 5 11 4 7.377680778503418 6.80457067489624 0
? 5 12 1 0.005698211956769228 0.06299326568841934 6.741577409207821
where 6 0 5 7.920004844665527 0.6414519548416138 0
did 6 1 3 4.161075592041016 2.583606243133545 0
i 6 2 1 8.050485610961914 3.7505099773406982 0
buy 6 3 3 11.76384162902832 4.35380220413208 0
a 6 4 1 6.627493858337402 2.807828426361084 1.545973777770996
coffee 6 5 6 11.907755851745605 8.061315536499023 0
for 6 6 3 7.2520365715026855 6.7885661125183105 1.272749423980713
myself 6 7 6 13.046212196350098 1.7260541915893555 5.062511920928955
because 6 8 7 12.476935386657715 0.8348783850669861 0.8911758065223694
i 6 9 1 5.492751598358154 1.6007311344146729 0
went 6 10 4 5.150536060333252 7.4181013107299805 0
? 6 11 1 3.7858963012695312 1.9870518445968628 5.431049466133118
what 7 0 4 0.10931195318698883 0.6414519548416138 0
will 7 1 4 10.602703094482422 0.39528530836105347 0.2461666464805603
he 7 2 2 3.854367256164551 6.480513572692871 0
circulate 7 3 9 21.76642608642578 6.7281389236450195 0
a 7 4 1 9.80182933807373 5.268336296081543 1.4598026275634766
call 7 5 4 9.868480682373047 8.601911544799805 0
if 7 6 2 9.438604354858398 5.307170867919922 3.294740676879883
she 7 7 3 8.859283447265625 0.7764005064964294 4.530770361423492
buys 7 8 4 15.22443962097168 6.625607013702393 0
? 7 9 1 0.010879259556531906 0.12020132690668106 6.5054056867957115
whom 8 0 4 4.779620170593262 0.6414519548416138 0
did 8 1 3 0.35234588384628296 1.5600099563598633 0
she 8 2 3 7.765339374542236 4.766229152679443 0
say 8 3 3 7.090539932250977 7.117780685424805 0
that 8 4 4 0.5914607048034668 2.651529312133789 4.466251373291016
she 8 5 3 8.068291664123535 0.6252689361572266 2.0262603759765625
gave 8 6 4 9.656899452209473 6.725919723510742 0
a 8 7 1 5.332276344299316 5.200972557067871 1.524947166442871
guitar 8 8 6 11.844475746154785 8.112373352050781 0
to 8 9 2 3.528311014175415 4.183833122253418 3.9285402297973633
me 8 10 2 8.195795059204102 5.422610759735107 0
when 8 11 4 6.893855571746826 1.1486116647720337 4.273999094963074
i 8 12 1 8.047533988952637 0.45281508564949036 0.6957965791225433
hired 8 13 5 10.065549850463867 7.648918628692627 0
? 8 14 1 0.0075089652091264725 0.07584911584854126 7.573069512844086
what 9 0 4 0.10931195318698883 0.6414519548416138 0
did 9 1 3 5.983649253845215 0.39528530836105347 0.2461666464805603
he 9 2 2 2.897989273071289 4.181119918823242 0
get 9 3 3 7.7679266929626465 5.672231197357178 0
a 9 4 1 5.952315330505371 6.030187606811523 0
new 9 5 3 6.447929382324219 8.993160247802734 0
phone 9 6 5 14.186104774475098 7.867164611816406 1.1259956359863281
