word sentid sentpos wlen surp entropy entred
who 0 0 3 2.263291597366333 3.7944233417510986 0
do 0 1 2 7.533557415008545 2.7812914848327637 1.013131856918335
n't 0 2 3 26.551862716674805 4.203858375549316 0
we 0 3 2 10.336403846740723 9.010807037353516 0
believe 0 4 7 6.3964152336120605 7.192148685455322 1.8186583518981934
the 0 5 3 8.937309265136719 1.9486743211746216 5.243474364280701
rumour 0 6 6 14.905856132507324 9.311857223510742 0
that 0 7 4 3.4287354946136475 5.3519392013549805 3.9599180221557617
<unk> 0 8 5 2.877713918685913 4.496681213378906 0.8552579879760742
is 0 9 2 3.990875244140625 7.365670204162598 0
dating 0 10 6 13.917864799499512 3.585655450820923 3.780014753341675
? 0 11 1 0.6820651888847351 1.349025011062622 2.236630439758301
how 1 0 3 6.549129486083984 3.7944233417510986 0
does 1 1 4 6.8628644943237305 6.14972448348999 0
will 1 2 4 19.31367301940918 2.2523443698883057 3.8973801136016846
think 1 3 5 9.759847640991211 8.106477737426758 0
that 1 4 4 1.0600001811981201 3.571549892425537 4.534927845001221
she 1 5 3 5.7989349365234375 3.288987874984741 0.2825620174407959
is 1 6 2 2.228950023651123 6.267649173736572 0
dating 1 7 6 12.782341003417969 4.442477703094482 1.8251714706420898
someone 1 8 7 12.858784675598145 1.759928584098816 2.6825491189956665
who 1 9 3 3.6314797401428223 3.375734567642212 0
solves 1 10 6 14.531301498413086 4.803412914276123 0
? 1 11 1 0.12125778198242188 0.8015548586845398 4.001858055591583
what 2 0 4 1.4693481922149658 3.7944233417510986 0
does 2 1 4 6.3387603759765625 4.540174961090088 0
she 2 2 3 0.7026349902153015 2.018749713897705 2.521425247192383
believe 2 3 7 7.836234092712402 2.5702691078186035 0
the 2 4 3 10.950233459472656 0.9130755066871643 1.6571936011314392
rumour 2 5 6 14.473522186279297 8.907669067382812 0
that 2 6 4 3.805173397064209 5.460769176483154 3.446899890899658
she 2 7 3 4.067542552947998 4.228781700134277 1.231987476348877
might 2 8 5 8.484712600708008 6.5311455726623535 0
have 2 9 4 4.675140857696533 6.700902462005615 0
this 2 10 4 10.529556274414062 6.321081161499023 0.3798213005065918
year 2 11 4 9.488073348999023 6.955660343170166 0
? 2 12 1 0.6498286128044128 2.922736406326294 4.032923936843872
how 3 0 3 6.549129486083984 3.7944233417510986 0
many 3 1 4 5.286550045013428 6.14972448348999 0
cities 3 2 6 10.759234428405762 9.539444923400879 0
does 3 3 4 13.549142837524414 7.992863178253174 1.546581745147705
he 3 4 2 4.5652079582214355 5.513715744018555 2.479147434234619
know 3 5 4 6.008492469787598 6.251231670379639 0
brothers 3 6 8 19.766145706176758 2.3774054050445557 3.873826265335083
who 3 7 3 3.2597763538360596 5.521707534790039 0
live 3 8 4 8.627685546875 7.246865272521973 0
in 3 9 2 4.447995662689209 4.633852005004883 2.61301326751709
? 3 10 1 5.070068359375 4.78916072845459 0
who 4 0 3 2.263291597366333 3.7944233417510986 0
do 4 1 2 7.533557415008545 2.7812914848327637 1.013131856918335
they 4 2 4 5.255677700042725 4.203858375549316 0
believe 4 3 7 6.086354732513428 6.995393753051758 0
the 4 4 3 10.081571578979492 1.1551955938339233 5.8401981592178345
claim 4 5 5 10.651803016662598 9.073941230773926 0
that 4 6 4 3.5722455978393555 3.553203582763672 5.520737648010254
he 4 7 2 8.74908447265625 3.5195090770721436 0.03369450569152832
likes 4 8 5 5.299221515655518 6.227263450622559 0
? 4 9 1 0.6425046920776367 1.7574023008346558 4.469861149787903
what 5 0 4 1.4693481922149658 3.7944233417510986 0
did 5 1 3 1.422589659690857 4.540174961090088 0
she 5 2 3 0.4126668870449066 1.64043390750885 2.899741053581238
hear 5 3 4 6.662721157073975 2.9212801456451416 0
a 5 4 1 4.858805179595947 2.5139870643615723 0.40729308128356934
rumour 5 5 6 12.495622634887695 4.521359443664551 0
that 5 6 4 3.5230462551116943 2.84968638420105 1.671673059463501
<unk> 5 7 5 2.386733293533325 3.482640027999878 0
sleeps 5 8 6 13.214908599853516 6.694864273071289 0
with 5 9 4 7.892299652099609 1.1637674570083618 5.531096816062927
