word sentid sentpos wlen surp entropy entred
who 0 0 3 1.8212798833847046 3.9928994178771973 0
do 0 1 2 10.978019714355469 0.7504290342330933 3.242470383644104
n't 0 2 3 27.670740127563477 3.8391735553741455 0
we 0 3 2 6.475343704223633 7.615530014038086 0
believe 0 4 7 8.93951416015625 7.203615188598633 0.4119148254394531
the 0 5 3 9.239583969116211 3.164989471435547 4.038625717163086
rumour 0 6 6 15.357291221618652 7.697365760803223 0
that 0 7 4 3.0060923099517822 5.332091808319092 2.365273952484131
<unk> 0 8 5 2.842918872833252 5.071081161499023 0.26101064682006836
is 0 9 2 1.5876426696777344 5.753437519073486 0
dating 0 10 6 12.911330223083496 6.215038776397705 0
? 0 11 1 1.7557812929153442 3.8907454013824463 2.324293375015259
how 1 0 3 8.644973754882812 3.9928994178771973 0
does 1 1 4 7.114145755767822 4.853378772735596 0
will 1 2 4 18.40281867980957 3.858849048614502 0.9945297241210938
think 1 3 5 10.182132720947266 6.934481620788574 0
that 1 4 4 2.1515791416168213 4.4684953689575195 2.4659862518310547
she 1 5 3 5.0802435874938965 5.760898590087891 0
is 1 6 2 0.6558654308319092 3.314445734024048 2.4464528560638428
dating 1 7 6 13.687023162841797 5.102786540985107 0
someone 1 8 7 12.112997055053711 3.3146064281463623 1.7881801128387451
who 1 9 3 3.155151128768921 4.65025520324707 0
solves 1 10 6 17.564298629760742 2.3416121006011963 2.308643102645874
? 1 11 1 0.09597127884626389 0.8120226263999939 1.5295894742012024
what 2 0 4 1.7228440046310425 3.9928994178771973 0
does 2 1 4 5.2768940925598145 3.9278664588928223 0.065032958984375
she 2 2 3 1.4639092683792114 3.0834250450134277 0.8444414138793945
believe 2 3 7 12.122981071472168 0.9788793325424194 2.1045457124710083
the 2 4 3 9.903868675231934 2.3810229301452637 0
rumour 2 5 6 15.511191368103027 5.841551780700684 0
that 2 6 4 2.3827879428863525 4.798774242401123 1.0427775382995605
she 2 7 3 4.534667015075684 5.387569427490234 0
might 2 8 5 9.614224433898926 3.0361762046813965 2.351393222808838
have 2 9 4 6.058108329772949 6.439390659332275 0
this 2 10 4 13.01304817199707 6.7446980476379395 0
year 2 11 4 9.787452697753906 6.552310466766357 0.19238758087158203
? 2 12 1 1.8640751838684082 4.848284721374512 1.7040257453918457
how 3 0 3 8.644973754882812 3.9928994178771973 0
many 3 1 4 7.212105751037598 4.853378772735596 0
cities 3 2 6 11.427703857421875 9.137234687805176 0
does 3 3 4 10.959868431091309 7.20927619934082 1.9279584884643555
he 3 4 2 4.924700736999512 5.220854759216309 1.9884214401245117
know 3 5 4 6.7227654457092285 7.427074909210205 0
brothers 3 6 8 20.289335250854492 3.1351773738861084 4.291897535324097
who 3 7 3 3.1234493255615234 4.871114730834961 0
live 3 8 4 7.809089660644531 6.987207889556885 0
in 3 9 2 4.922588348388672 3.7380599975585938 3.249147891998291
? 3 10 1 4.469496726989746 5.743255138397217 0
who 4 0 3 1.8212798833847046 3.9928994178771973 0
do 4 1 2 10.978019714355469 0.7504290342330933 3.242470383644104
they 4 2 4 4.913151741027832 3.8391735553741455 0
believe 4 3 7 9.181899070739746 6.7015380859375 0
the 4 4 3 9.165392875671387 2.889843463897705 3.811694622039795
claim 4 5 5 17.268747329711914 7.161738872528076 0
that 4 6 4 3.442139148712158 1.6016706228256226 5.560068249702454
he 4 7 2 5.27677583694458 5.815829277038574 0
likes 4 8 5 6.880143165588379 2.742398262023926 3.0734310150146484
? 4 9 1 3.186490058898926 2.5706379413604736 0.17176032066345215
what 5 0 4 1.7228440046310425 3.9928994178771973 0
did 5 1 3 1.527768611907959 3.9278664588928223 0.065032958984375
she 5 2 3 1.19868004322052 2.970618963241577 0.9572474956512451
hear 5 3 4 8.449045181274414 0.7955165505409241 2.175102412700653
a 5 4 1 4.056515693664551 4.548348903656006 0
rumour 5 5 6 10.37685489654541 5.174736976623535 0
that 5 6 4 2.170325756072998 2.0949833393096924 3.0797536373138428
<unk> 5 7 5 2.6203012466430664 5.0809454917907715 0
sleeps 5 8 6 12.634814262390137 6.418316841125488 0
with 5 9 4 5.307227611541748 1.4887148141860962 4.929602026939392
? 5 10 1 1.4258302450180054 4.8119378089904785 0
how 6 0 3 8.644973754882812 3.9928994178771973 0
did 6 1 3 4.227515697479248 4.853378772735596 0
my 6 2 2 11.920649528503418 3.686866044998169 1.1665127277374268
sister 6 3 6 9.556341171264648 7.621364593505859 0
say 6 4 3 7.9380340576171875 7.94157600402832 0
that 6 5 4 2.3140313625335693 4.974069595336914 2.9675064086914062
<unk> 6 6 5 2.9728760719299316 5.605958461761475 0
<unk> 6 7 5 4.500978469848633 6.118614673614502 0
thinks 6 8 6 8.805959701538086 5.610594749450684 0.5080199241638184
that 6 9 4 1.9774112701416016 4.552156925201416 1.0584378242492676
<unk> 6 10 5 2.9890847206115723 5.052382946014404 0
solves 6 11 6 15.932499885559082 6.188605785369873 0
? 6 12 1 0.19838973879814148 1.4640051126480103 4.724600672721863
what 7 0 4 1.7228440046310425 3.9928994178771973 0
does 7 1 4 5.2768940925598145 3.9278664588928223 0.065032958984375
she 7 2 3 1.4639092683792114 3.0834250450134277 0.8444414138793945
like 7 3 4 6.754214286804199 0.9788793325424194 2.1045457124710083
the 7 4 3 9.150787353515625 3.8772878646850586 0
possibility 7 5 11 13.753373146057129 9.413980484008789 0
that 7 6 4 2.024916410446167 2.497586488723755 6.916393995285034
<unk> 7 7 5 2.1717476844787598 5.660258769989014 0
dances 7 8 6 17.16669464111328 7.077456951141357 0
? 7 9 1 0.7565807700157166 3.3615739345550537 3.7158830165863037
what 8 0 4 1.7228440046310425 3.9928994178771973 0
do 8 1 2 3.873673915863037 3.9278664588928223 0.065032958984375
they 8 2 4 4.252137660980225 2.8645896911621094 1.063276767730713
not 8 3 3 6.346184730529785 4.641508102416992 0
believe 8 4 7 10.03343677520752 4.307900428771973 0.33360767364501953
the 8 5 3 9.517455101013184 2.7730181217193604 1.5348823070526123
rumour 8 6 6 15.09362506866455 7.313721179962158 0
that 8 7 4 2.681030035018921 5.108871936798096 2.2048492431640625
he 8 8 2 5.740311145782471 5.241460800170898 0
will 8 9 4 10.81285285949707 3.0664560794830322 2.175004720687866
buy 8 10 3 8.367592811584473 6.510278701782227 0
? 8 11 1 1.3652297258377075 4.1310811042785645 2.379197597503662
where 9 0 5 7.365363597869873 3.9928994178771973 0
do 9 1 2 7.313775539398193 5.93120002746582 0
they 9 2 4 4.349506855010986 3.58280086517334 2.3483991622924805
have 9 3 4 6.596719741821289 6.738248348236084 0
a 9 4 1 5.393282413482666 6.14939022064209 0.5888581275939941
window 9 5 6 13.098904609680176 7.823659420013428 0
that 9 6 4 8.256104469299316 1.4572027921676636 6.366456627845764
opens 9 7 5 12.789772033691406 6.219024658203125 0
? 9 8 1 0.7441200017929077 3.4778685569763184 2.7411561012268066
what 10 0 4 1.7228440046310425 3.9928994178771973 0
did 10 1 3 1.527768611907959 3.9278664588928223 0.065032958984375
<unk> 10 2 5 4.736041069030762 2.970618963241577 0.9572474956512451
meet 10 3 4 10.079352378845215 3.9985671043395996 0
someone 10 4 7 10.626522064208984 4.651632785797119 0
who 10 5 3 2.0228874683380127 4.9154205322265625 0
likes 10 6 5 7.814436435699463 2.7200849056243896 2.195335626602173
? 10 7 1 1.7642269134521484 3.0043904781341553 0
what 11 0 4 1.7228440046310425 3.9928994178771973 0
does 11 1 4 5.2768940925598145 3.9278664588928223 0.065032958984375
<unk> 11 2 5 5.200679779052734 3.0834250450134277 0.8444414138793945
believe 11 3 7 6.5398478507995605 4.054940223693848 0
the 11 4 3 10.648969650268555 1.8503777980804443 2.2045624256134033
claim 11 5 5 16.374238967895508 6.4002251625061035 0
