word sentid sentpos wlen surp entropy entred
where 0 0 5 5.109684467315674 2.1120078563690186 0
did 0 1 3 2.283057928085327 3.041790246963501 0
<unk> 0 2 5 1.0333876609802246 3.424335241317749 0
ask 0 3 3 9.911825180053711 7.467829704284668 0
who 0 4 3 7.319288730621338 3.0376360416412354 4.430193662643433
<unk> 0 5 5 1.0381797552108765 5.383762359619141 0
took 0 6 4 8.259326934814453 7.4463067054748535 0
? 0 7 1 1.0785529613494873 4.183405876159668 3.2629008293151855
what 1 0 4 0.39613816142082214 2.1120078563690186 0
did 1 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
she 1 2 3 8.221813201904297 4.082444190979004 0
say 1 3 3 10.725055694580078 5.053103923797607 0
that 1 4 4 0.8619097471237183 2.621600389480591 2.4315035343170166
<unk> 1 5 5 0.317314475774765 2.1310007572174072 0.4905996322631836
asked 1 6 5 4.046833515167236 7.520819187164307 0
who 1 7 3 6.17523193359375 3.065797805786133 4.455021381378174
will 1 8 4 5.2525315284729 5.554374694824219 0
read 1 9 4 5.975277423858643 6.928673267364502 0
? 1 10 1 0.002722151344642043 0.02745131030678749 6.9012219570577145
where 2 0 5 5.109684467315674 2.1120078563690186 0
did 2 1 3 2.283057928085327 3.041790246963501 0
<unk> 2 2 5 1.0333876609802246 3.424335241317749 0
ask 2 3 3 9.911825180053711 7.467829704284668 0
how 2 4 3 2.9410207271575928 3.0376360416412354 4.430193662643433
<unk> 2 5 5 0.14712634682655334 1.0573234558105469 1.9803125858306885
went 2 6 4 6.5777435302734375 7.574750900268555 0
? 2 7 1 2.2248685359954834 2.742655038833618 4.8320958614349365
what 3 0 4 0.39613816142082214 2.1120078563690186 0
did 3 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
will 3 2 4 8.495089530944824 4.082444190979004 0
ask 3 3 3 7.093882083892822 4.892117500305176 0
why 3 4 3 1.5598249435424805 2.562316656112671 2.329800844192505
<unk> 3 5 5 0.09170428663492203 0.6973636150360107 1.8649530410766602
wears 3 6 5 15.566618919372559 7.487252235412598 0
? 3 7 1 0.010821735486388206 0.10389269888401031 7.383359536528587
what 4 0 4 0.39613816142082214 2.1120078563690186 0
did 4 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
she 4 2 3 8.221813201904297 4.082444190979004 0
say 4 3 3 10.725055694580078 5.053103923797607 0
that 4 4 4 0.8619097471237183 2.621600389480591 2.4315035343170166
will 4 5 4 10.626917839050293 2.1310007572174072 0.4905996322631836
thinks 4 6 6 10.384570121765137 6.574426174163818 0
he 4 7 2 7.334029674530029 3.9368789196014404 2.637547254562378
knows 4 8 5 7.584200859069824 5.55184268951416 0
where 4 9 5 5.917853355407715 2.6715807914733887 2.8802618980407715
<unk> 4 10 5 0.19660572707653046 1.3092677593231201 1.3623130321502686
announced 4 11 9 14.590704917907715 5.360480308532715 0
? 4 12 1 1.2407090663909912 2.8037455081939697 2.556734800338745
what 5 0 4 0.39613816142082214 2.1120078563690186 0
did 5 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
they 5 2 4 3.261241912841797 4.082444190979004 0
not 5 3 3 0.7429053783416748 2.9777333736419678 1.1047108173370361
like 5 4 4 0.11322948336601257 0.9899966716766357 1.987736701965332
that 5 5 4 0.6445826888084412 2.715682029724121 0
<unk> 5 6 5 0.9580703973770142 4.711302280426025 0
wonders 5 7 7 15.335702896118164 7.3756890296936035 0
how 5 8 3 2.229748487472534 2.4140355587005615 4.961653470993042
<unk> 5 9 5 0.1292918175458908 0.9035210609436035 1.510514497756958
was 5 10 3 5.580217361450195 6.0733323097229 0
? 5 11 1 7.769631385803223 8.359660148620605 0
what 6 0 4 0.39613816142082214 2.1120078563690186 0
did 6 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
<unk> 6 2 5 1.4193792343139648 4.082444190979004 0
ask 6 3 3 10.315339088439941 7.103846073150635 0
when 6 4 4 6.634839057922363 3.249370813369751 3.854475259780884
<unk> 6 5 5 0.15728339552879333 1.2962690591812134 1.9531017541885376
ate 6 6 3 13.037336349487305 6.819421768188477 0
? 6 7 1 0.014350171200931072 0.1360655277967453 6.683356240391731
what 7 0 4 0.39613816142082214 2.1120078563690186 0
does 7 1 4 0.24226990342140198 1.0422722101211548 1.0697356462478638
<unk> 7 2 5 0.23396849632263184 1.5533570051193237 0
wonder 7 3 6 1.8941479921340942 4.295615196228027 0
where 7 4 5 5.387572288513184 2.369980812072754 1.9256343841552734
<unk> 7 5 5 0.07038369029760361 0.6201587319374084 1.7498220801353455
buys 7 6 4 13.428153991699219 6.653506755828857 0
? 7 7 1 0.0017557339742779732 0.019693879410624504 6.633812876418233
what 8 0 4 0.39613816142082214 2.1120078563690186 0
does 8 1 4 0.24226990342140198 1.0422722101211548 1.0697356462478638
will 8 2 4 9.251254081726074 1.5533570051193237 0
wonder 8 3 6 7.787484645843506 3.398005962371826 0
how 8 4 3 1.3141037225723267 2.3761484622955322 1.021857500076294
he 8 5 2 10.638370513916016 0.8356047868728638 1.5405436754226685
will 8 6 4 5.008844375610352 6.057775020599365 0
read 8 7 4 7.870736598968506 7.029245853424072 0
? 8 8 1 0.006171278189867735 0.05592813715338707 6.973317716270685
how 9 0 3 6.403504371643066 2.1120078563690186 0
did 9 1 3 3.5595083236694336 2.607797145843506 0
he 9 2 2 3.9194154739379883 3.7329044342041016 0
hear 9 3 4 6.418905258178711 3.480790138244629 0.25211429595947266
that 9 4 4 0.19769544899463654 0.7889266014099121 2.691863536834717
<unk> 9 5 5 0.2703278362751007 1.792576789855957 0
thinks 9 6 6 11.44766902923584 7.531983852386475 0
he 9 7 2 6.174468040466309 2.6467716693878174 4.885212182998657
knows 9 8 5 7.4131178855896 6.0493059158325195 0
where 9 9 5 6.077637195587158 2.6076512336730957 3.441654682159424
<unk> 9 10 5 0.1964007169008255 1.3200074434280396 1.2876437902450562
gets 9 11 4 8.092514038085938 5.300524711608887 0
? 9 12 1 1.5249015092849731 4.240671634674072 1.0598530769348145
whom 10 0 4 3.8948612213134766 2.1120078563690186 0
does 10 1 4 3.244504451751709 1.5301092863082886 0.58189857006073
<unk> 10 2 5 1.6809847354888916 3.4542126655578613 0
wonder 10 3 6 2.286646604537964 5.733892440795898 0
how 10 4 3 4.412387371063232 3.4146034717559814 2.319288969039917
<unk> 10 5 5 0.23691797256469727 1.6248347759246826 1.7897686958312988
