word sentid sentpos wlen surp entropy entred
what 0 0 4 1.316446304321289 4.756612777709961 0
did 0 1 3 1.5355015993118286 5.175479888916016 0
i 0 2 1 10.49773120880127 1.274888515472412 3.9005913734436035
buy 0 3 3 11.983036994934082 3.4382951259613037 0
a 0 4 1 4.886270046234131 4.521640777587891 0
guitar 0 5 6 12.610706329345703 8.748846054077148 0
for 0 6 3 8.266185760498047 4.351710319519043 4.3971357345581055
myself 0 7 6 12.758315086364746 6.004804611206055 0
because 0 8 7 10.518327713012695 3.280808448791504 2.723996162414551
they 0 9 4 5.219791889190674 4.916416645050049 0
heard 0 10 5 8.404902458190918 7.123721599578857 0
? 0 11 1 6.148560523986816 5.338444232940674 1.7852773666381836
what 1 0 4 1.316446304321289 4.756612777709961 0
will 1 1 4 10.137337684631348 5.175479888916016 0
they 1 2 4 5.376684188842773 5.131223201751709 0.04425668716430664
fail 1 3 4 12.67781925201416 6.232405662536621 0
the 1 4 3 10.911539077758789 0.6184694170951843 5.613936245441437
test 1 5 4 11.425511360168457 9.907709121704102 0
if 1 6 2 8.804008483886719 4.907585620880127 5.000123500823975
they 1 7 4 4.592238903045654 5.416293621063232 0
do 1 8 2 4.952358245849609 7.286321640014648 0
not 1 9 3 6.219391822814941 5.659955024719238 1.6263666152954102
? 1 10 1 6.628244876861572 7.390717029571533 0
whom 2 0 4 4.582894802093506 4.756612777709961 0
will 2 1 4 8.945326805114746 7.4740495681762695 0
he 2 2 2 7.3337531089782715 7.770276069641113 0
hire 2 3 4 15.976801872253418 6.565783500671387 1.2044925689697266
someone 2 4 7 10.417123794555664 3.015615701675415 3.5501677989959717
if 2 5 2 8.210476875305176 3.8716325759887695 0
i 2 6 1 6.623991966247559 4.664311408996582 0
need 2 7 4 9.776863098144531 6.942601203918457 0
? 2 8 1 6.4535322189331055 1.1682093143463135 5.7743918895721436
what 3 0 4 1.316446304321289 4.756612777709961 0
has 3 1 3 6.6331281661987305 5.175479888916016 0
he 3 2 2 6.95200777053833 6.111215114593506 0
been 3 3 4 4.298885345458984 5.460702419281006 0.6505126953125
circulating 3 4 11 14.740594863891602 7.2964253425598145 0
who 3 5 3 14.076607704162598 1.1341789960861206 6.162246346473694
he 3 6 2 8.261785507202148 7.06708288192749 0
thought 3 7 7 5.941799640655518 6.262755870819092 0.8043270111083984
was 3 8 3 7.14024019241333 3.011225700378418 3.251530170440674
? 3 9 1 3.9457271099090576 5.276784896850586 0
what 4 0 4 1.316446304321289 4.756612777709961 0
will 4 1 4 10.137337684631348 5.175479888916016 0
he 4 2 2 5.044614791870117 5.131223201751709 0.04425668716430664
try 4 3 3 11.002260208129883 5.47699499130249 0
to 4 4 2 0.005566129926592112 0.05853036046028137 5.418464630842209
call 4 5 4 3.143272876739502 7.292541027069092 0
you 4 6 3 8.917558670043945 1.9343016147613525 5.358239412307739
if 4 7 2 10.629308700561523 3.532534599304199 0
she 4 8 3 3.718817949295044 3.548434257507324 0
buys 4 9 4 9.416695594787598 6.202905178070068 0
? 4 10 1 3.3415122032165527 4.200865268707275 2.002039909362793
what 5 0 4 1.316446304321289 4.756612777709961 0
did 5 1 3 1.5355015993118286 5.175479888916016 0
she 5 2 3 0.227274551987648 1.274888515472412 3.9005913734436035
say 5 3 3 0.22213318943977356 1.383832573890686 0
she 5 4 3 5.478313446044922 1.86813223361969 0
would 5 5 5 5.831788539886475 6.911704063415527 0
like 5 6 4 3.769704818725586 5.915355682373047 0.9963483810424805
the 5 7 3 13.362617492675781 0.26302599906921387 5.652329683303833
man 5 8 3 8.135181427001953 9.847258567810059 0
if 5 9 2 9.284278869628906 4.659358501434326 5.187900066375732
he 5 10 2 6.112274169921875 4.327485084533691 0.33187341690063477
read 5 11 4 6.215258598327637 6.658899307250977 0
? 5 12 1 1.3206232786178589 3.0189552307128906 3.639944076538086
where 6 0 5 8.107909202575684 4.756612777709961 0
did 6 1 3 7.846574783325195 6.208199501037598 0
i 6 2 1 7.933615207672119 3.6784870624542236 2.529712438583374
buy 6 3 3 10.019183158874512 5.183182716369629 0
a 6 4 1 3.874821186065674 4.948902606964111 0.23428010940551758
coffee 6 5 6 11.824213027954102 8.577585220336914 0
for 6 6 3 9.735123634338379 8.502714157104492 0.07487106323242188
myself 6 7 6 10.88785171508789 6.597855567932129 1.9048585891723633
because 6 8 7 10.404272079467773 3.3745458126068115 3.2233097553253174
i 6 9 1 5.914320945739746 4.618112564086914 0
went 6 10 4 8.699775695800781 7.263375759124756 0
? 6 11 1 8.173029899597168 1.0010069608688354 6.26236879825592
what 7 0 4 1.316446304321289 4.756612777709961 0
will 7 1 4 10.137337684631348 5.175479888916016 0
he 7 2 2 5.044614791870117 5.131223201751709 0.04425668716430664
circulate 7 3 9 21.022897720336914 5.47699499130249 0
a 7 4 1 6.14105749130249 1.8467024564743042 3.630292534828186
call 7 5 4 4.457456588745117 6.537308216094971 0
if 7 6 2 15.679458618164062 0.09929739683866501 6.438010819256306
she 7 7 3 3.5755274295806885 4.703648567199707 0
buys 7 8 4 9.163528442382812 6.833759307861328 0
? 7 9 1 2.8972995281219482 4.485397815704346 2.3483614921569824
whom 8 0 4 4.582894802093506 4.756612777709961 0
did 8 1 3 3.243610382080078 7.4740495681762695 0
she 8 2 3 0.6489460468292236 2.9970080852508545 4.477041482925415
say 8 3 3 0.6680732369422913 2.7065093517303467 0.2904987335205078
that 8 4 4 1.0546773672103882 2.45068097114563 0.2558283805847168
she 8 5 3 3.3471221923828125 4.796270847320557 0
gave 8 6 4 9.120660781860352 5.871872425079346 0
a 8 7 1 5.451016426086426 3.330477237701416 2.5413951873779297
guitar 8 8 6 13.868311882019043 8.388350486755371 0
to 8 9 2 0.4199569523334503 2.7797579765319824 5.608592510223389
me 8 10 2 4.838878154754639 7.347398281097412 0
when 8 11 4 7.963758945465088 3.2628111839294434 4.084587097167969
i 8 12 1 5.160740375518799 4.687903881072998 0
hired 8 13 5 13.367718696594238 6.427163600921631 0
? 8 14 1 1.411642074584961 3.249028444290161 3.1781351566314697
what 9 0 4 1.316446304321289 4.756612777709961 0
did 9 1 3 1.5355015993118286 5.175479888916016 0
he 9 2 2 5.125772476196289 1.274888515472412 3.9005913734436035
get 9 3 3 11.552348136901855 1.5276166200637817 0
a 9 4 1 5.954848289489746 3.511479139328003 0
new 9 5 3 8.678465843200684 8.903412818908691 0
phone 9 6 5 8.700719833374023 9.499360084533691 0
for 9 7 3 10.702707290649414 2.0254034996032715 7.47395658493042
<unk> 9 8 5 4.559008598327637 5.63855504989624 0
because 9 9 7 9.620840072631836 4.751012325286865 0.887542724609375
she 9 10 3 3.717677354812622 5.100059986114502 0
saw 9 11 3 6.806245803833008 6.237002849578857 0
? 9 12 1 3.457206964492798 5.015543460845947 1.2214593887329102
what 10 0 4 1.316446304321289 4.756612777709961 0
did 10 1 3 1.5355015993118286 5.175479888916016 0
you 10 2 3 5.000516891479492 1.274888515472412 3.9005913734436035
need 10 3 4 10.591425895690918 4.036104679107666 0
to 10 4 2 0.10512762516736984 0.8457469940185547 3.1903576850891113
do 10 5 2 4.252467155456543 5.846338272094727 0
that 10 6 4 4.945901393890381 3.849548578262329 1.9967896938323975
if 10 7 2 8.071702003479004 5.251167297363281 0
you 10 8 3 1.8099777698516846 4.40646505355835 0.8447022438049316
were 10 9 4 6.0473198890686035 6.933112621307373 0
to 10 10 2 2.6679422855377197 7.141473770141602 0
go 10 11 2 6.147209167480469 6.622328281402588 0.5191454887390137
and 10 12 3 9.925538063049316 1.5713897943496704 5.0509384870529175
buy 10 13 3 7.456137180328369 7.627230167388916 0
? 10 14 1 1.5924725532531738 3.67080020904541 3.956429958343506
what 11 0 4 1.316446304321289 4.756612777709961 0
did 11 1 3 1.5355015993118286 5.175479888916016 0
she 11 2 3 0.227274551987648 1.274888515472412 3.9005913734436035
eat 11 3 3 14.073843955993652 1.383832573890686 0
the 11 4 3 7.528384685516357 4.9519147872924805 0
<unk> 11 5 5 4.13154411315918 10.14856243133545 0
because 11 6 7 10.290451049804688 6.610787868499756 3.5377745628356934
they 11 7 4 4.752487659454346 5.048791885375977 1.5619959831237793
<unk> 11 8 5 4.974782466888428 7.2937774658203125 0
? 11 9 1 5.5663933753967285 6.2741851806640625 1.01959228515625
where 12 0 5 8.107909202575684 4.756612777709961 0
did 12 1 3 7.846574783325195 6.208199501037598 0
she 12 2 3 1.0394378900527954 3.6784870624542236 2.529712438583374
say 12 3 3 0.9596164226531982 3.727121353149414 0
that 12 4 4 0.8806312084197998 2.383157968521118 1.343963384628296
he 12 5 2 7.102916717529297 4.708288192749023 0
will 12 6 4 8.283403396606445 5.896100044250488 0
hear 12 7 4 6.252908229827881 7.411988735198975 0
