word sentid sentpos wlen surp entropy entred
what 0 0 4 6.637751579284668 5.446235656738281 0
did 0 1 3 7.583070755004883 6.355987548828125 0
i 0 2 1 9.224526405334473 7.393533229827881 0
buy 0 3 3 11.225491523742676 6.977632522583008 0.41590070724487305
a 0 4 1 4.905141353607178 6.463388442993164 0.5142440795898438
guitar 0 5 6 13.397597312927246 10.02767276763916 0
for 0 6 3 7.194039821624756 6.684724807739258 3.3429479598999023
myself 0 7 6 10.858439445495605 7.8187432289123535 0
because 0 8 7 9.33763599395752 6.482463359832764 1.3362798690795898
they 0 9 4 4.162336826324463 6.312729835510254 0.16973352432250977
heard 0 10 5 11.298311233520508 6.475254058837891 0
? 0 11 1 5.74212121963501 6.28354024887085 0.19171380996704102
what 1 0 4 6.637751579284668 5.446235656738281 0
will 1 1 4 10.656975746154785 6.355987548828125 0
they 1 2 4 6.923433303833008 6.935459136962891 0
fail 1 3 4 12.817503929138184 6.796086311340332 0.1393728256225586
the 1 4 3 7.5805134773254395 5.669475555419922 1.1266107559204102
test 1 5 4 10.546445846557617 10.148204803466797 0
if 1 6 2 8.94774055480957 7.908174514770508 2.240030288696289
they 1 7 4 3.5143117904663086 6.792270183563232 1.1159043312072754
do 1 8 2 6.8281989097595215 6.485713958740234 0.30655622482299805
not 1 9 3 5.709445476531982 6.280542373657227 0.2051715850830078
? 1 10 1 3.8846495151519775 8.503533363342285 0
whom 2 0 4 7.610662937164307 5.446235656738281 0
will 2 1 4 10.180025100708008 5.821544647216797 0
he 2 2 2 8.628913879394531 7.9757399559021 0
hire 2 3 4 12.255470275878906 8.100004196166992 0
someone 2 4 7 9.44887924194336 7.076435089111328 1.023569107055664
if 2 5 2 9.92830753326416 4.821709632873535 2.254725456237793
i 2 6 1 8.85783863067627 6.902590274810791 0
need 2 7 4 8.277141571044922 7.122010707855225 0
? 2 8 1 7.035683631896973 4.3249335289001465 2.797077178955078
what 3 0 4 6.637751579284668 5.446235656738281 0
has 3 1 3 10.712852478027344 6.355987548828125 0
he 3 2 2 6.15510892868042 7.642113208770752 0
been 3 3 4 5.8391571044921875 7.8916778564453125 0
circulating 3 4 11 17.809738159179688 8.810330390930176 0
who 3 5 3 4.855239391326904 6.821363925933838 1.988966464996338
he 3 6 2 6.3041863441467285 7.007519245147705 0
thought 3 7 7 7.211716175079346 6.317855358123779 0.6896638870239258
was 3 8 3 7.332651615142822 4.8457207679748535 1.4721345901489258
? 3 9 1 5.0757737159729 7.191023826599121 0
what 4 0 4 6.637751579284668 5.446235656738281 0
will 4 1 4 10.656975746154785 6.355987548828125 0
he 4 2 2 6.9049458503723145 6.935459136962891 0
try 4 3 3 10.374353408813477 7.747147083282471 0
to 4 4 2 0.6416128873825073 3.6796696186065674 4.067477464675903
call 4 5 4 4.629360198974609 8.726750373840332 0
you 4 6 3 7.657593727111816 5.459068298339844 3.2676820755004883
if 4 7 2 7.978164196014404 6.275539398193359 0
she 4 8 3 4.667142868041992 6.759955406188965 0
buys 4 9 4 18.502994537353516 6.496931552886963 0.26302385330200195
? 4 10 1 6.740036487579346 6.328499794006348 0.16843175888061523
what 5 0 4 6.637751579284668 5.446235656738281 0
did 5 1 3 7.583070755004883 6.355987548828125 0
she 5 2 3 7.291717052459717 7.393533229827881 0
say 5 3 3 5.372924327850342 8.544690132141113 0
she 5 4 3 2.524507761001587 5.672635078430176 2.8720550537109375
would 5 5 5 7.5989990234375 6.778933525085449 0
like 5 6 4 4.7360053062438965 8.841818809509277 0
the 5 7 3 8.081345558166504 4.6041669845581055 4.237651824951172
man 5 8 3 8.43973445892334 9.857051849365234 0
if 5 9 2 9.722699165344238 3.922584295272827 5.934467554092407
he 5 10 2 4.4576334953308105 6.37244987487793 0
read 5 11 4 10.984877586364746 6.522489070892334 0
? 5 12 1 6.445074081420898 5.427525997161865 1.0949630737304688
where 6 0 5 10.061327934265137 5.446235656738281 0
did 6 1 3 8.036116600036621 6.275635242462158 0
i 6 2 1 9.225985527038574 7.4450483322143555 0
buy 6 3 3 11.256569862365723 7.125240325927734 0.3198080062866211
