word sentid sentpos wlen surp entropy entred
who 0 0 3 7.184686660766602 6.331422805786133 0
do 0 1 2 8.54924488067627 3.834284782409668 2.497138023376465
n't 0 2 3 26.1583309173584 2.5745370388031006 1.2597477436065674
we 0 3 2 9.788839340209961 5.167994976043701 0
believe 0 4 7 9.151248931884766 5.343912124633789 0
the 0 5 3 7.248170375823975 5.441294193267822 0
rumour 0 6 6 13.71238899230957 7.929588794708252 0
that 0 7 4 2.577275037765503 4.646348476409912 3.28324031829834
<unk> 0 8 5 4.0151166915893555 3.4772677421569824 1.1690807342529297
is 0 9 2 6.913234233856201 3.5171384811401367 0
dating 0 10 6 15.666433334350586 4.438072204589844 0
? 0 11 1 2.0022706985473633 4.516722679138184 0
how 1 0 3 7.501617908477783 6.331422805786133 0
does 1 1 4 4.062585830688477 6.630218505859375 0
will 1 2 4 10.466747283935547 3.1534762382507324 3.4767422676086426
think 1 3 5 7.059849739074707 5.15523099899292 0
that 1 4 4 5.315442085266113 3.4544315338134766 1.7007994651794434
she 1 5 3 11.071605682373047 4.168914318084717 0
is 1 6 2 10.262550354003906 1.0401959419250488 3.128718376159668
dating 1 7 6 15.186712265014648 3.4737770557403564 0
someone 1 8 7 11.730779647827148 4.623833179473877 0
who 1 9 3 3.310323476791382 5.294792175292969 0
solves 1 10 6 18.8151798248291 1.844897985458374 3.4498941898345947
? 1 11 1 2.6452221870422363 5.947581768035889 0
what 2 0 4 2.5814480781555176 6.331422805786133 0
does 2 1 4 5.906548976898193 5.697139739990234 0.6342830657958984
she 2 2 3 11.150738716125488 4.0210113525390625 1.6761283874511719
believe 2 3 7 11.205442428588867 1.5536431074142456 2.467368245124817
the 2 4 3 8.364158630371094 4.625673770904541 0
rumour 2 5 6 14.41431713104248 6.834069728851318 0
that 2 6 4 3.8409085273742676 3.3533191680908203 3.480750560760498
she 2 7 3 11.610906600952148 3.2725157737731934 0.08080339431762695
might 2 8 5 11.726608276367188 1.5309494733810425 1.7415663003921509
have 2 9 4 5.497297286987305 5.343203544616699 0
this 2 10 4 9.32214641571045 5.253488063812256 0.08971548080444336
year 2 11 4 10.571310997009277 6.2907209396362305 0
? 2 12 1 1.0191516876220703 3.6727356910705566 2.617985248565674
how 3 0 3 7.501617908477783 6.331422805786133 0
many 3 1 4 8.018219947814941 6.630218505859375 0
cities 3 2 6 12.233339309692383 6.690954208374023 0
does 3 3 4 8.4807710647583 7.301143646240234 0
he 3 4 2 9.645418167114258 3.15869402885437 4.142449617385864
know 3 5 4 9.40334415435791 3.034883975982666 0.1238100528717041
brothers 3 6 8 15.6112699508667 5.6941328048706055 0
who 3 7 3 5.526383876800537 5.442948341369629 0.25118446350097656
live 3 8 4 14.63885498046875 2.7859575748443604 2.6569907665252686
in 3 9 2 5.96972131729126 5.847578048706055 0
? 3 10 1 5.170118808746338 4.420315742492676 1.427262306213379
who 4 0 3 7.184686660766602 6.331422805786133 0
do 4 1 2 8.54924488067627 3.834284782409668 2.497138023376465
they 4 2 4 7.7732954025268555 2.5745370388031006 1.2597477436065674
believe 4 3 7 9.301946640014648 5.720916271209717 0
the 4 4 3 7.599087715148926 5.3119916915893555 0.40892457962036133
claim 4 5 5 12.193288803100586 6.2860517501831055 0
that 4 6 4 3.3247053623199463 4.375377178192139 1.9106745719909668
he 4 7 2 7.8159260749816895 4.231449604034424 0.14392757415771484
likes 4 8 5 18.383039474487305 1.08571457862854 3.145735025405884
? 4 9 1 3.3494906425476074 6.104790210723877 0
what 5 0 4 2.5814480781555176 6.331422805786133 0
did 5 1 3 6.373696327209473 5.697139739990234 0.6342830657958984
she 5 2 3 11.187209129333496 3.517247438430786 2.1798923015594482
hear 5 3 4 9.062135696411133 1.7829923629760742 1.734255075454712
a 5 4 1 7.478506565093994 4.882504463195801 0
rumour 5 5 6 12.419696807861328 6.2409348487854 0
that 5 6 4 2.4091103076934814 4.119923114776611 2.121011734008789
<unk> 5 7 5 4.319435119628906 2.821216344833374 1.2987067699432373
sleeps 5 8 6 20.594335556030273 3.209353446960449 0
with 5 9 4 8.167084693908691 3.263864755630493 0
? 5 10 1 3.461385488510132 2.666962146759033 0.59690260887146
how 6 0 3 7.501617908477783 6.331422805786133 0
did 6 1 3 5.128538608551025 6.630218505859375 0
my 6 2 2 9.25097370147705 3.263000249862671 3.367218255996704
sister 6 3 6 9.752553939819336 5.989628314971924 0
say 6 4 3 9.782090187072754 5.007415771484375 0.9822125434875488
that 6 5 4 4.248307228088379 4.382203102111816 0.6252126693725586
<unk> 6 6 5 4.690662384033203 2.7273287773132324 1.654874324798584
<unk> 6 7 5 5.663515090942383 3.691876173019409 0
thinks 6 8 6 13.896320343017578 3.8609890937805176 0
that 6 9 4 3.361447811126709 4.670849323272705 0
<unk> 6 10 5 5.471141338348389 2.660645008087158 2.010204315185547
solves 6 11 6 21.361875534057617 3.524763345718384 0
? 6 12 1 1.6969727277755737 5.194319725036621 0
what 7 0 4 2.5814480781555176 6.331422805786133 0
does 7 1 4 5.906548976898193 5.697139739990234 0.6342830657958984
she 7 2 3 11.150738716125488 4.0210113525390625 1.6761283874511719
like 7 3 4 12.08370590209961 1.5536431074142456 2.467368245124817
the 7 4 3 7.053680896759033 5.834726810455322 0
possibility 7 5 11 10.817420959472656 6.972270965576172 0
that 7 6 4 1.5015634298324585 4.067205429077148 2.9050655364990234
<unk> 7 7 5 3.8342108726501465 3.5805485248565674 0.48665690422058105
dances 7 8 6 21.954166412353516 3.661817789077759 0
? 7 9 1 2.0184874534606934 5.633275032043457 0
what 8 0 4 2.5814480781555176 6.331422805786133 0
do 8 1 2 8.002169609069824 5.697139739990234 0.6342830657958984
they 8 2 4 7.096861362457275 4.735027313232422 0.9621124267578125
not 8 3 3 7.566332817077637 5.909514904022217 0
believe 8 4 7 8.821836471557617 7.563401699066162 0
the 8 5 3 8.578758239746094 4.7936811447143555 2.7697205543518066
rumour 8 6 6 14.284408569335938 7.277188777923584 0
that 8 7 4 4.217423439025879 3.6102848052978516 3.6669039726257324
he 8 8 2 10.720552444458008 3.1406142711639404 0.46967053413391113
will 8 9 4 7.914809703826904 1.472141981124878 1.6684722900390625
buy 8 10 3 13.10272216796875 4.652444362640381 0
? 8 11 1 1.8672926425933838 4.63746976852417 0.014974594116210938
where 9 0 5 8.628682136535645 6.331422805786133 0
do 9 1 2 10.453991889953613 6.855746269226074 0
they 9 2 4 7.099425792694092 3.76198148727417 3.0937647819519043
have 9 3 4 5.345457077026367 6.8193535804748535 0
a 9 4 1 7.180524826049805 6.93911600112915 0
window 9 5 6 11.501545906066895 7.205078125 0
that 9 6 4 3.7120161056518555 5.555558681488037 1.649519443511963
opens 9 7 5 13.2787504196167 4.295102119445801 1.2604565620422363
? 9 8 1 2.054542064666748 5.010127544403076 0
what 10 0 4 2.5814480781555176 6.331422805786133 0
did 10 1 3 6.373696327209473 5.697139739990234 0.6342830657958984
<unk> 10 2 5 0.669175922870636 3.517247438430786 2.1798923015594482
meet 10 3 4 13.93726921081543 4.4645161628723145 0
someone 10 4 7 12.579543113708496 4.89268684387207 0
who 10 5 3 4.324094295501709 4.905155181884766 0
likes 10 6 5 16.2254638671875 1.8202036619186401 3.0849515199661255
? 10 7 1 2.779144763946533 5.595544815063477 0
what 11 0 4 2.5814480781555176 6.331422805786133 0
does 11 1 4 5.906548976898193 5.697139739990234 0.6342830657958984
<unk> 11 2 5 0.9450103044509888 4.0210113525390625 1.6761283874511719
believe 11 3 7 9.914374351501465 4.866239070892334 0
the 11 4 3 7.77997350692749 5.331743240356445 0
claim 11 5 5 12.101616859436035 6.98466682434082 0
that 11 6 4 3.1607656478881836 4.444891452789307 2.5397753715515137
he 11 7 2 7.935234069824219 4.299368381500244 0.1455230712890625
robbed 11 8 6 24.923343658447266 0.996557354927063 3.302811026573181
yesterday 11 9 9 12.17707633972168 4.938657760620117 0
? 11 10 1 1.5896269083023071 4.025184154510498 0.9134736061096191
who 12 0 3 7.184686660766602 6.331422805786133 0
does 12 1 4 5.605693340301514 3.834284782409668 2.497138023376465
n't 12 2 3 26.868419647216797 1.9240776300430298 1.9102071523666382
<unk> 12 3 5 2.537461519241333 4.877511024475098 0
believe 12 4 7 11.288134574890137 4.232940196990967 0.6445708274841309
the 12 5 3 8.06856632232666 5.235298156738281 0
rumour 12 6 6 13.439577102661133 7.557953834533691 0
that 12 7 4 2.9704651832580566 4.872614860534668 2.6853389739990234
<unk> 12 8 5 4.035473346710205 3.3806025981903076 1.4920122623443604
is 12 9 2 6.927201747894287 3.479600429534912 0
dating 12 10 6 15.579290390014648 4.24404239654541 0
? 12 11 1 1.7632174491882324 4.485565662384033 0
what 13 0 4 2.5814480781555176 6.331422805786133 0
did 13 1 3 6.373696327209473 5.697139739990234 0.6342830657958984
he 13 2 2 7.91727352142334 3.517247438430786 2.1798923015594482
hear 13 3 4 9.463216781616211 1.6092076301574707 1.9080398082733154
that 13 4 4 4.354366779327393 4.925958633422852 0
he 13 5 2 7.502960681915283 4.167199611663818 0.7587590217590332
believes 13 6 8 17.371620178222656 0.8507006764411926 3.3164989352226257
that 13 7 4 3.0567069053649902 4.558215141296387 0
he 13 8 2 8.26462459564209 3.0349323749542236 1.523282766342163
will 13 9 4 9.24389934539795 0.9090697765350342 2.1258625984191895
buy 13 10 3 12.17723560333252 4.4986772537231445 0
? 13 11 1 2.1250503063201904 4.4301910400390625 0.06848621368408203
what 14 0 4 2.5814480781555176 6.331422805786133 0
did 14 1 3 6.373696327209473 5.697139739990234 0.6342830657958984
they 14 2 4 7.487668991088867 3.517247438430786 2.1798923015594482
rob 14 3 3 15.865787506103516 5.815195083618164 0
someone 14 4 7 13.039657592773438 4.898342609405518 0.9168524742126465
who 14 5 3 4.615671634674072 4.992147445678711 0
bought 14 6 6 17.48964500427246 1.3787707090377808 3.61337673664093
yesterday 14 7 9 13.434831619262695 4.311878681182861 0
? 14 8 1 1.3913509845733643 3.7205846309661865 0.5912940502166748
what 15 0 4 2.5814480781555176 6.331422805786133 0
do 15 1 2 8.002169609069824 5.697139739990234 0.6342830657958984
they 15 2 4 7.096861362457275 4.735027313232422 0.9621124267578125
whisper 15 3 7 17.235490798950195 5.909514904022217 0
the 15 4 3 8.672477722167969 4.629307270050049 1.280207633972168
extravagant 15 5 11 17.87239646911621 7.1687774658203125 0
claim 15 6 5 12.98818588256836 7.287231922149658 0
that 15 7 4 2.2122983932495117 4.468748092651367 2.818483829498291
the 15 8 3 9.224291801452637 3.4329206943511963 1.035827398300171
blue 15 9 4 11.093096733093262 6.453667640686035 0
trumpet 15 10 7 17.79348373413086 6.634424686431885 0
likes 15 11 5 16.837759017944336 5.636693954467773 0.9977307319641113
? 15 12 1 3.732356548309326 6.558684349060059 0
what 16 0 4 2.5814480781555176 6.331422805786133 0
does 16 1 4 5.906548976898193 5.697139739990234 0.6342830657958984
the 16 2 3 10.037827491760254 4.0210113525390625 1.6761283874511719
expensive 16 3 9 17.472698211669922 5.281029224395752 0
gift 16 4 4 12.137261390686035 6.157675266265869 0
believe 16 5 7 15.465685844421387 5.263995170593262 0.8936800956726074
that 16 6 4 2.737934112548828 5.666230201721191 0
<unk> 16 7 5 3.6695282459259033 3.9346022605895996 1.7316279411315918
fluently 16 8 8 21.348388671875 3.7536306381225586 0.18097162246704102
speaks 16 9 6 15.679522514343262 3.936594009399414 0
? 16 10 1 3.146087169647217 5.8776350021362305 0
how 17 0 3 7.501617908477783 6.331422805786133 0
many 17 1 4 8.018219947814941 6.630218505859375 0
blue 17 2 4 11.600430488586426 6.690954208374023 0
guitars 17 3 7 15.573997497558594 7.091918468475342 0
does 17 4 4 8.287674903869629 7.114129066467285 0
