word sentid sentpos wlen surp entropy entred
who 0 0 3 7.566451072692871 0.7632927298545837 0
do 0 1 2 3.6523733139038086 3.3351666927337646 0
n't 0 2 3 18.599105834960938 7.249323844909668 0
we 0 3 2 6.881224155426025 6.219810962677002 1.029512882232666
believe 0 4 7 4.498745918273926 1.0351638793945312 5.184647083282471
the 0 5 3 3.014765501022339 2.310267925262451 0
rumour 0 6 6 7.877466678619385 0.9361513257026672 1.374116599559784
that 0 7 4 0.0034588929265737534 0.03504975885152817 0.9011015668511391
<unk> 0 8 5 0.14850963652133942 1.0721518993377686 0
is 0 9 2 8.595549583435059 2.3316452503204346 0
dating 0 10 6 13.042378425598145 6.949945449829102 0
? 0 11 1 0.004348213318735361 0.04452202841639519 6.905423421412706
how 1 0 3 5.045010566711426 0.7632927298545837 0
does 1 1 4 0.9605686068534851 2.4727890491485596 0
will 1 2 4 12.050332069396973 5.487855911254883 0
think 1 3 5 7.756874084472656 6.6951165199279785 0
that 1 4 4 0.4358242452144623 2.332336664199829 4.362779855728149
she 1 5 3 6.434388160705566 1.9469430446624756 0.3853936195373535
is 1 6 2 6.964732646942139 4.046072483062744 0
dating 1 7 6 13.531045913696289 7.075899600982666 0
someone 1 8 7 12.886645317077637 0.17175771296024323 6.904141888022423
who 1 9 3 0.9513883590698242 1.5481443405151367 0
solves 1 10 6 7.315913677215576 5.922990322113037 0
? 1 11 1 0.00032088393345475197 0.004469434265047312 5.91852088784799
what 2 0 4 0.10689212381839752 0.7632927298545837 0
does 2 1 4 4.767871856689453 2.6383605003356934 0
she 2 2 3 5.167167663574219 4.856053352355957 0
believe 2 3 7 2.2143516540527344 1.6527528762817383 3.2033004760742188
the 2 4 3 3.6393086910247803 1.8532990217208862 0
rumour 2 5 6 7.788303852081299 0.7353733777999878 1.1179256439208984
that 2 6 4 0.002260316163301468 0.023873616009950638 0.7114997617900372
she 2 7 3 5.447104454040527 1.1535754203796387 0
might 2 8 5 6.919526100158691 3.603533983230591 0
have 2 9 4 5.311699867248535 4.575677394866943 0
this 2 10 4 9.479039192199707 6.769105911254883 0
year 2 11 4 20.379745483398438 0.03174292668700218 6.737362984567881
? 2 12 1 0.007689111400395632 0.06406118720769882 0
how 3 0 3 5.045010566711426 0.7632927298545837 0
many 3 1 4 6.534278392791748 2.4727890491485596 0
cities 3 2 6 5.5123419761657715 9.048359870910645 0
does 3 3 4 3.9614553451538086 6.909303188323975 2.13905668258667
he 3 4 2 5.294293403625488 6.867403030395508 0.0419001579284668
know 3 5 4 9.065499305725098 5.505128383636475 1.3622746467590332
brothers 3 6 8 19.536388397216797 2.1282124519348145 3.37691593170166
who 3 7 3 1.7362133264541626 3.331894874572754 0
live 3 8 4 3.954728603363037 7.094474792480469 0
in 3 9 2 5.31486177444458 0.4045986235141754 6.689876168966293
? 3 10 1 0.0002197770809289068 0.0029979802202433348 0.4016006432939321
who 4 0 3 7.566451072692871 0.7632927298545837 0
do 4 1 2 3.6523733139038086 3.3351666927337646 0
they 4 2 4 7.719056129455566 7.249323844909668 0
believe 4 3 7 4.3627095222473145 0.8724302053451538 6.376893639564514
the 4 4 3 2.522745370864868 3.003575563430786 0
claim 4 5 5 0.10911200940608978 1.0402309894561768 1.9633445739746094
that 4 6 4 0.007179408334195614 0.07241706550121307 0.9678139239549637
he 4 7 2 5.905324935913086 1.220401644706726 0
likes 4 8 5 1.1638621091842651 3.705958843231201 0
? 4 9 1 0.0010439008474349976 0.011807858943939209 3.694150984287262
what 5 0 4 0.10689212381839752 0.7632927298545837 0
did 5 1 3 0.4773516356945038 2.6383605003356934 0
she 5 2 3 5.28276252746582 2.700079917907715 0
hear 5 3 4 0.29133638739585876 1.1680184602737427 1.5320614576339722
a 5 4 1 4.895957946777344 3.167987585067749 0
rumour 5 5 6 1.868722915649414 3.5140697956085205 0
that 5 6 4 0.00469830259680748 0.043511297553777695 3.470558498054743
<unk> 5 7 5 0.16063499450683594 1.0855857133865356 0
sleeps 5 8 6 4.666924953460693 2.959205389022827 0
with 5 9 4 7.4110236167907715 0.09562172740697861 2.8635836616158485
? 5 10 1 0.00021358663798309863 0.002573144156485796 0.09304858325049281
how 6 0 3 5.045010566711426 0.7632927298545837 0
did 6 1 3 2.0312745571136475 2.4727890491485596 0
my 6 2 2 1.8704700469970703 4.373055934906006 0
sister 6 3 6 0.09618817269802094 0.8202641010284424 3.5527918338775635
say 6 4 3 10.461559295654297 0.3747773766517639 0.44548672437667847
that 6 5 4 0.43329674005508423 1.9337925910949707 0
<unk> 6 6 5 0.19573159515857697 1.3627737760543823 0.5710188150405884
<unk> 6 7 5 10.686674118041992 2.462991714477539 0
thinks 6 8 6 4.891526222229004 3.453068494796753 0
that 6 9 4 3.1954846382141113 1.3736978769302368 2.079370617866516
<unk> 6 10 5 0.3306165933609009 1.8320671319961548 0
solves 6 11 6 8.865148544311523 2.8010597229003906 0
? 6 12 1 2.614112599985674e-05 0.0004238749679643661 2.8006358479324263
what 7 0 4 0.10689212381839752 0.7632927298545837 0
does 7 1 4 4.767871856689453 2.6383605003356934 0
she 7 2 3 5.167167663574219 4.856053352355957 0
like 7 3 4 7.461525917053223 1.6527528762817383 3.2033004760742188
the 7 4 3 2.897714853286743 5.101660251617432 0
possibility 7 5 11 4.708166599273682 7.600287437438965 0
that 7 6 4 0.004757271148264408 0.04422500357031822 7.556062433868647
<unk> 7 7 5 0.21485106647014618 1.3209372758865356 0
dances 7 8 6 13.284994125366211 2.5354316234588623 0
? 7 9 1 0.009877127595245838 0.09546446800231934 2.439967155456543
what 8 0 4 0.10689212381839752 0.7632927298545837 0
do 8 1 2 3.9469337463378906 2.6383605003356934 0
they 8 2 4 5.393590450286865 5.623017311096191 0
not 8 3 3 21.4991455078125 0.06196409463882446 5.561053216457367
believe 8 4 7 5.308165550231934 1.728392243385315 0
the 8 5 3 2.5671918392181396 2.5592243671417236 0
rumour 8 6 6 9.161327362060547 0.638592541217804 1.9206318259239197
that 8 7 4 0.004211377818137407 0.04263127222657204 0.5959612689912319
he 8 8 2 5.641664028167725 1.36810302734375 0
will 8 9 4 2.2628719806671143 3.7722980976104736 0
buy 8 10 3 4.896384239196777 6.1483330726623535 0
? 8 11 1 0.010721362195909023 0.10841693729162216 6.039916135370731
where 9 0 5 12.907099723815918 0.7632927298545837 0
do 9 1 2 7.181313991546631 6.675032138824463 0
they 9 2 4 3.83595871925354 6.524946212768555 0.1500859260559082
have 9 3 4 6.065656661987305 2.5256102085113525 3.999336004257202
a 9 4 1 3.638448476791382 8.651371002197266 0
window 9 5 6 12.176159858703613 9.324573516845703 0
that 9 6 4 2.0978078842163086 5.556463241577148 3.7681102752685547
opens 9 7 5 10.448160171508789 7.114843845367432 0
