word sentid sentpos wlen surp entropy entred
who 0 0 3 1.1113625764846802 5.446235656738281 0
do 0 1 2 10.090608596801758 6.419658184051514 0
n't 0 2 3 23.806642532348633 7.179842948913574 0
we 0 3 2 11.24765682220459 7.145627498626709 0.034215450286865234
believe 0 4 7 8.026556968688965 6.164815902709961 0.980811595916748
the 0 5 3 9.302226066589355 4.775096893310547 1.389719009399414
rumour 0 6 6 16.743988037109375 9.529435157775879 0
that 0 7 4 3.8434371948242188 6.531762599945068 2.9976725578308105
<unk> 0 8 5 5.885491371154785 6.050539493560791 0.48122310638427734
is 0 9 2 4.550823211669922 5.82187557220459 0.22866392135620117
dating 0 10 6 15.263830184936523 7.081695079803467 0
? 0 11 1 3.504143476486206 6.11088752746582 0.9708075523376465
how 1 0 3 10.236517906188965 5.446235656738281 0
does 1 1 4 9.867460250854492 5.41964054107666 0.026595115661621094
will 1 2 4 10.554598808288574 7.333764553070068 0
think 1 3 5 9.146690368652344 7.816192626953125 0
that 1 4 4 4.159921169281006 5.927990913391113 1.8882017135620117
she 1 5 3 6.176374912261963 6.921041488647461 0
is 1 6 2 4.947805881500244 6.556948661804199 0.3640928268432617
dating 1 7 6 14.900893211364746 7.751102447509766 0
someone 1 8 7 12.170063018798828 6.249805450439453 1.5012969970703125
who 1 9 3 0.9026554226875305 3.914933204650879 2.334872245788574
solves 1 10 6 17.90535545349121 6.280231475830078 0
? 1 11 1 5.529881000518799 6.904653549194336 0
what 2 0 4 6.637751579284668 5.446235656738281 0
does 2 1 4 10.715597152709961 6.355987548828125 0
she 2 2 3 7.274367332458496 6.349392414093018 0.006595134735107422
believe 2 3 7 5.98227596282959 7.48842191696167 0
the 2 4 3 8.816018104553223 5.2287278175354 2.2596940994262695
rumour 2 5 6 15.656378746032715 10.074373245239258 0
that 2 6 4 3.627427339553833 7.213592052459717 2.860781192779541
she 2 7 3 4.600010395050049 6.68342924118042 0.5301628112792969
might 2 8 5 10.045727729797363 6.594245433807373 0.08918380737304688
have 2 9 4 5.127342224121094 8.306164741516113 0
this 2 10 4 9.013726234436035 7.71622371673584 0.5899410247802734
year 2 11 4 10.794804573059082 8.251742362976074 0
? 2 12 1 3.9157652854919434 6.4620161056518555 1.7897262573242188
how 3 0 3 10.236517906188965 5.446235656738281 0
many 3 1 4 7.841944694519043 5.41964054107666 0.026595115661621094
cities 3 2 6 11.348705291748047 7.393557548522949 0
does 3 3 4 12.50636100769043 6.932994365692139 0.46056318283081055
he 3 4 2 8.278559684753418 8.102766036987305 0
know 3 5 4 7.129405975341797 8.169480323791504 0
brothers 3 6 8 16.109888076782227 5.664233684539795 2.505246639251709
who 3 7 3 2.2390401363372803 5.341433525085449 0.3228001594543457
live 3 8 4 9.538920402526855 7.219027042388916 0
in 3 9 2 4.336946487426758 6.721983909606934 0.4970431327819824
? 3 10 1 6.97139310836792 7.702333927154541 0
who 4 0 3 1.1113625764846802 5.446235656738281 0
do 4 1 2 10.090608596801758 6.419658184051514 0
they 4 2 4 7.60506534576416 7.179842948913574 0
believe 4 3 7 5.277320384979248 6.872229099273682 0.3076138496398926
the 4 4 3 7.866138458251953 5.82021427154541 1.0520148277282715
claim 4 5 5 12.037525177001953 9.96716594696045 0
that 4 6 4 3.1766357421875 6.353305816650391 3.6138601303100586
he 4 7 2 5.504538059234619 6.577938556671143 0
likes 4 8 5 13.297399520874023 6.567628860473633 0.010309696197509766
? 4 9 1 5.418264865875244 5.513345241546631 1.054283618927002
what 5 0 4 6.637751579284668 5.446235656738281 0
did 5 1 3 7.583070755004883 6.355987548828125 0
she 5 2 3 7.291717052459717 7.393533229827881 0
hear 5 3 4 9.38011646270752 8.544690132141113 0
a 5 4 1 6.4531354904174805 6.406749248504639 2.1379408836364746
rumour 5 5 6 12.730942726135254 9.381258010864258 0
that 5 6 4 2.9448630809783936 6.50006628036499 2.8811917304992676
