word sentid sentpos wlen surp entropy entred
who 0 0 3 3.478895664215088 4.756612777709961 0
do 0 1 2 12.162424087524414 2.077967405319214 2.678645372390747
n't 0 2 3 25.719501495361328 6.181134223937988 0
we 0 3 2 9.26330852508545 6.795483112335205 0
believe 0 4 7 7.34604549407959 7.296401023864746 0
the 0 5 3 8.867888450622559 3.1083076000213623 4.188093423843384
rumour 0 6 6 14.802125930786133 8.989234924316406 0
that 0 7 4 5.255781173706055 6.194544792175293 2.7946901321411133
<unk> 0 8 5 2.8373453617095947 5.522098541259766 0.6724462509155273
is 0 9 2 4.515393257141113 7.749731540679932 0
dating 0 10 6 13.235158920288086 3.886664867401123 3.8630666732788086
? 0 11 1 0.3846595287322998 1.4179965257644653 2.4686683416366577
how 1 0 3 8.16225528717041 4.756612777709961 0
does 1 1 4 7.87699031829834 4.696529388427734 0.06008338928222656
will 1 2 4 18.42031478881836 2.9456028938293457 1.7509264945983887
think 1 3 5 7.821098327636719 7.772977352142334 0
that 1 4 4 1.328258752822876 3.494511604309082 4.278465747833252
she 1 5 3 4.1595869064331055 4.887104511260986 0
is 1 6 2 1.835202932357788 6.104222297668457 0
dating 1 7 6 13.739690780639648 4.965119361877441 1.1391029357910156
someone 1 8 7 12.171455383300781 2.313865900039673 2.6512534618377686
who 1 9 3 4.118281364440918 3.7902562618255615 0
solves 1 10 6 14.70611572265625 3.82458758354187 0
? 1 11 1 0.4319930672645569 2.010676383972168 1.8139111995697021
what 2 0 4 1.316446304321289 4.756612777709961 0
does 2 1 4 6.060786247253418 5.175479888916016 0
she 2 2 3 0.4386305809020996 1.8686046600341797 3.306875228881836
believe 2 3 7 7.997668743133545 1.5232011079788208 0.3454035520553589
the 2 4 3 9.796185493469238 2.239872932434082 0
rumour 2 5 6 13.639456748962402 9.375152587890625 0
that 2 6 4 3.756963014602661 5.300149917602539 4.075002670288086
she 2 7 3 3.7897846698760986 5.534411907196045 0
might 2 8 5 7.849060535430908 6.22556209564209 0
have 2 9 4 4.4163079261779785 5.934859275817871 0.29070281982421875
this 2 10 4 10.763038635253906 6.969080924987793 0
year 2 11 4 10.3289794921875 8.851146697998047 0
? 2 12 1 4.11206579208374 7.129667282104492 1.7214794158935547
how 3 0 3 8.16225528717041 4.756612777709961 0
many 3 1 4 6.333664894104004 4.696529388427734 0.06008338928222656
cities 3 2 6 11.465682029724121 8.3623628616333 0
does 3 3 4 14.465559959411621 7.80733585357666 0.5550270080566406
he 3 4 2 5.955565452575684 6.379644870758057 1.4276909828186035
know 3 5 4 5.378252983093262 4.7994537353515625 1.5801911354064941
brothers 3 6 8 20.079530715942383 3.685870885848999 1.1135828495025635
who 3 7 3 5.509013652801514 7.238265514373779 0
live 3 8 4 8.165250778198242 8.096083641052246 0
in 3 9 2 3.20200514793396 5.07200813293457 3.024075508117676
? 3 10 1 2.4692249298095703 5.844023704528809 0
who 4 0 3 3.478895664215088 4.756612777709961 0
do 4 1 2 12.162424087524414 2.077967405319214 2.678645372390747
they 4 2 4 8.310761451721191 6.181134223937988 0
believe 4 3 7 6.5106892585754395 5.798041343688965 0.38309288024902344
the 4 4 3 8.44506549835205 3.0132787227630615 2.7847626209259033
claim 4 5 5 12.95322036743164 9.356390953063965 0
that 4 6 4 4.667784214019775 2.505666732788086 6.850724220275879
he 4 7 2 6.8868255615234375 5.271636486053467 0
likes 4 8 5 5.375896453857422 6.224385738372803 0
? 4 9 1 3.688887596130371 1.7437973022460938 4.480588436126709
what 5 0 4 1.316446304321289 4.756612777709961 0
did 5 1 3 1.5355015993118286 5.175479888916016 0
she 5 2 3 0.227274551987648 1.274888515472412 3.9005913734436035
hear 5 3 4 7.059043884277344 1.383832573890686 0
a 5 4 1 5.117926120758057 3.76627254486084 0
rumour 5 5 6 9.859012603759766 6.7690300941467285 0
that 5 6 4 4.448033809661865 1.1881511211395264 5.580878973007202
<unk> 5 7 5 2.8802459239959717 5.635351657867432 0
sleeps 5 8 6 13.264028549194336 7.130137920379639 0
with 5 9 4 5.678236484527588 1.8315845727920532 5.2985533475875854
? 5 10 1 1.1979392766952515 4.082797527313232 0
how 6 0 3 8.16225528717041 4.756612777709961 0
did 6 1 3 4.68181848526001 4.696529388427734 0.06008338928222656
my 6 2 2 10.738709449768066 2.948880672454834 1.7476487159729004
sister 6 3 6 11.448884010314941 8.859707832336426 0
say 6 4 3 5.520753383636475 7.308251857757568 1.5514559745788574
that 6 5 4 1.466037392616272 3.52111554145813 3.7871363162994385
<unk> 6 6 5 2.7224223613739014 5.119704723358154 0
<unk> 6 7 5 6.094432353973389 7.851824760437012 0
thinks 6 8 6 5.9337921142578125 8.641448974609375 0
that 6 9 4 1.3772473335266113 3.3186917304992676 5.322757244110107
<unk> 6 10 5 3.1838886737823486 4.450535297393799 0
solves 6 11 6 13.222456932067871 7.398884296417236 0
? 6 12 1 0.2443496137857437 1.2325783967971802 6.166305899620056
what 7 0 4 1.316446304321289 4.756612777709961 0
does 7 1 4 6.060786247253418 5.175479888916016 0
she 7 2 3 0.4386305809020996 1.8686046600341797 3.306875228881836
like 7 3 4 7.426790714263916 1.5232011079788208 0.3454035520553589
the 7 4 3 8.687481880187988 2.8847455978393555 0
possibility 7 5 11 12.792753219604492 10.14955997467041 0
that 7 6 4 1.3026056289672852 2.6588613986968994 7.490698575973511
<unk> 7 7 5 2.530919313430786 5.4140143394470215 0
dances 7 8 6 13.163602828979492 8.155067443847656 0
? 7 9 1 1.2360304594039917 3.644805908203125 4.510261535644531
what 8 0 4 1.316446304321289 4.756612777709961 0
do 8 1 2 4.088273048400879 5.175479888916016 0
they 8 2 4 6.625692844390869 2.7443339824676514 2.4311459064483643
not 8 3 3 5.872355937957764 4.259782314300537 0
believe 8 4 7 6.130734920501709 5.044436454772949 0
the 8 5 3 8.917194366455078 2.9549834728240967 2.0894529819488525
rumour 8 6 6 14.156425476074219 9.605311393737793 0
that 8 7 4 4.576827049255371 6.03315544128418 3.5721559524536133
he 8 8 2 7.332775592803955 5.201704502105713 0.8314509391784668
will 8 9 4 8.305570602416992 6.521294593811035 0
buy 8 10 3 9.270613670349121 7.065206050872803 0
? 8 11 1 1.774336576461792 4.183420658111572 2.8817853927612305
where 9 0 5 8.107909202575684 4.756612777709961 0
do 9 1 2 10.460807800292969 6.208199501037598 0
they 9 2 4 6.365326404571533 4.606578350067139 1.601621150970459
have 9 3 4 5.7709455490112305 5.903567314147949 0
a 9 4 1 5.926915645599365 7.429438591003418 0
window 9 5 6 10.575732231140137 9.03966236114502 0
that 9 6 4 8.000646591186523 2.120466947555542 6.9191954135894775
opens 9 7 5 13.179425239562988 6.483176231384277 0
? 9 8 1 2.208768606185913 3.808948278427124 2.6742279529571533
what 10 0 4 1.316446304321289 4.756612777709961 0
did 10 1 3 1.5355015993118286 5.175479888916016 0
<unk> 10 2 5 7.152036190032959 1.274888515472412 3.9005913734436035
meet 10 3 4 13.81091022491455 4.481997013092041 0
someone 10 4 7 11.218485832214355 5.1335930824279785 0
who 10 5 3 3.677924394607544 5.688328266143799 0
likes 10 6 5 8.202773094177246 4.460319995880127 1.2280082702636719
? 10 7 1 6.945458889007568 0.7010877132415771 3.75923228263855
what 11 0 4 1.316446304321289 4.756612777709961 0
does 11 1 4 6.060786247253418 5.175479888916016 0
