word sentid sentpos wlen surp entropy entred
what 0 0 4 5.72836971282959 2.479736089706421 0
did 0 1 3 4.7149338722229 6.154409408569336 0
i 0 2 1 7.382728099822998 6.328627109527588 0
buy 0 3 3 8.112879753112793 7.174441337585449 0
a 0 4 1 9.892973899841309 2.775092124938965 4.399349212646484
guitar 0 5 6 13.754340171813965 10.153535842895508 0
for 0 6 3 5.684589862823486 6.023869037628174 4.129666805267334
myself 0 7 6 12.245094299316406 5.752316951751709 0.27155208587646484
because 0 8 7 9.867744445800781 5.254065990447998 0.49825096130371094
they 0 9 4 4.805175304412842 6.177605152130127 0
heard 0 10 5 12.118000984191895 5.121440410614014 1.0561647415161133
? 0 11 1 2.026792049407959 5.80185604095459 0
what 1 0 4 5.72836971282959 2.479736089706421 0
will 1 1 4 9.218335151672363 6.154409408569336 0
they 1 2 4 5.974567413330078 8.154316902160645 0
fail 1 3 4 13.285861015319824 7.056748390197754 1.0975685119628906
the 1 4 3 8.222551345825195 5.1597089767456055 1.8970394134521484
test 1 5 4 11.458259582519531 10.557446479797363 0
if 1 6 2 9.848682403564453 8.251143455505371 2.306303024291992
they 1 7 4 4.229475498199463 7.987746715545654 0.2633967399597168
do 1 8 2 8.287349700927734 6.241297721862793 1.7464489936828613
not 1 9 3 7.09099817276001 6.390142917633057 0
? 1 10 1 8.55302619934082 8.490693092346191 0
whom 2 0 4 13.308189392089844 2.479736089706421 0
will 2 1 4 9.555447578430176 7.56933069229126 0
he 2 2 2 6.527733325958252 8.038663864135742 0
hire 2 3 4 15.06424331665039 6.7650275230407715 1.2736363410949707
someone 2 4 7 11.218893051147461 6.612377166748047 0.1526503562927246
if 2 5 2 10.585137367248535 7.0234599113464355 0
i 2 6 1 4.963776588439941 7.063374042510986 0
need 2 7 4 9.949899673461914 6.907327651977539 0.15604639053344727
? 2 8 1 3.6356089115142822 6.648787975311279 0.25853967666625977
what 3 0 4 5.72836971282959 2.479736089706421 0
has 3 1 3 8.455926895141602 6.154409408569336 0
he 3 2 2 7.909278392791748 8.056915283203125 0
been 3 3 4 7.540637016296387 7.163669586181641 0.8932456970214844
circulating 3 4 11 18.10024070739746 8.288936614990234 0
who 3 5 3 10.261248588562012 5.838717460632324 2.45021915435791
he 3 6 2 6.7870869636535645 7.16398286819458 0
thought 3 7 7 9.632109642028809 7.07940149307251 0.08458137512207031
was 3 8 3 5.680434226989746 6.480432033538818 0.5989694595336914
? 3 9 1 4.4158525466918945 8.448236465454102 0
what 4 0 4 5.72836971282959 2.479736089706421 0
will 4 1 4 9.218335151672363 6.154409408569336 0
he 4 2 2 6.61624002456665 8.154316902160645 0
try 4 3 3 12.031394004821777 6.935934543609619 1.2183823585510254
to 4 4 2 5.455098628997803 6.15639066696167 0.7795438766479492
call 4 5 4 7.219844341278076 7.532289981842041 0
you 4 6 3 6.345826625823975 5.582580089569092 1.9497098922729492
if 4 7 2 10.599532127380371 6.22797966003418 0
she 4 8 3 4.407128810882568 7.028214931488037 0
buys 4 9 4 16.067466735839844 6.7650580406188965 0.2631568908691406
? 4 10 1 1.1057729721069336 3.2398056983947754 3.525252342224121
what 5 0 4 5.72836971282959 2.479736089706421 0
did 5 1 3 4.7149338722229 6.154409408569336 0
she 5 2 3 6.925851345062256 6.328627109527588 0
say 5 3 3 6.261051654815674 6.725541114807129 0
she 5 4 3 5.918241024017334 4.011572360992432 2.7139687538146973
would 5 5 5 8.03065299987793 5.973414421081543 0
like 5 6 4 6.180206775665283 7.260055065155029 0
the 5 7 3 9.171236038208008 3.7693634033203125 3.490691661834717
man 5 8 3 9.227917671203613 10.659761428833008 0
if 5 9 2 10.653092384338379 7.246603012084961 3.413158416748047
he 5 10 2 4.664069652557373 6.617931365966797 0.6286716461181641
read 5 11 4 10.823030471801758 7.027468204498291 0
? 5 12 1 1.4460031986236572 4.055140495300293 2.972327709197998
where 6 0 5 11.532628059387207 2.479736089706421 0
did 6 1 3 4.595797538757324 7.556439399719238 0
i 6 2 1 7.117617607116699 6.991824150085449 0.5646152496337891
buy 6 3 3 7.9696149826049805 7.255702495574951 0
a 6 4 1 9.503945350646973 3.039243698120117 4.216458797454834
coffee 6 5 6 10.124356269836426 10.091821670532227 0
for 6 6 3 8.139657974243164 7.287978172302246 2.8038434982299805
myself 6 7 6 12.174052238464355 6.611515998840332 0.6764621734619141
because 6 8 7 10.369780540466309 5.014641284942627 1.596874713897705
i 6 9 1 4.069588661193848 6.082409858703613 0
went 6 10 4 8.502546310424805 6.98024320602417 0
? 6 11 1 1.3610345125198364 5.888766288757324 1.0914769172668457
what 7 0 4 5.72836971282959 2.479736089706421 0
will 7 1 4 9.218335151672363 6.154409408569336 0
he 7 2 2 6.61624002456665 8.154316902160645 0
circulate 7 3 9 20.179285049438477 6.935934543609619 1.2183823585510254
a 7 4 1 9.953134536743164 5.780125617980957 1.155808925628662
call 7 5 4 7.61864709854126 10.334534645080566 0
if 7 6 2 10.78803825378418 6.2482523918151855 4.086282253265381
she 7 7 3 4.027935028076172 7.379177093505859 0
buys 7 8 4 15.431114196777344 6.88685417175293 0.4923229217529297
? 7 9 1 1.4855504035949707 3.339210033416748 3.5476441383361816
whom 8 0 4 13.308189392089844 2.479736089706421 0
did 8 1 3 4.819820880889893 7.56933069229126 0
she 8 2 3 5.969592094421387 7.16111421585083 0.4082164764404297
say 8 3 3 5.708734512329102 7.319449424743652 0
that 8 4 4 5.233320236206055 4.022907257080078 3.296542167663574
she 8 5 3 4.124472141265869 6.806710243225098 0
gave 8 6 4 10.130315780639648 6.804342269897461 0.0023679733276367188
a 8 7 1 7.029327392578125 6.463367938995361 0.3409743309020996
guitar 8 8 6 12.873278617858887 10.106918334960938 0
to 8 9 2 6.187594413757324 6.438766956329346 3.668151378631592
me 8 10 2 5.349079132080078 7.749098777770996 0
when 8 11 4 9.043526649475098 5.406121730804443 2.3429770469665527
i 8 12 1 4.543079853057861 6.511104106903076 0
hired 8 13 5 12.855978012084961 7.446997165679932 0
? 8 14 1 4.700160026550293 6.916260242462158 0.5307369232177734
what 9 0 4 5.72836971282959 2.479736089706421 0
did 9 1 3 4.7149338722229 6.154409408569336 0
he 9 2 2 6.445527076721191 6.328627109527588 0
get 9 3 3 9.855815887451172 6.7476806640625 0
a 9 4 1 7.998226642608643 5.004473686218262 1.7432069778442383
new 9 5 3 6.638813495635986 10.444289207458496 0
phone 9 6 5 11.625247955322266 9.416399002075195 1.0278902053833008
for 9 7 3 5.841691970825195 5.175580978393555 4.240818023681641
<unk> 9 8 5 4.358183860778809 5.7824907302856445 0
because 9 9 7 11.443438529968262 5.409123420715332 0.3733673095703125
she 9 10 3 4.339818000793457 6.213667392730713 0
saw 9 11 3 10.036968231201172 6.054178714752197 0.15948867797851562
? 9 12 1 3.152561664581299 6.614493370056152 0
what 10 0 4 5.72836971282959 2.479736089706421 0
did 10 1 3 4.7149338722229 6.154409408569336 0
you 10 2 3 7.812676429748535 6.328627109527588 0
need 10 3 4 10.163651466369629 6.379439353942871 0
to 10 4 2 6.637507438659668 4.445503234863281 1.9339361190795898
do 10 5 2 6.133836269378662 6.920633316040039 0
that 10 6 4 6.658022880554199 5.791528224945068 1.1291050910949707
if 10 7 2 10.465365409851074 5.887726783752441 0
you 10 8 3 4.020367622375488 7.286278247833252 0
were 10 9 4 7.3497772216796875 5.690090179443359 1.5961880683898926
to 10 10 2 7.593324184417725 9.122385025024414 0
go 10 11 2 7.287067413330078 7.013025760650635 2.1093592643737793
and 10 12 3 5.78383731842041 5.784034729003906 1.2289910316467285
buy 10 13 3 7.446678161621094 3.4940531253814697 2.2899816036224365
? 10 14 1 1.035143256187439 3.3191773891448975 0.17487573623657227
what 11 0 4 5.72836971282959 2.479736089706421 0
did 11 1 3 4.7149338722229 6.154409408569336 0
she 11 2 3 6.925851345062256 6.328627109527588 0
eat 11 3 3 11.521475791931152 6.725541114807129 0
the 11 4 3 11.134115219116211 2.230526924133301 4.495014190673828
<unk> 11 5 5 2.9291720390319824 10.333555221557617 0
because 11 6 7 11.963255882263184 5.037444591522217 5.2961106300354
they 11 7 4 4.746933460235596 6.287106037139893 0
<unk> 11 8 5 4.812382221221924 5.068856239318848 1.218249797821045
? 11 9 1 3.1489810943603516 5.694498062133789 0
where 12 0 5 11.532628059387207 2.479736089706421 0
did 12 1 3 4.595797538757324 7.556439399719238 0
