word sentid sentpos wlen surp entropy entred
who 0 0 3 2.6309449672698975 4.428173065185547 0
do 0 1 2 7.964644432067871 2.961611747741699 1.4665613174438477
n't 0 2 3 25.03483009338379 5.605035781860352 0
we 0 3 2 10.153287887573242 8.66455364227295 0
believe 0 4 7 7.322190761566162 7.398921966552734 1.2656316757202148
the 0 5 3 9.620497703552246 2.0120184421539307 5.386903524398804
rumour 0 6 6 13.73009967803955 9.792335510253906 0
that 0 7 4 2.4697868824005127 6.079022407531738 3.713313102722168
<unk> 0 8 5 1.9091345071792603 4.532991886138916 1.5460305213928223
is 0 9 2 3.8117117881774902 7.16693115234375 0
dating 0 10 6 12.286528587341309 3.935410261154175 3.231520891189575
? 0 11 1 0.27565380930900574 1.271343469619751 2.664066791534424
how 1 0 3 7.2145843505859375 4.428173065185547 0
does 1 1 4 5.203512668609619 4.939182758331299 0
will 1 2 4 18.352807998657227 1.8724812269210815 3.0667015314102173
think 1 3 5 9.589447021484375 7.952763080596924 0
that 1 4 4 0.7617889046669006 2.8519601821899414 5.100802898406982
she 1 5 3 6.558679580688477 3.163553476333618 0
is 1 6 2 1.3708820343017578 5.082252025604248 0
dating 1 7 6 12.589512825012207 3.4239718914031982 1.6582801342010498
someone 1 8 7 11.649293899536133 1.6209710836410522 1.803000807762146
who 1 9 3 5.476583003997803 4.205137729644775 0
solves 1 10 6 11.684865951538086 4.761431694030762 0
? 1 11 1 0.16813649237155914 1.0707188844680786 3.690712809562683
what 2 0 4 1.4391615390777588 4.428173065185547 0
does 2 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
she 2 2 3 0.18108263611793518 0.8661280870437622 2.2351988554000854
believe 2 3 7 7.629693031311035 1.0541768074035645 0
the 2 4 3 11.912635803222656 0.6662131547927856 0.3879636526107788
rumour 2 5 6 13.670738220214844 9.36481761932373 0
that 2 6 4 2.0749478340148926 5.932256698608398 3.432560920715332
she 2 7 3 4.464992046356201 4.2780961990356445 1.654160499572754
might 2 8 5 8.037696838378906 5.517951011657715 0
have 2 9 4 6.150277614593506 6.544027328491211 0
this 2 10 4 12.328439712524414 6.377290725708008 0.16673660278320312
year 2 11 4 8.234020233154297 5.362185001373291 1.0151057243347168
? 2 12 1 0.4679505228996277 2.4430198669433594 2.9191651344299316
how 3 0 3 7.2145843505859375 4.428173065185547 0
many 3 1 4 6.193674564361572 4.939182758331299 0
cities 3 2 6 10.509614944458008 8.197003364562988 0
does 3 3 4 12.627695083618164 6.896620750427246 1.3003826141357422
he 3 4 2 4.412369728088379 6.507911682128906 0.38870906829833984
know 3 5 4 5.457011699676514 6.736003398895264 0
brothers 3 6 8 21.642791748046875 2.919137477874756 3.816865921020508
who 3 7 3 3.851929187774658 4.210623264312744 0
live 3 8 4 7.760461330413818 7.817584037780762 0
in 3 9 2 5.2577595710754395 3.074697732925415 4.742886304855347
? 3 10 1 3.7577590942382812 5.5065789222717285 0
who 4 0 3 2.6309449672698975 4.428173065185547 0
do 4 1 2 7.964644432067871 2.961611747741699 1.4665613174438477
they 4 2 4 5.541646480560303 5.605035781860352 0
believe 4 3 7 8.828503608703613 7.425602436065674 0
the 4 4 3 9.406387329101562 1.8325133323669434 5.5930891036987305
claim 4 5 5 11.173188209533691 9.989418029785156 0
that 4 6 4 1.9844436645507812 4.271949291229248 5.717468738555908
he 4 7 2 7.13035249710083 4.067025184631348 0.2049241065979004
likes 4 8 5 5.519552230834961 5.276962757110596 0
? 4 9 1 0.5704981684684753 1.8140056133270264 3.4629571437835693
what 5 0 4 1.4391615390777588 4.428173065185547 0
did 5 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
she 5 2 3 0.12516717612743378 0.7102361917495728 2.391090750694275
hear 5 3 4 7.67284631729126 0.8036713600158691 0
a 5 4 1 4.428608417510986 2.489269733428955 0
rumour 5 5 6 10.97966480255127 4.250508785247803 0
that 5 6 4 1.2455185651779175 1.6257950067520142 2.6247137784957886
<unk> 5 7 5 2.298401117324829 4.785287857055664 0
sleeps 5 8 6 11.700949668884277 6.7824931144714355 0
with 5 9 4 6.3881120681762695 0.7152997255325317 6.067193388938904
? 5 10 1 0.8088454008102417 2.928373336791992 0
how 6 0 3 7.2145843505859375 4.428173065185547 0
did 6 1 3 1.5020443201065063 4.939182758331299 0
my 6 2 2 14.006723403930664 1.8014779090881348 3.137704849243164
sister 6 3 6 10.271546363830566 8.50898551940918 0
say 6 4 3 4.108758449554443 7.746081352233887 0.762904167175293
that 6 5 4 0.7839020490646362 2.022099256515503 5.723982095718384
<unk> 6 6 5 3.896127700805664 3.7268755435943604 0
<unk> 6 7 5 6.361687660217285 6.835319519042969 0
thinks 6 8 6 4.446999549865723 6.970575332641602 0
that 6 9 4 1.2875394821166992 2.760481119155884 4.210094213485718
<unk> 6 10 5 3.5125527381896973 3.7199952602386475 0
solves 6 11 6 14.131689071655273 6.53513240814209 0
? 6 12 1 0.008063189685344696 0.0766168087720871 6.458515599370003
what 7 0 4 1.4391615390777588 4.428173065185547 0
does 7 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
she 7 2 3 0.18108263611793518 0.8661280870437622 2.2351988554000854
like 7 3 4 5.796350955963135 1.0541768074035645 0
the 7 4 3 7.465437889099121 2.7882440090179443 0
possibility 7 5 11 10.623995780944824 9.903166770935059 0
that 7 6 4 0.8265422582626343 1.937229037284851 7.9659377336502075
<unk> 7 7 5 2.5856077671051025 3.3323235511779785 0
dances 7 8 6 14.585229873657227 7.674768447875977 0
? 7 9 1 1.1370582580566406 4.423337936401367 3.2514305114746094
what 8 0 4 1.4391615390777588 4.428173065185547 0
do 8 1 2 2.2814228534698486 3.1013269424438477 1.3268461227416992
they 8 2 4 6.036873817443848 1.682064175605774 1.4192627668380737
not 8 3 3 6.914824485778809 5.078906536102295 0
believe 8 4 7 11.66759204864502 1.584069013595581 3.494837522506714
the 8 5 3 8.512752532958984 2.0657308101654053 0
rumour 8 6 6 13.418793678283691 10.143856048583984 0
that 8 7 4 2.6588308811187744 6.450544357299805 3.6933116912841797
he 8 8 2 6.8094892501831055 4.15777587890625 2.2927684783935547
will 8 9 4 8.433996200561523 5.480781555175781 0
buy 8 10 3 9.788911819458008 7.241445064544678 0
? 8 11 1 0.2287304848432541 1.303260087966919 5.938184976577759
where 9 0 5 8.298308372497559 4.428173065185547 0
do 9 1 2 9.18882942199707 6.733643054962158 0
they 9 2 4 4.31880521774292 2.4005515575408936 4.333091497421265
have 9 3 4 4.7598066329956055 7.252506256103516 0
a 9 4 1 4.686638832092285 6.4159345626831055 0.8365716934204102
window 9 5 6 11.25036907196045 9.509170532226562 0
that 9 6 4 5.080504894256592 3.9300880432128906 5.579082489013672
opens 9 7 5 10.083385467529297 7.806818008422852 0
? 9 8 1 1.7270352840423584 4.564472675323486 3.2423453330993652
what 10 0 4 1.4391615390777588 4.428173065185547 0
did 10 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
<unk> 10 2 5 8.077413558959961 0.7102361917495728 2.391090750694275
meet 10 3 4 13.079983711242676 4.230032920837402 0
someone 10 4 7 13.573801040649414 4.950449466705322 0
who 10 5 3 3.851818323135376 5.353906631469727 0
likes 10 6 5 5.933470249176025 4.766380310058594 0.5875263214111328
? 10 7 1 3.0649728775024414 2.7330949306488037 2.03328537940979
what 11 0 4 1.4391615390777588 4.428173065185547 0
does 11 1 4 5.7310590744018555 3.1013269424438477 1.3268461227416992
<unk> 11 2 5 8.146342277526855 0.8661280870437622 2.2351988554000854
believe 11 3 7 6.895751476287842 3.719407320022583 0
the 11 4 3 11.27524471282959 0.8541817665100098 2.8652255535125732
claim 11 5 5 10.870537757873535 9.468278884887695 0
that 11 6 4 1.7082058191299438 4.854712009429932 4.613566875457764
he 11 7 2 6.708985328674316 4.0095319747924805 0.8451800346374512
robbed 11 8 6 16.72458267211914 5.237746238708496 0
yesterday 11 9 9 17.20252799987793 3.2511494159698486 1.9865968227386475
? 11 10 1 0.5723040103912354 2.7780988216400146 0.473050594329834
who 12 0 3 2.6309449672698975 4.428173065185547 0
does 12 1 4 4.898122310638428 2.961611747741699 1.4665613174438477
n't 12 2 3 25.7955265045166 4.4573845863342285 0
<unk> 12 3 5 5.4194207191467285 7.902478218078613 0
believe 12 4 7 8.419500350952148 7.681139945983887 0.22133827209472656
the 12 5 3 9.60373306274414 1.8024448156356812 5.878695130348206
rumour 12 6 6 13.911194801330566 10.12777042388916 0
that 12 7 4 2.453273057937622 6.064184665679932 4.0635857582092285
<unk> 12 8 5 1.8160542249679565 4.318844318389893 1.745340347290039
is 12 9 2 3.881505012512207 7.144340991973877 0
dating 12 10 6 12.132851600646973 4.050920486450195 3.0934205055236816
? 12 11 1 0.3478001654148102 1.5132858753204346 2.5376346111297607
what 13 0 4 1.4391615390777588 4.428173065185547 0
did 13 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
he 13 2 2 6.052188396453857 0.7102361917495728 2.391090750694275
hear 13 3 4 6.582777500152588 1.2148741483688354 0
that 13 4 4 0.6638340950012207 2.5023739337921143 0
he 13 5 2 5.742587089538574 4.021392345428467 0
believes 13 6 8 9.154803276062012 5.099688529968262 0
that 13 7 4 0.7399221062660217 2.5438179969787598 2.555870532989502
he 13 8 2 5.778980255126953 3.771688461303711 0
will 13 9 4 8.509511947631836 4.611734867095947 0
buy 13 10 3 9.865371704101562 6.865246772766113 0
? 13 11 1 0.07628178596496582 0.5420423150062561 6.323204457759857
what 14 0 4 1.4391615390777588 4.428173065185547 0
did 14 1 3 0.923110842704773 3.1013269424438477 1.3268461227416992
they 14 2 4 6.270013332366943 0.7102361917495728 2.391090750694275
rob 14 3 3 16.87769889831543 4.463996410369873 0
someone 14 4 7 12.944814682006836 5.132072925567627 0
who 14 5 3 2.5720419883728027 4.9979777336120605 0.1340951919555664
bought 14 6 6 10.129172325134277 5.425008296966553 0
yesterday 14 7 9 17.6553897857666 4.944990158081055 0.48001813888549805
? 14 8 1 1.2896702289581299 4.288262844085693 0.6567273139953613
what 15 0 4 1.4391615390777588 4.428173065185547 0
do 15 1 2 2.2814228534698486 3.1013269424438477 1.3268461227416992
they 15 2 4 6.036873817443848 1.682064175605774 1.4192627668380737
whisper 15 3 7 16.641366958618164 5.078906536102295 0
the 15 4 3 7.786698341369629 3.2593441009521484 1.8195624351501465
extravagant 15 5 11 16.120960235595703 9.548406600952148 0
claim 15 6 5 13.106413841247559 10.812554359436035 0
that 15 7 4 2.501826047897339 2.233720302581787 8.578834056854248
