word sentid sentpos wlen surp entropy entred
what 0 0 4 0.6246620416641235 2.2328031063079834 0
did 0 1 3 3.2241222858428955 4.342137336730957 0
i 0 2 1 6.884674549102783 4.8967366218566895 0
buy 0 3 3 10.210809707641602 7.221863746643066 0
a 0 4 1 3.2890148162841797 6.6496148109436035 0.5722489356994629
guitar 0 5 6 13.599690437316895 6.510397434234619 0.13921737670898438
for 0 6 3 5.261562824249268 7.054797649383545 0
myself 0 7 6 12.087928771972656 5.177594184875488 1.8772034645080566
because 0 8 7 13.06997013092041 3.996126413345337 1.1814677715301514
they 0 9 4 3.0759854316711426 4.476742267608643 0
heard 0 10 5 8.445755958557129 6.53235387802124 0
? 0 11 1 7.204499244689941 6.3507890701293945 0.1815648078918457
what 1 0 4 0.6246620416641235 2.2328031063079834 0
will 1 1 4 9.063970565795898 4.342137336730957 0
they 1 2 4 7.230218887329102 3.0473105907440186 1.2948267459869385
fail 1 3 4 10.332230567932129 7.396198749542236 0
the 1 4 3 6.310934543609619 6.206753253936768 1.1894454956054688
test 1 5 4 13.137619972229004 8.253808975219727 0
if 1 6 2 9.967782974243164 7.792360782623291 0.46144819259643555
they 1 7 4 3.023193597793579 5.763485431671143 2.0288753509521484
do 1 8 2 4.30777645111084 6.481486797332764 0
not 1 9 3 5.851204872131348 7.518208026885986 0
? 1 10 1 6.758974552154541 7.3313069343566895 0.18690109252929688
whom 2 0 4 2.2959067821502686 2.2328031063079834 0
will 2 1 4 8.367688179016113 4.598825931549072 0
he 2 2 2 7.950951099395752 4.428762912750244 0.17006301879882812
hire 2 3 4 13.441045761108398 5.273346424102783 0
someone 2 4 7 6.420760154724121 6.649162292480469 0
if 2 5 2 8.650289535522461 5.708741664886475 0.9404206275939941
i 2 6 1 5.9786906242370605 5.4661712646484375 0.2425704002380371
need 2 7 4 8.858964920043945 6.845149040222168 0
? 2 8 1 5.473175048828125 7.1050519943237305 0
what 3 0 4 0.6246620416641235 2.2328031063079834 0
has 3 1 3 4.35761022567749 4.342137336730957 0
he 3 2 2 8.582677841186523 6.824283123016357 0
been 3 3 4 4.963454723358154 8.060426712036133 0
circulating 3 4 11 12.15916919708252 8.136642456054688 0
who 3 5 3 9.952862739562988 5.399160861968994 2.7374815940856934
he 3 6 2 8.577719688415527 7.68829870223999 0
thought 3 7 7 10.609845161437988 6.836738109588623 0.8515605926513672
was 3 8 3 5.410109043121338 5.286186218261719 1.5505518913269043
? 3 9 1 11.580060958862305 4.331018924713135 0.955167293548584
what 4 0 4 0.6246620416641235 2.2328031063079834 0
will 4 1 4 9.063970565795898 4.342137336730957 0
he 4 2 2 8.024459838867188 3.0473105907440186 1.2948267459869385
try 4 3 3 9.946231842041016 6.231249809265137 0
to 4 4 2 3.527427911758423 7.3872456550598145 0
call 4 5 4 7.575246810913086 6.997993469238281 0.3892521858215332
you 4 6 3 6.952910423278809 6.136782646179199 0.861210823059082
if 4 7 2 9.728729248046875 7.19085168838501 0
she 4 8 3 6.019451141357422 5.487790584564209 1.7030611038208008
buys 4 9 4 13.94861888885498 5.67314338684082 0
? 4 10 1 2.5026135444641113 6.991569995880127 0
what 5 0 4 0.6246620416641235 2.2328031063079834 0
did 5 1 3 3.2241222858428955 4.342137336730957 0
she 5 2 3 7.357629776000977 4.8967366218566895 0
say 5 3 3 7.309356212615967 7.590593338012695 0
she 5 4 3 9.173303604125977 3.789569854736328 3.801023483276367
would 5 5 5 5.517392158508301 6.790865898132324 0
like 5 6 4 6.86136531829834 3.3273067474365234 3.463559150695801
the 5 7 3 4.89465856552124 6.50662088394165 0
man 5 8 3 11.39361572265625 9.17658519744873 0
if 5 9 2 10.652730941772461 7.088639736175537 2.0879454612731934
he 5 10 2 3.942812442779541 5.384024620056152 1.7046151161193848
read 5 11 4 5.9405670166015625 6.5653228759765625 0
? 5 12 1 4.308775424957275 5.9393086433410645 0.626014232635498
where 6 0 5 9.045042991638184 2.2328031063079834 0
did 6 1 3 8.883790969848633 5.829317569732666 0
i 6 2 1 6.9092817306518555 5.564246654510498 0.26507091522216797
buy 6 3 3 10.201741218566895 7.368817329406738 0
a 6 4 1 2.8047213554382324 5.978700160980225 1.3901171684265137
coffee 6 5 6 8.809576988220215 7.961155414581299 0
for 6 6 3 10.652365684509277 4.918453693389893 3.0427017211914062
myself 6 7 6 10.890913963317871 6.524532794952393 0
because 6 8 7 9.547404289245605 3.6609678268432617 2.863564968109131
i 6 9 1 4.288355827331543 4.4576897621154785 0
went 6 10 4 5.6431965827941895 7.391827583312988 0
? 6 11 1 5.6055803298950195 5.6940131187438965 1.6978144645690918
what 7 0 4 0.6246620416641235 2.2328031063079834 0
will 7 1 4 9.063970565795898 4.342137336730957 0
he 7 2 2 8.024459838867188 3.0473105907440186 1.2948267459869385
circulate 7 3 9 14.862706184387207 6.231249809265137 0
a 7 4 1 6.2977495193481445 6.662243843078613 0
call 7 5 4 10.199593544006348 5.638340473175049 1.0239033699035645
if 7 6 2 9.10853385925293 5.327834606170654 0.31050586700439453
she 7 7 3 6.120841979980469 5.948151588439941 0
buys 7 8 4 13.939533233642578 5.847513198852539 0.10063838958740234
? 7 9 1 2.6288001537323 7.0734453201293945 0
whom 8 0 4 2.2959067821502686 2.2328031063079834 0
did 8 1 3 3.058074712753296 4.598825931549072 0
she 8 2 3 7.67371129989624 5.678889751434326 0
say 8 3 3 7.716220378875732 8.00887393951416 0
that 8 4 4 4.268795967102051 6.340970993041992 1.667902946472168
she 8 5 3 5.0642499923706055 6.154212951660156 0.18675804138183594
gave 8 6 4 7.46433162689209 7.135280132293701 0
a 8 7 1 4.087581634521484 6.957159996032715 0.17812013626098633
guitar 8 8 6 14.984801292419434 6.523448944091797 0.43371105194091797
to 8 9 2 7.078749656677246 7.734797477722168 0
me 8 10 2 8.206138610839844 6.713366985321045 1.021430492401123
when 8 11 4 7.929961681365967 5.951719760894775 0.7616472244262695
i 8 12 1 5.379156589508057 5.803914546966553 0.14780521392822266
hired 8 13 5 13.225129127502441 5.784922122955322 0.01899242401123047
? 8 14 1 8.741100311279297 6.243541240692139 0
what 9 0 4 0.6246620416641235 2.2328031063079834 0
did 9 1 3 3.2241222858428955 4.342137336730957 0
he 9 2 2 5.794140815734863 4.8967366218566895 0
get 9 3 3 9.580406188964844 7.360719203948975 0
a 9 4 1 4.462743759155273 7.308486461639404 0.05223274230957031
new 9 5 3 7.707052230834961 5.129756450653076 2.178730010986328
phone 9 6 5 9.291802406311035 7.654537677764893 0
for 9 7 3 6.661250114440918 7.706118106842041 0
<unk> 9 8 5 2.534383535385132 5.1756768226623535 2.5304412841796875
because 9 9 7 12.27497386932373 6.078474521636963 0
she 9 10 3 6.28733491897583 4.260687351226807 1.8177871704101562
saw 9 11 3 3.7810564041137695 6.841615676879883 0
? 9 12 1 7.439347743988037 7.671183109283447 0
what 10 0 4 0.6246620416641235 2.2328031063079834 0
did 10 1 3 3.2241222858428955 4.342137336730957 0
you 10 2 3 6.259377479553223 4.8967366218566895 0
need 10 3 4 8.489100456237793 7.588452339172363 0
to 10 4 2 4.423826694488525 6.6401848793029785 0.9482674598693848
do 10 5 2 4.12281608581543 5.3178510665893555 1.322333812713623
that 10 6 4 3.1589279174804688 6.171393871307373 0
if 10 7 2 8.586968421936035 7.18294620513916 0
you 10 8 3 4.044155120849609 5.51747465133667 1.6654715538024902
were 10 9 4 3.422112226486206 6.8732805252075195 0
to 10 10 2 7.307845592498779 7.678997039794922 0
go 10 11 2 8.380476951599121 3.4023654460906982 4.276631593704224
and 10 12 3 7.101725101470947 5.505115985870361 0
buy 10 13 3 8.88520622253418 7.549801826477051 0
? 10 14 1 5.248808860778809 5.760723114013672 1.789078712463379
what 11 0 4 0.6246620416641235 2.2328031063079834 0
did 11 1 3 3.2241222858428955 4.342137336730957 0
she 11 2 3 7.357629776000977 4.8967366218566895 0
eat 11 3 3 13.6284761428833 7.590593338012695 0
the 11 4 3 5.5045599937438965 6.687866687774658 0.9027266502380371
<unk> 11 5 5 4.214320182800293 9.202784538269043 0
because 11 6 7 13.068279266357422 8.171282768249512 1.0315017700195312
they 11 7 4 2.386953353881836 4.328772068023682 3.84251070022583
<unk> 11 8 5 5.168441295623779 6.293715476989746 0
? 11 9 1 5.256398677825928 4.334442615509033 1.959272861480713
where 12 0 5 9.045042991638184 2.2328031063079834 0
did 12 1 3 8.883790969848633 5.829317569732666 0
she 12 2 3 6.989081859588623 5.564246654510498 0.26507091522216797
say 12 3 3 7.244114398956299 8.220475196838379 0
that 12 4 4 2.6628522872924805 5.961413383483887 2.259061813354492
he 12 5 2 3.7930891513824463 6.6979241371154785 0
will 12 6 4 9.590176582336426 7.27791690826416 0
hear 12 7 4 8.778423309326172 6.014068603515625 1.2638483047485352
a 12 8 1 5.095304012298584 6.947617053985596 0
rumour 12 9 6 13.269006729125977 6.645044803619385 0.30257225036621094
if 12 10 2 8.849218368530273 2.6369659900665283 4.0080788135528564
she 12 11 3 4.867115020751953 5.6565961837768555 0
is 12 12 2 4.36987829208374 6.036134719848633 0
? 12 13 1 9.389552116394043 2.007371664047241 4.028763055801392
what 13 0 4 0.6246620416641235 2.2328031063079834 0
does 13 1 4 2.7486824989318848 4.342137336730957 0
he 13 2 2 6.1393046379089355 4.764221668243408 0
speak 13 3 5 10.24130916595459 7.46943473815918 0
a 13 4 1 6.022809028625488 6.496341705322266 0.9730930328369141
<unk> 13 5 5 0.8028638958930969 4.784353256225586 1.7119884490966797
language 13 6 8 1.0400766134262085 4.542198181152344 0.2421550750732422
because 13 7 7 12.842792510986328 4.190762996673584 0.35143518447875977
you 13 8 3 5.64324426651001 5.109838008880615 0
were 13 9 4 6.010789394378662 6.80658483505249 0
? 13 10 1 6.64509391784668 7.578474521636963 0
who 14 0 3 5.251245975494385 2.2328031063079834 0
did 14 1 3 4.8804521560668945 6.2485880851745605 0
she 14 2 3 8.573988914489746 6.185328483581543 0.06325960159301758
say 14 3 3 8.678403854370117 7.9458394050598145 0
that 14 4 4 3.4942924976348877 6.309937000274658 1.6359024047851562
she 14 5 3 4.9892354011535645 6.539501190185547 0
wears 14 6 5 11.055916786193848 6.926331520080566 0
extravagant 14 7 11 18.290380477905273 7.913878917694092 0
rings 14 8 5 10.684883117675781 9.383689880371094 0
when 14 9 4 10.94385051727295 6.3116135597229 3.0720763206481934
she 14 10 3 3.1796751022338867 6.075014591217041 0.23659896850585938
is 14 11 2 3.214101552963257 7.164452075958252 0
waiting 14 12 7 10.954310417175293 3.0376200675964355 4.126832008361816
for 14 13 3 0.08470281213521957 0.6379055976867676 2.399714469909668
? 14 14 1 4.9326581954956055 5.815331935882568 0
what 15 0 4 0.6246620416641235 2.2328031063079834 0
does 15 1 4 2.7486824989318848 4.342137336730957 0
<unk> 15 2 5 4.671548366546631 4.764221668243408 0
eat 15 3 3 13.229005813598633 7.420477390289307 0
a 15 4 1 3.092388153076172 6.495481491088867 0.9249958992004395
yellow 15 5 6 15.914223670959473 5.550014972686768 0.9454665184020996
candy 15 6 5 13.386809349060059 6.75333309173584 0
whenever 15 7 8 18.281633377075195 4.9833855628967285 1.7699475288391113
<unk> 15 8 5 3.911363363265991 6.325279712677002 0
watches 15 9 7 11.038018226623535 6.942380428314209 0
? 15 10 1 1.1164648532867432 5.039515018463135 1.9028654098510742
whom 16 0 4 2.2959067821502686 2.2328031063079834 0
did 16 1 3 3.058074712753296 4.598825931549072 0
the 16 2 3 1.9875298738479614 5.678889751434326 0
pregnant 16 3 8 15.780455589294434 8.977801322937012 0
teddy 16 4 5 14.89329719543457 7.380338191986084 1.5974631309509277
bear 16 5 4 3.064750909805298 6.754942417144775 0.6253957748413086
assert 16 6 6 22.20050621032715 6.540459632873535 0.21448278427124023
that 16 7 4 3.129319429397583 5.288147926330566 1.2523117065429688
<unk> 16 8 5 2.953533411026001 5.938307285308838 0
<unk> 16 9 5 2.7401480674743652 7.434434413909912 0
came 16 10 4 9.411249160766602 7.396329879760742 0.03810453414916992
because 16 11 7 9.962944984436035 5.845242977142334 1.5510869026184082
<unk> 16 12 5 3.8818795680999756 4.640674114227295 1.204568862915039
hired 16 13 5 12.345869064331055 6.9069600105285645 0
? 16 14 1 9.976447105407715 6.039561748504639 0.8673982620239258
what 17 0 4 0.6246620416641235 2.2328031063079834 0
did 17 1 3 3.2241222858428955 4.342137336730957 0
<unk> 17 2 5 4.855919361114502 4.8967366218566895 0
solve 17 3 5 13.743413925170898 7.866206645965576 0
problems 17 4 8 8.326408386230469 5.8315300941467285 2.0346765518188477
by 17 5 2 6.435441970825195 6.0783538818359375 0
<unk> 17 6 5 1.6208699941635132 5.875038146972656 0.20331573486328125
analysis 17 7 8 15.760313987731934 5.985878944396973 0
because 17 8 7 11.854928016662598 6.421586990356445 0
will 17 9 4 15.728561401367188 4.293239593505859 2.128347396850586
loaned 17 10 6 23.24645233154297 6.593643665313721 0
him 17 11 3 5.3567938804626465 5.28076171875 1.3128819465637207
? 17 12 1 6.604630947113037 6.6920318603515625 0
what 18 0 4 0.6246620416641235 2.2328031063079834 0
did 18 1 3 3.2241222858428955 4.342137336730957 0
<unk> 18 2 5 4.855919361114502 4.8967366218566895 0
dance 18 3 5 14.320700645446777 7.866206645965576 0
a 18 4 1 7.8676862716674805 4.892672538757324 2.973534107208252
ballet 18 5 6 14.093616485595703 4.779252529144287 0.11342000961303711
when 18 6 4 9.274845123291016 6.972497940063477 0
the 18 7 3 2.588510036468506 6.288976192474365 0.6835217475891113
pretty 18 8 6 15.831196784973145 8.744915008544922 0
agent 18 9 5 16.991863250732422 8.464953422546387 0.27996158599853516
stole 18 10 5 9.993902206420898 8.083389282226562 0.3815641403198242
? 18 11 1 3.8135364055633545 6.661205768585205 1.4221835136413574
what 19 0 4 0.6246620416641235 2.2328031063079834 0
will 19 1 4 9.063970565795898 4.342137336730957 0
i 19 2 1 8.419931411743164 3.0473105907440186 1.2948267459869385
eat 19 3 3 12.291180610656738 6.5448198318481445 0
scandalous 19 4 10 21.053926467895508 6.197477340698242 0.34734249114990234
<unk> 19 5 5 7.196139335632324 2.7209439277648926 3.4765334129333496
if 19 6 2 10.993152618408203 3.5356600284576416 0
the 19 7 3 3.0220465660095215 5.593343734741211 0
<unk> 19 8 5 4.231091499328613 9.224723815917969 0
woman 19 9 5 11.194518089294434 9.090052604675293 0.13467121124267578
sings 19 10 5 8.555946350097656 4.923282146453857 4.1667704582214355
? 19 11 1 2.960840940475464 6.208089351654053 0
what 20 0 4 0.6246620416641235 2.2328031063079834 0
will 20 1 4 9.063970565795898 4.342137336730957 0
the 20 2 3 5.5828728675842285 3.0473105907440186 1.2948267459869385
blue 20 3 4 13.62116527557373 7.578713893890381 0
brothers 20 4 8 10.690356254577637 8.28095817565918 0
date 20 5 4 12.334875106811523 8.267783164978027 0.013175010681152344
<unk> 20 6 5 4.601320743560791 6.484585285186768 1.7831978797912598
and 20 7 3 6.510695457458496 6.525492191314697 0
direct 20 8 6 13.507838249206543 6.91698694229126 0
the 20 9 3 2.1337597370147705 6.5304765701293945 0.38651037216186523
<unk> 20 10 5 3.775542736053467 8.770998001098633 0
movie 20 11 5 6.222965240478516 8.558818817138672 0.21217918395996094
if 20 12 2 9.668791770935059 6.720373630523682 1.8384451866149902
he 20 13 2 4.770572185516357 5.917074203491211 0.8032994270324707
gets 20 14 4 7.541898727416992 6.031434535980225 0
? 20 15 1 4.1313605308532715 8.341019630432129 0
what 21 0 4 0.6246620416641235 2.2328031063079834 0
does 21 1 4 2.7486824989318848 4.342137336730957 0
<unk> 21 2 5 4.671548366546631 4.764221668243408 0
<unk> 21 3 5 2.284444808959961 7.420477390289307 0
like 21 4 4 6.927396297454834 6.483771324157715 0.9367060661315918
the 21 5 3 4.587893962860107 7.243293762207031 0
discreet 21 6 8 20.07495880126953 9.090375900268555 0
agent 21 7 5 14.892007827758789 8.672979354858398 0.41739654541015625
who 21 8 3 6.642664909362793 7.341644763946533 1.3313345909118652
robbed 21 9 6 17.113746643066406 6.443655967712402 0.8979887962341309
? 21 10 1 5.465359210968018 5.510047435760498 0.9336085319519043
where 22 0 5 9.045042991638184 2.2328031063079834 0
did 22 1 3 8.883790969848633 5.829317569732666 0
<unk> 22 2 5 4.832850456237793 5.564246654510498 0.26507091522216797
announce 22 3 8 13.017682075500488 8.189958572387695 0
a 22 4 1 3.614428758621216 5.208479404449463 2.9814791679382324
party 22 5 5 11.43856143951416 8.262284278869629 0
boat 22 6 4 16.123035430908203 6.524747848510742 1.7375364303588867
when 22 7 4 9.109244346618652 7.836375713348389 0
i 22 8 1 5.911077976226807 6.051490306854248 1.7848854064941406
went 22 9 4 6.227946758270264 5.801000118255615 0.2504901885986328
? 22 10 1 6.686059951782227 6.273431777954102 0
where 23 0 5 9.045042991638184 2.2328031063079834 0
did 23 1 3 8.883790969848633 5.829317569732666 0
<unk> 23 2 5 4.832850456237793 5.564246654510498 0.26507091522216797
<unk> 23 3 5 2.567638635635376 8.189958572387695 0
that 23 4 4 7.919143199920654 7.005771160125732 1.184187412261963
the 23 5 3 4.8018107414245605 7.042412281036377 0
pretty 23 6 6 16.17438507080078 9.42878532409668 0
window 23 7 6 13.869074821472168 8.53115463256836 0.8976306915283203
was 23 8 3 5.957241535186768 7.405696868896484 1.125457763671875
silly 23 9 5 16.92518424987793 5.2820634841918945 2.12363338470459
when 23 10 4 8.189962387084961 4.1078009605407715 1.174262523651123
<unk> 23 11 5 3.737194776535034 6.6270976066589355 0
arrived 23 12 7 7.976503849029541 7.66330623626709 0
? 23 13 1 6.172879219055176 6.057195663452148 1.6061105728149414
what 24 0 4 0.6246620416641235 2.2328031063079834 0
will 24 1 4 9.063970565795898 4.342137336730957 0
<unk> 24 2 5 5.626258850097656 3.0473105907440186 1.2948267459869385
wait 24 3 4 12.237371444702148 6.9249396324157715 0
for 24 4 3 0.477020800113678 2.503410816192627 4.4215288162231445
a 24 5 1 3.6982860565185547 5.4089741706848145 0
homework 24 6 8 19.115808486938477 5.553318023681641 0
if 24 7 2 11.480880737304688 8.282770156860352 0
he 24 8 2 4.184524059295654 5.69289493560791 2.5898752212524414
sings 24 9 5 9.263864517211914 6.20859956741333 0
? 24 10 1 4.065954685211182 6.260480880737305 0
