word sentid sentpos wlen surp entropy entred
who 0 0 3 8.366412162780762 4.113549709320068 0
do 0 1 2 8.425650596618652 7.4585490226745605 0
n't 0 2 3 23.420129776000977 6.807422637939453 0.6511263847351074
we 0 3 2 9.289669036865234 6.983343124389648 0
believe 0 4 7 11.75124454498291 6.372008800506592 0.6113343238830566
the 0 5 3 7.523581504821777 4.691160678863525 1.6808481216430664
rumour 0 6 6 14.036381721496582 10.18253231048584 0
that 0 7 4 0.6088677644729614 3.0999486446380615 7.082583665847778
<unk> 0 8 5 4.4697585105896 6.802763938903809 0
is 0 9 2 6.889392375946045 6.6821699142456055 0.12059402465820312
dating 0 10 6 13.403411865234375 5.7763214111328125 0.905848503112793
? 0 11 1 3.219343900680542 6.747607231140137 0
how 1 0 3 11.784708023071289 4.113549709320068 0
does 1 1 4 6.258462905883789 7.019876480102539 0
will 1 2 4 9.619406700134277 5.929819583892822 1.0900568962097168
think 1 3 5 11.539200782775879 7.3249125480651855 0
that 1 4 4 1.633950114250183 5.245874404907227 2.079038143157959
she 1 5 3 5.667192459106445 7.072012424468994 0
is 1 6 2 7.472728252410889 4.842348575592041 2.229663848876953
dating 1 7 6 13.521665573120117 5.639877796173096 0
someone 1 8 7 8.113962173461914 6.719985485076904 0
who 1 9 3 5.173304080963135 4.200565338134766 2.5194201469421387
solves 1 10 6 17.56553840637207 7.215132236480713 0
? 1 11 1 4.907648086547852 7.876598834991455 0
what 2 0 4 4.710147857666016 4.113549709320068 0
does 2 1 4 8.862961769104004 7.085364818572998 0
she 2 2 3 6.207908630371094 6.029197692871094 1.0561671257019043
believe 2 3 7 12.330215454101562 5.229425430297852 0.7997722625732422
the 2 4 3 7.498034477233887 3.868385076522827 1.3610403537750244
rumour 2 5 6 12.668280601501465 10.576993942260742 0
that 2 6 4 0.5037279725074768 2.7683539390563965 7.808640003204346
she 2 7 3 3.2063021659851074 6.533995628356934 0
might 2 8 5 8.783495903015137 4.814716815948486 1.7192788124084473
have 2 9 4 6.428238868713379 6.948154926300049 0
this 2 10 4 10.127209663391113 7.887737274169922 0
year 2 11 4 10.38461685180664 7.7918267250061035 0.09591054916381836
? 2 12 1 2.5672144889831543 5.981586933135986 1.8102397918701172
how 3 0 3 11.784708023071289 4.113549709320068 0
many 3 1 4 8.549882888793945 7.019876480102539 0
cities 3 2 6 11.055310249328613 8.238703727722168 0
does 3 3 4 10.041574478149414 5.582090854644775 2.6566128730773926
he 3 4 2 3.447913646697998 6.993860721588135 0
know 3 5 4 10.508077621459961 6.4981560707092285 0.49570465087890625
brothers 3 6 8 16.419025421142578 5.62748384475708 0.8706722259521484
who 3 7 3 6.019601821899414 4.599202632904053 1.0282812118530273
live 3 8 4 8.473886489868164 7.372642517089844 0
in 3 9 2 5.089793682098389 6.7544026374816895 0.6182398796081543
? 3 10 1 7.3567795753479 6.89946174621582 0
who 4 0 3 8.366412162780762 4.113549709320068 0
do 4 1 2 8.425650596618652 7.4585490226745605 0
they 4 2 4 5.716202735900879 6.807422637939453 0.6511263847351074
believe 4 3 7 12.111295700073242 5.973535537719727 0.8338871002197266
the 4 4 3 7.166696071624756 4.477962970733643 1.495572566986084
claim 4 5 5 11.475870132446289 10.702710151672363 0
that 4 6 4 0.6910120844841003 3.4306788444519043 7.272031307220459
he 4 7 2 3.1477808952331543 6.832971096038818 0
likes 4 8 5 13.613351821899414 4.6888041496276855 2.144166946411133
? 4 9 1 4.9055328369140625 6.166393280029297 0
what 5 0 4 4.710147857666016 4.113549709320068 0
did 5 1 3 6.765474319458008 7.085364818572998 0
she 5 2 3 5.790910243988037 6.110971450805664 0.974393367767334
hear 5 3 4 10.960284233093262 5.028339862823486 1.0826315879821777
a 5 4 1 4.663906097412109 5.8438286781311035 0
rumour 5 5 6 11.22314453125 9.571450233459473 0
that 5 6 4 0.5491839647293091 2.608929395675659 6.9625208377838135
<unk> 5 7 5 4.244013786315918 6.39191198348999 0
sleeps 5 8 6 17.146774291992188 6.462242603302002 0
with 5 9 4 5.560434818267822 5.925086498260498 0.5371561050415039
? 5 10 1 5.4961748123168945 6.553518772125244 0
how 6 0 3 11.784708023071289 4.113549709320068 0
did 6 1 3 4.562579154968262 7.019876480102539 0
my 6 2 2 9.183737754821777 6.068896293640137 0.9509801864624023
sister 6 3 6 12.239568710327148 5.856860160827637 0.2120361328125
say 6 4 3 10.834908485412598 6.8388671875 0
that 6 5 4 1.3815542459487915 4.762818813323975 2.0760483741760254
<unk> 6 6 5 4.769864559173584 6.484798431396484 0
<unk> 6 7 5 4.690961837768555 6.1595025062561035 0.32529592514038086
thinks 6 8 6 13.341530799865723 6.191711902618408 0
that 6 9 4 1.58278489112854 4.621001243591309 1.5707106590270996
<unk> 6 10 5 4.694540023803711 6.523782730102539 0
solves 6 11 6 19.445125579833984 6.159804344177246 0.36397838592529297
? 6 12 1 4.982658863067627 7.756608009338379 0
what 7 0 4 4.710147857666016 4.113549709320068 0
does 7 1 4 8.862961769104004 7.085364818572998 0
she 7 2 3 6.207908630371094 6.029197692871094 1.0561671257019043
like 7 3 4 8.325529098510742 5.229425430297852 0.7997722625732422
the 7 4 3 7.476473808288574 6.058562755584717 0
possibility 7 5 11 12.266162872314453 10.269917488098145 0
that 7 6 4 0.5770772695541382 2.8264102935791016 7.443507194519043
<unk> 7 7 5 4.497322082519531 6.53558349609375 0
dances 7 8 6 15.412928581237793 6.71804666519165 0
? 7 9 1 4.678886413574219 6.7269206047058105 0
what 8 0 4 4.710147857666016 4.113549709320068 0
do 8 1 2 9.569334030151367 7.085364818572998 0
they 8 2 4 5.39233922958374 5.620708465576172 1.4646563529968262
not 8 3 3 8.39654541015625 5.5931525230407715 0.02755594253540039
believe 8 4 7 11.782268524169922 7.6540398597717285 0
the 8 5 3 7.425686836242676 4.859729290008545 2.7943105697631836
rumour 8 6 6 13.707986831665039 10.191808700561523 0
that 8 7 4 0.7267410159111023 3.297104597091675 6.894704103469849
he 8 8 2 3.0406408309936523 6.549503803253174 0
will 8 9 4 8.059355735778809 5.233607769012451 1.3158960342407227
buy 8 10 3 9.449638366699219 7.275746822357178 0
? 8 11 1 3.9331774711608887 6.950005531311035 0.3257412910461426
where 9 0 5 9.87356185913086 4.113549709320068 0
do 9 1 2 9.969701766967773 6.8527936935424805 0
they 9 2 4 4.275276184082031 5.699384689331055 1.1534090042114258
have 9 3 4 6.246964454650879 5.884199142456055 0
a 9 4 1 3.9319727420806885 7.6670823097229 0
window 9 5 6 11.644319534301758 9.628853797912598 0
that 9 6 4 2.4299960136413574 6.838510513305664 2.7903432846069336
opens 9 7 5 14.03571891784668 7.309532165527344 0
? 9 8 1 5.73845100402832 7.56817102432251 0
what 10 0 4 4.710147857666016 4.113549709320068 0
did 10 1 3 6.765474319458008 7.085364818572998 0
<unk> 10 2 5 3.630396604537964 6.110971450805664 0.974393367767334
meet 10 3 4 13.291391372680664 6.601361274719238 0
someone 10 4 7 9.9049711227417 6.67545223236084 0
who 10 5 3 5.403880596160889 4.052456378936768 2.6229958534240723
likes 10 6 5 13.213754653930664 7.507739067077637 0
? 10 7 1 6.09671688079834 6.357438564300537 1.1503005027770996
what 11 0 4 4.710147857666016 4.113549709320068 0
does 11 1 4 8.862961769104004 7.085364818572998 0
<unk> 11 2 5 3.4999232292175293 6.029197692871094 1.0561671257019043
believe 11 3 7 11.618407249450684 6.3157429695129395 0
the 11 4 3 7.040817737579346 3.9043290615081787 2.4114139080047607
claim 11 5 5 11.154460906982422 10.640120506286621 0
that 11 6 4 0.6952159404754639 3.4792840480804443 7.160836458206177
he 11 7 2 2.8453266620635986 6.843536376953125 0
robbed 11 8 6 18.479801177978516 4.738656520843506 2.104879856109619
yesterday 11 9 9 15.986004829406738 6.874649524688721 0
? 11 10 1 3.8612594604492188 5.907040596008301 0.9676089286804199
who 12 0 3 8.366412162780762 4.113549709320068 0
