word sentid sentpos wlen surp entropy entred
who 0 0 3 5.43345832824707 2.0428497791290283 0
do 0 1 2 9.520779609680176 6.167061805725098 0
n't 0 2 3 24.31551170349121 6.524293899536133 0
we 0 3 2 9.606315612792969 9.207687377929688 0
believe 0 4 7 7.620774269104004 7.884317874908447 1.3233695030212402
the 0 5 3 3.685822010040283 6.707885265350342 1.1764326095581055
rumour 0 6 6 14.307975769042969 9.190673828125 0
that 0 7 4 5.301004886627197 1.128947377204895 8.061726450920105
<unk> 0 8 5 4.397000312805176 6.315243721008301 0
is 0 9 2 5.444334983825684 9.035520553588867 0
dating 0 10 6 13.836411476135254 4.413906574249268 4.6216139793396
? 0 11 1 6.888787269592285 6.32162618637085 0
how 1 0 3 7.228347301483154 2.0428497791290283 0
does 1 1 4 6.260842800140381 7.151403427124023 0
will 1 2 4 14.805517196655273 5.652149677276611 1.499253749847412
think 1 3 5 10.00804328918457 6.800328731536865 0
that 1 4 4 3.5108187198638916 6.06632137298584 0.7340073585510254
she 1 5 3 7.15824556350708 8.111068725585938 0
is 1 6 2 4.968754768371582 7.613583087921143 0.4974856376647949
dating 1 7 6 12.369099617004395 5.526472568511963 2.0871105194091797
someone 1 8 7 8.031211853027344 5.981616497039795 0
who 1 9 3 3.784916639328003 4.587396621704102 1.3942198753356934
solves 1 10 6 13.454853057861328 5.97012996673584 0
? 1 11 1 8.981624603271484 6.129397869110107 0
what 2 0 4 0.5676602125167847 2.0428497791290283 0
does 2 1 4 3.422555685043335 5.388571262359619 0
she 2 2 3 8.304369926452637 4.520507335662842 0.8680639266967773
believe 2 3 7 8.58594799041748 8.697383880615234 0
the 2 4 3 4.269383430480957 6.5651726722717285 2.132211208343506
rumour 2 5 6 14.927926063537598 8.389208793640137 0
that 2 6 4 6.949676513671875 0.7595382332801819 7.629670560359955
she 2 7 3 5.5798258781433105 7.513756275177002 0
might 2 8 5 7.116688251495361 8.141390800476074 0
have 2 9 4 3.7405827045440674 6.779806613922119 1.361584186553955
this 2 10 4 10.774599075317383 8.395264625549316 0
year 2 11 4 8.760417938232422 9.26416015625 0
? 2 12 1 3.853041172027588 7.930034160614014 1.3341259956359863
how 3 0 3 7.228347301483154 2.0428497791290283 0
many 3 1 4 5.885765075683594 7.151403427124023 0
cities 3 2 6 9.978869438171387 8.524675369262695 0
does 3 3 4 12.482827186584473 7.471569538116455 1.0531058311462402
he 3 4 2 7.870615482330322 7.361223220825195 0.11034631729125977
know 3 5 4 5.771010398864746 9.364215850830078 0
brothers 3 6 8 16.60036849975586 6.787320137023926 2.5768957138061523
who 3 7 3 5.631848335266113 7.595202922821045 0
live 3 8 4 9.39517879486084 7.274117469787598 0.32108545303344727
in 3 9 2 3.399667739868164 7.128521919250488 0.14559555053710938
? 3 10 1 11.644220352172852 6.059024333953857 1.0694975852966309
who 4 0 3 5.43345832824707 2.0428497791290283 0
do 4 1 2 9.520779609680176 6.167061805725098 0
they 4 2 4 8.510709762573242 6.524293899536133 0
believe 4 3 7 7.6367340087890625 9.046330451965332 0
the 4 4 3 3.4311439990997314 6.4515156745910645 2.5948147773742676
claim 4 5 5 12.133491516113281 8.405046463012695 0
that 4 6 4 4.430247783660889 4.447040557861328 3.958005905151367
he 4 7 2 4.473212242126465 6.939544677734375 0
likes 4 8 5 11.144065856933594 7.95293664932251 0
? 4 9 1 6.461678981781006 7.512250900268555 0.4406857490539551
what 5 0 4 0.5676602125167847 2.0428497791290283 0
did 5 1 3 4.506948947906494 5.388571262359619 0
she 5 2 3 9.009756088256836 5.972440719604492 0
hear 5 3 4 10.735081672668457 8.899907112121582 0
a 5 4 1 4.616727828979492 7.251988410949707 1.647918701171875
rumour 5 5 6 11.988903999328613 6.758971214294434 0.49301719665527344
that 5 6 4 5.132679462432861 0.5070619583129883 6.251909255981445
<unk> 5 7 5 4.303210735321045 5.813692092895508 0
sleeps 5 8 6 15.581941604614258 8.961217880249023 0
with 5 9 4 3.651839017868042 7.128593921661377 1.8326239585876465
