word sentid sentpos wlen surp entropy entred
where 0 0 5 11.532628059387207 2.479736089706421 0
did 0 1 3 4.595797538757324 7.556439399719238 0
<unk> 0 2 5 3.2926931381225586 6.991824150085449 0.5646152496337891
ask 0 3 3 13.203377723693848 6.200608253479004 0.7912158966064453
who 0 4 3 6.953597068786621 5.921403408050537 0.2792048454284668
<unk> 0 5 5 4.0269880294799805 7.042349815368652 0
took 0 6 4 11.502156257629395 6.360093116760254 0.6822566986083984
? 0 7 1 2.609041452407837 6.759373188018799 0
what 1 0 4 5.72836971282959 2.479736089706421 0
did 1 1 3 4.7149338722229 6.154409408569336 0
she 1 2 3 6.925851345062256 6.328627109527588 0
say 1 3 3 6.261051654815674 6.725541114807129 0
that 1 4 4 5.259093761444092 4.011572360992432 2.7139687538146973
<unk> 1 5 5 3.264940023422241 6.773592948913574 0
asked 1 6 5 12.262479782104492 6.191440105438232 0.5821528434753418
who 1 7 3 7.113995552062988 5.611720085144043 0.5797200202941895
will 1 8 4 8.792457580566406 6.367747783660889 0
read 1 9 4 10.504738807678223 7.840386867523193 0
? 1 10 1 0.9052056670188904 3.914658784866333 3.9257280826568604
where 2 0 5 11.532628059387207 2.479736089706421 0
did 2 1 3 4.595797538757324 7.556439399719238 0
<unk> 2 2 5 3.2926931381225586 6.991824150085449 0.5646152496337891
ask 2 3 3 13.203377723693848 6.200608253479004 0.7912158966064453
how 2 4 3 9.524127006530762 5.921403408050537 0.2792048454284668
<unk> 2 5 5 3.179825782775879 6.443731784820557 0
went 2 6 4 10.897772789001465 7.639013767242432 0
? 2 7 1 1.1459450721740723 5.270199298858643 2.368814468383789
what 3 0 4 5.72836971282959 2.479736089706421 0
did 3 1 3 4.7149338722229 6.154409408569336 0
will 3 2 4 9.951170921325684 6.328627109527588 0
ask 3 3 3 11.698310852050781 7.351431369781494 0
why 3 4 3 8.910041809082031 5.696171283721924 1.6552600860595703
<unk> 3 5 5 3.231156826019287 7.355233669281006 0
wears 3 6 5 17.448482513427734 6.989854335784912 0.36537933349609375
? 3 7 1 1.9715752601623535 5.898329257965088 1.0915250778198242
what 4 0 4 5.72836971282959 2.479736089706421 0
did 4 1 3 4.7149338722229 6.154409408569336 0
she 4 2 3 6.925851345062256 6.328627109527588 0
say 4 3 3 6.261051654815674 6.725541114807129 0
that 4 4 4 5.259093761444092 4.011572360992432 2.7139687538146973
will 4 5 4 10.149394989013672 6.773592948913574 0
thinks 4 6 6 16.079853057861328 6.870551586151123 0
he 4 7 2 5.950953483581543 4.549529552459717 2.3210220336914062
knows 4 8 5 11.572393417358398 6.056430816650391 0
where 4 9 5 10.275168418884277 3.887176275253296 2.1692545413970947
