word sentid sentpos wlen surp entropy entred
where 0 0 5 11.536760330200195 6.333801746368408 0
did 0 1 3 5.308706283569336 6.770979881286621 0
<unk> 0 2 5 1.8181054592132568 5.523088455200195 1.2478914260864258
ask 0 3 3 14.5875825881958 7.68186092376709 0
who 0 4 3 7.697599411010742 6.151337146759033 1.5305237770080566
<unk> 0 5 5 4.913259029388428 5.347337245941162 0.8039999008178711
took 0 6 4 11.455085754394531 5.475130558013916 0
? 0 7 1 5.215133190155029 6.877894401550293 0
what 1 0 4 4.007656097412109 6.333801746368408 0
did 1 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
she 1 2 3 9.179264068603516 4.209704875946045 0.5251622200012207
say 1 3 3 9.106253623962402 5.9571990966796875 0
that 1 4 4 1.2670718431472778 3.760847330093384 2.1963517665863037
<unk> 1 5 5 5.232903003692627 5.035534858703613 0
asked 1 6 5 11.140461921691895 5.019669532775879 0.015865325927734375
who 1 7 3 7.3067193031311035 5.115828514099121 0
will 1 8 4 7.814822673797607 5.158664703369141 0
read 1 9 4 9.350090026855469 6.235822677612305 0
? 1 10 1 4.774846076965332 5.782674312591553 0.45314836502075195
where 2 0 5 11.536760330200195 6.333801746368408 0
did 2 1 3 5.308706283569336 6.770979881286621 0
<unk> 2 2 5 1.8181054592132568 5.523088455200195 1.2478914260864258
ask 2 3 3 14.5875825881958 7.68186092376709 0
how 2 4 3 7.476498603820801 6.151337146759033 1.5305237770080566
<unk> 2 5 5 3.9077563285827637 5.8359222412109375 0.3154149055480957
went 2 6 4 10.62790584564209 5.363838195800781 0.47208404541015625
? 2 7 1 4.9714035987854 7.006083965301514 0
what 3 0 4 4.007656097412109 6.333801746368408 0
did 3 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
will 3 2 4 11.100193977355957 4.209704875946045 0.5251622200012207
ask 3 3 3 11.857927322387695 7.44279146194458 0
why 3 4 3 8.282449722290039 5.3659749031066895 2.0768165588378906
<unk> 3 5 5 4.357633113861084 4.410094738006592 0.9558801651000977
wears 3 6 5 18.226165771484375 4.509668350219727 0
? 3 7 1 4.87305212020874 6.880061626434326 0
what 4 0 4 4.007656097412109 6.333801746368408 0
did 4 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
she 4 2 3 9.179264068603516 4.209704875946045 0.5251622200012207
say 4 3 3 9.106253623962402 5.9571990966796875 0
that 4 4 4 1.2670718431472778 3.760847330093384 2.1963517665863037
will 4 5 4 9.232354164123535 5.035534858703613 0
thinks 4 6 6 14.990124702453613 6.121071815490723 0
he 4 7 2 6.872959136962891 4.293251037597656 1.8278207778930664
knows 4 8 5 11.485703468322754 4.161961078643799 0.13128995895385742
where 4 9 5 9.638712882995605 3.687626838684082 0.4743342399597168
<unk> 4 10 5 4.121898651123047 5.1698455810546875 0
announced 4 11 9 15.113133430480957 5.152039051055908 0.017806529998779297
? 4 12 1 3.7610721588134766 4.502207279205322 0.6498317718505859
what 5 0 4 4.007656097412109 6.333801746368408 0
did 5 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
they 5 2 4 7.389125823974609 4.209704875946045 0.5251622200012207
not 5 3 3 10.658844947814941 5.125376224517822 0
like 5 4 4 8.27320671081543 6.606591701507568 0
that 5 5 4 3.458775520324707 4.993556499481201 1.6130352020263672
<unk> 5 6 5 5.839468479156494 4.739173889160156 0.2543826103210449
wonders 5 7 7 18.824371337890625 4.845930576324463 0
how 5 8 3 6.653020858764648 4.448318958282471 0.3976116180419922
<unk> 5 9 5 3.480909585952759 6.164671897888184 0
was 5 10 3 7.955071926116943 5.309665679931641 0.855006217956543
? 5 11 1 5.838571071624756 7.0824875831604 0
what 6 0 4 4.007656097412109 6.333801746368408 0
did 6 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 6 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
ask 6 3 3 14.61557388305664 5.554147243499756 0
when 6 4 4 12.1863374710083 5.093420505523682 0.4607267379760742
<unk> 6 5 5 4.153486728668213 4.819583892822266 0.273836612701416
ate 6 6 3 17.476919174194336 4.326237201690674 0.4933466911315918
? 6 7 1 5.259419918060303 6.883514881134033 0
what 7 0 4 4.007656097412109 6.333801746368408 0
does 7 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
<unk> 7 2 5 0.8087847232818604 3.5337069034576416 1.201160192489624
wonder 7 3 6 16.85956382751465 5.597381114959717 0
where 7 4 5 10.818704605102539 4.945001125335693 0.6523799896240234
<unk> 7 5 5 4.15225076675415 5.239504814147949 0
buys 7 6 4 18.680667877197266 4.775710105895996 0.4637947082519531
? 7 7 1 4.283287048339844 6.712562561035156 0
what 8 0 4 4.007656097412109 6.333801746368408 0
does 8 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
will 8 2 4 11.089735984802246 3.5337069034576416 1.201160192489624
wonder 8 3 6 14.90339469909668 7.112095355987549 0
how 8 4 3 6.181825637817383 3.844864845275879 3.26723051071167
he 8 5 2 7.175482273101807 5.492537498474121 0
will 8 6 4 7.374449729919434 3.82187557220459 1.6706619262695312
read 8 7 4 10.456350326538086 6.2001776695251465 0
? 8 8 1 3.7752058506011963 5.508864879608154 0.6913127899169922
how 9 0 3 8.680546760559082 6.333801746368408 0
did 9 1 3 2.675463914871216 5.7585906982421875 0.5752110481262207
he 9 2 2 8.908547401428223 4.849460124969482 0.9091305732727051
hear 9 3 4 8.625526428222656 5.304867267608643 0
that 9 4 4 3.2005255222320557 3.7883946895599365 1.516472578048706
<unk> 9 5 5 6.3069682121276855 4.612557411193848 0
thinks 9 6 6 10.855445861816406 4.684889793395996 0
he 9 7 2 5.251115798950195 4.065036773681641 0.6198530197143555
knows 9 8 5 11.783215522766113 4.084955215454102 0
where 9 9 5 9.463509559631348 3.8640291690826416 0.22092604637145996
<unk> 9 10 5 4.193782329559326 5.022487163543701 0
gets 9 11 4 11.7254638671875 5.140412330627441 0
? 9 12 1 5.974334716796875 6.630570888519287 0
whom 10 0 4 12.83538818359375 6.333801746368408 0
does 10 1 4 7.8717474937438965 5.971333980560303 0.36246776580810547
<unk> 10 2 5 2.5274031162261963 4.5563764572143555 1.4149575233459473
wonder 10 3 6 15.526579856872559 6.4539666175842285 0
how 10 4 3 7.013086318969727 5.6171393394470215 0.836827278137207
<unk> 10 5 5 3.44201397895813 6.317893981933594 0
is 10 6 2 7.322710990905762 5.747930526733398 0.5699634552001953
waiting 10 7 7 12.163200378417969 7.037051677703857 0
for 10 8 3 2.7178988456726074 6.228601455688477 0.8084502220153809
? 10 9 1 3.067025899887085 6.520707607269287 0
what 11 0 4 4.007656097412109 6.333801746368408 0
did 11 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 11 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
ask 11 3 3 14.61557388305664 5.554147243499756 0
why 11 4 3 8.131750106811523 5.093420505523682 0.4607267379760742
<unk> 11 5 5 4.304534912109375 4.439367294311523 0.6540532112121582
is 11 6 2 8.118712425231934 4.465759754180908 0
? 11 7 1 5.799293518066406 5.790332794189453 0
what 12 0 4 4.007656097412109 6.333801746368408 0
did 12 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 12 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
ask 12 3 3 14.61557388305664 5.554147243499756 0
who 12 4 3 8.480124473571777 5.093420505523682 0.4607267379760742
will 12 5 4 7.9429473876953125 4.606212139129639 0.48720836639404297
is 12 6 2 12.343179702758789 5.897424697875977 0
for 12 7 3 7.994811058044434 6.344643592834473 0
? 12 8 1 3.4327056407928467 5.438014507293701 0.9066290855407715
whom 13 0 4 12.83538818359375 6.333801746368408 0
did 13 1 3 5.027536869049072 5.971333980560303 0.36246776580810547
<unk> 13 2 5 2.963247299194336 4.643373489379883 1.32796049118042
ask 13 3 3 14.966659545898438 6.220500469207764 0
where 13 4 5 11.872261047363281 5.727839469909668 0.4926609992980957
<unk> 13 5 5 4.115222930908203 5.565457344055176 0.1623821258544922
loaned 13 6 6 20.492938995361328 4.7849578857421875 0.7804994583129883
a 13 7 1 5.80103874206543 6.851964950561523 0
trumpet 13 8 7 17.60799217224121 8.94878101348877 0
to 13 9 2 6.210472106933594 7.981692790985107 0.9670882225036621
? 13 10 1 6.172214984893799 7.15263032913208 0.8290624618530273
what 14 0 4 4.007656097412109 6.333801746368408 0
did 14 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 14 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
hear 14 3 4 9.591641426086426 5.061263084411621 0
that 14 4 4 3.124471426010132 3.5728914737701416 1.4883716106414795
<unk> 14 5 5 6.679134845733643 4.090726375579834 0
asked 14 6 5 11.275362014770508 4.430674076080322 0
who 14 7 3 7.4565043449401855 4.98020076751709 0
<unk> 14 8 5 4.941331386566162 4.926931381225586 0.053269386291503906
heard 14 9 5 12.112288475036621 4.965016841888428 0
about 14 10 5 8.866748809814453 4.8496294021606445 0.1153874397277832
? 14 11 1 4.157425403594971 5.4407219886779785 0
what 15 0 4 4.007656097412109 6.333801746368408 0
did 15 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 15 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
ask 15 3 3 14.61557388305664 5.554147243499756 0
why 15 4 3 8.131750106811523 5.093420505523682 0.4607267379760742
a 15 5 1 8.173504829406738 4.439367294311523 0.6540532112121582
discreet 15 6 8 16.522048950195312 7.680322170257568 0
rumour 15 7 6 11.681761741638184 7.4446024894714355 0.2357196807861328
was 15 8 3 7.974895477294922 4.1649322509765625 3.279670238494873
? 15 9 1 8.016295433044434 3.5851001739501953 0.5798320770263672
what 16 0 4 4.007656097412109 6.333801746368408 0
does 16 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
<unk> 16 2 5 0.8087847232818604 3.5337069034576416 1.201160192489624
wonder 16 3 6 16.85956382751465 5.597381114959717 0
when 16 4 4 12.034939765930176 4.945001125335693 0.6523799896240234
the 16 5 3 4.318215847015381 6.05276346206665 0
blue 16 6 4 13.677169799804688 7.9430251121521 0
teddy 16 7 5 16.89510726928711 7.386122226715088 0.5569028854370117
bear 16 8 4 10.194814682006836 7.959860801696777 0
will 16 9 4 7.24324893951416 6.432007789611816 1.527853012084961
eat 16 10 3 10.825713157653809 6.971161842346191 0
? 16 11 1 4.560954570770264 7.698240756988525 0
where 17 0 5 11.536760330200195 6.333801746368408 0
did 17 1 3 5.308706283569336 6.770979881286621 0
<unk> 17 2 5 1.8181054592132568 5.523088455200195 1.2478914260864258
<unk> 17 3 5 3.502621650695801 7.68186092376709 0
ask 17 4 3 13.533998489379883 6.632349491119385 1.049511432647705
who 17 5 3 7.380760669708252 6.108341693878174 0.5240077972412109
took 17 6 4 12.901334762573242 5.36586332321167 0.7424783706665039
the 17 7 3 2.8802404403686523 6.794310092926025 0
expensive 17 8 9 16.554519653320312 8.123771667480469 0
picture 17 9 7 10.66664981842041 9.573555946350098 0
to 17 10 2 6.437145709991455 6.856074810028076 2.7174811363220215
? 17 11 1 6.052727699279785 6.435845375061035 0.420229434967041
what 18 0 4 4.007656097412109 6.333801746368408 0
did 18 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
she 18 2 3 9.179264068603516 4.209704875946045 0.5251622200012207
hear 18 3 4 10.433614730834961 5.9571990966796875 0
that 18 4 4 2.9585821628570557 4.253135681152344 1.7040634155273438
<unk> 18 5 5 6.745223522186279 4.223174571990967 0.029961109161376953
knows 18 6 5 12.976387977600098 4.785897254943848 0
where 18 7 5 10.332962989807129 3.9133124351501465 0.8725848197937012
<unk> 18 8 5 3.9389166831970215 5.484547138214111 0
<unk> 18 9 5 4.197765827178955 5.531457424163818 0
buys 18 10 4 18.35712242126465 5.58559513092041 0
? 18 11 1 4.393305778503418 6.93089485168457 0
