word sentid sentpos wlen surp entropy entred
who 0 0 3 5.43345832824707 2.0428497791290283 0
did 0 1 3 4.506770133972168 6.167061805725098 0
he 0 2 2 9.087906837463379 6.657506942749023 0
hear 0 3 4 10.477824211120605 9.418900489807129 0
that 0 4 4 6.1999664306640625 7.296488285064697 2.1224122047424316
it 0 5 2 6.441379070281982 8.949942588806152 0
is 0 6 2 3.992051601409912 6.5234761238098145 2.426466464996338
important 0 7 9 11.369791030883789 3.7405312061309814 2.782944917678833
to 0 8 2 4.737952709197998 3.227890729904175 0.5126404762268066
see 0 9 3 5.259729385375977 7.727412223815918 0
? 0 10 1 8.687845230102539 6.185637950897217 1.5417742729187012
what 1 0 4 0.5676602125167847 2.0428497791290283 0
is 1 1 2 5.544915199279785 5.388571262359619 0
it 1 2 2 10.72972297668457 1.1729116439819336 4.2156596183776855
important 1 3 9 10.095161437988281 5.837742805480957 0
that 1 4 4 5.738450050354004 2.680710792541504 3.157032012939453
<unk> 1 5 5 3.460637092590332 6.579774856567383 0
buys 1 6 4 13.328995704650879 8.710371971130371 0
? 1 7 1 8.067998886108398 6.216472625732422 2.493899345397949
who 2 0 3 5.43345832824707 2.0428497791290283 0
did 2 1 3 4.506770133972168 6.167061805725098 0
he 2 2 2 9.087906837463379 6.657506942749023 0
hear 2 3 4 10.477824211120605 9.418900489807129 0
that 2 4 4 6.1999664306640625 7.296488285064697 2.1224122047424316
it 2 5 2 6.441379070281982 8.949942588806152 0
is 2 6 2 3.992051601409912 6.5234761238098145 2.426466464996338
important 2 7 9 11.369791030883789 3.7405312061309814 2.782944917678833
that 2 8 4 2.026320219039917 3.227890729904175 0.5126404762268066
<unk> 2 9 5 4.005881309509277 6.4383955001831055 0
knows 2 10 5 7.268588066101074 8.613741874694824 0
? 2 11 1 6.765070915222168 6.881438732147217 1.7323031425476074
where 3 0 5 8.833909034729004 2.0428497791290283 0
did 3 1 3 8.502134323120117 6.150036334991455 0
<unk> 3 2 5 4.524926662445068 6.365411281585693 0
tell 3 3 4 10.612825393676758 9.497669219970703 0
you 3 4 3 5.557555198669434 5.223820209503174 4.273849010467529
that 3 5 4 4.074153423309326 5.274776458740234 0
she 3 6 3 7.06174373626709 7.33718729019165 0
went 3 7 4 7.608358860015869 7.779274940490723 0
? 3 8 1 6.348210334777832 5.12164831161499 2.6576266288757324
what 4 0 4 0.5676602125167847 2.0428497791290283 0
did 4 1 3 4.506948947906494 5.388571262359619 0
he 4 2 2 7.186361789703369 5.972440719604492 0
hear 4 3 4 10.330497741699219 8.861623764038086 0
that 4 4 4 6.053106784820557 7.1794867515563965 1.6821370124816895
<unk> 4 5 5 3.1790852546691895 8.948415756225586 0
does 4 6 4 6.856171131134033 8.459709167480469 0.4887065887451172
not 4 7 3 2.76621150970459 7.296216011047363 1.1634931564331055
do 4 8 2 6.434715747833252 8.048674583435059 0
? 4 9 1 6.729718208312988 6.718288898468018 1.330385684967041
what 5 0 4 0.5676602125167847 2.0428497791290283 0
did 5 1 3 4.506948947906494 5.388571262359619 0
he 5 2 2 7.186361789703369 5.972440719604492 0
hear 5 3 4 10.330497741699219 8.861623764038086 0
that 5 4 4 6.053106784820557 7.1794867515563965 1.6821370124816895
<unk> 5 5 5 3.1790852546691895 8.948415756225586 0
thinks 5 6 6 9.073516845703125 8.459709167480469 0.4887065887451172
their 5 7 5 9.470078468322754 6.2673444747924805 2.1923646926879883
car 5 8 3 11.108978271484375 9.714585304260254 0
needed 5 9 6 9.742884635925293 7.915997505187988 1.7985877990722656
to 5 10 2 2.8663103580474854 6.623919486999512 1.2920780181884766
do 5 11 2 5.736307144165039 6.272552490234375 0.3513669967651367
? 5 12 1 6.193828105926514 6.495264530181885 0
who 6 0 3 5.43345832824707 2.0428497791290283 0
is 6 1 2 2.9175732135772705 6.167061805725098 0
it 6 2 2 12.755624771118164 1.0335274934768677 5.13353431224823
probable 6 3 8 12.418600082397461 7.991544723510742 0
that 6 4 4 0.8287349939346313 3.416353464126587 4.575191259384155
<unk> 6 5 5 2.649099349975586 6.386228084564209 0
helped 6 6 6 9.731305122375488 8.631421089172363 0
? 6 7 1 11.474156379699707 7.687456130981445 0.943964958190918
what 7 0 4 0.5676602125167847 2.0428497791290283 0
did 7 1 3 4.506948947906494 5.388571262359619 0
they 7 2 4 6.219961166381836 5.972440719604492 0
not 7 3 3 8.32752799987793 8.474769592285156 0
like 7 4 4 7.216577529907227 8.698518753051758 0
that 7 5 4 5.040561199188232 7.504189968109131 1.194328784942627
you 7 6 3 8.317412376403809 7.841254711151123 0
read 7 7 4 4.0508294105529785 7.357076168060303 0.4841785430908203
that 7 8 4 8.300034523010254 4.10510778427124 3.2519683837890625
<unk> 7 9 5 3.749232053756714 8.231046676635742 0
is 7 10 2 5.505113124847412 8.53177547454834 0
trying 7 11 6 9.507650375366211 5.477054595947266 3.054720878601074
to 7 12 2 0.767130434513092 3.695988655090332 1.7810659408569336
give 7 13 4 7.7466139793396 7.736148834228516 0
you 7 14 3 3.9942922592163086 6.058403015136719 1.6777458190917969
? 7 15 1 5.845057487487793 6.37093448638916 0
who 8 0 3 5.43345832824707 2.0428497791290283 0
did 8 1 3 4.506770133972168 6.167061805725098 0
they 8 2 4 8.297197341918945 6.657506942749023 0
not 8 3 3 7.981736183166504 8.757949829101562 0
like 8 4 4 7.652120590209961 8.995707511901855 0
that 8 5 4 5.517035484313965 7.644464492797852 1.351243019104004
it 8 6 2 8.087827682495117 8.136189460754395 0
is 8 7 2 5.081642150878906 6.676157474517822 1.4600319862365723
probable 8 8 8 14.782017707824707 2.4165666103363037 4.2595908641815186
that 8 9 4 0.6024845838546753 3.030017375946045 0
<unk> 8 10 5 3.3522555828094482 5.91361665725708 0
met 8 11 3 10.073662757873535 7.923676013946533 0
? 8 12 1 6.84736967086792 7.465653896331787 0.4580221176147461
who 9 0 3 5.43345832824707 2.0428497791290283 0
is 9 1 2 2.9175732135772705 6.167061805725098 0
it 9 2 2 12.755624771118164 1.0335274934768677 5.13353431224823
probable 9 3 8 12.418600082397461 7.991544723510742 0
that 9 4 4 0.8287349939346313 3.416353464126587 4.575191259384155
the 9 5 3 3.6872365474700928 6.386228084564209 0
account 9 6 7 9.358001708984375 8.733612060546875 0
is 9 7 2 6.691840171813965 2.445882797241211 6.287729263305664
waiting 9 8 7 11.827665328979492 5.078694820404053 0
for 9 9 3 0.059724360704422 0.5077069401741028 4.57098788022995
? 9 10 1 8.035749435424805 5.696959972381592 0
who 10 0 3 5.43345832824707 2.0428497791290283 0
did 10 1 3 4.506770133972168 6.167061805725098 0
they 10 2 4 8.297197341918945 6.657506942749023 0
not 10 3 3 7.981736183166504 8.757949829101562 0
like 10 4 4 7.652120590209961 8.995707511901855 0
that 10 5 4 5.517035484313965 7.644464492797852 1.351243019104004
it 10 6 2 8.087827682495117 8.136189460754395 0
is 10 7 2 5.081642150878906 6.676157474517822 1.4600319862365723
important 10 8 9 15.794984817504883 2.4165666103363037 4.2595908641815186
to 10 9 2 5.2390923500061035 3.3364338874816895 0
fix 10 10 3 12.479436874389648 7.750014781951904 0
? 10 11 1 7.36129093170166 6.0156402587890625 1.7343745231628418
who 11 0 3 5.43345832824707 2.0428497791290283 0
did 11 1 3 4.506770133972168 6.167061805725098 0
they 11 2 4 8.297197341918945 6.657506942749023 0
not 11 3 3 7.981736183166504 8.757949829101562 0
like 11 4 4 7.652120590209961 8.995707511901855 0
that 11 5 4 5.517035484313965 7.644464492797852 1.351243019104004
it 11 6 2 8.087827682495117 8.136189460754395 0
is 11 7 2 5.081642150878906 6.676157474517822 1.4600319862365723
probable 11 8 8 14.782017707824707 2.4165666103363037 4.2595908641815186
that 11 9 4 0.6024845838546753 3.030017375946045 0
<unk> 11 10 5 3.3522555828094482 5.91361665725708 0
called 11 11 6 10.308356285095215 7.923676013946533 0
? 11 12 1 10.644142150878906 4.664241790771484 3.259434223175049
what 12 0 4 0.5676602125167847 2.0428497791290283 0
did 12 1 3 4.506948947906494 5.388571262359619 0
<unk> 12 2 5 5.180352210998535 5.972440719604492 0
buy 12 3 3 10.40036392211914 8.682333946228027 0
you 12 4 3 8.771891593933105 6.486827373504639 2.1955065727233887
? 12 5 1 4.11666202545166 7.588405609130859 0
what 13 0 4 0.5676602125167847 2.0428497791290283 0
did 13 1 3 4.506948947906494 5.388571262359619 0
she 13 2 3 9.009756088256836 5.972440719604492 0
say 13 3 3 8.96139907836914 8.899907112121582 0
that 13 4 4 3.683210849761963 6.227514266967773 2.6723928451538086
<unk> 13 5 5 2.8626928329467773 7.461313724517822 0
thinks 13 6 6 9.948925018310547 8.552237510681152 0
that 13 7 4 3.360142707824707 5.981619358062744 2.570618152618408
their 13 8 5 8.477249145507812 7.558544158935547 0
rumour 13 9 6 17.880207061767578 9.647651672363281 0
was 13 10 3 4.6131391525268555 3.3514344692230225 6.296217203140259
? 13 11 1 11.195659637451172 6.269562721252441 0
what 14 0 4 0.5676602125167847 2.0428497791290283 0
is 14 1 2 5.544915199279785 5.388571262359619 0
it 14 2 2 10.72972297668457 1.1729116439819336 4.2156596183776855
important 14 3 9 10.095161437988281 5.837742805480957 0
that 14 4 4 5.738450050354004 2.680710792541504 3.157032012939453
<unk> 14 5 5 3.460637092590332 6.579774856567383 0
eats 14 6 4 15.062026023864746 8.710371971130371 0
for 14 7 3 5.25928258895874 7.629603862762451 1.08076810836792
<unk> 14 8 5 3.751500129699707 7.724088191986084 0
? 14 9 1 1.7292112112045288 6.740194797515869 0.9838933944702148
who 15 0 3 5.43345832824707 2.0428497791290283 0
is 15 1 2 2.9175732135772705 6.167061805725098 0
it 15 2 2 12.755624771118164 1.0335274934768677 5.13353431224823
scandalous 15 3 10 18.253740310668945 7.991544723510742 0
that 15 4 4 5.7238664627075195 2.4887638092041016 5.502780914306641
the 15 5 3 4.404297351837158 6.7636895179748535 0
silly 15 6 5 15.75936222076416 8.757999420166016 0
candy 15 7 5 15.796655654907227 8.13726806640625 0.6207313537597656
store 15 8 5 10.892315864562988 9.451122283935547 0
is 15 9 2 5.125772476196289 8.954740524291992 0.4963817596435547
demanding 15 10 9 12.767535209655762 6.916864395141602 2.0378761291503906
? 15 11 1 4.43704080581665 6.778940200805664 0.1379241943359375
who 16 0 3 5.43345832824707 2.0428497791290283 0
did 16 1 3 4.506770133972168 6.167061805725098 0
they 16 2 4 8.297197341918945 6.657506942749023 0
<unk> 16 3 5 7.098716735839844 8.757949829101562 0
that 16 4 4 7.619505405426025 8.01146411895752 0.746485710144043
it 16 5 2 8.08015251159668 8.601326942443848 0
is 16 6 2 4.98665714263916 6.875598907470703 1.7257280349731445
expensive 16 7 9 18.41741371154785 4.264481544494629 2.611117362976074
to 16 8 2 4.792722225189209 3.916951894760132 0.34752964973449707
date 16 9 4 10.824463844299316 8.120563507080078 0
? 16 10 1 3.3460371494293213 6.222625255584717 1.8979382514953613
what 17 0 4 0.5676602125167847 2.0428497791290283 0
did 17 1 3 4.506948947906494 5.388571262359619 0
they 17 2 4 6.219961166381836 5.972440719604492 0
not 17 3 3 8.32752799987793 8.474769592285156 0
like 17 4 4 7.216577529907227 8.698518753051758 0
that 17 5 4 5.040561199188232 7.504189968109131 1.194328784942627
it 17 6 2 8.017130851745605 7.841254711151123 0
is 17 7 2 5.146952152252197 6.657393932342529 1.1838607788085938
circulating 17 8 11 17.511184692382812 2.491084575653076 4.166309356689453
that 17 9 4 5.3599348068237305 5.345704078674316 0
<unk> 17 10 5 4.33400297164917 7.704416751861572 0
analysis 17 11 8 17.944944381713867 8.680240631103516 0
solved 17 12 6 16.50750160217285 4.693138122558594 3.987102508544922
? 17 13 1 6.953576564788818 6.760385513305664 0
what 18 0 4 0.5676602125167847 2.0428497791290283 0
does 18 1 4 3.422555685043335 5.388571262359619 0
<unk> 18 2 5 5.647182941436768 4.520507335662842 0.8680639266967773
not 18 3 3 9.771627426147461 8.802557945251465 0
think 18 4 5 8.575786590576172 8.830893516540527 0
that 18 5 4 4.273016452789307 6.444796085357666 2.3860974311828613
you 18 6 3 3.8788020610809326 7.990702152252197 0
robbed 18 7 6 14.557965278625488 7.849062442779541 0.14163970947265625
? 18 8 1 6.378186225891113 6.861486434936523 0.9875760078430176
where 19 0 5 8.833909034729004 2.0428497791290283 0
is 19 1 2 9.067241668701172 6.150036334991455 0
it 19 2 2 9.656988143920898 3.4782629013061523 2.6717734336853027
unrealistic 19 3 11 15.00538158416748 8.006548881530762 0
that 19 4 4 6.021228313446045 2.4430172443389893 5.5635316371917725
<unk> 19 5 5 3.3004281520843506 6.783222675323486 0
goes 19 6 4 8.139360427856445 8.700395584106445 0
to 19 7 2 4.9396257400512695 5.852022647857666 2.8483729362487793
for 19 8 3 10.937299728393555 6.809086799621582 0
<unk> 19 9 5 3.3074541091918945 7.137537956237793 0
? 19 10 1 1.8369390964508057 6.672404766082764 0.4651331901550293
what 20 0 4 0.5676602125167847 2.0428497791290283 0
did 20 1 3 4.506948947906494 5.388571262359619 0
he 20 2 2 7.186361789703369 5.972440719604492 0
hear 20 3 4 10.330497741699219 8.861623764038086 0
that 20 4 4 6.053106784820557 7.1794867515563965 1.6821370124816895
it 20 5 2 6.335509300231934 8.948415756225586 0
is 20 6 2 4.368809223175049 6.153988361358643 2.7944273948669434
extravagant 20 7 11 19.829227447509766 3.9564106464385986 2.197577714920044
to 20 8 2 8.559313774108887 2.033355951309204 1.9230546951293945
claim 20 9 5 12.526814460754395 7.837460517883301 0
? 20 10 1 4.895426273345947 6.074405193328857 1.7630553245544434
what 21 0 4 0.5676602125167847 2.0428497791290283 0
is 21 1 2 5.544915199279785 5.388571262359619 0
it 21 2 2 10.72972297668457 1.1729116439819336 4.2156596183776855
likely 21 3 6 8.141861915588379 5.837742805480957 0
that 21 4 4 1.6058789491653442 4.859828948974609 0.9779138565063477
the 21 5 3 3.998385190963745 6.567046642303467 0
teacher 21 6 7 13.74452018737793 8.501825332641602 0
buys 21 7 4 14.53195858001709 8.904803276062012 0
? 21 8 1 7.6943488121032715 5.745325088500977 3.159478187561035
what 22 0 4 0.5676602125167847 2.0428497791290283 0
did 22 1 3 4.506948947906494 5.388571262359619 0
he 22 2 2 7.186361789703369 5.972440719604492 0
hear 22 3 4 10.330497741699219 8.861623764038086 0
that 22 4 4 6.053106784820557 7.1794867515563965 1.6821370124816895
it 22 5 2 6.335509300231934 8.948415756225586 0
is 22 6 2 4.368809223175049 6.153988361358643 2.7944273948669434
funny 22 7 5 10.764185905456543 3.9564106464385986 2.197577714920044
that 22 8 4 5.631419658660889 2.9254698753356934 1.0309407711029053
a 22 9 1 7.7090349197387695 4.733251571655273 0
cup 22 10 3 11.179238319396973 6.159409999847412 0
of 22 11 2 0.7820355892181396 4.5434136390686035 1.6159963607788086
coffee 22 12 6 0.44193214178085327 3.116823673248291 1.4265899658203125
solves 22 13 6 15.17225170135498 4.287437438964844 0
? 22 14 1 4.488579273223877 6.478372573852539 0
who 23 0 3 5.43345832824707 2.0428497791290283 0
did 23 1 3 4.506770133972168 6.167061805725098 0
the 23 2 3 2.543168306350708 6.657506942749023 0
book 23 3 4 7.754317283630371 8.95324993133545 0
tell 23 4 4 13.923614501953125 2.234673261642456 6.718576669692993
me 23 5 2 5.829220771789551 5.219932556152344 0
went 23 6 4 14.5492525100708 5.12536096572876 0.09457159042358398
to 23 7 2 6.442044734954834 6.001956462860107 0
the 23 8 3 2.8150477409362793 6.557380199432373 0
expensive 23 9 9 16.252416610717773 9.033724784851074 0
store 23 10 5 10.164310455322266 9.056084632873535 0
? 23 11 1 1.1536884307861328 5.0234246253967285 4.032660007476807
who 24 0 3 5.43345832824707 2.0428497791290283 0
did 24 1 3 4.506770133972168 6.167061805725098 0
the 24 2 3 2.543168306350708 6.657506942749023 0
<unk> 24 3 5 2.852078437805176 8.95324993133545 0
experience 24 4 10 8.620561599731445 8.66759204864502 0.2856578826904297
assert 24 5 6 19.810184478759766 7.314854145050049 1.3527379035949707
watched 24 6 7 20.491283416748047 6.26486349105835 1.0499906539916992
a 24 7 1 3.3937129974365234 6.1946635246276855 0.07019996643066406
ballet 24 8 6 13.64881706237793 6.113527774810791 0.08113574981689453
on 24 9 2 6.811767578125 7.482046127319336 0
<unk> 24 10 5 2.4718990325927734 5.8166728019714355 1.6653733253479004
? 24 11 1 4.245197772979736 7.208467960357666 0
