word sentid sentpos wlen surp entropy entred
who 0 0 3 6.68441104888916 5.810532093048096 0
do 0 1 2 8.264798164367676 5.41964864730835 0.3908834457397461
n't 0 2 3 24.807476043701172 4.426878929138184 0.992769718170166
we 0 3 2 9.5228910446167 5.138913154602051 0
believe 0 4 7 11.385927200317383 4.850621223449707 0.28829193115234375
the 0 5 3 8.266745567321777 5.182161331176758 0
rumour 0 6 6 14.900744438171387 5.812405586242676 0
that 0 7 4 2.962832450866699 5.158832550048828 0.6535730361938477
<unk> 0 8 5 2.7773945331573486 3.1210129261016846 2.0378196239471436
is 0 9 2 5.605528354644775 4.139627933502197 0
dating 0 10 6 13.492537498474121 3.890669584274292 0.24895834922790527
? 0 11 1 4.8575005531311035 4.417341232299805 0
how 1 0 3 10.579030990600586 5.810532093048096 0
does 1 1 4 4.5547051429748535 4.85373592376709 0.9567961692810059
will 1 2 4 11.163209915161133 1.4754512310028076 3.3782846927642822
think 1 3 5 14.407522201538086 0.9779901504516602 0.49746108055114746
that 1 4 4 5.357504844665527 4.4313836097717285 0
she 1 5 3 10.382147789001465 3.476006031036377 0.9553775787353516
is 1 6 2 7.672977924346924 2.6689412593841553 0.8070647716522217
dating 1 7 6 13.184861183166504 3.6571595668792725 0
someone 1 8 7 12.140935897827148 4.4512410163879395 0
who 1 9 3 4.578132152557373 5.3203654289245605 0
solves 1 10 6 20.15094757080078 3.491697072982788 1.8286683559417725
? 1 11 1 1.6038044691085815 5.274726390838623 0
what 2 0 4 2.9764037132263184 5.810532093048096 0
does 2 1 4 7.665314197540283 2.5409979820251465 3.269534111022949
she 2 2 3 10.282353401184082 3.5780932903289795 0
believe 2 3 7 13.427812576293945 2.8873279094696045 0.690765380859375
the 2 4 3 7.766327857971191 5.251374244689941 0
rumour 2 5 6 14.389199256896973 6.442429542541504 0
that 2 6 4 2.4797093868255615 5.4584550857543945 0.9839744567871094
she 2 7 3 9.223237991333008 3.53245210647583 1.9260029792785645
might 2 8 5 8.525125503540039 3.0534064769744873 0.4790456295013428
have 2 9 4 7.619632720947266 3.3984405994415283 0
this 2 10 4 8.999505996704102 5.933622360229492 0
year 2 11 4 9.529296875 7.737391948699951 0
? 2 12 1 2.71319580078125 3.8090314865112305 3.9283604621887207
how 3 0 3 10.579030990600586 5.810532093048096 0
