word sentid sentpos wlen surp entropy entred
who 0 0 3 5.251245975494385 2.2328031063079834 0
do 0 1 2 7.695403575897217 6.2485880851745605 0
n't 0 2 3 25.150239944458008 7.197813034057617 0
we 0 3 2 9.555318832397461 8.640430450439453 0
believe 0 4 7 8.215685844421387 7.183037757873535 1.457392692565918
the 0 5 3 4.491863250732422 7.196286678314209 0
rumour 0 6 6 18.240772247314453 9.36230754852295 0
that 0 7 4 3.3717281818389893 3.4735164642333984 5.888791084289551
<unk> 0 8 5 3.249464273452759 6.6371283531188965 0
is 0 9 2 4.766107559204102 7.469493389129639 0
dating 0 10 6 16.034042358398438 1.8950920104980469 5.574401378631592
? 0 11 1 4.401968955993652 7.008888244628906 0
how 1 0 3 9.393242835998535 2.2328031063079834 0
does 1 1 4 6.488260269165039 6.728427886962891 0
will 1 2 4 14.591485977172852 5.206672191619873 1.5217556953430176
think 1 3 5 11.528223037719727 4.126613616943359 1.0800585746765137
that 1 4 4 2.0192086696624756 5.038918495178223 0
she 1 5 3 6.727518558502197 7.105506420135498 0
is 1 6 2 5.046885967254639 6.75535249710083 0.35015392303466797
dating 1 7 6 15.273205757141113 2.565599203109741 4.189753293991089
someone 1 8 7 11.143538475036621 7.098555088043213 0
who 1 9 3 4.3372673988342285 7.780333518981934 0
solves 1 10 6 14.760732650756836 5.668754577636719 2.111578941345215
? 1 11 1 5.608290195465088 5.55587911605835 0.11287546157836914
what 2 0 4 0.6246620416641235 2.2328031063079834 0
does 2 1 4 2.7486824989318848 4.342137336730957 0
she 2 2 3 7.597175598144531 4.764221668243408 0
believe 2 3 7 8.014867782592773 7.723574161529541 0
the 2 4 3 4.2728681564331055 5.458582401275635 2.2649917602539062
rumour 2 5 6 16.12541961669922 8.17304801940918 0
that 2 6 4 3.1447947025299072 3.1410562992095947 5.031991720199585
she 2 7 3 4.974827766418457 6.488801956176758 0
might 2 8 5 8.95826530456543 5.860785007476807 0.6280169486999512
have 2 9 4 4.63267183303833 3.935819625854492 1.9249653816223145
this 2 10 4 10.215965270996094 7.993370532989502 0
year 2 11 4 8.646492004394531 7.4653639793396 0.5280065536499023
? 2 12 1 2.2797751426696777 6.883589267730713 0.5817747116088867
how 3 0 3 9.393242835998535 2.2328031063079834 0
many 3 1 4 6.6340532302856445 6.728427886962891 0
cities 3 2 6 12.271871566772461 8.071003913879395 0
does 3 3 4 11.986035346984863 7.149673938751221 0.9213299751281738
he 3 4 2 7.2232842445373535 6.725759983062744 0.42391395568847656
know 3 5 4 6.237463474273682 8.03675365447998 0
brothers 3 6 8 15.53282356262207 6.8004560470581055 1.236297607421875
who 3 7 3 6.835387706756592 7.782434463500977 0
live 3 8 4 7.366980075836182 7.647482872009277 0.13495159149169922
