word sentid sentpos wlen surp entropy entred
who 0 0 3 8.406774520874023 0.7559733390808105 0
do 0 1 2 8.368424415588379 7.740098476409912 0
n't 0 2 3 25.145885467529297 5.678834438323975 2.0612640380859375
we 0 3 2 9.726402282714844 7.794348239898682 0
believe 0 4 7 6.664583683013916 7.4027605056762695 0.3915877342224121
the 0 5 3 7.758399963378906 0.6618815064430237 6.740878999233246
rumour 0 6 6 12.098319053649902 10.485511779785156 0
that 0 7 4 3.862501859664917 5.543011665344238 4.942500114440918
<unk> 0 8 5 4.0536112785339355 5.10537052154541 0.4376411437988281
is 0 9 2 3.911003828048706 7.997254371643066 0
dating 0 10 6 14.357874870300293 4.213332653045654 3.783921718597412
? 0 11 1 6.142025947570801 4.685005187988281 0
how 1 0 3 8.20589542388916 0.7559733390808105 0
does 1 1 4 4.1317009925842285 5.601690292358398 0
will 1 2 4 14.827468872070312 2.8475489616394043 2.754141330718994
think 1 3 5 8.609149932861328 7.582509517669678 0
that 1 4 4 0.7688518762588501 3.2884650230407715 4.294044494628906
she 1 5 3 4.951181888580322 5.227845191955566 0
is 1 6 2 4.190462112426758 7.682857990264893 0
dating 1 7 6 13.4369478225708 6.358797073364258 1.3240609169006348
someone 1 8 7 9.608749389648438 4.8056559562683105 1.5531411170959473
who 1 9 3 0.1698341965675354 0.9767575860023499 3.8288983702659607
solves 1 10 6 11.1317777633667 7.349185466766357 0
? 1 11 1 6.533657550811768 4.972028732299805 2.3771567344665527
what 2 0 4 0.09959084540605545 0.7559733390808105 0
does 2 1 4 2.283604621887207 2.287327766418457 0
she 2 2 3 5.487613677978516 0.9048234820365906 1.3825042843818665
believe 2 3 7 8.322734832763672 2.330129861831665 0
the 2 4 3 7.924992084503174 0.4920046031475067 1.8381252586841583
rumour 2 5 6 9.978108406066895 9.910114288330078 0
that 2 6 4 3.7536473274230957 5.716710567474365 4.193403720855713
she 2 7 3 3.7955751419067383 5.765391826629639 0
might 2 8 5 4.556920528411865 7.603174209594727 0
have 2 9 4 4.311101913452148 6.784484386444092 0.8186898231506348
this 2 10 4 10.184662818908691 5.000277519226074 1.7842068672180176
year 2 11 4 10.003795623779297 8.889175415039062 0
? 2 12 1 7.124366760253906 5.279894828796387 3.609280586242676
how 3 0 3 8.20589542388916 0.7559733390808105 0
many 3 1 4 6.049901962280273 5.601690292358398 0
cities 3 2 6 10.378697395324707 9.312296867370605 0
does 3 3 4 12.678033828735352 7.8289008140563965 1.483396053314209
he 3 4 2 3.981205463409424 4.0712738037109375 3.757627010345459
know 3 5 4 7.361649036407471 5.176966667175293 0
brothers 3 6 8 19.025379180908203 3.47939133644104 1.697575330734253
who 3 7 3 2.423278331756592 6.259029865264893 0
live 3 8 4 8.387428283691406 6.659267425537109 0
in 3 9 2 3.5006139278411865 5.717759132385254 0.9415082931518555
? 3 10 1 11.005097389221191 5.307333946228027 0.41042518615722656
who 4 0 3 8.406774520874023 0.7559733390808105 0
do 4 1 2 8.368424415588379 7.740098476409912 0
they 4 2 4 6.014775276184082 5.678834438323975 2.0612640380859375
believe 4 3 7 6.670612812042236 6.561323642730713 0
the 4 4 3 7.42909049987793 0.926887571811676 5.634436070919037
claim 4 5 5 10.006427764892578 10.149831771850586 0
that 4 6 4 3.294029474258423 5.6388840675354 4.5109477043151855
he 4 7 2 3.4098315238952637 4.7615838050842285 0.8773002624511719
likes 4 8 5 10.931425094604492 7.179574966430664 0
? 4 9 1 6.690980434417725 2.9101932048797607 4.269381761550903
what 5 0 4 0.09959084540605545 0.7559733390808105 0
did 5 1 3 0.6425215601921082 2.287327766418457 0
she 5 2 3 5.656094551086426 0.5566264986991882 1.7307012677192688
hear 5 3 4 0.20181387662887573 1.1304967403411865 0
a 5 4 1 6.577254295349121 0.5875891447067261 0.5429075956344604
rumour 5 5 6 5.921686172485352 8.929076194763184 0
that 5 6 4 2.1059367656707764 2.1312754154205322 6.797800779342651
<unk> 5 7 5 3.4472742080688477 4.566551685333252 0
sleeps 5 8 6 17.333576202392578 7.940421104431152 0
with 5 9 4 3.419341802597046 3.5632083415985107 4.377212762832642
? 5 10 1 8.334829330444336 5.419600486755371 0
how 6 0 3 8.20589542388916 0.7559733390808105 0
did 6 1 3 2.1770477294921875 5.601690292358398 0
my 6 2 2 11.89748764038086 1.9788483381271362 3.622841954231262
sister 6 3 6 10.020076751708984 9.506576538085938 0
say 6 4 3 6.773280620574951 8.148661613464355 1.357914924621582
that 6 5 4 0.22721725702285767 1.4666169881820679 6.682044625282288
<unk> 6 6 5 4.783824920654297 3.8173162937164307 0
<unk> 6 7 5 5.563478946685791 7.768747329711914 0
thinks 6 8 6 10.898715019226074 7.901057720184326 0
that 6 9 4 0.5971453189849854 2.7536299228668213 5.147427797317505
<unk> 6 10 5 4.482097148895264 4.314895153045654 0
solves 6 11 6 14.761458396911621 7.352925777435303 0
? 6 12 1 7.575554370880127 4.301192760467529 3.0517330169677734
what 7 0 4 0.09959084540605545 0.7559733390808105 0
does 7 1 4 2.283604621887207 2.287327766418457 0
she 7 2 3 5.487613677978516 0.9048234820365906 1.3825042843818665
like 7 3 4 11.714152336120605 2.330129861831665 0
the 7 4 3 4.049866199493408 2.439209461212158 0
possibility 7 5 11 7.1310248374938965 9.65327262878418 0
that 7 6 4 0.6716329455375671 1.9412345886230469 7.712038040161133
<unk> 7 7 5 3.1274776458740234 4.840306758880615 0
dances 7 8 6 15.074931144714355 7.761661529541016 0
? 7 9 1 4.208024501800537 6.203653812408447 1.5580077171325684
what 8 0 4 0.09959084540605545 0.7559733390808105 0
do 8 1 2 7.0640788078308105 2.287327766418457 0
they 8 2 4 5.397653102874756 1.1843721866607666 1.1029555797576904
not 8 3 3 3.430535316467285 5.505941867828369 0
believe 8 4 7 11.264669418334961 0.6606887578964233 4.845253109931946
the 8 5 3 9.36982250213623 0.4490354061126709 0.21165335178375244
rumour 8 6 6 10.827642440795898 10.18632698059082 0
that 8 7 4 3.7628231048583984 5.591437816619873 4.594889163970947
he 8 8 2 3.669827699661255 5.608461380004883 0
will 8 9 4 3.949636936187744 7.242505073547363 0
buy 8 10 3 6.905373573303223 7.16884708404541 0.07365798950195312
? 8 11 1 12.387883186340332 3.2804994583129883 3.888347625732422
where 9 0 5 7.441304683685303 0.7559733390808105 0
do 9 1 2 8.3816499710083 5.198283672332764 0
they 9 2 4 4.0014328956604 3.5892648696899414 1.6090188026428223
have 9 3 4 5.762844085693359 7.435601234436035 0
a 9 4 1 3.226344347000122 5.033156394958496 2.402444839477539
window 9 5 6 9.246047019958496 9.857966423034668 0
that 9 6 4 3.8544442653656006 5.9408464431762695 3.9171199798583984
opens 9 7 5 11.01748275756836 5.637315273284912 0.3035311698913574
? 9 8 1 8.151606559753418 4.868907928466797 0.7684073448181152
what 10 0 4 0.09959084540605545 0.7559733390808105 0
did 10 1 3 0.6425215601921082 2.287327766418457 0
<unk> 10 2 5 8.382503509521484 0.5566264986991882 1.7307012677192688
meet 10 3 4 9.821898460388184 7.755826473236084 0
someone 10 4 7 8.981303215026855 5.606374740600586 2.149451732635498
who 10 5 3 0.1788196861743927 0.8414252996444702 4.764949440956116
likes 10 6 5 10.666887283325195 7.165452003479004 0
? 10 7 1 10.632323265075684 1.4500770568847656 5.715374946594238
what 11 0 4 0.09959084540605545 0.7559733390808105 0
does 11 1 4 2.283604621887207 2.287327766418457 0
<unk> 11 2 5 6.327122688293457 0.9048234820365906 1.3825042843818665
believe 11 3 7 5.3966827392578125 7.947824001312256 0
