word sentid sentpos wlen surp entropy entred
what 0 0 4 5.944672584533691 8.118135452270508 0
did 0 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
i 0 2 1 6.007668495178223 4.736475467681885 0
buy 0 3 3 9.72588062286377 7.987616539001465 0
a 0 4 1 4.859727382659912 6.816822052001953 1.1707944869995117
guitar 0 5 6 11.83089828491211 10.764016151428223 0
for 0 6 3 6.066623210906982 8.031023979187012 2.732992172241211
myself 0 7 6 11.865250587463379 6.7115092277526855 1.3195147514343262
because 0 8 7 9.2405366897583 5.782177925109863 0.9293313026428223
they 0 9 4 5.583758354187012 6.133504390716553 0
heard 0 10 5 10.841507911682129 7.573754787445068 0
? 0 11 1 6.527730941772461 5.035539627075195 2.538215160369873
what 1 0 4 5.944672584533691 8.118135452270508 0
will 1 1 4 15.338507652282715 0.2607751488685608 7.857360303401947
they 1 2 4 7.481098175048828 6.57951545715332 0
fail 1 3 4 10.414095878601074 8.28826904296875 0
the 1 4 3 3.2237985134124756 6.890480995178223 1.3977880477905273
test 1 5 4 12.592117309570312 9.953363418579102 0
if 1 6 2 9.531696319580078 8.95676326751709 0.9966001510620117
they 1 7 4 5.188869476318359 5.102649211883545 3.854114055633545
do 1 8 2 6.990954875946045 7.575187683105469 0
not 1 9 3 6.52573299407959 5.121706008911133 2.453481674194336
? 1 10 1 5.013118743896484 7.968692779541016 0
whom 2 0 4 6.207610607147217 8.118135452270508 0
will 2 1 4 9.195197105407715 6.576956272125244 1.5411791801452637
he 2 2 2 7.173624038696289 5.709897518157959 0.8670587539672852
hire 2 3 4 15.547321319580078 6.30649995803833 0
someone 2 4 7 6.346400737762451 5.682368278503418 0.6241316795349121
if 2 5 2 15.232399940490723 0.595452606678009 5.086915671825409
i 2 6 1 6.393504619598389 4.56818962097168 0
need 2 7 4 10.304027557373047 7.771132469177246 0
? 2 8 1 4.3481926918029785 6.284641742706299 1.4864907264709473
what 3 0 4 5.944672584533691 8.118135452270508 0
has 3 1 3 10.538150787353516 0.2607751488685608 7.857360303401947
he 3 2 2 7.252192497253418 6.3477983474731445 0
been 3 3 4 6.347186088562012 7.177560329437256 0
circulating 3 4 11 16.523279190063477 3.7061712741851807 3.471389055252075
who 3 5 3 9.846884727478027 6.136004447937012 0
he 3 6 2 6.681450843811035 6.491201877593994 0
thought 3 7 7 9.834654808044434 6.647282123565674 0
was 3 8 3 8.834941864013672 5.388332366943359 1.2589497566223145
? 3 9 1 5.71514892578125 2.844857931137085 2.5434744358062744
what 4 0 4 5.944672584533691 8.118135452270508 0
will 4 1 4 15.338507652282715 0.2607751488685608 7.857360303401947
he 4 2 2 6.39434814453125 6.57951545715332 0
try 4 3 3 11.042703628540039 7.42236328125 0
to 4 4 2 4.544177055358887 5.571417331695557 1.8509459495544434
call 4 5 4 8.6715726852417 8.715100288391113 0
you 4 6 3 7.474430561065674 5.783402442932129 2.9316978454589844
if 4 7 2 8.063915252685547 6.500483512878418 0
she 4 8 3 7.573314666748047 4.403721809387207 2.096761703491211
buys 4 9 4 16.160240173339844 8.081067085266113 0
? 4 10 1 6.829195022583008 4.6031341552734375 3.477932929992676
what 5 0 4 5.944672584533691 8.118135452270508 0
did 5 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
she 5 2 3 9.01684856414795 4.736475467681885 0
say 5 3 3 10.10054874420166 7.8515706062316895 0
she 5 4 3 9.608131408691406 4.747793197631836 3.1037774085998535
would 5 5 5 5.956426620483398 7.914972305297852 0
like 5 6 4 7.395234107971191 7.24776554107666 0.6672067642211914
the 5 7 3 3.5980353355407715 6.32223653793335 0.9255290031433105
man 5 8 3 9.858627319335938 8.569634437561035 0
if 5 9 2 12.314143180847168 1.860932469367981 6.708701968193054
he 5 10 2 5.313759803771973 4.50861120223999 0
read 5 11 4 10.082876205444336 7.2185444831848145 0
? 5 12 1 3.429202079772949 6.225211143493652 0.9933333396911621
where 6 0 5 9.8583345413208 8.118135452270508 0
did 6 1 3 8.676942825317383 4.958200454711914 3.1599349975585938
i 6 2 1 7.660994052886963 4.200262069702148 0.7579383850097656
buy 6 3 3 9.657317161560059 8.175413131713867 0
a 6 4 1 5.077971935272217 6.8331451416015625 1.3422679901123047
coffee 6 5 6 7.86629056930542 10.70822811126709 0
for 6 6 3 6.964592933654785 8.943219184875488 1.7650089263916016
myself 6 7 6 11.000704765319824 7.6254963874816895 1.3177227973937988
because 6 8 7 9.169941902160645 5.618537902832031 2.006958484649658
i 6 9 1 5.166182994842529 6.225164413452148 0
went 6 10 4 8.180228233337402 7.22182035446167 0
? 6 11 1 6.935230731964111 7.508551597595215 0
what 7 0 4 5.944672584533691 8.118135452270508 0
will 7 1 4 15.338507652282715 0.2607751488685608 7.857360303401947
he 7 2 2 6.39434814453125 6.57951545715332 0
circulate 7 3 9 16.9276123046875 7.42236328125 0
a 7 4 1 5.613821029663086 5.37039041519165 2.0519728660583496
call 7 5 4 9.345237731933594 10.527680397033691 0
if 7 6 2 9.096391677856445 5.852256774902344 4.675423622131348
she 7 7 3 6.986588954925537 4.941793918609619 0.9104628562927246
buys 7 8 4 16.216508865356445 8.091691970825195 0
? 7 9 1 6.515215873718262 4.780605792999268 3.3110861778259277
whom 8 0 4 6.207610607147217 8.118135452270508 0
did 8 1 3 5.131049156188965 6.576956272125244 1.5411791801452637
she 8 2 3 10.521689414978027 4.104767799377441 2.4721884727478027
say 8 3 3 10.994916915893555 7.435234546661377 0
that 8 4 4 1.8642381429672241 4.675146102905273 2.7600884437561035
she 8 5 3 6.024011611938477 5.874141693115234 0
gave 8 6 4 10.76185131072998 7.883044242858887 0
a 8 7 1 5.738807678222656 3.782508611679077 4.10053563117981
guitar 8 8 6 13.19675064086914 10.269107818603516 0
to 8 9 2 6.082072734832764 8.776599884033203 1.4925079345703125
me 8 10 2 7.335026264190674 5.858922004699707 2.917677879333496
when 8 11 4 8.221324920654297 5.90997314453125 0
i 8 12 1 5.034425735473633 4.2331767082214355 1.6767964363098145
hired 8 13 5 13.55282211303711 7.299549102783203 0
? 8 14 1 4.715314865112305 5.011046409606934 2.2885026931762695
what 9 0 4 5.944672584533691 8.118135452270508 0
did 9 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
he 9 2 2 6.699747085571289 4.736475467681885 0
get 9 3 3 7.482462406158447 7.617629051208496 0
a 9 4 1 5.1010637283325195 5.897110462188721 1.7205185890197754
new 9 5 3 6.279119491577148 10.647591590881348 0
phone 9 6 5 12.271902084350586 10.10008430480957 0.5475072860717773
for 9 7 3 6.551212787628174 6.805045127868652 3.295039176940918
<unk> 9 8 5 5.412590503692627 6.537594318389893 0.26745080947875977
because 9 9 7 10.784646987915039 6.0756001472473145 0.4619941711425781
she 9 10 3 6.155464172363281 6.2462477684021 0
saw 9 11 3 7.9199676513671875 7.8172101974487305 0
? 9 12 1 10.880998611450195 0.8561251163482666 6.961085081100464
what 10 0 4 5.944672584533691 8.118135452270508 0
did 10 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
you 10 2 3 6.188019275665283 4.736475467681885 0
need 10 3 4 10.174771308898926 7.819787502288818 0
to 10 4 2 5.4048871994018555 6.456118583679199 1.3636689186096191
do 10 5 2 6.656591892242432 7.621584415435791 0
that 10 6 4 5.157988548278809 4.274262428283691 3.3473219871520996
if 10 7 2 8.858661651611328 7.132107257843018 0
you 10 8 3 5.127702713012695 4.565004825592041 2.5671024322509766
were 10 9 4 2.6571743488311768 8.065661430358887 0
to 10 10 2 9.88149642944336 2.022941827774048 6.042719602584839
go 10 11 2 6.9305195808410645 7.722409725189209 0
and 10 12 3 6.314159870147705 7.1231584548950195 0.5992512702941895
buy 10 13 3 8.701080322265625 8.000669479370117 0
? 10 14 1 4.211693286895752 6.647615909576416 1.3530535697937012
what 11 0 4 5.944672584533691 8.118135452270508 0
did 11 1 3 12.505496978759766 0.2607751488685608 7.857360303401947
she 11 2 3 9.01684856414795 4.736475467681885 0
eat 11 3 3 12.63225269317627 7.8515706062316895 0
the 11 4 3 2.5046868324279785 6.772397041320801 1.0791735649108887
<unk> 11 5 5 4.579240322113037 10.476739883422852 0
because 11 6 7 10.582022666931152 6.741307258605957 3.7354326248168945
they 11 7 4 5.5669097900390625 6.312386512756348 0.4289207458496094
<unk> 11 8 5 4.468204498291016 7.755733013153076 0
? 11 9 1 4.3501176834106445 6.561071872711182 1.1946611404418945
where 12 0 5 9.8583345413208 8.118135452270508 0
did 12 1 3 8.676942825317383 4.958200454711914 3.1599349975585938
she 12 2 3 12.179840087890625 4.200262069702148 0.7579383850097656
say 12 3 3 10.923049926757812 8.351819038391113 0
that 12 4 4 1.4873119592666626 4.6726508140563965 3.679168224334717
he 12 5 2 5.298036098480225 5.991893291473389 0
will 12 6 4 7.159205913543701 8.07646656036377 0
hear 12 7 4 12.143582344055176 7.734939098358154 0.34152746200561523
a 12 8 1 5.284877300262451 5.451381683349609 2.283557415008545
rumour 12 9 6 11.175333023071289 10.517618179321289 0
if 12 10 2 7.97158145904541 4.265942573547363 6.251675605773926
she 12 11 3 5.389333248138428 4.389224529266357 0
is 12 12 2 5.544271469116211 8.030542373657227 0
? 12 13 1 4.570286750793457 2.6757752895355225 5.354767084121704
what 13 0 4 5.944672584533691 8.118135452270508 0
does 13 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
he 13 2 2 6.254799842834473 4.3821868896484375 0
speak 13 3 5 11.371678352355957 7.321948051452637 0
a 13 4 1 5.874090194702148 6.257996082305908 1.0639519691467285
<unk> 13 5 5 4.601726531982422 10.4854154586792 0
language 13 6 8 7.527412414550781 6.887156009674072 3.598259449005127
because 13 7 7 10.400896072387695 6.1633195877075195 0.7238364219665527
you 13 8 3 7.742334365844727 5.929689407348633 0.23363018035888672
were 13 9 4 3.8039608001708984 7.94289493560791 0
? 13 10 1 5.830541610717773 2.604830741882324 5.338064193725586
who 14 0 3 7.409207820892334 8.118135452270508 0
did 14 1 3 6.186381816864014 7.692770957946777 0.42536449432373047
she 14 2 3 11.011012077331543 5.110241413116455 2.5825295448303223
say 14 3 3 10.405213356018066 7.864851951599121 0
that 14 4 4 1.6016795635223389 4.6499433517456055 3.2149085998535156
she 14 5 3 5.543296813964844 6.574418544769287 0
wears 14 6 5 13.72983169555664 8.08692455291748 0
extravagant 14 7 11 16.17862892150879 7.19032621383667 0.8965983390808105
rings 14 8 5 10.363984107971191 10.068093299865723 0
when 14 9 4 9.196924209594727 6.331794261932373 3.7362990379333496
she 14 10 3 3.786567449569702 6.654109477996826 0
is 14 11 2 5.433960914611816 8.073068618774414 0
waiting 14 12 7 9.928496360778809 2.150374174118042 5.922694444656372
for 14 13 3 2.143718719482422 6.1863274574279785 0
? 14 14 1 6.206371784210205 6.058124542236328 0.1282029151916504
what 15 0 4 5.944672584533691 8.118135452270508 0
does 15 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
<unk> 15 2 5 5.607186317443848 4.3821868896484375 0
eat 15 3 3 13.2841157913208 6.396690845489502 0
a 15 4 1 5.13949728012085 6.716470241546631 0
yellow 15 5 6 10.989693641662598 10.990239143371582 0
candy 15 6 5 13.807744026184082 8.36428451538086 2.6259546279907227
whenever 15 7 8 14.495654106140137 7.994312286376953 0.36997222900390625
<unk> 15 8 5 5.249755859375 5.147116661071777 2.847195625305176
watches 15 9 7 12.008915901184082 5.101966381072998 0.0451502799987793
? 15 10 1 4.714792251586914 6.97101354598999 0
whom 16 0 4 6.207610607147217 8.118135452270508 0
