word sentid sentpos wlen surp entropy entred
what 0 0 4 0.674957811832428 2.318894386291504 0
did 0 1 3 3.000926971435547 4.880807399749756 0
i 0 2 1 7.260782718658447 3.067905902862549 1.812901496887207
buy 0 3 3 10.7837495803833 6.581155300140381 0
a 0 4 1 2.8581414222717285 7.2516021728515625 0
guitar 0 5 6 13.881482124328613 7.113952159881592 0.1376500129699707
for 0 6 3 5.435277462005615 8.109429359436035 0
myself 0 7 6 9.475114822387695 7.114413738250732 0.9950156211853027
because 0 8 7 6.6439642906188965 6.491692066192627 0.6227216720581055
they 0 9 4 2.402952194213867 4.938848495483398 1.5528435707092285
heard 0 10 5 8.706123352050781 6.632571697235107 0
? 0 11 1 9.418947219848633 6.025186061859131 0.6073856353759766
what 1 0 4 0.674957811832428 2.318894386291504 0
will 1 1 4 9.279281616210938 4.880807399749756 0
they 1 2 4 7.766436576843262 4.243001937866211 0.6378054618835449
fail 1 3 4 12.184157371520996 7.211082458496094 0
the 1 4 3 9.140582084655762 0.42450013756752014 6.786582320928574
test 1 5 4 10.032543182373047 10.017058372497559 0
if 1 6 2 7.697390556335449 7.629601001739502 2.3874573707580566
they 1 7 4 3.1111977100372314 4.323477268218994 3.306123733520508
do 1 8 2 5.02286434173584 6.964113235473633 0
not 1 9 3 5.496541500091553 6.510690689086914 0.45342254638671875
? 1 10 1 0.6136587262153625 3.3520450592041016 3.1586456298828125
whom 2 0 4 2.1448659896850586 2.318894386291504 0
will 2 1 4 7.689469337463379 6.376889228820801 0
he 2 2 2 7.428826332092285 4.561948299407959 1.8149409294128418
hire 2 3 4 11.081080436706543 7.929144382476807 0
someone 2 4 7 5.408934116363525 6.460008144378662 1.4691362380981445
if 2 5 2 20.044631958007812 0.004436857998371124 6.455571286380291
i 2 6 1 9.573479652404785 1.2571665048599243 0
need 2 7 4 8.293220520019531 6.745787620544434 0
? 2 8 1 9.366718292236328 6.791046619415283 0
what 3 0 4 0.674957811832428 2.318894386291504 0
has 3 1 3 5.156403541564941 4.880807399749756 0
he 3 2 2 9.599342346191406 5.094497203826904 0
been 3 3 4 7.007577419281006 8.036792755126953 0
circulating 3 4 11 16.648088455200195 8.870275497436523 0
who 3 5 3 10.556682586669922 6.388277053833008 2.4819984436035156
he 3 6 2 7.179150104522705 8.048759460449219 0
thought 3 7 7 6.2238898277282715 5.157942295074463 2.890817165374756
was 3 8 3 3.6321511268615723 7.186697006225586 0
? 3 9 1 7.663411617279053 6.5121378898620605 0.6745591163635254
what 4 0 4 0.674957811832428 2.318894386291504 0
will 4 1 4 9.279281616210938 4.880807399749756 0
he 4 2 2 7.331142902374268 4.243001937866211 0.6378054618835449
try 4 3 3 8.727638244628906 7.50255823135376 0
to 4 4 2 1.8644530773162842 6.4517951011657715 1.0507631301879883
call 4 5 4 8.207526206970215 8.396320343017578 0
you 4 6 3 6.884316444396973 5.872130870819092 2.5241894721984863
if 4 7 2 14.435962677001953 0.24656738340854645 5.625563487410545
she 4 8 3 8.118500709533691 1.8233897686004639 0
buys 4 9 4 12.857829093933105 6.09464693069458 0
? 4 10 1 5.8779473304748535 7.160172462463379 0
what 5 0 4 0.674957811832428 2.318894386291504 0
did 5 1 3 3.000926971435547 4.880807399749756 0
she 5 2 3 9.071520805358887 3.067905902862549 1.812901496887207
say 5 3 3 8.576091766357422 8.252323150634766 0
she 5 4 3 5.289933204650879 5.734851837158203 2.5174713134765625
would 5 5 5 4.572476863861084 5.969736099243164 0
like 5 6 4 5.935962677001953 6.791203498840332 0
the 5 7 3 5.267025947570801 5.363107204437256 1.4280962944030762
man 5 8 3 8.428457260131836 9.337936401367188 0
if 5 9 2 13.49956226348877 0.28760841488838196 9.050327986478806
he 5 10 2 3.553643226623535 4.560104846954346 0
read 5 11 4 9.259378433227539 6.566281795501709 0
? 5 12 1 7.4546003341674805 5.892611980438232 0.6736698150634766
where 6 0 5 8.335258483886719 2.318894386291504 0
did 6 1 3 6.965174198150635 6.09504508972168 0
i 6 2 1 6.596063613891602 5.855429172515869 0.23961591720581055
buy 6 3 3 9.361083984375 6.751675605773926 0
a 6 4 1 2.3284952640533447 6.919990062713623 0
coffee 6 5 6 7.659721374511719 7.631422519683838 0
for 6 6 3 8.563309669494629 8.07636833190918 0
myself 6 7 6 9.543642044067383 7.803056716918945 0.2733116149902344
because 6 8 7 8.578771591186523 3.5139107704162598 4.2891459465026855
i 6 9 1 3.164111852645874 5.143483638763428 0
went 6 10 4 7.14586067199707 7.021647930145264 0
? 6 11 1 11.019552230834961 5.953455924987793 1.0681920051574707
what 7 0 4 0.674957811832428 2.318894386291504 0
will 7 1 4 9.279281616210938 4.880807399749756 0
he 7 2 2 7.331142902374268 4.243001937866211 0.6378054618835449
circulate 7 3 9 18.402067184448242 7.50255823135376 0
a 7 4 1 4.160862445831299 5.415761947631836 2.086796283721924
call 7 5 4 8.895949363708496 8.308795928955078 0
if 7 6 2 7.083651542663574 5.1074347496032715 3.2013611793518066
she 7 7 3 6.579939365386963 2.0197715759277344 3.087663173675537
buys 7 8 4 13.716299057006836 6.6759490966796875 0
? 7 9 1 6.4938554763793945 7.086080074310303 0
whom 8 0 4 2.1448659896850586 2.318894386291504 0
did 8 1 3 3.211657762527466 6.376889228820801 0
she 8 2 3 8.90956974029541 6.0772552490234375 0.2996339797973633
say 8 3 3 6.7107672691345215 8.009965896606445 0
that 8 4 4 6.1373515129089355 1.2440273761749268 6.7659385204315186
she 8 5 3 2.582617998123169 5.324070453643799 0
gave 8 6 4 7.659477233886719 5.818233489990234 0
a 8 7 1 3.659205436706543 6.777420997619629 0
guitar 8 8 6 14.634366989135742 8.190510749816895 0
to 8 9 2 5.768914699554443 7.82987117767334 0.3606395721435547
me 8 10 2 7.149226665496826 7.526309490203857 0.3035616874694824
when 8 11 4 16.03539276123047 0.03317847475409508 7.493131015449762
i 8 12 1 4.762978553771973 4.686511516571045 0
hired 8 13 5 14.00635814666748 6.9239583015441895 0
? 8 14 1 8.624150276184082 6.0960564613342285 0.8279018402099609
what 9 0 4 0.674957811832428 2.318894386291504 0
did 9 1 3 3.000926971435547 4.880807399749756 0
he 9 2 2 6.095428466796875 3.067905902862549 1.812901496887207
get 9 3 3 10.741811752319336 8.132999420166016 0
a 9 4 1 3.5203616619110107 7.814453601837158 0.3185458183288574
new 9 5 3 8.034839630126953 8.863182067871094 0
phone 9 6 5 9.897322654724121 9.110129356384277 0
for 9 7 3 5.242010593414307 6.411611080169678 2.6985182762145996
<unk> 9 8 5 4.949478626251221 7.330142021179199 0
