word sentid sentpos wlen surp entropy entred
what 0 0 4 5.295872688293457 7.369866847991943 0
did 0 1 3 7.655991554260254 4.860300540924072 2.509566307067871
i 0 2 1 8.754837036132812 6.998918056488037 0
buy 0 3 3 8.141205787658691 7.811992168426514 0
a 0 4 1 4.462053298950195 6.730319499969482 1.0816726684570312
guitar 0 5 6 12.283212661743164 9.838844299316406 0
for 0 6 3 6.820314407348633 8.174442291259766 1.6644020080566406
myself 0 7 6 13.086702346801758 7.179813385009766 0.99462890625
because 0 8 7 11.821723937988281 7.05235481262207 0.1274585723876953
they 0 9 4 7.038505554199219 5.29605770111084 1.7562971115112305
heard 0 10 5 10.418595314025879 7.017250061035156 0
? 0 11 1 4.273083209991455 5.2268548011779785 1.7903952598571777
what 1 0 4 5.295872688293457 7.369866847991943 0
will 1 1 4 11.547722816467285 4.860300540924072 2.509566307067871
they 1 2 4 7.988059043884277 7.774054050445557 0
fail 1 3 4 11.096452713012695 8.220354080200195 0
the 1 4 3 3.8607730865478516 6.998845100402832 1.2215089797973633
test 1 5 4 12.243574142456055 9.591143608093262 0
if 1 6 2 9.057472229003906 9.320853233337402 0.2702903747558594
they 1 7 4 5.570642948150635 7.108186721801758 2.2126665115356445
do 1 8 2 5.766111373901367 7.572848320007324 0
not 1 9 3 4.6781840324401855 6.138578414916992 1.434269905090332
? 1 10 1 5.636078834533691 8.342216491699219 0
whom 2 0 4 5.479881286621094 7.369866847991943 0
will 2 1 4 11.352009773254395 5.511104106903076 1.8587627410888672
he 2 2 2 7.636478424072266 5.276235103607178 0.23486900329589844
hire 2 3 4 16.003938674926758 4.1111860275268555 1.1650490760803223
someone 2 4 7 8.295741081237793 3.6248772144317627 0.4863088130950928
if 2 5 2 12.584779739379883 0.7269741892814636 2.897903025150299
i 2 6 1 7.251513481140137 6.106784820556641 0
need 2 7 4 11.303206443786621 7.7037034034729 0
? 2 8 1 4.379619121551514 6.930246829986572 0.7734565734863281
what 3 0 4 5.295872688293457 7.369866847991943 0
has 3 1 3 7.614081382751465 4.860300540924072 2.509566307067871
he 3 2 2 10.656301498413086 8.033293724060059 0
been 3 3 4 4.6383819580078125 8.253129005432129 0
circulating 3 4 11 16.505895614624023 7.033798694610596 1.2193303108215332
who 3 5 3 8.781651496887207 7.105888366699219 0
he 3 6 2 6.906883239746094 7.156655788421631 0
thought 3 7 7 9.414945602416992 6.311369895935059 0.8452858924865723
was 3 8 3 5.469102382659912 6.169433116912842 0.1419367790222168
? 3 9 1 5.885404586791992 4.429800987243652 1.7396321296691895
what 4 0 4 5.295872688293457 7.369866847991943 0
will 4 1 4 11.547722816467285 4.860300540924072 2.509566307067871
he 4 2 2 7.260422229766846 7.774054050445557 0
try 4 3 3 11.51319694519043 6.366710186004639 1.407343864440918
to 4 4 2 3.2512989044189453 7.110285758972168 0
call 4 5 4 8.239699363708496 9.012550354003906 0
you 4 6 3 8.399862289428711 6.004220485687256 3.0083298683166504
if 4 7 2 9.17111873626709 5.523535251617432 0.4806852340698242
she 4 8 3 7.529921054840088 5.899994373321533 0
buys 4 9 4 15.287771224975586 5.769844055175781 0.13015031814575195
? 4 10 1 3.3900609016418457 6.367048263549805 0
what 5 0 4 5.295872688293457 7.369866847991943 0
did 5 1 3 7.655991554260254 4.860300540924072 2.509566307067871
she 5 2 3 9.123833656311035 6.998918056488037 0
say 5 3 3 8.370482444763184 8.15323257446289 0
she 5 4 3 7.636786937713623 6.482974529266357 1.6702580451965332
would 5 5 5 5.185503959655762 6.7579026222229 0
like 5 6 4 7.374902248382568 7.784615993499756 0
the 5 7 3 3.538153886795044 7.092423439025879 0.692192554473877
man 5 8 3 10.364936828613281 8.99339485168457 0
if 5 9 2 11.530647277832031 3.9103875160217285 5.083007335662842
he 5 10 2 6.166775703430176 6.268861770629883 0
read 5 11 4 9.525003433227539 5.41806173324585 0.8508000373840332
? 5 12 1 3.4926953315734863 6.08732795715332 0
where 6 0 5 9.322787284851074 7.369866847991943 0
did 6 1 3 8.907024383544922 6.509938716888428 0.8599281311035156
i 6 2 1 7.711255073547363 4.450321674346924 2.059617042541504
buy 6 3 3 7.296992778778076 7.8505682945251465 0
a 6 4 1 3.895561695098877 5.901296615600586 1.9492716789245605
coffee 6 5 6 9.106575965881348 9.548611640930176 0
for 6 6 3 7.591245651245117 9.353880882263184 0.1947307586669922
myself 6 7 6 11.949254035949707 7.765939712524414 1.5879411697387695
because 6 8 7 12.722638130187988 8.02988338470459 0
i 6 9 1 4.2628583908081055 5.423981666564941 2.6059017181396484
went 6 10 4 8.043102264404297 8.125916481018066 0
? 6 11 1 3.53938364982605 7.477145195007324 0.6487712860107422
what 7 0 4 5.295872688293457 7.369866847991943 0
will 7 1 4 11.547722816467285 4.860300540924072 2.509566307067871
he 7 2 2 7.260422229766846 7.774054050445557 0
circulate 7 3 9 18.07504653930664 6.366710186004639 1.407343864440918
a 7 4 1 5.381524085998535 6.204080104827881 0.1626300811767578
call 7 5 4 8.34946346282959 10.26783561706543 0
if 7 6 2 10.623010635375977 6.708076000213623 3.5597596168518066
she 7 7 3 7.20723819732666 6.455582618713379 0.25249338150024414
buys 7 8 4 14.205366134643555 7.098056793212891 0
? 7 9 1 3.672870635986328 6.729770660400391 0.3682861328125
whom 8 0 4 5.479881286621094 7.369866847991943 0
did 8 1 3 7.539018630981445 5.511104106903076 1.8587627410888672
she 8 2 3 9.642566680908203 4.826279163360596 0.6848249435424805
say 8 3 3 9.160935401916504 6.6365885734558105 0
that 8 4 4 2.783168315887451 5.743109703063965 0.8934788703918457
she 8 5 3 6.818808078765869 6.209492206573486 0
gave 8 6 4 10.728571891784668 5.557671070098877 0.6518211364746094
a 8 7 1 5.4483723640441895 5.563500881195068 0
