word sentid sentpos wlen surp entropy entred
what 0 0 4 2.489025354385376 6.994493007659912 0
did 0 1 3 6.548758029937744 1.213553547859192 5.78093945980072
i 0 2 1 9.725763320922852 4.87201452255249 0
buy 0 3 3 12.188004493713379 4.503421306610107 0.3685932159423828
a 0 4 1 6.749141216278076 5.512303352355957 0
guitar 0 5 6 12.95304012298584 8.966266632080078 0
for 0 6 3 7.075130462646484 7.961391448974609 1.0048751831054688
myself 0 7 6 12.73939323425293 6.923552989959717 1.0378384590148926
because 0 8 7 12.366735458374023 5.333304405212402 1.5902485847473145
they 0 9 4 4.878072738647461 5.025820255279541 0.30748414993286133
heard 0 10 5 13.34412670135498 6.460550308227539 0
? 0 11 1 4.024723052978516 5.2449846267700195 1.2155656814575195
what 1 0 4 2.489025354385376 6.994493007659912 0
will 1 1 4 9.671480178833008 1.213553547859192 5.78093945980072
they 1 2 4 5.960981845855713 6.373027801513672 0
fail 1 3 4 12.347465515136719 6.487267971038818 0
the 1 4 3 4.747744083404541 6.087823867797852 0.3994441032409668
test 1 5 4 12.5863037109375 7.792627334594727 0
if 1 6 2 9.730466842651367 7.772181510925293 0.020445823669433594
they 1 7 4 4.065402507781982 6.495879650115967 1.2763018608093262
do 1 8 2 2.853937864303589 5.506094455718994 0.9897851943969727
not 1 9 3 7.385284900665283 5.103030204772949 0.4030642509460449
? 1 10 1 3.0189082622528076 6.913232803344727 0
whom 2 0 4 12.945582389831543 6.994493007659912 0
will 2 1 4 7.324281692504883 5.467357158660889 1.5271358489990234
he 2 2 2 9.100628852844238 5.413430690765381 0.05392646789550781
hire 2 3 4 14.174606323242188 6.96392297744751 0
someone 2 4 7 7.684276103973389 6.526396751403809 0.43752622604370117
if 2 5 2 10.38649845123291 5.501644134521484 1.0247526168823242
i 2 6 1 6.71605110168457 6.379901885986328 0
need 2 7 4 13.325247764587402 1.9465333223342896 4.433368563652039
? 2 8 1 4.825231075286865 6.525378227233887 0
what 3 0 4 2.489025354385376 6.994493007659912 0
has 3 1 3 12.104598045349121 1.213553547859192 5.78093945980072
he 3 2 2 9.452676773071289 6.717493057250977 0
been 3 3 4 9.404508590698242 4.965664863586426 1.7518281936645508
circulating 3 4 11 15.105064392089844 7.981560707092285 0
who 3 5 3 7.479936122894287 6.304795265197754 1.6767654418945312
he 3 6 2 9.474340438842773 2.4656126499176025 3.8391826152801514
thought 3 7 7 11.354202270507812 3.52284574508667 0
was 3 8 3 7.603124141693115 4.94616174697876 0
? 3 9 1 6.201479911804199 6.8744401931762695 0
what 4 0 4 2.489025354385376 6.994493007659912 0
will 4 1 4 9.671480178833008 1.213553547859192 5.78093945980072
he 4 2 2 7.914642810821533 6.373027801513672 0
try 4 3 3 12.129814147949219 6.471942901611328 0
to 4 4 2 5.146858215332031 5.535793304443359 0.9361495971679688
call 4 5 4 8.460721015930176 7.852824687957764 0
you 4 6 3 8.37177848815918 5.961258411407471 1.891566276550293
if 4 7 2 10.191969871520996 5.700656414031982 0.2606019973754883
she 4 8 3 6.6680755615234375 5.839114189147949 0
buys 4 9 4 18.97439193725586 5.605945110321045 0.2331690788269043
? 4 10 1 3.366457223892212 5.94563102722168 0
what 5 0 4 2.489025354385376 6.994493007659912 0
did 5 1 3 6.548758029937744 1.213553547859192 5.78093945980072
she 5 2 3 8.069762229919434 4.87201452255249 0
say 5 3 3 8.319965362548828 5.596475124359131 0
she 5 4 3 9.462723731994629 3.0755603313446045 2.5209147930145264
would 5 5 5 9.67294692993164 5.069021224975586 0
like 5 6 4 7.2571940422058105 6.776316165924072 0
the 5 7 3 4.835341930389404 4.768586158752441 2.007730007171631
man 5 8 3 10.812028884887695 6.0059404373168945 0
if 5 9 2 10.119941711425781 5.902820110321045 0.10312032699584961
he 5 10 2 6.424731254577637 5.670473098754883 0.2323470115661621
read 5 11 4 10.15705680847168 5.349114894866943 0.32135820388793945
? 5 12 1 3.084116220474243 4.731382846832275 0.617732048034668
where 6 0 5 9.389979362487793 6.994493007659912 0
did 6 1 3 5.189058780670166 6.727607727050781 0.26688528060913086
i 6 2 1 9.403787612915039 7.1893720626831055 0
buy 6 3 3 11.372491836547852 4.570392608642578 2.6189794540405273
a 6 4 1 5.751008987426758 6.789369583129883 0
coffee 6 5 6 11.89853572845459 9.290023803710938 0
for 6 6 3 8.192412376403809 8.45833969116211 0.8316841125488281
myself 6 7 6 12.154451370239258 7.3351616859436035 1.1231780052185059
because 6 8 7 12.063735008239746 5.399783134460449 1.9353785514831543
i 6 9 1 5.5714545249938965 5.413208484649658 0
went 6 10 4 12.190950393676758 1.7651586532592773 3.648049831390381
? 6 11 1 3.5804102420806885 6.686413288116455 0
what 7 0 4 2.489025354385376 6.994493007659912 0
will 7 1 4 9.671480178833008 1.213553547859192 5.78093945980072
he 7 2 2 7.914642810821533 6.373027801513672 0
circulate 7 3 9 16.18857192993164 6.471942901611328 0
a 7 4 1 7.3041863441467285 6.292924404144287 0.17901849746704102
call 7 5 4 9.369467735290527 8.63361644744873 0
if 7 6 2 9.559972763061523 6.574530124664307 2.059086322784424
she 7 7 3 6.611760139465332 5.894869327545166 0.6796607971191406
buys 7 8 4 18.795818328857422 5.262448787689209 0.632420539855957
? 7 9 1 3.708169460296631 5.8486199378967285 0
whom 8 0 4 12.945582389831543 6.994493007659912 0
did 8 1 3 5.272122383117676 5.467357158660889 1.5271358489990234
she 8 2 3 8.651252746582031 5.487765312194824 0
say 8 3 3 7.319045066833496 6.686261177062988 0
that 8 4 4 3.477126359939575 2.818732738494873 3.8675284385681152
she 8 5 3 6.044289588928223 4.295060157775879 0
gave 8 6 4 12.254966735839844 6.314877986907959 0
a 8 7 1 4.996401786804199 6.81771993637085 0
guitar 8 8 6 13.720787048339844 9.451315879821777 0
to 8 9 2 6.22408390045166 7.189877986907959 2.2614378929138184
me 8 10 2 7.619579315185547 7.296616554260254 0
when 8 11 4 9.158832550048828 6.004460334777832 1.2921562194824219
i 8 12 1 4.34432315826416 6.893250465393066 0
hired 8 13 5 18.161052703857422 1.562304139137268 5.330946326255798
? 8 14 1 4.740368366241455 6.771818161010742 0
what 9 0 4 2.489025354385376 6.994493007659912 0
did 9 1 3 6.548758029937744 1.213553547859192 5.78093945980072
he 9 2 2 8.045479774475098 4.87201452255249 0
get 9 3 3 9.953786849975586 6.174037933349609 0
a 9 4 1 6.061782360076904 6.249331474304199 0
new 9 5 3 7.1713361740112305 8.352519035339355 0
phone 9 6 5 11.093342781066895 7.993617534637451 0.3589015007019043
for 9 7 3 7.715928077697754 6.660359859466553 1.3332576751708984
<unk> 9 8 5 3.903895139694214 6.06786584854126 0.592494010925293
because 9 9 7 12.2644681930542 5.358460903167725 0.7094049453735352
she 9 10 3 6.2032036781311035 4.796060085296631 0.5624008178710938
saw 9 11 3 12.283881187438965 5.586808681488037 0
? 9 12 1 4.686229228973389 5.637253284454346 0
what 10 0 4 2.489025354385376 6.994493007659912 0
did 10 1 3 6.548758029937744 1.213553547859192 5.78093945980072
you 10 2 3 9.647380828857422 4.87201452255249 0
need 10 3 4 12.133147239685059 4.588043212890625 0.28397130966186523
to 10 4 2 6.826100826263428 4.9580888748168945 0
do 10 5 2 2.862398862838745 5.680243968963623 0
that 10 6 4 2.865276336669922 7.274738311767578 0
if 10 7 2 13.14094066619873 2.977004289627075 4.297734022140503
you 10 8 3 5.663236141204834 6.1774187088012695 0
were 10 9 4 10.003268241882324 4.409280300140381 1.7681384086608887
to 10 10 2 7.949058532714844 7.543478965759277 0
go 10 11 2 8.493136405944824 6.380100727081299 1.1633782386779785
and 10 12 3 7.302443027496338 6.413776397705078 0
buy 10 13 3 9.77187728881836 6.314675807952881 0.09910058975219727
? 10 14 1 3.146317958831787 6.878352642059326 0
what 11 0 4 2.489025354385376 6.994493007659912 0
did 11 1 3 6.548758029937744 1.213553547859192 5.78093945980072
she 11 2 3 8.069762229919434 4.87201452255249 0
eat 11 3 3 14.531927108764648 5.596475124359131 0
the 11 4 3 5.622417449951172 4.858789443969727 0.7376856803894043
<unk> 11 5 5 5.292459487915039 7.33450984954834 0
because 11 6 7 12.549875259399414 5.8986735343933105 1.4358363151550293
they 11 7 4 4.563375473022461 4.66665506362915 1.2320184707641602
<unk> 11 8 5 4.996138095855713 5.795980453491211 0
? 11 9 1 4.922569751739502 5.581387996673584 0.21459245681762695
where 12 0 5 9.389979362487793 6.994493007659912 0
did 12 1 3 5.189058780670166 6.727607727050781 0.26688528060913086
she 12 2 3 6.587162494659424 7.1893720626831055 0
say 12 3 3 8.111568450927734 6.6015944480896 0.5877776145935059
that 12 4 4 3.576068639755249 3.330108880996704 3.2714855670928955
he 12 5 2 8.401252746582031 4.176456451416016 0
will 12 6 4 6.348387241363525 5.931795120239258 0
hear 12 7 4 2.713463306427002 6.355867862701416 0
a 12 8 1 7.7875657081604 4.570709228515625 1.785158634185791
rumour 12 9 6 9.662858963012695 7.301760673522949 0
if 12 10 2 9.50826644897461 4.3629560470581055 2.9388046264648438
she 12 11 3 5.849575042724609 5.62230920791626 0
is 12 12 2 7.797883033752441 4.677249908447266 0.9450592994689941
? 12 13 1 4.998945236206055 6.684117317199707 0
what 13 0 4 2.489025354385376 6.994493007659912 0
does 13 1 4 7.743382453918457 1.213553547859192 5.78093945980072
he 13 2 2 8.191319465637207 5.948736190795898 0
speak 13 3 5 11.807806015014648 6.621829509735107 0
a 13 4 1 8.133857727050781 6.328335762023926 0.29349374771118164
<unk> 13 5 5 4.916470527648926 8.080449104309082 0
language 13 6 8 9.537540435791016 5.944063186645508 2.136385917663574
because 13 7 7 12.12463665008545 5.471458911895752 0.47260427474975586
you 13 8 3 8.523642539978027 4.7927327156066895 0.6787261962890625
were 13 9 4 9.41728401184082 4.442850589752197 0.3498821258544922
? 13 10 1 5.467827796936035 7.871280193328857 0
who 14 0 3 6.3972015380859375 6.994493007659912 0
did 14 1 3 4.575266361236572 3.6451008319854736 3.3493921756744385
she 14 2 3 8.751604080200195 5.376827239990234 0
say 14 3 3 7.575756072998047 6.793334484100342 0
that 14 4 4 3.8634839057922363 2.4266719818115234 4.366662502288818
she 14 5 3 5.725192070007324 4.299948692321777 0
wears 14 6 5 18.494274139404297 6.055608749389648 0
extravagant 14 7 11 16.149635314941406 7.6193060874938965 0
rings 14 8 5 12.20392894744873 10.61584758758545 0
when 14 9 4 9.078598976135254 6.481842517852783 4.134005069732666
she 14 10 3 3.1404335498809814 7.623228549957275 0
is 14 11 2 6.505427360534668 6.5716633796691895 1.051565170288086
waiting 14 12 7 12.75631332397461 7.871573448181152 0
for 14 13 3 4.242464542388916 6.5147809982299805 1.3567924499511719
? 14 14 1 4.216949939727783 7.493072986602783 0
what 15 0 4 2.489025354385376 6.994493007659912 0
does 15 1 4 7.743382453918457 1.213553547859192 5.78093945980072
<unk> 15 2 5 1.9520028829574585 5.948736190795898 0
eat 15 3 3 14.12926197052002 7.304939270019531 0
a 15 4 1 7.217679023742676 5.030228137969971 2.2747111320495605
yellow 15 5 6 14.321290969848633 8.858695030212402 0
candy 15 6 5 11.74465560913086 8.127927780151367 0.7307672500610352
