word sentid sentpos wlen surp entropy entred
what 0 0 4 11.139830589294434 0.5004273653030396 0
did 0 1 3 3.0110182762145996 6.154789447784424 0
i 0 2 1 6.712327480316162 3.91814923286438 2.236640214920044
buy 0 3 3 4.179295063018799 3.0747580528259277 0.8433911800384521
a 0 4 1 1.699815273284912 6.492013454437256 0
guitar 0 5 6 10.760725975036621 7.534838676452637 0
for 0 6 3 8.177274703979492 0.1870146095752716 7.347824066877365
myself 0 7 6 11.794242858886719 5.145262241363525 0
because 0 8 7 11.370884895324707 1.1649084091186523 3.980353832244873
they 0 9 4 7.044382572174072 4.286693572998047 0
heard 0 10 5 8.419374465942383 5.718402862548828 0
? 0 11 1 6.340928077697754 6.158171653747559 0
what 1 0 4 11.139830589294434 0.5004273653030396 0
will 1 1 4 5.5436224937438965 6.154789447784424 0
they 1 2 4 7.738828659057617 6.772139549255371 0
fail 1 3 4 14.954902648925781 0.9539734721183777 5.818166077136993
the 1 4 3 9.466941833496094 4.890266418457031 0
test 1 5 4 10.45627498626709 10.315890312194824 0
if 1 6 2 11.549982070922852 4.711328983306885 5.6045613288879395
they 1 7 4 5.760449409484863 4.766330242156982 0
do 1 8 2 6.017605304718018 5.061605453491211 0
not 1 9 3 2.729557752609253 7.286230087280273 0
? 1 10 1 10.14987850189209 6.658234596252441 0.627995491027832
whom 2 0 4 12.388548851013184 0.5004273653030396 0
will 2 1 4 7.0176544189453125 7.2908220291137695 0
he 2 2 2 10.168967247009277 8.124149322509766 0
hire 2 3 4 13.540894508361816 1.4103552103042603 6.713794112205505
someone 2 4 7 8.138766288757324 6.020360469818115 0
if 2 5 2 10.872526168823242 1.728734016418457 4.291626453399658
i 2 6 1 7.897719383239746 3.6607325077056885 0
need 2 7 4 9.370136260986328 6.866588115692139 0
? 2 8 1 6.200479507446289 5.008146286010742 1.8584418296813965
what 3 0 4 11.139830589294434 0.5004273653030396 0
has 3 1 3 6.435189247131348 6.154789447784424 0
he 3 2 2 7.649905204772949 4.472413539886475 1.6823759078979492
been 3 3 4 4.44183349609375 2.2962698936462402 2.1761436462402344
circulating 3 4 11 17.435516357421875 6.59494161605835 0
who 3 5 3 12.652316093444824 3.146125316619873 3.4488162994384766
he 3 6 2 8.161568641662598 6.197329998016357 0
thought 3 7 7 8.645862579345703 5.6676411628723145 0.529688835144043
was 3 8 3 4.3957953453063965 4.372611999511719 1.2950291633605957
? 3 9 1 6.602816581726074 4.8503313064575195 0
what 4 0 4 11.139830589294434 0.5004273653030396 0
will 4 1 4 5.5436224937438965 6.154789447784424 0
he 4 2 2 5.742966651916504 6.772139549255371 0
try 4 3 3 14.600954055786133 0.4058440327644348 6.366295516490936
to 4 4 2 1.0117820501327515 3.8088436126708984 0
call 4 5 4 7.76513147354126 3.0125555992126465 0.796288013458252
you 4 6 3 5.948357105255127 4.7974138259887695 0
if 4 7 2 8.561970710754395 5.777060031890869 0
she 4 8 3 3.783461809158325 2.662747383117676 3.1143126487731934
buys 4 9 4 14.28356647491455 5.7663893699646 0
? 4 10 1 8.071419715881348 1.7838339805603027 3.982555389404297
what 5 0 4 11.139830589294434 0.5004273653030396 0
did 5 1 3 3.0110182762145996 6.154789447784424 0
she 5 2 3 1.019956111907959 3.91814923286438 2.236640214920044
say 5 3 3 0.05115383118391037 0.33592936396598816 3.5822198688983917
she 5 4 3 5.842044830322266 2.4849610328674316 0
would 5 5 5 6.618697166442871 5.828681945800781 0
like 5 6 4 3.534336566925049 6.244478702545166 0
the 5 7 3 4.222018718719482 5.2421135902404785 1.0023651123046875
