word sentid sentpos wlen surp entropy entred
who 0 0 3 7.409207820892334 8.118135452270508 0
do 0 1 2 10.15196704864502 7.692770957946777 0.42536449432373047
n't 0 2 3 24.55105209350586 4.5593037605285645 3.133467197418213
we 0 3 2 11.506529808044434 7.355722904205322 0
believe 0 4 7 9.62765121459961 8.615754127502441 0
the 0 5 3 3.9363553524017334 4.951148986816406 3.664605140686035
rumour 0 6 6 15.236825942993164 9.740357398986816 0
that 0 7 4 2.1410603523254395 5.583346366882324 4.157011032104492
<unk> 0 8 5 4.939803600311279 5.466484069824219 0.11686229705810547
is 0 9 2 6.196408271789551 4.804645538330078 0.6618385314941406
dating 0 10 6 14.64748764038086 1.778988003730774 3.025657534599304
? 0 11 1 3.684992551803589 6.6035661697387695 0
how 1 0 3 10.851533889770508 8.118135452270508 0
does 1 1 4 6.275064945220947 6.845577716827393 1.2725577354431152
will 1 2 4 13.81796932220459 3.7725672721862793 3.0730104446411133
think 1 3 5 11.864099502563477 6.487574100494385 0
that 1 4 4 2.043428421020508 5.53422212600708 0.9533519744873047
she 1 5 3 8.713796615600586 6.113612651824951 0
is 1 6 2 5.238694667816162 7.672397613525391 0
dating 1 7 6 14.585124969482422 2.1122989654541016 5.560098648071289
someone 1 8 7 6.691866874694824 6.580317497253418 0
who 1 9 3 5.2093963623046875 0.35002464056015015 6.230292856693268
solves 1 10 6 16.217010498046875 7.080047607421875 0
? 1 11 1 8.271668434143066 4.857339859008789 2.222707748413086
what 2 0 4 5.944672584533691 8.118135452270508 0
does 2 1 4 14.2567138671875 0.2607751488685608 7.857360303401947
she 2 2 3 8.616338729858398 4.3821868896484375 0
believe 2 3 7 9.265436172485352 7.377961158752441 0
the 2 4 3 3.6021153926849365 4.495113849639893 2.882847309112549
rumour 2 5 6 15.027690887451172 9.797097206115723 0
that 2 6 4 2.169872760772705 5.791613578796387 4.005483627319336
she 2 7 3 7.380580425262451 5.566860198974609 0.22475337982177734
might 2 8 5 9.2898588180542 7.323972225189209 0
have 2 9 4 6.814174175262451 6.489818096160889 0.8341541290283203
this 2 10 4 8.112552642822266 7.212878227233887 0
year 2 11 4 10.2808198928833 8.811175346374512 0
? 2 12 1 4.358259677886963 5.246830463409424 3.564344882965088
how 3 0 3 10.851533889770508 8.118135452270508 0
many 3 1 4 6.839349746704102 6.845577716827393 1.2725577354431152
cities 3 2 6 10.960562705993652 8.841692924499512 0
does 3 3 4 12.07896614074707 6.8168206214904785 2.024872303009033
he 3 4 2 9.703482627868652 5.826266765594482 0.9905538558959961
know 3 5 4 9.251932144165039 7.9325408935546875 0
brothers 3 6 8 15.981184005737305 5.499446392059326 2.4330945014953613
who 3 7 3 3.3354012966156006 6.218087196350098 0
live 3 8 4 8.37500286102295 7.262272357940674 0
