word sentid sentpos wlen surp entropy entred
who 0 0 3 1.5001263618469238 6.085615158081055 0
do 0 1 2 9.043792724609375 5.911084175109863 0.1745309829711914
n't 0 2 3 24.489118576049805 5.355759143829346 0.5553250312805176
we 0 3 2 9.013965606689453 5.873199939727783 0
believe 0 4 7 8.160183906555176 3.7785651683807373 2.094634771347046
the 0 5 3 8.78719425201416 5.621407508850098 0
rumour 0 6 6 17.282222747802734 9.365072250366211 0
that 0 7 4 3.8012685775756836 6.22963809967041 3.135434150695801
<unk> 0 8 5 7.140163898468018 5.9401679039001465 0.28947019577026367
is 0 9 2 5.44379186630249 3.2737460136413574 2.666421890258789
dating 0 10 6 17.604814529418945 7.015850067138672 0
? 0 11 1 2.2113873958587646 5.8419060707092285 1.1739439964294434
how 1 0 3 9.791236877441406 6.085615158081055 0
does 1 1 4 7.918447971343994 6.368799209594727 0
will 1 2 4 12.3927640914917 5.442444801330566 0.9263544082641602
think 1 3 5 9.515596389770508 5.752843379974365 0
that 1 4 4 3.9175333976745605 6.246270179748535 0
she 1 5 3 4.595430850982666 5.7507476806640625 0.49552249908447266
is 1 6 2 6.683584690093994 2.8668148517608643 2.8839328289031982
dating 1 7 6 17.723590850830078 6.878993511199951 0
someone 1 8 7 11.979802131652832 5.67188024520874 1.207113265991211
who 1 9 3 3.4201693534851074 5.960176467895508 0
solves 1 10 6 18.01809310913086 5.631432056427002 0.32874441146850586
? 1 11 1 4.988152503967285 5.880760192871094 0
what 2 0 4 6.448303699493408 6.085615158081055 0
does 2 1 4 9.986079216003418 6.505346775054932 0
she 2 2 3 4.988197326660156 6.54536247253418 0
believe 2 3 7 8.666354179382324 3.532123327255249 3.0132391452789307
the 2 4 3 9.744335174560547 5.457320213317871 0
rumour 2 5 6 16.958337783813477 9.863571166992188 0
that 2 6 4 3.668612241744995 6.183624267578125 3.6799468994140625
she 2 7 3 3.7250263690948486 6.0460357666015625 0.1375885009765625
might 2 8 5 11.395524978637695 2.5531749725341797 3.492860794067383
have 2 9 4 6.568769931793213 3.6470680236816406 0
this 2 10 4 10.28121280670166 7.097558975219727 0
year 2 11 4 9.863031387329102 7.145853042602539 0
? 2 12 1 3.887904405593872 5.645793437957764 1.5000596046447754
how 3 0 3 9.791236877441406 6.085615158081055 0
many 3 1 4 6.26377534866333 6.368799209594727 0
cities 3 2 6 11.704507827758789 8.059198379516602 0
does 3 3 4 12.863811492919922 7.2295918464660645 0.8296065330505371
he 3 4 2 7.533850193023682 7.711737155914307 0
know 3 5 4 7.8589067459106445 4.264577865600586 3.4471592903137207
brothers 3 6 8 15.610231399536133 6.023178577423096 0
who 3 7 3 4.708419322967529 4.118189334869385 1.904989242553711
live 3 8 4 8.66873836517334 6.037046432495117 0
in 3 9 2 4.96638298034668 6.493730068206787 0
? 3 10 1 5.190169334411621 6.984572410583496 0
who 4 0 3 1.5001263618469238 6.085615158081055 0
do 4 1 2 9.043792724609375 5.911084175109863 0.1745309829711914
they 4 2 4 7.643730163574219 5.355759143829346 0.5553250312805176
believe 4 3 7 7.809047698974609 3.726680040359497 1.6290791034698486
the 4 4 3 8.602962493896484 5.721232891082764 0
claim 4 5 5 14.492708206176758 9.498790740966797 0
that 4 6 4 3.5878539085388184 5.845220565795898 3.6535701751708984
he 4 7 2 6.566646575927734 6.329414367675781 0
likes 4 8 5 13.074743270874023 2.5797417163848877 3.7496726512908936
? 4 9 1 4.69011116027832 5.559876918792725 0
what 5 0 4 6.448303699493408 6.085615158081055 0
did 5 1 3 7.785102844238281 6.505346775054932 0
she 5 2 3 4.849772930145264 6.253045558929443 0.2523012161254883
hear 5 3 4 6.180818557739258 3.535609722137451 2.717435836791992
a 5 4 1 7.212166786193848 6.029144763946533 0
rumour 5 5 6 14.869841575622559 7.876659393310547 0
that 5 6 4 2.9492874145507812 6.331029891967773 1.5456295013427734
<unk> 5 7 5 6.964493274688721 5.7688140869140625 0.5622158050537109
sleeps 5 8 6 17.469911575317383 4.183367729187012 1.5854463577270508
with 5 9 4 6.3732733726501465 5.7866034507751465 0
? 5 10 1 4.088016033172607 6.677214622497559 0
how 6 0 3 9.791236877441406 6.085615158081055 0
did 6 1 3 6.003077030181885 6.368799209594727 0
my 6 2 2 10.328665733337402 5.215909957885742 1.1528892517089844
sister 6 3 6 12.870671272277832 5.993047714233398 0
say 6 4 3 7.19536828994751 4.480164527893066 1.512883186340332
that 6 5 4 2.2828378677368164 5.296234607696533 0
<unk> 6 6 5 7.25316047668457 5.643396377563477 0
<unk> 6 7 5 6.431090831756592 3.737875461578369 1.9055209159851074
thinks 6 8 6 11.773192405700684 4.230865001678467 0
that 6 9 4 4.359369277954102 6.4725751876831055 0
<unk> 6 10 5 7.3463215827941895 5.160770893096924 1.3118042945861816
solves 6 11 6 19.284027099609375 3.1258530616760254 2.0349178314208984
? 6 12 1 4.747171401977539 6.499617099761963 0
what 7 0 4 6.448303699493408 6.085615158081055 0
does 7 1 4 9.986079216003418 6.505346775054932 0
she 7 2 3 4.988197326660156 6.54536247253418 0
like 7 3 4 6.39781379699707 3.532123327255249 3.0132391452789307
the 7 4 3 8.371648788452148 5.626996994018555 0
possibility 7 5 11 14.3953857421875 10.133123397827148 0
that 7 6 4 1.9997385740280151 5.01115083694458 5.121972560882568
<unk> 7 7 5 7.560554027557373 5.967906475067139 0
dances 7 8 6 16.882986068725586 4.060626983642578 1.9072794914245605
? 7 9 1 3.3349156379699707 5.970149993896484 0
what 8 0 4 6.448303699493408 6.085615158081055 0
do 8 1 2 9.771636962890625 6.505346775054932 0
they 8 2 4 6.066276550292969 5.02746057510376 1.4778861999511719
not 8 3 3 10.524954795837402 3.171884298324585 1.8555762767791748
believe 8 4 7 8.093807220458984 3.898077964782715 0
the 8 5 3 9.444141387939453 5.903006076812744 0
rumour 8 6 6 16.827192306518555 9.508173942565918 0
that 8 7 4 3.9572293758392334 6.070556163787842 3.437617778778076
he 8 8 2 7.305161476135254 5.779923439025879 0.2906327247619629
will 8 9 4 10.52194881439209 2.132474899291992 3.6474485397338867
buy 8 10 3 13.432161331176758 3.0948965549468994 0
? 8 11 1 4.695199966430664 5.596297740936279 0
where 9 0 5 10.589826583862305 6.085615158081055 0
do 9 1 2 10.534000396728516 5.915513038635254 0.17010211944580078
they 9 2 4 6.41099739074707 5.060417652130127 0.855095386505127
have 9 3 4 7.615535736083984 4.048726558685303 1.0116910934448242
a 9 4 1 6.619434833526611 7.477720737457275 0
window 9 5 6 13.07078742980957 7.591036796569824 0
that 9 6 4 3.8590588569641113 6.482533931732178 1.1085028648376465
opens 9 7 5 14.02822208404541 6.534085750579834 0
? 9 8 1 4.285520076751709 6.41002082824707 0.12406492233276367
what 10 0 4 6.448303699493408 6.085615158081055 0
did 10 1 3 7.785102844238281 6.505346775054932 0
<unk> 10 2 5 5.7874321937561035 6.253045558929443 0.2523012161254883
meet 10 3 4 13.738178253173828 4.563488960266113 1.68955659866333
someone 10 4 7 11.753335952758789 6.217310428619385 0
who 10 5 3 2.1251163482666016 5.593948841094971 0.6233615875244141
likes 10 6 5 13.437919616699219 5.607828140258789 0
? 10 7 1 5.035828590393066 5.939056873321533 0
what 11 0 4 6.448303699493408 6.085615158081055 0
does 11 1 4 9.986079216003418 6.505346775054932 0
<unk> 11 2 5 5.650087356567383 6.54536247253418 0
believe 11 3 7 10.174891471862793 4.545259475708008 2.000102996826172
the 11 4 3 8.938305854797363 5.656905651092529 0
claim 11 5 5 14.171398162841797 9.645227432250977 0
that 11 6 4 3.8479859828948975 5.622437953948975 4.022789478302002
he 11 7 2 6.159392356872559 6.634847164154053 0
robbed 11 8 6 19.377290725708008 2.480123996734619 4.154723167419434
yesterday 11 9 9 16.213584899902344 6.164485454559326 0
? 11 10 1 5.064584255218506 5.211700916290283 0.952784538269043
who 12 0 3 1.5001263618469238 6.085615158081055 0
does 12 1 4 11.539163589477539 5.911084175109863 0.1745309829711914
n't 12 2 3 24.131336212158203 6.45998477935791 0
<unk> 12 3 5 6.484294891357422 6.317478656768799 0.14250612258911133
believe 12 4 7 10.415434837341309 5.661116600036621 0.6563620567321777
the 12 5 3 8.476581573486328 5.693249702453613 0
rumour 12 6 6 16.482900619506836 9.379422187805176 0
that 12 7 4 3.8239705562591553 6.606573104858398 2.7728490829467773
<unk> 12 8 5 7.261512279510498 6.069943428039551 0.5366296768188477
is 12 9 2 5.250737190246582 3.7678956985473633 2.3020477294921875
dating 12 10 6 17.840234756469727 7.101837158203125 0
? 12 11 1 2.244128704071045 5.963741302490234 1.1380958557128906
what 13 0 4 6.448303699493408 6.085615158081055 0
did 13 1 3 7.785102844238281 6.505346775054932 0
he 13 2 2 5.91917085647583 6.253045558929443 0.2523012161254883
hear 13 3 4 6.805938243865967 3.0098819732666016 3.243163585662842
that 13 4 4 4.198615074157715 5.972896099090576 0
he 13 5 2 4.730861663818359 5.9467926025390625 0.026103496551513672
believes 13 6 8 11.922246932983398 2.484124183654785 3.4626684188842773
that 13 7 4 4.38589334487915 5.553332805633545 0
he 13 8 2 5.011663913726807 5.848206996917725 0
will 13 9 4 9.817867279052734 2.615485191345215 3.2327218055725098
buy 13 10 3 13.260042190551758 3.735780715942383 0
? 13 11 1 4.005198955535889 5.724213600158691 0
what 14 0 4 6.448303699493408 6.085615158081055 0
did 14 1 3 7.785102844238281 6.505346775054932 0
they 14 2 4 5.914677143096924 6.253045558929443 0.2523012161254883
rob 14 3 3 16.458192825317383 3.4930777549743652 2.759967803955078
someone 14 4 7 14.565545082092285 5.609364986419678 0
who 14 5 3 3.3648908138275146 5.654669284820557 0
bought 14 6 6 14.392217636108398 5.0022125244140625 0.6524567604064941
yesterday 14 7 9 17.575897216796875 5.418985366821289 0
? 14 8 1 4.393207550048828 6.285427093505859 0
what 15 0 4 6.448303699493408 6.085615158081055 0
do 15 1 2 9.771636962890625 6.505346775054932 0
they 15 2 4 6.066276550292969 5.02746057510376 1.4778861999511719
whisper 15 3 7 19.298992156982422 3.171884298324585 1.8555762767791748
the 15 4 3 9.082867622375488 6.082291603088379 0
extravagant 15 5 11 16.97198486328125 10.11805534362793 0
claim 15 6 5 14.964332580566406 9.344022750854492 0.7740325927734375
that 15 7 4 3.6968255043029785 4.908351421356201 4.435671329498291
the 15 8 3 8.180612564086914 6.440459728240967 0
blue 15 9 4 11.196051597595215 9.880624771118164 0
trumpet 15 10 7 17.132526397705078 9.037373542785645 0.8432512283325195
likes 15 11 5 14.055880546569824 6.764362335205078 2.2730112075805664
? 15 12 1 4.934648036956787 6.164934158325195 0.5994281768798828
what 16 0 4 6.448303699493408 6.085615158081055 0
does 16 1 4 9.986079216003418 6.505346775054932 0
the 16 2 3 6.686670303344727 6.54536247253418 0
expensive 16 3 9 15.6831693649292 9.305230140686035 0
gift 16 4 4 11.42798137664795 8.588760375976562 0.7164697647094727
believe 16 5 7 13.694400787353516 5.887619495391846 2.701140880584717
that 16 6 4 3.933464765548706 6.033472061157227 0
<unk> 16 7 5 7.421292781829834 5.970089435577393 0.06338262557983398
fluently 16 8 8 21.01366424560547 3.36688232421875 2.6032071113586426
speaks 16 9 6 13.727100372314453 6.003475189208984 0
? 16 10 1 4.293509483337402 5.885313987731934 0.11816120147705078
how 17 0 3 9.791236877441406 6.085615158081055 0
many 17 1 4 6.26377534866333 6.368799209594727 0
blue 17 2 4 14.05500602722168 8.059198379516602 0
guitars 17 3 7 16.763328552246094 8.32261848449707 0
does 17 4 4 11.568663597106934 5.675953388214111 2.646665096282959
the 17 5 3 7.168096542358398 7.471349239349365 0
scandalous 17 6 10 17.96810531616211 10.397071838378906 0
teddy 17 7 5 15.227858543395996 8.721863746643066 1.6752080917358398
bear 17 8 4 5.9838666915893555 8.440780639648438 0.2810831069946289
have 17 9 4 7.762810230255127 6.688848495483398 1.751932144165039
agents 17 10 6 17.94977378845215 7.249552249908447 0
who 17 11 3 2.0866730213165283 6.323043346405029 0.926508903503418
live 17 12 4 8.790239334106445 7.5262064933776855 0
in 17 13 2 4.891839981079102 6.746983528137207 0.7792229652404785
? 17 14 1 5.536093235015869 7.097866535186768 0
what 18 0 4 6.448303699493408 6.085615158081055 0
does 18 1 4 9.986079216003418 6.505346775054932 0
the 18 2 3 6.686670303344727 6.54536247253418 0
second 18 3 6 11.98620319366455 9.305230140686035 0
problem 18 4 7 15.020630836486816 7.4249444007873535 1.8802857398986816
believe 18 5 7 13.7606782913208 6.087255954742432 1.3376884460449219
the 18 6 3 8.151684761047363 6.053566932678223 0.033689022064208984
announcement 18 7 12 15.645682334899902 9.721970558166504 0
that 18 8 4 3.8972129821777344 6.2930192947387695 3.4289512634277344
the 18 9 3 8.116519927978516 6.226641654968262 0.06637763977050781
<unk> 18 10 5 4.723793029785156 9.59769058227539 0
analysis 18 11 8 15.352110862731934 6.632387161254883 2.965303421020508
hires 18 12 5 19.06229591369629 7.480623245239258 0
? 18 13 1 4.0063886642456055 6.398384094238281 1.0822391510009766
what 19 0 4 6.448303699493408 6.085615158081055 0
do 19 1 2 9.771636962890625 6.505346775054932 0
n't 19 2 3 24.95147132873535 5.02746057510376 1.4778861999511719
the 19 3 3 8.688029289245605 5.126762390136719 0
unrealistic 19 4 11 19.864931106567383 9.32968521118164 0
<unk> 19 5 5 6.061752796173096 8.300189971923828 1.0294952392578125
comics 19 6 6 13.8272066116333 7.239706039428711 1.0604839324951172
<unk> 19 7 5 6.0446977615356445 7.821486949920654 0
the 19 8 3 8.912155151367188 7.054598331451416 0.7668886184692383
plan 19 9 4 11.47950267791748 9.243514060974121 0
that 19 10 4 4.055303573608398 5.809780120849609 3.4337339401245117
the 19 11 3 8.063658714294434 6.903703689575195 0
difficult 19 12 9 14.229153633117676 9.371397972106934 0
<unk> 19 13 5 4.881485462188721 8.923624992370605 0.4477729797363281
test 19 14 4 13.720671653747559 8.03268051147461 0.8909444808959961
likes 19 15 5 15.154338836669922 7.425534725189209 0.6071457862854004
? 19 16 1 3.616859197616577 5.777100086212158 1.6484346389770508
who 20 0 3 1.5001263618469238 6.085615158081055 0
did 20 1 3 7.7681989669799805 5.911084175109863 0.1745309829711914
my 20 2 2 9.943221092224121 5.639660835266113 0.27142333984375
likely 20 3 6 15.584095001220703 6.884317874908447 0
trumpet 20 4 7 19.945547103881836 6.1967902183532715 0.6875276565551758
say 20 5 3 7.693783760070801 6.302020072937012 0
that 20 6 4 2.3078455924987793 5.205175399780273 1.0968446731567383
the 20 7 3 8.60175609588623 5.7381157875061035 0
<unk> 20 8 5 4.246174335479736 9.591032981872559 0
party 20 9 5 8.117077827453613 6.55141019821167 3.0396227836608887
is 20 10 2 6.120663166046143 3.3336896896362305 3.2177205085754395
the 20 11 3 8.174840927124023 7.335383415222168 0
only 20 12 4 6.536336898803711 9.712822914123535 0
place 20 13 5 11.610771179199219 6.787289142608643 2.9255337715148926
that 20 14 4 4.021391868591309 6.3906660079956055 0.3966231346130371
knows 20 15 5 10.962542533874512 6.474633693695068 0
? 20 16 1 4.18099308013916 5.591814041137695 0.882819652557373
what 21 0 4 6.448303699493408 6.085615158081055 0
does 21 1 4 9.986079216003418 6.505346775054932 0
the 21 2 3 6.686670303344727 6.54536247253418 0
pregnant 21 3 8 19.210285186767578 9.305230140686035 0
girl 21 4 4 6.935207366943359 8.688587188720703 0.616642951965332
like 21 5 4 7.218472480773926 5.113499164581299 3.5750880241394043
the 21 6 3 6.950222015380859 5.896320343017578 0
pretty 21 7 6 12.171680450439453 9.987032890319824 0
agent 21 8 5 16.425952911376953 7.823477268218994 2.16355562210083
that 21 9 4 4.190246105194092 5.806445121765137 2.0170321464538574
<unk> 21 10 5 6.619607925415039 6.32448673248291 0
<unk> 21 11 5 6.375537395477295 4.174342155456543 2.150144577026367
sings 21 12 5 13.517616271972656 4.5990519523620605 0
? 21 13 1 5.124503135681152 6.035609245300293 0
what 22 0 4 6.448303699493408 6.085615158081055 0
does 22 1 4 9.986079216003418 6.505346775054932 0
the 22 2 3 6.686670303344727 6.54536247253418 0
silly 22 3 5 14.663183212280273 9.305230140686035 0
car 22 4 3 10.20279598236084 8.508026123046875 0.7972040176391602
believe 22 5 7 12.551706314086914 6.432781219482422 2.075244903564453
the 22 6 3 8.679611206054688 5.931386470794678 0.5013947486877441
experience 22 7 10 9.620094299316406 10.128462791442871 0
that 22 8 4 4.051919937133789 6.440571308135986 3.6878914833068848
the 22 9 3 8.45472526550293 6.4882097244262695 0
yellow 22 10 6 14.096541404724121 9.839344024658203 0
trumpet 22 11 7 16.613969802856445 8.614441871643066 1.2249021530151367
did 22 12 3 4.549925327301025 6.6584553718566895 1.955986499786377
? 22 13 1 3.274121046066284 6.313065528869629 0.34538984298706055
where 23 0 5 10.589826583862305 6.085615158081055 0
does 23 1 4 11.3003511428833 5.915513038635254 0.17010211944580078
the 23 2 3 6.846372604370117 6.056870460510254 0
discreet 23 3 8 19.195323944091797 9.491886138916016 0
boat 23 4 4 13.499640464782715 8.167583465576172 1.3243026733398438
have 23 5 4 8.718576431274414 6.846519470214844 1.3210639953613281
a 23 6 1 6.800469398498535 7.075951099395752 0
funny 23 7 5 13.319836616516113 8.082530975341797 0
ring 23 8 4 11.433095932006836 8.691521644592285 0
that 23 9 4 3.8288562297821045 6.682962417602539 2.008559226989746
sings 23 10 5 14.940661430358887 6.580965042114258 0.10199737548828125
? 23 11 1 4.870373725891113 5.789105415344238 0.7918596267700195
how 24 0 3 9.791236877441406 6.085615158081055 0
many 24 1 4 6.26377534866333 6.368799209594727 0
cups 24 2 4 16.2337646484375 8.059198379516602 0
of 24 3 2 5.269046783447266 6.622145175933838 1.4370532035827637
coffee 24 4 6 9.546608924865723 10.009162902832031 0
does 24 5 4 10.036218643188477 6.157903671264648 3.851259231567383
the 24 6 3 7.304849624633789 7.689095497131348 0
fair 24 7 4 10.815536499023438 10.712221145629883 0
teacher 24 8 7 16.78902244567871 8.130660057067871 2.5815610885620117
have 24 9 4 7.787649154663086 6.606330871582031 1.5243291854858398
sleepy 24 10 6 20.06534767150879 7.3273234367370605 0
hats 24 11 4 11.794896125793457 9.20383358001709 0
that 24 12 4 2.857801914215088 6.607425689697266 2.596407890319824
direct 24 13 6 16.53567123413086 6.932004451751709 0
in 24 14 2 7.984380722045898 6.4897356033325195 0.44226884841918945
? 24 15 1 6.526451110839844 7.824460029602051 0
