word sentid sentpos wlen surp entropy entred
what 0 0 4 0.39613816142082214 2.1120078563690186 0
did 0 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
i 0 2 1 7.5445756912231445 4.082444190979004 0
buy 0 3 3 10.046318054199219 4.419180393218994 0
a 0 4 1 7.7011237144470215 1.9490638971328735 2.4701164960861206
guitar 0 5 6 13.402063369750977 8.331538200378418 0
for 0 6 3 3.706549882888794 6.45659875869751 1.8749394416809082
myself 0 7 6 13.0001859664917 0.6017321348190308 5.854866623878479
because 0 8 7 13.799079895019531 0.8629375100135803 0
they 0 9 4 5.182170867919922 4.198338508605957 0
heard 0 10 5 8.064621925354004 6.586500644683838 0
? 0 11 1 6.158760070800781 3.789146900177002 2.797353744506836
what 1 0 4 0.39613816142082214 2.1120078563690186 0
will 1 1 4 9.54137897491455 1.0422722101211548 1.0697356462478638
they 1 2 4 7.959280490875244 5.445903301239014 0
fail 1 3 4 10.549513816833496 7.870361328125 0
the 1 4 3 9.384416580200195 2.7847938537597656 5.085567474365234
test 1 5 4 10.202180862426758 8.990303993225098 0
if 1 6 2 9.554911613464355 5.4422078132629395 3.548096179962158
they 1 7 4 4.3572611808776855 3.259728193283081 2.1824796199798584
do 1 8 2 4.69271183013916 7.3199076652526855 0
not 1 9 3 3.0077743530273438 4.867321491241455 2.4525861740112305
? 1 10 1 12.988819122314453 5.434977054595947 0
whom 2 0 4 3.8948612213134766 2.1120078563690186 0
will 2 1 4 8.40140151977539 1.5301092863082886 0.58189857006073
he 2 2 2 9.027101516723633 7.559114456176758 0
hire 2 3 4 13.082106590270996 7.145223617553711 0.4138908386230469
someone 2 4 7 17.428876876831055 0.382262259721756 6.762961357831955
if 2 5 2 11.226938247680664 6.133881092071533 0
i 2 6 1 6.518917083740234 4.568190574645996 1.565690517425537
need 2 7 4 8.945677757263184 7.672260284423828 0
? 2 8 1 4.305001735687256 4.436944961547852 3.2353153228759766
what 3 0 4 0.39613816142082214 2.1120078563690186 0
has 3 1 3 9.250663757324219 1.0422722101211548 1.0697356462478638
he 3 2 2 9.71013069152832 5.3828020095825195 0
been 3 3 4 4.534188270568848 7.78477668762207 0
circulating 3 4 11 16.8856258392334 8.643780708312988 0
who 3 5 3 14.675938606262207 0.5814946293830872 8.062286078929901
he 3 6 2 9.506114959716797 7.827813625335693 0
thought 3 7 7 5.472018241882324 7.137019157409668 0.6907944679260254
was 3 8 3 3.5331039428710938 6.054315567016602 1.0827035903930664
? 3 9 1 10.00533390045166 7.615719318389893 0
what 4 0 4 0.39613816142082214 2.1120078563690186 0
will 4 1 4 9.54137897491455 1.0422722101211548 1.0697356462478638
he 4 2 2 9.250514030456543 5.445903301239014 0
try 4 3 3 10.809000968933105 7.971032619476318 0
to 4 4 2 1.4658715724945068 2.391390085220337 5.5796425342559814
call 4 5 4 8.12575626373291 7.704132080078125 0
you 4 6 3 7.222238063812256 5.83866024017334 1.8654718399047852
if 4 7 2 9.609667778015137 6.85647439956665 0
she 4 8 3 8.477686882019043 3.5928382873535156 3.2636361122131348
buys 4 9 4 12.791342735290527 6.839322566986084 0
? 4 10 1 0.0038820961490273476 0.04099298641085625 6.798329580575228
what 5 0 4 0.39613816142082214 2.1120078563690186 0
did 5 1 3 3.4747567176818848 1.0422722101211548 1.0697356462478638
she 5 2 3 8.221813201904297 4.082444190979004 0
say 5 3 3 10.725055694580078 5.053103923797607 0
she 5 4 3 8.573535919189453 2.621600389480591 2.4315035343170166
would 5 5 5 6.421406269073486 6.9253830909729 0
like 5 6 4 2.6142563819885254 5.216378211975098 1.7090048789978027
the 5 7 3 7.719305038452148 3.437575340270996 1.7788028717041016
man 5 8 3 8.999841690063477 8.315619468688965 0
if 5 9 2 11.220521926879883 5.497544288635254 2.818075180053711
he 5 10 2 4.376157283782959 4.331315040588379 1.166229248046875
read 5 11 4 6.851587295532227 6.7699809074401855 0
? 5 12 1 0.5220311880111694 2.492755174636841 4.277225732803345
where 6 0 5 5.109684467315674 2.1120078563690186 0
did 6 1 3 2.283057928085327 3.041790246963501 0
i 6 2 1 7.463203430175781 3.424335241317749 0
buy 6 3 3 9.77385425567627 4.553125381469727 0
a 6 4 1 9.316180229187012 0.728566586971283 3.8245587944984436
coffee 6 5 6 11.671514511108398 8.579365730285645 0
for 6 6 3 6.39993143081665 7.881201267242432 0.6981644630432129
myself 6 7 6 12.318655967712402 0.8345891237258911 7.0466121435165405
because 6 8 7 12.485815048217773 1.4857107400894165 0
i 6 9 1 4.074257850646973 4.228362560272217 0
went 6 10 4 6.335861682891846 7.285394191741943 0
? 6 11 1 5.563708782196045 3.236361503601074 4.049032688140869
what 7 0 4 0.39613816142082214 2.1120078563690186 0
will 7 1 4 9.54137897491455 1.0422722101211548 1.0697356462478638
he 7 2 2 9.250514030456543 5.445903301239014 0
circulate 7 3 9 18.00609588623047 7.971032619476318 0
a 7 4 1 15.553852081298828 0.44291502237319946 7.528117597103119
call 7 5 4 11.285562515258789 7.932819366455078 0
if 7 6 2 9.643051147460938 4.787858486175537 3.144960880279541
she 7 7 3 8.540068626403809 2.4422895908355713 2.345568895339966
buys 7 8 4 12.92615795135498 6.465676784515381 0
? 7 9 1 0.0060957553796470165 0.061471398919820786 6.40420538559556
whom 8 0 4 3.8948612213134766 2.1120078563690186 0
did 8 1 3 0.321393758058548 1.5301092863082886 0.58189857006073
she 8 2 3 8.861480712890625 2.223252058029175 0
say 8 3 3 9.135658264160156 3.832172393798828 0
that 8 4 4 0.8875725865364075 2.5765793323516846 1.2555930614471436
she 8 5 3 7.491029262542725 3.2082228660583496 0
gave 8 6 4 7.92632532119751 6.81076192855835 0
a 8 7 1 4.242532253265381 6.16023063659668 0.6505312919616699
