word sentid sentpos wlen surp entropy entred
how 0 0 3 6.732940673828125 5.425001621246338 0
<unk> 0 1 5 1.7486227750778198 5.976172924041748 0
did 0 2 3 4.779512405395508 3.7831053733825684 2.1930675506591797
she 0 3 3 12.319002151489258 4.292010307312012 0
say 0 4 3 13.102453231811523 3.005075454711914 1.2869348526000977
that 0 5 4 4.256671905517578 4.762753486633301 0
he 0 6 2 5.681922912597656 5.110611438751221 0
directed 0 7 8 15.601722717285156 1.115401029586792 3.9952104091644287
the 0 8 3 6.143624782562256 4.947160720825195 0
movie 0 9 5 9.054373741149902 8.384368896484375 0
that 0 10 4 6.62136173248291 6.669223308563232 1.7151455879211426
i 0 11 1 7.90382719039917 4.660984039306641 2.008239269256592
saw 0 12 3 9.649396896362305 4.50344705581665 0.15753698348999023
yesterday 0 13 9 11.852486610412598 4.338011741638184 0.1654353141784668
? 0 14 1 7.5772809982299805 1.5585863590240479 2.7794253826141357
how 1 0 3 6.732940673828125 5.425001621246338 0
discreet 1 1 8 18.315475463867188 5.976172924041748 0
did 1 2 3 5.609131813049316 5.3303351402282715 0.6458377838134766
<unk> 1 3 5 0.4916725754737854 3.256889581680298 2.0734455585479736
hire 1 4 4 15.831367492675781 5.014791011810303 0
an 1 5 2 9.245599746704102 3.3191683292388916 1.6956226825714111
agent 1 6 5 9.835022926330566 4.892502784729004 0
? 1 7 1 1.39772629737854 5.261119842529297 0
how 2 0 3 6.732940673828125 5.425001621246338 0
pretty 2 1 6 13.981799125671387 5.976172924041748 0
does 2 2 4 2.778167724609375 5.770460605621338 0.20571231842041016
<unk> 2 3 5 0.7176202535629272 3.8902382850646973 1.8802223205566406
like 2 4 4 10.924588203430176 4.248149871826172 0
the 2 5 3 7.727367401123047 4.20585823059082 0.04229164123535156
woman 2 6 5 8.84913158416748 7.8237128257751465 0
? 2 7 1 1.7347989082336426 4.758697986602783 3.0650148391723633
how 3 0 3 6.732940673828125 5.425001621246338 0
difficult 3 1 9 10.439138412475586 5.976172924041748 0
did 3 2 3 7.5582661628723145 5.255174160003662 0.7209987640380859
he 3 3 2 11.715649604797363 3.7126657962799072 1.5425083637237549
hear 3 4 4 10.04346752166748 2.230900526046753 1.4817652702331543
that 3 5 4 7.692012310028076 5.024013519287109 0
you 3 6 3 7.669977188110352 4.509032249450684 0.5149812698364258
failed 3 7 6 15.373603820800781 5.937804698944092 0
the 3 8 3 9.185842514038086 5.423743724822998 0.5140609741210938
test 3 9 4 14.550763130187988 7.56321907043457 0
? 3 10 1 2.050996780395508 6.53418493270874 1.02903413772583
whose 4 0 5 11.509785652160645 5.425001621246338 0
did 4 1 3 9.481035232543945 9.062975883483887 0
she 4 2 3 12.3596830368042 4.196611404418945 4.866364479064941
say 4 3 3 12.580291748046875 3.861090660095215 0.33552074432373047
that 4 4 4 4.033205509185791 4.87101936340332 0
<unk> 4 5 5 3.7628958225250244 5.276171684265137 0
eats 4 6 4 16.985034942626953 3.9692323207855225 1.3069393634796143
<unk> 4 7 5 0.4524725079536438 2.8424224853515625 1.12680983543396
? 4 8 1 4.235508441925049 4.429265022277832 0
how 5 0 3 6.732940673828125 5.425001621246338 0
<unk> 5 1 5 1.7486227750778198 5.976172924041748 0
did 5 2 3 4.779512405395508 3.7831053733825684 2.1930675506591797
she 5 3 3 12.319002151489258 4.292010307312012 0
say 5 4 3 13.102453231811523 3.005075454711914 1.2869348526000977
that 5 5 4 4.256671905517578 4.762753486633301 0
he 5 6 2 5.681922912597656 5.110611438751221 0
announced 5 7 9 20.707412719726562 1.115401029586792 3.9952104091644287
a 5 8 1 7.415914535522461 5.44736385345459 0
plan 5 9 4 9.487997055053711 8.612985610961914 0
? 5 10 1 2.809946060180664 5.611767292022705 3.001218318939209
how 6 0 3 6.732940673828125 5.425001621246338 0
pretty 6 1 6 13.981799125671387 5.976172924041748 0
did 6 2 3 6.175228595733643 5.770460605621338 0.20571231842041016
he 6 3 2 10.02155876159668 4.678661346435547 1.091799259185791
hear 6 4 4 10.916604042053223 1.8695909976959229 2.809070348739624
that 6 5 4 6.726638317108154 5.182112693786621 0
she 6 6 3 11.510581016540527 4.150288105010986 1.0318245887756348
read 6 7 4 12.089326858520508 1.4600251913070679 2.6902629137039185
the 6 8 3 7.921838760375977 4.298884391784668 0
<unk> 6 9 5 2.058635950088501 8.893567085266113 0
comics 6 10 6 14.259623527526855 5.168178558349609 3.725388526916504
? 6 11 1 3.2829172611236572 7.650909423828125 0
what 7 0 4 2.4654927253723145 5.425001621246338 0
kind 7 1 4 9.415781021118164 4.4752702713012695 0.9497313499450684
does 7 2 4 4.101500988006592 4.810622215270996 0
<unk> 7 3 5 0.8292386531829834 3.7484068870544434 1.0622153282165527
speak 7 4 5 13.869200706481934 4.115082740783691 0
a 7 5 1 9.774660110473633 4.103803634643555 0.011279106140136719
language 7 6 8 13.388290405273438 8.169219017028809 0
? 7 7 1 2.3429369926452637 4.868930339813232 3.300288677215576
how 8 0 3 6.732940673828125 5.425001621246338 0
expensive 8 1 9 12.980779647827148 5.976172924041748 0
did 8 2 3 6.69498348236084 6.513330936431885 0
they 8 3 4 9.045382499694824 4.253774166107178 2.259556770324707
not 8 4 3 7.818449020385742 5.545828819274902 0
like 8 5 4 4.433526515960693 7.5757036209106445 0
that 8 6 4 6.976230621337891 5.012653350830078 2.5630502700805664
she 8 7 3 9.827679634094238 6.042067050933838 0
wears 8 8 5 16.214248657226562 2.238258123397827 3.8038089275360107
rings 8 9 5 12.843387603759766 3.8445751667022705 0
? 8 10 1 4.904338359832764 5.1337995529174805 0
how 9 0 3 6.732940673828125 5.425001621246338 0
pretty 9 1 6 13.981799125671387 5.976172924041748 0
did 9 2 3 6.175228595733643 5.770460605621338 0.20571231842041016
she 9 3 3 12.142096519470215 4.678661346435547 1.091799259185791
say 9 4 3 12.82584285736084 1.5216038227081299 3.157057523727417
that 9 5 4 4.879090785980225 4.8470354080200195 0
<unk> 9 6 5 4.1683549880981445 4.677306175231934 0.16972923278808594
likes 9 7 5 17.83627700805664 3.109844923019409 1.5674612522125244
the 9 8 3 8.710205078125 3.49365496635437 0
woman 9 9 5 7.017086982727051 8.419503211975098 0
? 9 10 1 1.9198451042175293 5.240946292877197 3.1785569190979004
how 10 0 3 6.732940673828125 5.425001621246338 0
blue 10 1 4 13.560152053833008 5.976172924041748 0
did 10 2 3 5.367327690124512 5.234795570373535 0.7413773536682129
he 10 3 2 11.23344898223877 3.134841203689575 2.09995436668396
hear 10 4 4 10.857885360717773 1.5095809698104858 1.6252602338790894
that 10 5 4 6.768133163452148 5.59731388092041 0
<unk> 10 6 5 3.7938897609710693 5.116729259490967 0.48058462142944336
loaned 10 7 6 19.97133445739746 3.865231990814209 1.2514972686767578
a 10 8 1 7.493049621582031 3.8807404041290283 0
trumpet 10 9 7 15.154581069946289 6.506103515625 0
to 10 10 2 4.398311614990234 5.913511753082275 0.5925917625427246
you 10 11 3 9.381037712097168 2.009908676147461 3.9036030769348145
? 10 12 1 3.7742156982421875 3.499328851699829 0
how 11 0 3 6.732940673828125 5.425001621246338 0
extravagant 11 1 11 18.1348876953125 5.976172924041748 0
did 11 2 3 7.16063117980957 4.881542682647705 1.094630241394043
they 11 3 4 8.095829010009766 3.257742166519165 1.62380051612854
not 11 4 3 7.487411022186279 5.948817729949951 0
like 11 5 4 4.172044277191162 7.394858360290527 0
that 11 6 4 6.782504081726074 4.850799083709717 2.5440592765808105
will 11 7 4 6.281524658203125 6.272745132446289 0
wears 11 8 5 19.747333526611328 4.600770473480225 1.6719746589660645
a 11 9 1 6.086838722229004 3.1123721599578857 1.4883983135223389
hat 11 10 3 10.571480751037598 6.570943355560303 0
? 11 11 1 4.533718585968018 3.310563802719116 3.2603795528411865
whose 12 0 5 11.509785652160645 5.425001621246338 0
did 12 1 3 9.481035232543945 9.062975883483887 0
they 12 2 4 9.086502075195312 4.196611404418945 4.866364479064941
not 12 3 3 7.8604207038879395 5.151275634765625 0
like 12 4 4 3.6543197631835938 7.139432430267334 0
that 12 5 4 6.8372673988342285 4.10820198059082 3.0312304496765137
i 12 6 1 6.76165246963501 6.642270088195801 0
ate 12 7 3 14.837372779846191 5.295804500579834 1.3464655876159668
old 12 8 3 12.936254501342773 4.055994987487793 1.239809513092041
<unk> 12 9 5 0.577624499797821 4.329245567321777 0
? 12 10 1 4.274803161621094 5.6931538581848145 0
how 13 0 3 6.732940673828125 5.425001621246338 0
<unk> 13 1 5 1.7486227750778198 5.976172924041748 0
did 13 2 3 4.779512405395508 3.7831053733825684 2.1930675506591797
he 13 3 2 10.72358512878418 4.292010307312012 0
hear 13 4 4 9.957965850830078 3.970245599746704 0.3217647075653076
that 13 5 4 6.105403423309326 5.308321952819824 0
<unk> 13 6 5 4.9947052001953125 4.198904991149902 1.1094169616699219
heard 13 7 5 15.052953720092773 3.017681837081909 1.1812231540679932
a 13 8 1 8.131760597229004 4.580090045928955 0
rumour 13 9 6 12.49752140045166 8.025257110595703 0
? 13 10 1 1.9578830003738403 5.81879997253418 2.2064571380615234
how 14 0 3 6.732940673828125 5.425001621246338 0
blue 14 1 4 13.560152053833008 5.976172924041748 0
did 14 2 3 5.367327690124512 5.234795570373535 0.7413773536682129
<unk> 14 3 5 0.604670524597168 3.134841203689575 2.09995436668396
give 14 4 4 11.449116706848145 4.898292541503906 0
a 14 5 1 8.214460372924805 2.5476083755493164 2.35068416595459
guitar 14 6 6 13.872678756713867 7.087080955505371 0
to 14 7 2 6.686282157897949 4.742851734161377 2.344229221343994
me 14 8 2 9.425082206726074 1.5250451564788818 3.217806577682495
? 14 9 1 3.713751792907715 4.259422779083252 0
whose 15 0 5 11.509785652160645 5.425001621246338 0
did 15 1 3 9.481035232543945 9.062975883483887 0
she 15 2 3 12.3596830368042 4.196611404418945 4.866364479064941
whisper 15 3 7 20.559324264526367 3.861090660095215 0.33552074432373047
that 15 4 4 6.875053882598877 4.2901105880737305 0
he 15 5 2 6.446070671081543 4.415884017944336 0
buys 15 6 4 17.606002807617188 1.4779760837554932 2.9379079341888428
