word sentid sentpos wlen surp entropy entred
what 0 0 4 2.4163551330566406 5.435801029205322 0
did 0 1 3 6.326535701751709 7.751275062561035 0
i 0 2 1 7.61663293838501 6.9162797927856445 0.8349952697753906
buy 0 3 3 8.91729736328125 7.928390026092529 0
a 0 4 1 5.420549392700195 7.1506781578063965 0.7777118682861328
guitar 0 5 6 11.02493667602539 9.035775184631348 0
for 0 6 3 5.1098222732543945 7.221921443939209 1.8138537406921387
myself 0 7 6 11.892592430114746 3.8771700859069824 3.3447513580322266
because 0 8 7 5.8346757888793945 7.506369113922119 0
they 0 9 4 3.3455991744995117 6.40612268447876 1.1002464294433594
heard 0 10 5 12.229567527770996 7.046004295349121 0
? 0 11 1 7.696418762207031 7.155367851257324 0
what 1 0 4 2.4163551330566406 5.435801029205322 0
will 1 1 4 9.080621719360352 7.751275062561035 0
they 1 2 4 5.2324090003967285 8.119467735290527 0
fail 1 3 4 12.73474407196045 7.8119659423828125 0.30750179290771484
the 1 4 3 5.935150146484375 6.701030254364014 1.1109356880187988
test 1 5 4 11.171667098999023 11.041766166687012 0
if 1 6 2 9.53077220916748 8.666573524475098 2.375192642211914
they 1 7 4 2.980820417404175 7.3608622550964355 1.305711269378662
do 1 8 2 7.7102437019348145 7.766138076782227 0
not 1 9 3 6.827190399169922 6.6625261306762695 1.103611946105957
? 1 10 1 8.222023963928223 8.355896949768066 0
whom 2 0 4 11.81564998626709 5.435801029205322 0
will 2 1 4 9.082902908325195 7.721740245819092 0
he 2 2 2 4.782834529876709 9.047942161560059 0
hire 2 3 4 15.544174194335938 8.523078918457031 0.5248632431030273
someone 2 4 7 8.476114273071289 7.8815155029296875 0.6415634155273438
if 2 5 2 10.710479736328125 5.592555046081543 2.2889604568481445
i 2 6 1 5.499156951904297 7.007286548614502 0
need 2 7 4 11.39793586730957 8.15203857421875 0
? 2 8 1 8.532367706298828 7.3803300857543945 0.7717084884643555
what 3 0 4 2.4163551330566406 5.435801029205322 0
has 3 1 3 7.869469165802002 7.751275062561035 0
he 3 2 2 5.573939800262451 7.1172685623168945 0.6340065002441406
been 3 3 4 4.816721439361572 8.157461166381836 0
circulating 3 4 11 15.142024993896484 7.30969762802124 0.8477635383605957
who 3 5 3 7.495086669921875 7.027656078338623 0.2820415496826172
he 3 6 2 4.6575822830200195 8.130268096923828 0
thought 3 7 7 11.125146865844727 7.928379058837891 0.2018890380859375
was 3 8 3 5.270230770111084 5.4276299476623535 2.500749111175537
? 3 9 1 7.188536167144775 5.48618745803833 0
what 4 0 4 2.4163551330566406 5.435801029205322 0
will 4 1 4 9.080621719360352 7.751275062561035 0
he 4 2 2 4.02085018157959 8.119467735290527 0
try 4 3 3 12.529396057128906 8.40703010559082 0
to 4 4 2 2.751356363296509 6.724468231201172 1.6825618743896484
call 4 5 4 8.18810749053955 9.285815238952637 0
