word sentid sentpos wlen surp entropy entred
how 0 0 3 11.08431339263916 7.742798805236816 0
<unk> 0 1 5 5.016432762145996 6.818202495574951 0.9245963096618652
did 0 2 3 6.902860641479492 6.99015998840332 0
she 0 3 3 8.84123420715332 6.009275913238525 0.9808840751647949
say 0 4 3 9.744672775268555 8.49819278717041 0
that 0 5 4 2.257192850112915 6.056885242462158 2.441307544708252
he 0 6 2 5.814359664916992 7.442381858825684 0
directed 0 7 8 11.532122611999512 8.221766471862793 0
the 0 8 3 3.3534421920776367 6.82071590423584 1.4010505676269531
movie 0 9 5 7.957977294921875 9.382548332214355 0
that 0 10 4 4.293838024139404 6.846683025360107 2.535865306854248
i 0 11 1 5.676590919494629 8.135087013244629 0
saw 0 12 3 8.120285034179688 7.075371742248535 1.0597152709960938
yesterday 0 13 9 13.33112907409668 5.075173854827881 2.0001978874206543
? 0 14 1 2.1975996494293213 6.861501216888428 0
how 1 0 3 11.08431339263916 7.742798805236816 0
discreet 1 1 8 17.83860969543457 6.818202495574951 0.9245963096618652
did 1 2 3 8.694658279418945 7.159361839294434 0
<unk> 1 3 5 5.777717113494873 5.251490116119385 1.9078717231750488
hire 1 4 4 16.20939826965332 6.6115193367004395 0
an 1 5 2 8.023518562316895 6.585030555725098 0.026488780975341797
agent 1 6 5 7.981862545013428 9.354000091552734 0
? 1 7 1 3.7668800354003906 6.832902908325195 2.521097183227539
how 2 0 3 11.08431339263916 7.742798805236816 0
pretty 2 1 6 13.434441566467285 6.818202495574951 0.9245963096618652
does 2 2 4 8.462594032287598 6.755366325378418 0.0628361701965332
<unk> 2 3 5 6.336635589599609 4.871974468231201 1.8833918571472168
like 2 4 4 11.57701587677002 6.023736476898193 0
the 2 5 3 3.6525187492370605 7.165897846221924 0
woman 2 6 5 11.293163299560547 9.024410247802734 0
? 2 7 1 2.303990125656128 6.690956115722656 2.333454132080078
how 3 0 3 11.08431339263916 7.742798805236816 0
difficult 3 1 9 6.1299214363098145 6.818202495574951 0.9245963096618652
did 3 2 3 10.187287330627441 6.196780681610107 0.6214218139648438
he 3 3 2 6.362884044647217 4.942144870758057 1.2546358108520508
hear 3 4 4 12.060380935668945 8.447007179260254 0
that 3 5 4 3.548361301422119 6.346612453460693 2.1003947257995605
you 3 6 3 8.408233642578125 7.276195049285889 0
failed 3 7 6 12.123285293579102 8.035356521606445 0
the 3 8 3 4.409115314483643 6.856620788574219 1.1787357330322266
test 3 9 4 10.679941177368164 9.523853302001953 0
? 3 10 1 3.2057714462280273 7.533619403839111 1.9902338981628418
whose 4 0 5 11.616641998291016 7.742798805236816 0
did 4 1 3 8.669268608093262 10.463188171386719 0
she 4 2 3 8.446925163269043 5.178219318389893 5.284968852996826
say 4 3 3 9.668123245239258 8.745864868164062 0
that 4 4 4 2.4253242015838623 6.169467449188232 2.57639741897583
<unk> 4 5 5 4.582599639892578 7.6424407958984375 0
