word sentid sentpos wlen surp entropy entred
who 0 0 3 11.403545379638672 0.72203129529953 0
do 0 1 2 8.285300254821777 7.6089653968811035 0
n't 0 2 3 26.03228187561035 6.8710479736328125 0.737917423248291
we 0 3 2 13.684822082519531 7.954230785369873 0
believe 0 4 7 6.20704460144043 3.96815824508667 3.986072540283203
the 0 5 3 9.088298797607422 0.2238089144229889 3.744349330663681
rumour 0 6 6 15.204428672790527 10.592350006103516 0
that 0 7 4 1.8093818426132202 5.326075077056885 5.266274929046631
<unk> 0 8 5 3.4445700645446777 5.594509124755859 0
is 0 9 2 2.700242280960083 6.8654279708862305 0
dating 0 10 6 2.99310040473938 7.336854934692383 0
? 0 11 1 4.80002498626709 6.486876964569092 0.849977970123291
how 1 0 3 0.09005069732666016 0.72203129529953 0
does 1 1 4 1.7437204122543335 1.2937595844268799 0
will 1 2 4 12.37923812866211 3.66719651222229 0
think 1 3 5 8.431441307067871 6.8882670402526855 0
that 1 4 4 0.011715230531990528 0.10827622562646866 6.779990814626217
she 1 5 3 4.747272968292236 2.6933915615081787 0
is 1 6 2 2.308488607406616 4.999632358551025 0
dating 1 7 6 2.123967409133911 2.5427629947662354 2.45686936378479
someone 1 8 7 3.158735990524292 6.232259750366211 0
who 1 9 3 5.8213210105896 5.95650577545166 0.2757539749145508
solves 1 10 6 10.089679718017578 6.691292762756348 0
? 1 11 1 13.395011901855469 4.717846393585205 1.9734463691711426
what 2 0 4 9.378177642822266 0.72203129529953 0
does 2 1 4 3.4152286052703857 4.117396354675293 0
she 2 2 3 6.15986967086792 3.3756818771362305 0.7417144775390625
believe 2 3 7 5.458418846130371 1.963511347770691 1.4121705293655396
the 2 4 3 9.322186470031738 0.1577271670103073 1.8057841807603836
rumour 2 5 6 13.039321899414062 10.440913200378418 0
that 2 6 4 1.4696520566940308 4.551489353179932 5.889423847198486
she 2 7 3 3.347322940826416 4.5949177742004395 0
might 2 8 5 11.614266395568848 4.399586200714111 0.19533157348632812
have 2 9 4 3.2588601112365723 6.503584861755371 0
this 2 10 4 13.983108520507812 6.7935004234313965 0
year 2 11 4 7.679865837097168 9.858701705932617 0
? 2 12 1 7.701091289520264 7.073061466217041 2.785640239715576
how 3 0 3 0.09005069732666016 0.72203129529953 0
many 3 1 4 15.323341369628906 1.2937595844268799 0
cities 3 2 6 11.8491792678833 7.90943717956543 0
does 3 3 4 13.265789985656738 7.535022258758545 0.37441492080688477
he 3 4 2 8.814772605895996 6.799871921539307 0.7351503372192383
know 3 5 4 1.3489890098571777 4.719125747680664 2.0807461738586426
brothers 3 6 8 23.978361129760742 0.14332404732704163 4.575801700353622
who 3 7 3 6.171073913574219 6.748623847961426 0
live 3 8 4 7.502809047698975 7.516173839569092 0
in 3 9 2 1.7239155769348145 4.670008182525635 2.846165657043457
? 3 10 1 14.026905059814453 4.231661796569824 0.43834638595581055
who 4 0 3 11.403545379638672 0.72203129529953 0
do 4 1 2 8.285300254821777 7.6089653968811035 0
they 4 2 4 10.272807121276855 6.8710479736328125 0.737917423248291
believe 4 3 7 5.172167778015137 4.114842891693115 2.7562050819396973
the 4 4 3 9.030599594116211 0.14236792922019958 3.9724749624729156
claim 4 5 5 8.484000205993652 10.492074012756348 0
that 4 6 4 1.1082360744476318 4.491389274597168 6.00068473815918
he 4 7 2 1.3654989004135132 5.600194454193115 0
likes 4 8 5 10.90666389465332 5.131766319274902 0.4684281349182129
? 4 9 1 10.600171089172363 4.989950180053711 0.1418161392211914
what 5 0 4 9.378177642822266 0.72203129529953 0
did 5 1 3 2.6331422328948975 4.117396354675293 0
she 5 2 3 6.002313613891602 4.278975009918213 0
hear 5 3 4 9.185307502746582 2.854954242706299 1.424020767211914
a 5 4 1 8.865808486938477 0.24712958931922913 2.6078246533870697
rumour 5 5 6 11.318153381347656 9.552906036376953 0
that 5 6 4 0.17154210805892944 1.232615351676941 8.320290684700012
<unk> 5 7 5 3.931065797805786 3.6269850730895996 0
sleeps 5 8 6 14.242923736572266 7.599414825439453 0
with 5 9 4 1.5792444944381714 5.054591178894043 2.54482364654541
? 5 10 1 13.288213729858398 5.341625690460205 0
how 6 0 3 0.09005069732666016 0.72203129529953 0
did 6 1 3 0.6060153245925903 1.2937595844268799 0
my 6 2 2 7.7823967933654785 4.263099670410156 0
sister 6 3 6 4.985739707946777 8.862029075622559 0
say 6 4 3 8.154241561889648 8.094147682189941 0.7678813934326172
that 6 5 4 0.024188051000237465 0.23646023869514465 7.857687443494797
<unk> 6 6 5 5.341005325317383 2.6824135780334473 0
<unk> 6 7 5 5.685558319091797 6.711691856384277 0
thinks 6 8 6 9.026506423950195 6.777670383453369 0
that 6 9 4 0.01598597876727581 0.14157286286354065 6.6360975205898285
<unk> 6 10 5 5.212123870849609 2.6321468353271484 0
solves 6 11 6 11.219738960266113 6.416243553161621 0
? 6 12 1 13.94986343383789 5.570415019989014 0.8458285331726074
what 7 0 4 9.378177642822266 0.72203129529953 0
does 7 1 4 3.4152286052703857 4.117396354675293 0
she 7 2 3 6.15986967086792 3.3756818771362305 0.7417144775390625
like 7 3 4 13.624907493591309 1.963511347770691 1.4121705293655396
the 7 4 3 3.9759747982025146 3.5823910236358643 0
possibility 7 5 11 9.985621452331543 10.303772926330566 0
that 7 6 4 0.34526893496513367 1.6082406044006348 8.695532321929932
<unk> 7 7 5 3.696355104446411 4.110137939453125 0
