word sentid sentpos wlen surp entropy entred
what 0 0 4 10.988752365112305 5.261046886444092 0
did 0 1 3 1.6464436054229736 5.42261266708374 0
i 0 2 1 8.132823944091797 6.236262798309326 0
buy 0 3 3 9.1885347366333 7.238324165344238 0
a 0 4 1 2.744072675704956 6.781192779541016 0.45713138580322266
guitar 0 5 6 13.11061954498291 6.864864826202393 0
for 0 6 3 5.120922088623047 7.238500118255615 0
myself 0 7 6 10.850751876831055 6.978513240814209 0.25998687744140625
because 0 8 7 8.960844039916992 6.250594615936279 0.7279186248779297
they 0 9 4 6.325201511383057 6.256922245025635 0
heard 0 10 5 14.049363136291504 5.6648149490356445 0.5921072959899902
? 0 11 1 6.760773658752441 4.708474636077881 0.9563403129577637
what 1 0 4 10.988752365112305 5.261046886444092 0
will 1 1 4 8.927393913269043 5.42261266708374 0
they 1 2 4 8.57541561126709 7.616432189941406 0
fail 1 3 4 12.763001441955566 7.360472679138184 0.25595951080322266
the 1 4 3 3.4382567405700684 6.563923358917236 0.7965493202209473
test 1 5 4 13.469415664672852 4.577012538909912 1.9869108200073242
if 1 6 2 10.351229667663574 7.40300989151001 0
they 1 7 4 5.747493267059326 5.845702171325684 1.5573077201843262
do 1 8 2 6.448083400726318 5.692615985870361 0.15308618545532227
not 1 9 3 5.192214488983154 6.591670989990234 0
? 1 10 1 2.7059943675994873 7.4133734703063965 0
whom 2 0 4 12.234505653381348 5.261046886444092 0
will 2 1 4 9.563230514526367 6.063297748565674 0
he 2 2 2 6.745035648345947 8.137673377990723 0
hire 2 3 4 15.356860160827637 6.567458629608154 1.5702147483825684
someone 2 4 7 10.518594741821289 6.244640350341797 0.3228182792663574
if 2 5 2 9.26342487335205 6.450134754180908 0
i 2 6 1 5.444872856140137 5.9468841552734375 0.5032505989074707
need 2 7 4 9.905296325683594 5.366085052490234 0.5807991027832031
? 2 8 1 6.222701549530029 6.562104225158691 0
what 3 0 4 10.988752365112305 5.261046886444092 0
has 3 1 3 8.569622993469238 5.42261266708374 0
he 3 2 2 8.247459411621094 5.3858232498168945 0.0367894172668457
been 3 3 4 9.557202339172363 5.823626518249512 0
circulating 3 4 11 17.380569458007812 6.98689079284668 0
who 3 5 3 10.560662269592285 6.297929763793945 0.6889610290527344
he 3 6 2 5.097860336303711 6.819429397583008 0
thought 3 7 7 11.215332984924316 5.7918877601623535 1.0275416374206543
was 3 8 3 8.645217895507812 5.0455322265625 0.7463555335998535
? 3 9 1 6.265041828155518 5.6396894454956055 0
what 4 0 4 10.988752365112305 5.261046886444092 0
will 4 1 4 8.927393913269043 5.42261266708374 0
he 4 2 2 6.072010040283203 7.616432189941406 0
try 4 3 3 11.681134223937988 6.083167552947998 1.5332646369934082
to 4 4 2 4.16605806350708 6.589795112609863 0
call 4 5 4 8.553508758544922 8.807631492614746 0
you 4 6 3 5.322447299957275 5.742505073547363 3.065126419067383
if 4 7 2 9.688126564025879 6.11360502243042 0
she 4 8 3 4.098272800445557 5.70550537109375 0.4080996513366699
buys 4 9 4 17.922801971435547 5.881031513214111 0
? 4 10 1 7.172070026397705 6.399577617645264 0
what 5 0 4 10.988752365112305 5.261046886444092 0
did 5 1 3 1.6464436054229736 5.42261266708374 0
she 5 2 3 6.717501163482666 6.236262798309326 0
say 5 3 3 7.583024501800537 5.999546051025391 0.23671674728393555
she 5 4 3 4.93484354019165 5.77955961227417 0.2199864387512207
would 5 5 5 7.074470520019531 5.680024147033691 0.09953546524047852
like 5 6 4 5.265411376953125 8.111261367797852 0
the 5 7 3 4.51686429977417 6.638336181640625 1.4729251861572266
man 5 8 3 10.151008605957031 4.3805251121521 2.2578110694885254
if 5 9 2 9.764837265014648 5.83763313293457 0
he 5 10 2 5.388962268829346 4.702378749847412 1.1352543830871582
read 5 11 4 11.392414093017578 5.289661884307861 0
? 5 12 1 6.319267272949219 4.888829231262207 0.4008326530456543
where 6 0 5 10.528667449951172 5.261046886444092 0
did 6 1 3 3.2947652339935303 6.15659761428833 0
i 6 2 1 9.720300674438477 6.862856864929199 0
buy 6 3 3 8.763707160949707 7.767724514007568 0
a 6 4 1 2.5061533451080322 6.741276741027832 1.0264477729797363
coffee 6 5 6 11.73068618774414 7.439920425415039 0
for 6 6 3 5.604998588562012 8.815482139587402 0
myself 6 7 6 11.308080673217773 7.876289367675781 0.9391927719116211
because 6 8 7 9.439682960510254 6.608899116516113 1.267390251159668
i 6 9 1 5.7978129386901855 6.5142130851745605 0.09468603134155273
went 6 10 4 8.172332763671875 5.735002040863037 0.7792110443115234
? 6 11 1 4.89824914932251 7.424935340881348 0
what 7 0 4 10.988752365112305 5.261046886444092 0
will 7 1 4 8.927393913269043 5.42261266708374 0
he 7 2 2 6.072010040283203 7.616432189941406 0
circulate 7 3 9 18.484865188598633 6.083167552947998 1.5332646369934082
a 7 4 1 4.14845085144043 5.6576642990112305 0.4255032539367676
call 7 5 4 12.374679565429688 5.258732318878174 0.39893198013305664
if 7 6 2 10.521044731140137 6.114516258239746 0
she 7 7 3 4.875937461853027 5.777456283569336 0.33705997467041016
buys 7 8 4 17.969646453857422 5.780754566192627 0
? 7 9 1 7.095376014709473 6.283009052276611 0
whom 8 0 4 12.234505653381348 5.261046886444092 0
did 8 1 3 2.566196918487549 6.063297748565674 0
she 8 2 3 6.900069236755371 7.328136920928955 0
say 8 3 3 8.384434700012207 6.846693515777588 0.4814434051513672
that 8 4 4 2.979780673980713 5.386046886444092 1.460646629333496
