word sentid sentpos wlen surp entropy entred
what 0 0 4 0.05210183188319206 0.4665575921535492 0
did 0 1 3 0.027315974235534668 0.2660457491874695 0.2005118429660797
i 0 2 1 5.405705451965332 4.303877353668213 0
buy 0 3 3 5.166323184967041 6.484025001525879 0
a 0 4 1 7.00662899017334 4.83896017074585 1.6450648307800293
guitar 0 5 6 12.163545608520508 9.381516456604004 0
for 0 6 3 5.60705041885376 2.947730302810669 6.433786153793335
myself 0 7 6 12.037225723266602 5.835139751434326 0
because 0 8 7 10.828433990478516 2.5857787132263184 3.249361038208008
they 0 9 4 4.22989559173584 4.6463236808776855 0
heard 0 10 5 9.466757774353027 8.105931282043457 0
? 0 11 1 4.644974231719971 4.992498874664307 3.1134324073791504
what 1 0 4 0.05210183188319206 0.4665575921535492 0
will 1 1 4 10.329988479614258 0.2660457491874695 0.2005118429660797
they 1 2 4 7.015705585479736 7.097670555114746 0
fail 1 3 4 11.452293395996094 8.106593132019043 0
the 1 4 3 8.458102226257324 3.4806571006774902 4.625936031341553
test 1 5 4 11.28017807006836 9.5552978515625 0
if 1 6 2 10.356797218322754 6.077375888824463 3.477921962738037
they 1 7 4 3.0408012866973877 5.951358318328857 0.12601757049560547
do 1 8 2 6.241206169128418 8.48009204864502 0
not 1 9 3 2.447920083999634 6.335873126983643 2.144218921661377
? 1 10 1 5.696260929107666 8.28857707977295 0
whom 2 0 4 9.451703071594238 0.4665575921535492 0
will 2 1 4 7.685953617095947 4.442890167236328 0
he 2 2 2 6.488070964813232 7.67012882232666 0
hire 2 3 4 10.821568489074707 8.846817970275879 0
someone 2 4 7 10.530555725097656 5.106034278869629 3.74078369140625
if 2 5 2 8.466302871704102 4.077963352203369 1.0280709266662598
i 2 6 1 5.6386637687683105 4.937349319458008 0
need 2 7 4 9.398375511169434 7.024744033813477 0
? 2 8 1 6.635789394378662 5.042715072631836 1.9820289611816406
what 3 0 4 0.05210183188319206 0.4665575921535492 0
has 3 1 3 11.708626747131348 0.2660457491874695 0.2005118429660797
he 3 2 2 6.69278621673584 6.773004055023193 0
been 3 3 4 5.854620456695557 9.1395845413208 0
circulating 3 4 11 16.305578231811523 9.24062728881836 0
who 3 5 3 14.339409828186035 4.034250259399414 5.206377029418945
he 3 6 2 6.805322647094727 7.592796802520752 0
thought 3 7 7 7.9617743492126465 6.938528060913086 0.654268741607666
was 3 8 3 4.800262928009033 6.152974605560303 0.7855534553527832
? 3 9 1 10.905753135681152 8.172662734985352 0
what 4 0 4 0.05210183188319206 0.4665575921535492 0
will 4 1 4 10.329988479614258 0.2660457491874695 0.2005118429660797
he 4 2 2 6.512887477874756 7.097670555114746 0
try 4 3 3 10.209495544433594 7.455150127410889 0
to 4 4 2 3.3753035068511963 3.1641440391540527 4.291006088256836
call 4 5 4 3.7680351734161377 8.174847602844238 0
you 4 6 3 8.98158073425293 3.9128811359405518 4.2619664669036865
if 4 7 2 7.927239894866943 3.750073194503784 0.16280794143676758
she 4 8 3 5.890389919281006 4.633418560028076 0
buys 4 9 4 13.67444133758545 7.091921329498291 0
? 4 10 1 4.222432613372803 5.116449356079102 1.9754719734191895
what 5 0 4 0.05210183188319206 0.4665575921535492 0
did 5 1 3 0.027315974235534668 0.2660457491874695 0.2005118429660797
she 5 2 3 5.0052008628845215 4.303877353668213 0
say 5 3 3 1.8854494094848633 6.715785503387451 0
