word sentid sentpos wlen surp entropy entred
what 0 0 4 10.503340721130371 6.971516132354736 0
does 0 1 4 8.683886528015137 6.236448764801025 0.7350673675537109
<unk> 0 2 5 6.817178249359131 5.08088493347168 1.1555638313293457
wonder 0 3 6 13.048578262329102 7.423269748687744 0
where 0 4 5 9.506804466247559 6.594161510467529 0.8291082382202148
<unk> 0 5 5 2.524376153945923 5.474857330322266 1.1193041801452637
went 0 6 4 9.954814910888672 6.141402244567871 0
to 0 7 2 1.889021873474121 5.033156394958496 1.108245849609375
buy 0 8 3 10.621110916137695 6.003538608551025 0
? 0 9 1 6.561674118041992 5.944655895233154 0.058882713317871094
whom 1 0 4 15.537765502929688 7.009181022644043 0
did 1 1 3 10.397760391235352 4.872310638427734 2.1368703842163086
<unk> 1 2 5 2.3219809532165527 5.881412029266357 0
ask 1 3 3 13.184313774108887 3.1153059005737305 2.766106128692627
why 1 4 3 6.599136829376221 5.497674942016602 0
<unk> 1 5 5 3.397141933441162 3.189690351486206 2.3079845905303955
was 1 6 3 6.909262657165527 1.0177031755447388 2.1719871759414673
waiting 1 7 7 10.617836952209473 3.0018038749694824 0
for 1 8 3 6.526597023010254 0.4345543086528778 2.5672495663166046
? 1 9 1 0.031420037150382996 0.28776463866233826 0.14678966999053955
what 2 0 4 8.184404373168945 6.824835777282715 0
did 2 1 3 5.97988224029541 5.898305416107178 0.9265303611755371
they 2 2 4 6.881050109863281 4.687676429748535 1.2106289863586426
not 2 3 3 9.902741432189941 7.309599876403809 0
like 2 4 4 8.015262603759766 7.930587291717529 0
that 2 5 4 5.105209827423096 5.667020320892334 2.2635669708251953
will 2 6 4 10.035361289978027 6.635034084320068 0
asked 2 7 5 14.865342140197754 7.194955348968506 0
how 2 8 3 5.892324924468994 5.3993330001831055 1.7956223487854004
<unk> 2 9 5 2.4046053886413574 5.429322242736816 0
speaks 2 10 6 14.11259651184082 6.147913455963135 0
? 2 11 1 8.043081283569336 5.563606262207031 0.5843071937561035
what 3 0 4 5.535991191864014 7.371127605438232 0
did 3 1 3 2.842529773712158 5.349292755126953 2.0218348503112793
