word sentid sentpos wlen surp entropy entred
who 0 0 3 7.781025409698486 0.8750322461128235 0
do 0 1 2 2.345670223236084 4.257621765136719 0
n't 0 2 3 18.570964813232422 7.07648229598999 0
we 0 3 2 8.175664901733398 7.801003932952881 0
believe 0 4 7 0.4271790683269501 1.3493934869766235 6.451610445976257
the 0 5 3 1.5882529020309448 2.717466115951538 0
rumour 0 6 6 12.737858772277832 0.46639564633369446 2.2510704696178436
that 0 7 4 0.01332846749573946 0.13097362220287323 0.33542202413082123
<unk> 0 8 5 0.12758396565914154 1.0411972999572754 0
is 0 9 2 8.23928451538086 1.2688307762145996 0
dating 0 10 6 9.908198356628418 7.385559558868408 0
? 0 11 1 0.05220019444823265 0.35619497299194336 7.029364585876465
how 1 0 3 5.503173828125 0.8750322461128235 0
does 1 1 4 0.9684469699859619 2.261423110961914 0
will 1 2 4 16.0693302154541 3.673678398132324 0
think 1 3 5 9.907219886779785 5.0925774574279785 0
that 1 4 4 0.2910260558128357 1.4743882417678833 3.618189215660095
she 1 5 3 6.772953510284424 1.7498356103897095 0
is 1 6 2 5.671725273132324 4.5571818351745605 0
dating 1 7 6 10.232959747314453 7.098383903503418 0
someone 1 8 7 7.651004791259766 2.4923276901245117 4.606056213378906
who 1 9 3 0.09406576305627823 0.7203457355499268 1.771981954574585
solves 1 10 6 9.215692520141602 7.12530517578125 0
? 1 11 1 0.012758533470332623 0.1321648806333542 6.993140295147896
what 2 0 4 0.12192235887050629 0.8750322461128235 0
does 2 1 4 5.062137603759766 2.5645015239715576 0
she 2 2 3 3.334239959716797 6.384012222290039 0
believe 2 3 7 1.1895495653152466 1.7066583633422852 4.677353858947754
the 2 4 3 2.40211820602417 2.6051149368286133 0
rumour 2 5 6 13.212997436523438 0.26399052143096924 2.341124415397644
that 2 6 4 0.009658646769821644 0.09603918343782425 0.167951337993145
she 2 7 3 7.128647804260254 1.157314419746399 0
might 2 8 5 7.0990214347839355 3.7635607719421387 0
have 2 9 4 3.0207831859588623 4.948911666870117 0
this 2 10 4 18.194364547729492 2.2936131954193115 2.6552984714508057
year 2 11 4 9.374228477478027 4.274957180023193 0
? 2 12 1 1.3674514293670654 3.14192533493042 1.1330318450927734
how 3 0 3 5.503173828125 0.8750322461128235 0
many 3 1 4 7.016351222991943 2.261423110961914 0
cities 3 2 6 4.822841167449951 8.904876708984375 0
does 3 3 4 4.998865127563477 6.60104513168335 2.3038315773010254
he 3 4 2 6.988034725189209 7.305098533630371 0
know 3 5 4 8.37458324432373 1.8947092294692993 5.410389304161072
brothers 3 6 8 17.49041748046875 3.6862056255340576 0
who 3 7 3 1.6061872243881226 5.827756404876709 0
live 3 8 4 6.180865287780762 7.29575252532959 0
in 3 9 2 0.7412049770355225 3.650773525238037 3.6449790000915527
? 3 10 1 0.0005359703791327775 0.007528811693191528 3.6432447135448456
who 4 0 3 7.781025409698486 0.8750322461128235 0
do 4 1 2 2.345670223236084 4.257621765136719 0
they 4 2 4 5.71243143081665 7.07648229598999 0
believe 4 3 7 1.2698811292648315 1.5346357822418213 5.541846513748169
the 4 4 3 1.4977531433105469 2.8295178413391113 0
claim 4 5 5 0.03619658946990967 0.41032880544662476 2.4191890358924866
that 4 6 4 0.017319869250059128 0.16481687128543854 0.24551193416118622
he 4 7 2 5.539062023162842 0.9408381581306458 0
likes 4 8 5 0.7303324937820435 3.519864320755005 0
? 4 9 1 0.0055380333214998245 0.059387702494859695 3.460476618260145
what 5 0 4 0.12192235887050629 0.8750322461128235 0
did 5 1 3 0.4535558819770813 2.5645015239715576 0
she 5 2 3 2.9585673809051514 5.9030280113220215 0
hear 5 3 4 0.7542280554771423 1.6968168020248413 4.20621120929718
a 5 4 1 4.618051052093506 3.533435821533203 0
rumour 5 5 6 2.6537587642669678 4.12185001373291 0
that 5 6 4 0.0032914301846176386 0.034767232835292816 4.087082780897617
<unk> 5 7 5 0.1468961536884308 1.248651146888733 0
sleeps 5 8 6 12.852648735046387 1.285041332244873 0
with 5 9 4 2.752687692642212 2.7739992141723633 0
? 5 10 1 0.482356458902359 1.6388355493545532 1.13516366481781
how 6 0 3 5.503173828125 0.8750322461128235 0
did 6 1 3 2.0536298751831055 2.261423110961914 0
my 6 2 2 3.920497179031372 3.692370891571045 0
sister 6 3 6 0.01944056898355484 0.1880764216184616 3.5042944699525833
say 6 4 3 10.211629867553711 0.07495349645614624 0.11312292516231537
