word sentid sentpos wlen surp entropy entred
where 0 0 5 8.107909202575684 4.756612777709961 0
did 0 1 3 7.846574783325195 6.208199501037598 0
<unk> 0 2 5 3.368725299835205 3.6784870624542236 2.529712438583374
ask 0 3 3 8.047043800354004 4.783443450927734 0
who 0 4 3 10.996573448181152 2.299238443374634 2.4842050075531006
<unk> 0 5 5 5.4275689125061035 6.083550453186035 0
took 0 6 4 8.933765411376953 8.141615867614746 0
? 0 7 1 3.1671457290649414 4.298943519592285 3.842672348022461
what 1 0 4 1.316446304321289 4.756612777709961 0
did 1 1 3 1.5355015993118286 5.175479888916016 0
she 1 2 3 0.227274551987648 1.274888515472412 3.9005913734436035
say 1 3 3 0.22213318943977356 1.383832573890686 0
that 1 4 4 0.6409205198287964 1.86813223361969 0
<unk> 1 5 5 2.809037208557129 4.631931304931641 0
asked 1 6 5 9.264410972595215 7.921804904937744 0
who 1 7 3 11.237963676452637 2.042628526687622 5.879176378250122
will 1 8 4 10.462796211242676 5.824978828430176 0
read 1 9 4 5.93788480758667 6.680788040161133 0
? 1 10 1 0.9337819218635559 2.424457311630249 4.256330728530884
where 2 0 5 8.107909202575684 4.756612777709961 0
did 2 1 3 7.846574783325195 6.208199501037598 0
<unk> 2 2 5 3.368725299835205 3.6784870624542236 2.529712438583374
ask 2 3 3 8.047043800354004 4.783443450927734 0
how 2 4 3 8.120326042175293 2.299238443374634 2.4842050075531006
<unk> 2 5 5 4.771946430206299 2.5503249168395996 0
went 2 6 4 8.579092979431152 8.324847221374512 0
? 2 7 1 4.985323905944824 1.4267208576202393 6.8981263637542725
what 3 0 4 1.316446304321289 4.756612777709961 0
did 3 1 3 1.5355015993118286 5.175479888916016 0
will 3 2 4 17.841482162475586 1.274888515472412 3.9005913734436035
ask 3 3 3 10.849372863769531 5.992006301879883 0
why 3 4 3 7.470310688018799 1.8402020931243896 4.151804208755493
<unk> 3 5 5 3.2365009784698486 4.718295097351074 0
wears 3 6 5 7.837697982788086 8.0084867477417 0
? 3 7 1 0.034273892641067505 0.29509514570236206 7.713391602039337
what 4 0 4 1.316446304321289 4.756612777709961 0
did 4 1 3 1.5355015993118286 5.175479888916016 0
she 4 2 3 0.227274551987648 1.274888515472412 3.9005913734436035
say 4 3 3 0.22213318943977356 1.383832573890686 0
that 4 4 4 0.6409205198287964 1.86813223361969 0
will 4 5 4 11.913771629333496 4.631931304931641 0
thinks 4 6 6 9.6519775390625 7.71624231338501 0
he 4 7 2 8.8621187210083 2.674130439758301 5.042111873626709
knows 4 8 5 6.55033540725708 6.047512054443359 0
where 4 9 5 9.866281509399414 3.6025922298431396 2.4449198246002197
<unk> 4 10 5 3.3986339569091797 4.495774745941162 0
announced 4 11 9 15.206389427185059 7.242060661315918 0
? 4 12 1 3.507262945175171 3.463857889175415 3.778202772140503
what 5 0 4 1.316446304321289 4.756612777709961 0
did 5 1 3 1.5355015993118286 5.175479888916016 0
they 5 2 4 5.569797039031982 1.274888515472412 3.9005913734436035
not 5 3 3 5.711424350738525 4.201366424560547 0
like 5 4 4 1.6285912990570068 4.696760177612305 0
that 5 5 4 1.2054073810577393 2.8539605140686035 1.8427996635437012
<unk> 5 6 5 2.6508994102478027 6.388972282409668 0
