word sentid sentpos wlen surp entropy entred
what 0 0 4 0.03764430433511734 0.34548428654670715 0
did 0 1 3 0.09399180114269257 0.6895758509635925 0
i 0 2 1 8.28542423248291 2.73679518699646 0
buy 0 3 3 2.964763879776001 6.810427665710449 0
a 0 4 1 7.18444299697876 2.5723233222961426 4.238104343414307
guitar 0 5 6 13.614623069763184 8.506013870239258 0
for 0 6 3 10.2197847366333 1.938965916633606 6.567047953605652
myself 0 7 6 11.18493366241455 2.0765578746795654 0
because 0 8 7 13.100085258483887 1.981784701347351 0.09477317333221436
they 0 9 4 6.440457344055176 4.080410003662109 0
heard 0 10 5 7.619117736816406 7.022910118103027 0
? 0 11 1 4.8586812019348145 4.74416971206665 2.278740406036377
what 1 0 4 0.03764430433511734 0.34548428654670715 0
will 1 1 4 9.17429256439209 0.6895758509635925 0
they 1 2 4 9.75161075592041 4.66304874420166 0
fail 1 3 4 12.366145133972168 6.880786418914795 0
the 1 4 3 8.482219696044922 3.7976937294006348 3.08309268951416
test 1 5 4 11.532922744750977 8.23110580444336 0
if 1 6 2 12.514813423156738 5.742748737335205 2.4883570671081543
they 1 7 4 4.8247809410095215 5.131621360778809 0.6111273765563965
do 1 8 2 9.168599128723145 6.783764362335205 0
not 1 9 3 4.577610492706299 4.44025182723999 2.343512535095215
? 1 10 1 4.733447551727295 7.484862327575684 0
whom 2 0 4 8.55417251586914 0.34548428654670715 0
will 2 1 4 5.466079235076904 5.144436836242676 0
he 2 2 2 6.742655277252197 6.176483154296875 0
hire 2 3 4 11.952908515930176 6.9177680015563965 0
someone 2 4 7 9.959263801574707 4.0489935874938965 2.8687744140625
if 2 5 2 11.738057136535645 4.305933952331543 0
i 2 6 1 6.568451404571533 4.504158973693848 0
need 2 7 4 9.430598258972168 6.705061435699463 0
? 2 8 1 7.095905303955078 5.045406341552734 1.6596550941467285
what 3 0 4 0.03764430433511734 0.34548428654670715 0
has 3 1 3 9.812358856201172 0.6895758509635925 0
he 3 2 2 7.601710319519043 4.7403244972229 0
been 3 3 4 4.269584655761719 6.807966232299805 0
circulating 3 4 11 18.196611404418945 6.652450084686279 0.1555161476135254
who 3 5 3 11.101217269897461 4.262143611907959 2.3903064727783203
he 3 6 2 9.798918724060059 6.787214756011963 0
thought 3 7 7 6.533085823059082 5.223593235015869 1.5636215209960938
was 3 8 3 6.873186111450195 3.9034082889556885 1.3201849460601807
? 3 9 1 5.533955097198486 6.5052947998046875 0
what 4 0 4 0.03764430433511734 0.34548428654670715 0
will 4 1 4 9.17429256439209 0.6895758509635925 0
he 4 2 2 8.691778182983398 4.66304874420166 0
try 4 3 3 10.460126876831055 6.67133092880249 0
to 4 4 2 6.34069299697876 2.134983777999878 4.536347150802612
call 4 5 4 5.003401756286621 6.855907440185547 0
you 4 6 3 5.322973251342773 4.413385391235352 2.4425220489501953
if 4 7 2 11.5362548828125 4.404211521148682 0.009173870086669922
she 4 8 3 5.713642597198486 4.986599922180176 0
buys 4 9 4 17.27056121826172 6.014935493469238 0
? 4 10 1 5.6640424728393555 3.0591888427734375 2.955746650695801
what 5 0 4 0.03764430433511734 0.34548428654670715 0
did 5 1 3 0.09399180114269257 0.6895758509635925 0
she 5 2 3 6.0809173583984375 2.73679518699646 0
say 5 3 3 1.1214076280593872 4.636692523956299 0
she 5 4 3 5.390163898468018 2.5774338245391846 2.0592586994171143
would 5 5 5 7.670168876647949 4.466933727264404 0
like 5 6 4 5.327638149261475 7.216191291809082 0
