word sentid sentpos wlen surp entropy entred
who 0 0 3 8.358674049377441 3.513277769088745 0
do 0 1 2 9.988080978393555 7.828018665313721 0
n't 0 2 3 23.254880905151367 6.358019828796387 1.469998836517334
we 0 3 2 9.815695762634277 6.408963680267334 0
believe 0 4 7 11.45977783203125 6.677683353424072 0
the 0 5 3 7.4257025718688965 4.1680684089660645 2.509614944458008
rumour 0 6 6 14.057052612304688 9.895364761352539 0
that 0 7 4 1.0548588037490845 4.347420692443848 5.547944068908691
<unk> 0 8 5 5.262255668640137 6.104037284851074 0
is 0 9 2 7.599626541137695 6.569948196411133 0
dating 0 10 6 16.633134841918945 5.174402236938477 1.3955459594726562
? 0 11 1 5.403153896331787 6.547624588012695 0
how 1 0 3 10.607207298278809 3.513277769088745 0
does 1 1 4 8.528820037841797 7.414096832275391 0
will 1 2 4 10.235595703125 6.224883079528809 1.189213752746582
think 1 3 5 12.104089736938477 6.690590858459473 0
that 1 4 4 2.440873622894287 4.921242713928223 1.76934814453125
she 1 5 3 6.010509967803955 6.064589977264404 0
is 1 6 2 6.758854389190674 5.555258274078369 0.5093317031860352
dating 1 7 6 16.704008102416992 4.05679178237915 1.4984664916992188
someone 1 8 7 8.01051139831543 5.9480366706848145 0
who 1 9 3 4.622344970703125 4.329827785491943 1.618208885192871
solves 1 10 6 17.01396369934082 6.643049240112305 0
? 1 11 1 10.927968978881836 7.6382365226745605 0
what 2 0 4 5.713566303253174 3.513277769088745 0
does 2 1 4 9.543248176574707 7.684108257293701 0
she 2 2 3 5.575615406036377 4.452472686767578 3.231635570526123
believe 2 3 7 13.258645057678223 5.496786594390869 0
the 2 4 3 8.364178657531738 5.051481246948242 0.44530534744262695
rumour 2 5 6 14.393949508666992 9.629157066345215 0
that 2 6 4 1.587855339050293 4.803245544433594 4.825911521911621
she 2 7 3 5.845783233642578 6.200666427612305 0
might 2 8 5 6.950443744659424 5.998876094818115 0.20179033279418945
have 2 9 4 4.974308013916016 7.448956489562988 0
this 2 10 4 8.74776840209961 7.145044803619385 0.3039116859436035
year 2 11 4 11.365387916564941 8.431836128234863 0
? 2 12 1 2.4726579189300537 5.314395904541016 3.1174402236938477
how 3 0 3 10.607207298278809 3.513277769088745 0
many 3 1 4 8.918218612670898 7.414096832275391 0
cities 3 2 6 12.885560989379883 8.537522315979004 0
does 3 3 4 9.982440948486328 6.400423526763916 2.137098789215088
he 3 4 2 2.2692391872406006 6.589023590087891 0
know 3 5 4 11.050859451293945 6.720132827758789 0
brothers 3 6 8 15.29216480255127 5.9839324951171875 0.7362003326416016
who 3 7 3 5.39687967300415 5.942346572875977 0.04158592224121094
live 3 8 4 9.335576057434082 7.3408684730529785 0
in 3 9 2 5.890811920166016 6.08608341217041 1.2547850608825684
? 3 10 1 7.7696099281311035 6.875475883483887 0
who 4 0 3 8.358674049377441 3.513277769088745 0
do 4 1 2 9.988080978393555 7.828018665313721 0
they 4 2 4 4.892210006713867 6.358019828796387 1.469998836517334
believe 4 3 7 12.6370210647583 5.554233074188232 0.8037867546081543
the 4 4 3 7.290925025939941 4.839738845825195 0.7144942283630371
claim 4 5 5 12.466774940490723 9.716193199157715 0
that 4 6 4 1.8517539501190186 5.098321914672852 4.617871284484863
he 4 7 2 1.7732216119766235 6.658136367797852 0
likes 4 8 5 14.704755783081055 5.5084357261657715 1.14970064163208
? 4 9 1 4.515255451202393 5.791806221008301 0
what 5 0 4 5.713566303253174 3.513277769088745 0
did 5 1 3 8.372754096984863 7.684108257293701 0
she 5 2 3 5.355749130249023 4.202775955200195 3.481332302093506
hear 5 3 4 12.302021026611328 5.594185829162598 0
a 5 4 1 4.719338893890381 6.05427885055542 0
rumour 5 5 6 12.12910270690918 7.77196741104126 0
that 5 6 4 1.037947177886963 3.9379656314849854 3.8340017795562744
<unk> 5 7 5 6.105320930480957 4.010918140411377 0
sleeps 5 8 6 20.299795150756836 6.190492630004883 0
with 5 9 4 7.3658976554870605 5.067346572875977 1.1231460571289062
? 5 10 1 5.217339515686035 5.540040493011475 0
how 6 0 3 10.607207298278809 3.513277769088745 0
did 6 1 3 6.671639919281006 7.414096832275391 0
my 6 2 2 10.56434440612793 6.286139965057373 1.1279568672180176
sister 6 3 6 10.53445816040039 3.0488550662994385 3.2372848987579346
say 6 4 3 9.580926895141602 6.189647197723389 0
that 6 5 4 2.904186964035034 5.304143905639648 0.8855032920837402
<unk> 6 6 5 5.426726818084717 5.369375228881836 0
<unk> 6 7 5 5.995547771453857 6.418186664581299 0
thinks 6 8 6 14.233769416809082 5.875542163848877 0.5426445007324219
that 6 9 4 2.2101590633392334 5.396446228027344 0.4790959358215332
<unk> 6 10 5 5.050340175628662 5.653360843658447 0
solves 6 11 6 20.630678176879883 6.493048667907715 0
? 6 12 1 11.377201080322266 8.117033958435059 0
what 7 0 4 5.713566303253174 3.513277769088745 0
does 7 1 4 9.543248176574707 7.684108257293701 0
she 7 2 3 5.575615406036377 4.452472686767578 3.231635570526123
like 7 3 4 9.295348167419434 5.496786594390869 0
the 7 4 3 7.74589204788208 5.360196113586426 0.13659048080444336
possibility 7 5 11 13.75490665435791 9.451894760131836 0
that 7 6 4 1.4261670112609863 3.8361403942108154 5.6157543659210205
<unk> 7 7 5 6.073713302612305 4.416082859039307 0
dances 7 8 6 16.79229164123535 6.530145645141602 0
? 7 9 1 5.197713851928711 5.952040195465088 0.5781054496765137
what 8 0 4 5.713566303253174 3.513277769088745 0
do 8 1 2 11.41700267791748 7.684108257293701 0
they 8 2 4 5.3725104331970215 5.092276573181152 2.591831684112549
not 8 3 3 9.444087982177734 4.649600028991699 0.4426765441894531
believe 8 4 7 12.543787002563477 6.114388465881348 0
the 8 5 3 8.571036338806152 4.450048446655273 1.6643400192260742
rumour 8 6 6 13.71276569366455 9.795099258422852 0
that 8 7 4 1.4221817255020142 4.697332382202148 5.097766876220703
he 8 8 2 0.9565856456756592 4.899937152862549 0
will 8 9 4 7.482242584228516 5.435911178588867 0
buy 8 10 3 9.915206909179688 7.273620128631592 0
? 8 11 1 4.154825210571289 6.50777530670166 0.7658448219299316
where 9 0 5 11.046634674072266 3.513277769088745 0
do 9 1 2 11.931952476501465 6.79242467880249 0
they 9 2 4 5.0199713706970215 6.421087741851807 0.3713369369506836
have 9 3 4 6.447172164916992 5.374673843383789 1.0464138984680176
a 9 4 1 4.1878814697265625 6.682754039764404 0
window 9 5 6 14.340025901794434 9.091514587402344 0
that 9 6 4 1.5995171070098877 5.572724342346191 3.5187902450561523
opens 9 7 5 14.886687278747559 5.271634101867676 0.3010902404785156
? 9 8 1 5.6074604988098145 5.689379692077637 0
what 10 0 4 5.713566303253174 3.513277769088745 0
did 10 1 3 8.372754096984863 7.684108257293701 0
<unk> 10 2 5 6.089300155639648 4.202775955200195 3.481332302093506
meet 10 3 4 14.699786186218262 5.318234920501709 0
someone 10 4 7 11.397360801696777 4.245603084564209 1.0726318359375
who 10 5 3 5.722198009490967 3.8521909713745117 0.39341211318969727
likes 10 6 5 12.536995887756348 6.014791965484619 0
? 10 7 1 4.797318935394287 5.588544845581055 0.42624711990356445
