word sentid sentpos wlen surp entropy entred
who 0 0 3 8.878745079040527 3.598426103591919 0
did 0 1 3 4.829812049865723 6.318305969238281 0
he 0 2 2 2.6477129459381104 6.9470133781433105 0
hear 0 3 4 12.105175971984863 5.179697036743164 1.7673163414001465
that 0 4 4 1.9793988466262817 5.747486114501953 0
it 0 5 2 8.227334976196289 5.484344959259033 0.2631411552429199
is 0 6 2 6.313331127166748 5.400585651397705 0.08375930786132812
important 0 7 9 10.98674201965332 3.286370038986206 2.114215612411499
to 0 8 2 4.110419750213623 4.000463485717773 0
see 0 9 3 9.78277587890625 6.425404071807861 0
? 0 10 1 7.362782955169678 5.070547580718994 1.3548564910888672
what 1 0 4 5.218100070953369 3.598426103591919 0
is 1 1 2 8.770992279052734 7.87407922744751 0
it 1 2 2 9.807103157043457 3.611229419708252 4.262849807739258
important 1 3 9 11.310830116271973 5.517429351806641 0
that 1 4 4 2.179828405380249 4.959594249725342 0.5578351020812988
<unk> 1 5 5 5.019331455230713 7.160253524780273 0
buys 1 6 4 17.61754035949707 7.268226146697998 0
? 1 7 1 6.191230773925781 6.711253643035889 0.5569725036621094
who 2 0 3 8.878745079040527 3.598426103591919 0
did 2 1 3 4.829812049865723 6.318305969238281 0
he 2 2 2 2.6477129459381104 6.9470133781433105 0
hear 2 3 4 12.105175971984863 5.179697036743164 1.7673163414001465
that 2 4 4 1.9793988466262817 5.747486114501953 0
it 2 5 2 8.227334976196289 5.484344959259033 0.2631411552429199
is 2 6 2 6.313331127166748 5.400585651397705 0.08375930786132812
important 2 7 9 10.98674201965332 3.286370038986206 2.114215612411499
that 2 8 4 2.001811981201172 4.000463485717773 0
<unk> 2 9 5 5.681792259216309 6.005620956420898 0
knows 2 10 5 12.687710762023926 6.6266703605651855 0
? 2 11 1 7.244737148284912 4.425283432006836 2.2013869285583496
where 3 0 5 10.307161331176758 3.598426103591919 0
did 3 1 3 6.974673271179199 6.1650896072387695 0
<unk> 3 2 5 4.9285888671875 6.23520565032959 0
tell 3 3 4 12.36745834350586 6.425440311431885 0
you 3 4 3 5.668467998504639 5.589982986450195 0.8354573249816895
that 3 5 4 1.1995009183883667 4.397883415222168 1.1920995712280273
she 3 6 3 5.798109531402588 6.3957672119140625 0
went 3 7 4 10.553886413574219 4.332656383514404 2.063110828399658
? 3 8 1 4.897249698638916 3.9395804405212402 0.39307594299316406
what 4 0 4 5.218100070953369 3.598426103591919 0
did 4 1 3 6.22922945022583 7.87407922744751 0
he 4 2 2 2.585601329803467 7.23189640045166 0.6421828269958496
hear 4 3 4 10.778773307800293 6.107588291168213 1.1243081092834473
that 4 4 4 2.0534913539886475 5.912766933441162 0.19482135772705078
<unk> 4 5 5 5.87574577331543 5.979794979095459 0
does 4 6 4 7.704850196838379 6.49551248550415 0
not 4 7 3 6.648005962371826 6.514321804046631 0
do 4 8 2 7.795723915100098 6.786470413208008 0
? 4 9 1 7.2227959632873535 6.520899772644043 0.26557064056396484
what 5 0 4 5.218100070953369 3.598426103591919 0
did 5 1 3 6.22922945022583 7.87407922744751 0
he 5 2 2 2.585601329803467 7.23189640045166 0.6421828269958496
hear 5 3 4 10.778773307800293 6.107588291168213 1.1243081092834473
that 5 4 4 2.0534913539886475 5.912766933441162 0.19482135772705078
<unk> 5 5 5 5.87574577331543 5.979794979095459 0
thinks 5 6 6 14.423426628112793 6.49551248550415 0
their 5 7 5 9.381020545959473 3.9934635162353516 2.502048969268799
car 5 8 3 11.929132461547852 8.827431678771973 0
needed 5 9 6 9.971514701843262 6.369880199432373 2.4575514793395996
to 5 10 2 2.9767918586730957 5.829585075378418 0.5402951240539551
do 5 11 2 6.47116756439209 6.9008073806762695 0
? 5 12 1 7.510133743286133 6.5678486824035645 0.3329586982727051
who 6 0 3 8.878745079040527 3.598426103591919 0
is 6 1 2 7.588233470916748 6.318305969238281 0
it 6 2 2 9.398945808410645 4.010219097137451 2.30808687210083
probable 6 3 8 16.725688934326172 4.851449012756348 0
that 6 4 4 0.7986611723899841 3.0914969444274902 1.7599520683288574
<unk> 6 5 5 4.875050067901611 5.910579204559326 0
helped 6 6 6 13.43505859375 6.665905952453613 0
? 6 7 1 7.150936603546143 6.546546936035156 0.11935901641845703
what 7 0 4 5.218100070953369 3.598426103591919 0
did 7 1 3 6.22922945022583 7.87407922744751 0
they 7 2 4 6.357879638671875 7.23189640045166 0.6421828269958496
not 7 3 3 7.032389163970947 6.77212381362915 0.45977258682250977
like 7 4 4 4.10633659362793 6.731388568878174 0.04073524475097656
that 7 5 4 2.774050712585449 6.512257099151611 0.2191314697265625
you 7 6 3 6.793755054473877 6.804287433624268 0
read 7 7 4 11.86642837524414 5.685056209564209 1.1192312240600586
that 7 8 4 2.094588279724121 6.105110168457031 0
<unk> 7 9 5 6.459412574768066 6.01909875869751 0.08601140975952148
is 7 10 2 8.710359573364258 6.38679838180542 0
trying 7 11 6 12.994938850402832 3.4620659351348877 2.9247324466705322
to 7 12 2 1.9545644521713257 4.310298919677734 0
give 7 13 4 8.444694519042969 6.828326225280762 0
you 7 14 3 4.833352565765381 5.0605926513671875 1.7677335739135742
? 7 15 1 6.983519077301025 5.13258695602417 0
who 8 0 3 8.878745079040527 3.598426103591919 0
did 8 1 3 4.829812049865723 6.318305969238281 0
they 8 2 4 6.656672477722168 6.9470133781433105 0
not 8 3 3 7.029850006103516 6.0979743003845215 0.8490390777587891
like 8 4 4 4.236330986022949 6.877639293670654 0
that 8 5 4 2.800631284713745 6.018880844116211 0.8587584495544434
it 8 6 2 9.062104225158691 6.034154415130615 0
is 8 7 2 6.424557685852051 5.767706871032715 0.2664475440979004
probable 8 8 8 16.33354949951172 3.5919556617736816 2.175751209259033
that 8 9 4 0.7919701933860779 2.7384960651397705 0.8534595966339111
<unk> 8 10 5 5.076830863952637 5.792292594909668 0
met 8 11 3 14.024238586425781 6.561732292175293 0
? 8 12 1 6.38839054107666 6.230240821838379 0.33149147033691406
who 9 0 3 8.878745079040527 3.598426103591919 0
is 9 1 2 7.588233470916748 6.318305969238281 0
it 9 2 2 9.398945808410645 4.010219097137451 2.30808687210083
probable 9 3 8 16.725688934326172 4.851449012756348 0
that 9 4 4 0.7986611723899841 3.0914969444274902 1.7599520683288574
the 9 5 3 5.877114772796631 5.910579204559326 0
account 9 6 7 11.204987525939941 10.076676368713379 0
is 9 7 2 7.4112958908081055 4.895157814025879 5.1815185546875
waiting 9 8 7 14.840743064880371 2.942542314529419 1.95261549949646
for 9 9 3 2.7741808891296387 5.591782093048096 0
? 9 10 1 5.6988630294799805 5.743752956390381 0
who 10 0 3 8.878745079040527 3.598426103591919 0
did 10 1 3 4.829812049865723 6.318305969238281 0
they 10 2 4 6.656672477722168 6.9470133781433105 0
not 10 3 3 7.029850006103516 6.0979743003845215 0.8490390777587891
like 10 4 4 4.236330986022949 6.877639293670654 0
that 10 5 4 2.800631284713745 6.018880844116211 0.8587584495544434
it 10 6 2 9.062104225158691 6.034154415130615 0
is 10 7 2 6.424557685852051 5.767706871032715 0.2664475440979004
important 10 8 9 11.292583465576172 3.5919556617736816 2.175751209259033
to 10 9 2 4.109897613525391 4.121669292449951 0
fix 10 10 3 15.463920593261719 6.56802225112915 0
? 10 11 1 7.046672821044922 7.087252616882324 0
who 11 0 3 8.878745079040527 3.598426103591919 0
did 11 1 3 4.829812049865723 6.318305969238281 0
they 11 2 4 6.656672477722168 6.9470133781433105 0
not 11 3 3 7.029850006103516 6.0979743003845215 0.8490390777587891
like 11 4 4 4.236330986022949 6.877639293670654 0
that 11 5 4 2.800631284713745 6.018880844116211 0.8587584495544434
it 11 6 2 9.062104225158691 6.034154415130615 0
is 11 7 2 6.424557685852051 5.767706871032715 0.2664475440979004
probable 11 8 8 16.33354949951172 3.5919556617736816 2.175751209259033
that 11 9 4 0.7919701933860779 2.7384960651397705 0.8534595966339111
<unk> 11 10 5 5.076830863952637 5.792292594909668 0
called 11 11 6 12.035231590270996 6.561732292175293 0
? 11 12 1 6.851621627807617 6.269237041473389 0.2924952507019043
what 12 0 4 5.218100070953369 3.598426103591919 0
did 12 1 3 6.22922945022583 7.87407922744751 0
<unk> 12 2 5 5.121150970458984 7.23189640045166 0.6421828269958496
buy 12 3 3 11.268139839172363 6.9105024337768555 0.3213939666748047
you 12 4 3 7.5728535652160645 6.296601295471191 0.6139011383056641
? 12 5 1 7.4049391746521 5.642316818237305 0.6542844772338867
what 13 0 4 5.218100070953369 3.598426103591919 0
did 13 1 3 6.22922945022583 7.87407922744751 0
she 13 2 3 6.6453094482421875 7.23189640045166 0.6421828269958496
say 13 3 3 8.321727752685547 6.435638427734375 0.7962579727172852
that 13 4 4 1.2976222038269043 3.7464051246643066 2.6892333030700684
<unk> 13 5 5 5.390038967132568 6.041064262390137 0
thinks 13 6 6 13.641655921936035 6.453226089477539 0
that 13 7 4 1.8468563556671143 4.259430408477783 2.193795680999756
their 13 8 5 8.76011848449707 5.865787506103516 0
rumour 13 9 6 17.371288299560547 8.878657341003418 0
was 13 10 3 7.8931965827941895 3.7687363624572754 5.109920978546143
? 13 11 1 11.738553047180176 3.246701955795288 0.5220344066619873
what 14 0 4 5.218100070953369 3.598426103591919 0
is 14 1 2 8.770992279052734 7.87407922744751 0
it 14 2 2 9.807103157043457 3.611229419708252 4.262849807739258
important 14 3 9 11.310830116271973 5.517429351806641 0
that 14 4 4 2.179828405380249 4.959594249725342 0.5578351020812988
<unk> 14 5 5 5.019331455230713 7.160253524780273 0
eats 14 6 4 18.993141174316406 7.268226146697998 0
for 14 7 3 6.611187934875488 6.843472480773926 0.42475366592407227
<unk> 14 8 5 5.203790664672852 5.292472839355469 1.550999641418457
? 14 9 1 4.498288154602051 6.802740573883057 0
who 15 0 3 8.878745079040527 3.598426103591919 0
is 15 1 2 7.588233470916748 6.318305969238281 0
it 15 2 2 9.398945808410645 4.010219097137451 2.30808687210083
scandalous 15 3 10 19.65463638305664 4.851449012756348 0
that 15 4 4 2.0569634437561035 5.629178047180176 0
the 15 5 3 6.564603328704834 6.447659969329834 0
silly 15 6 5 14.767454147338867 10.219685554504395 0
candy 15 7 5 15.576692581176758 9.884990692138672 0.33469486236572266
store 15 8 5 13.84212589263916 6.969635486602783 2.9153552055358887
is 15 9 2 6.936679363250732 6.642282962799072 0.32735252380371094
demanding 15 10 9 16.9271297454834 3.636904239654541 3.0053787231445312
? 15 11 1 8.140432357788086 5.814850330352783 0
who 16 0 3 8.878745079040527 3.598426103591919 0
did 16 1 3 4.829812049865723 6.318305969238281 0
they 16 2 4 6.656672477722168 6.9470133781433105 0
<unk> 16 3 5 5.326152324676514 6.0979743003845215 0.8490390777587891
that 16 4 4 3.3038535118103027 6.49144172668457 0
it 16 5 2 8.700763702392578 6.138640880584717 0.3528008460998535
is 16 6 2 6.434502601623535 5.614861965179443 0.5237789154052734
expensive 16 7 9 16.517255783081055 3.384251832962036 2.2306101322174072
to 16 8 2 4.362112998962402 4.557992458343506 0
date 16 9 4 10.299628257751465 7.469709396362305 0
? 16 10 1 5.6143083572387695 5.615375518798828 1.8543338775634766
what 17 0 4 5.218100070953369 3.598426103591919 0
did 17 1 3 6.22922945022583 7.87407922744751 0
they 17 2 4 6.357879638671875 7.23189640045166 0.6421828269958496
not 17 3 3 7.032389163970947 6.77212381362915 0.45977258682250977
like 17 4 4 4.10633659362793 6.731388568878174 0.04073524475097656
that 17 5 4 2.774050712585449 6.512257099151611 0.2191314697265625
it 17 6 2 8.912323951721191 6.804287433624268 0
is 17 7 2 6.246048927307129 6.144592761993408 0.6596946716308594
circulating 17 8 11 14.889795303344727 3.725782632827759 2.4188101291656494
that 17 9 4 1.3365750312805176 4.615786075592041 0
<unk> 17 10 5 5.661693096160889 6.607111930847168 0
analysis 17 11 8 16.577741622924805 6.741091728210449 0
solved 17 12 6 17.97086524963379 5.048992156982422 1.6920995712280273
? 17 13 1 8.00474739074707 7.78712272644043 0
what 18 0 4 5.218100070953369 3.598426103591919 0
does 18 1 4 9.037620544433594 7.87407922744751 0
<unk> 18 2 5 5.0557403564453125 7.354264259338379 0.5198149681091309
not 18 3 3 8.59483528137207 6.717916011810303 0.6363482475280762
think 18 4 5 10.52817153930664 6.57294225692749 0.1449737548828125
that 18 5 4 1.6660168170928955 4.525306701660156 2.047635555267334
you 18 6 3 5.9314422607421875 6.140723705291748 0
robbed 18 7 6 18.592817306518555 5.679715156555176 0.46100854873657227
? 18 8 1 5.168053150177002 6.42468786239624 0
where 19 0 5 10.307161331176758 3.598426103591919 0
is 19 1 2 8.798576354980469 6.1650896072387695 0
it 19 2 2 8.789688110351562 3.51656174659729 2.6485278606414795
unrealistic 19 3 11 18.5421199798584 4.8140177726745605 0
that 19 4 4 3.0954785346984863 5.0252909660339355 0
<unk> 19 5 5 5.4917378425598145 6.721160411834717 0
goes 19 6 4 12.358489036560059 6.732987403869629 0
to 19 7 2 6.602887153625488 3.372654438018799 3.36033296585083
for 19 8 3 6.477011680603027 6.068941593170166 0
<unk> 19 9 5 5.788140773773193 5.32232141494751 0.7466201782226562
? 19 10 1 4.538862228393555 6.247342586517334 0
what 20 0 4 5.218100070953369 3.598426103591919 0
did 20 1 3 6.22922945022583 7.87407922744751 0
he 20 2 2 2.585601329803467 7.23189640045166 0.6421828269958496
hear 20 3 4 10.778773307800293 6.107588291168213 1.1243081092834473
that 20 4 4 2.0534913539886475 5.912766933441162 0.19482135772705078
it 20 5 2 8.041872024536133 5.979794979095459 0
is 20 6 2 6.024392604827881 5.698450565338135 0.2813444137573242
extravagant 20 7 11 19.836437225341797 3.412989854812622 2.2854607105255127
to 20 8 2 5.026672840118408 5.163129806518555 0
claim 20 9 5 14.482617378234863 6.971160411834717 0
? 20 10 1 7.248126983642578 4.123147010803223 2.848013401031494
what 21 0 4 5.218100070953369 3.598426103591919 0
is 21 1 2 8.770992279052734 7.87407922744751 0
it 21 2 2 9.807103157043457 3.611229419708252 4.262849807739258
likely 21 3 6 11.923592567443848 5.517429351806641 0
that 21 4 4 1.4281136989593506 5.309871673583984 0.20755767822265625
the 21 5 3 6.370457649230957 6.9754228591918945 0
teacher 21 6 7 11.945722579956055 10.244291305541992 0
buys 21 7 4 17.350236892700195 6.077200412750244 4.167090892791748
? 21 8 1 6.13230037689209 6.516326427459717 0
what 22 0 4 5.218100070953369 3.598426103591919 0
did 22 1 3 6.22922945022583 7.87407922744751 0
he 22 2 2 2.585601329803467 7.23189640045166 0.6421828269958496
hear 22 3 4 10.778773307800293 6.107588291168213 1.1243081092834473
that 22 4 4 2.0534913539886475 5.912766933441162 0.19482135772705078
it 22 5 2 8.041872024536133 5.979794979095459 0
is 22 6 2 6.024392604827881 5.698450565338135 0.2813444137573242
funny 22 7 5 14.00536823272705 3.412989854812622 2.2854607105255127
that 22 8 4 2.627443313598633 4.686012268066406 0
a 22 9 1 5.4258880615234375 6.331287384033203 0
cup 22 10 3 14.46657657623291 8.551148414611816 0
of 22 11 2 5.504481315612793 6.620457649230957 1.9306907653808594
coffee 22 12 6 6.881759166717529 9.681126594543457 0
solves 22 13 6 19.476728439331055 7.341315269470215 2.339811325073242
? 22 14 1 5.600647449493408 7.314847946166992 0.026467323303222656
who 23 0 3 8.878745079040527 3.598426103591919 0
did 23 1 3 4.829812049865723 6.318305969238281 0
the 23 2 3 6.235387802124023 6.9470133781433105 0
book 23 3 4 9.101027488708496 9.606868743896484 0
tell 23 4 4 13.776568412780762 5.510585784912109 4.096282958984375
me 23 5 2 4.780259609222412 5.698914527893066 0
went 23 6 4 12.387728691101074 4.094998359680176 1.6039161682128906
to 23 7 2 6.816341876983643 3.6248226165771484 0.47017574310302734
the 23 8 3 5.361857891082764 6.442661762237549 0
expensive 23 9 9 15.977177619934082 10.188501358032227 0
store 23 10 5 10.931584358215332 9.491409301757812 0.6970920562744141
? 23 11 1 5.6938276290893555 6.60457181930542 2.8868374824523926
who 24 0 3 8.878745079040527 3.598426103591919 0
did 24 1 3 4.829812049865723 6.318305969238281 0
the 24 2 3 6.235387802124023 6.9470133781433105 0
<unk> 24 3 5 3.981403112411499 9.606868743896484 0
experience 24 4 10 11.74402141571045 7.401447296142578 2.2054214477539062
assert 24 5 6 19.151443481445312 5.795568943023682 1.6058783531188965
watched 24 6 7 19.90314483642578 2.5818963050842285 3.213672637939453
a 24 7 1 4.924539089202881 6.715909004211426 0
ballet 24 8 6 16.197904586791992 8.8798189163208 0
on 24 9 2 7.866328239440918 7.119993209838867 1.7598257064819336
<unk> 24 10 5 3.7323412895202637 6.860309600830078 0.25968360900878906
? 24 11 1 5.273041248321533 6.7235331535339355 0.13677644729614258
