word sentid sentpos wlen surp entropy entred
what 0 0 4 10.215241432189941 8.63239574432373 0
did 0 1 3 6.523082256317139 7.164798736572266 1.4675970077514648
i 0 2 1 8.60547161102295 7.759047985076904 0
buy 0 3 3 11.805108070373535 5.215673923492432 2.5433740615844727
a 0 4 1 3.7273943424224854 5.403892517089844 0
guitar 0 5 6 14.618664741516113 4.645106792449951 0.7587857246398926
for 0 6 3 8.759793281555176 5.853865146636963 0
myself 0 7 6 9.985727310180664 6.5897064208984375 0
because 0 8 7 9.777018547058105 6.093050956726074 0.4966554641723633
they 0 9 4 8.139829635620117 6.11577033996582 0
heard 0 10 5 10.732610702514648 6.796967506408691 0
? 0 11 1 4.873793601989746 6.3387956619262695 0.4581718444824219
what 1 0 4 10.215241432189941 8.63239574432373 0
will 1 1 4 8.75240421295166 7.164798736572266 1.4675970077514648
they 1 2 4 7.561482906341553 7.176364898681641 0
fail 1 3 4 13.795846939086914 6.232666969299316 0.9436979293823242
the 1 4 3 6.183631896972656 6.732158184051514 0
test 1 5 4 10.620047569274902 8.326858520507812 0
if 1 6 2 8.40597915649414 8.653474807739258 0
they 1 7 4 6.77860689163208 7.303462028503418 1.3500127792358398
do 1 8 2 7.278589248657227 7.077163219451904 0.22629880905151367
not 1 9 3 8.026185035705566 7.30009651184082 0
? 1 10 1 5.023172855377197 5.393693447113037 1.9064030647277832
whom 2 0 4 10.920817375183105 8.63239574432373 0
will 2 1 4 8.49241828918457 6.635398864746094 1.9969968795776367
he 2 2 2 5.120453357696533 5.900442600250244 0.7349562644958496
hire 2 3 4 17.374813079833984 4.405976295471191 1.4944663047790527
someone 2 4 7 3.4865195751190186 6.621276378631592 0
if 2 5 2 7.8202009201049805 5.741294860839844 0.879981517791748
i 2 6 1 7.61764669418335 6.722527503967285 0
need 2 7 4 11.056015014648438 6.6632080078125 0.059319496154785156
? 2 8 1 4.735145568847656 6.445099353790283 0.2181086540222168
what 3 0 4 10.215241432189941 8.63239574432373 0
has 3 1 3 8.365784645080566 7.164798736572266 1.4675970077514648
he 3 2 2 6.112300395965576 5.283886432647705 1.8809123039245605
been 3 3 4 9.42807388305664 6.032383441925049 0
circulating 3 4 11 17.54156494140625 5.083429336547852 0.9489541053771973
who 3 5 3 7.795992851257324 6.419760704040527 0
he 3 6 2 5.309841156005859 5.410301208496094 1.0094594955444336
thought 3 7 7 10.012378692626953 5.002986431121826 0.4073147773742676
was 3 8 3 7.4706244468688965 6.3438801765441895 0
? 3 9 1 6.072976112365723 3.281897783279419 3.0619823932647705
what 4 0 4 10.215241432189941 8.63239574432373 0
will 4 1 4 8.75240421295166 7.164798736572266 1.4675970077514648
he 4 2 2 4.408555030822754 7.176364898681641 0
try 4 3 3 13.645208358764648 5.5504984855651855 1.625866413116455
to 4 4 2 3.8365163803100586 6.627852439880371 0
call 4 5 4 6.937994956970215 7.172452926635742 0
you 4 6 3 7.209359169006348 6.566530704498291 0.6059222221374512
if 4 7 2 9.901305198669434 5.343801498413086 1.222729206085205
she 4 8 3 4.634494781494141 6.796876907348633 0
buys 4 9 4 18.53036117553711 5.909052848815918 0.8878240585327148
? 4 10 1 2.89201283454895 6.247990608215332 0
what 5 0 4 10.215241432189941 8.63239574432373 0
did 5 1 3 6.523082256317139 7.164798736572266 1.4675970077514648
she 5 2 3 5.00658655166626 7.759047985076904 0
say 5 3 3 6.551098346710205 6.346443176269531 1.412604808807373
she 5 4 3 4.951265335083008 6.289356708526611 0.05708646774291992
would 5 5 5 7.637746334075928 5.840572834014893 0.44878387451171875
like 5 6 4 7.192779541015625 6.778187274932861 0
the 5 7 3 6.891364097595215 6.000454902648926 0.7777323722839355
man 5 8 3 8.826228141784668 8.177449226379395 0
if 5 9 2 9.687432289123535 6.178194046020508 1.9992551803588867
he 5 10 2 4.501214027404785 6.477056980133057 0
read 5 11 4 11.86169147491455 6.03978967666626 0.4372673034667969
? 5 12 1 3.8000075817108154 5.98712682723999 0.05266284942626953
where 6 0 5 7.021026611328125 8.63239574432373 0
did 6 1 3 7.9874749183654785 7.67315673828125 0.9592390060424805
i 6 2 1 7.588298320770264 7.176563739776611 0.49659299850463867
buy 6 3 3 11.222277641296387 5.450783729553223 1.7257800102233887
a 6 4 1 2.576230525970459 5.927727222442627 0
coffee 6 5 6 12.739920616149902 4.465940475463867 1.4617867469787598
for 6 6 3 9.534790992736816 4.882544994354248 0
myself 6 7 6 9.10047721862793 6.548006057739258 0
because 6 8 7 9.263704299926758 5.953337669372559 0.5946683883666992
i 6 9 1 5.691120147705078 6.219901084899902 0
went 6 10 4 8.873990058898926 6.830536365509033 0
