word sentid sentpos wlen surp entropy entred
what 0 0 4 4.278581619262695 7.264555931091309 0
did 0 1 3 10.365785598754883 2.366767644882202 4.8977882862091064
i 0 2 1 9.10753059387207 2.7119948863983154 0
buy 0 3 3 12.605360984802246 6.065334796905518 0
a 0 4 1 7.867253303527832 4.669469833374023 1.3958649635314941
guitar 0 5 6 13.205670356750488 4.4985857009887695 0.1708841323852539
for 0 6 3 6.401689529418945 5.563373565673828 0
myself 0 7 6 11.737469673156738 4.70601749420166 0.857356071472168
because 0 8 7 10.88800048828125 6.46577787399292 0
they 0 9 4 4.041763782501221 5.373769283294678 1.0920085906982422
heard 0 10 5 10.636409759521484 5.167207717895508 0.20656156539916992
? 0 11 1 1.2796974182128906 4.04757833480835 1.1196293830871582
what 1 0 4 4.278581619262695 7.264555931091309 0
will 1 1 4 8.409029006958008 2.366767644882202 4.8977882862091064
they 1 2 4 6.977555751800537 4.559478759765625 0
fail 1 3 4 14.541083335876465 6.014307022094727 0
the 1 4 3 8.951120376586914 4.345013618469238 1.6692934036254883
test 1 5 4 8.252924919128418 8.749669075012207 0
if 1 6 2 10.322649002075195 7.8033647537231445 0.9463043212890625
they 1 7 4 3.785118818283081 5.508097171783447 2.2952675819396973
do 1 8 2 7.3993306159973145 6.192582607269287 0
not 1 9 3 6.5979533195495605 4.166262626647949 2.026319980621338
? 1 10 1 5.8753132820129395 5.780044078826904 0
whom 2 0 4 10.483805656433105 7.264555931091309 0
will 2 1 4 6.57351541519165 5.692946434020996 1.5716094970703125
he 2 2 2 9.81704044342041 3.6556050777435303 2.037341356277466
hire 2 3 4 15.237303733825684 5.018950939178467 0
someone 2 4 7 11.687005043029785 1.260820746421814 3.758130192756653
if 2 5 2 9.356429100036621 6.180905342102051 0
i 2 6 1 7.449032306671143 4.8951096534729 1.2857956886291504
need 2 7 4 9.354171752929688 6.339776515960693 0
? 2 8 1 7.312486171722412 3.666156530380249 2.6736199855804443
what 3 0 4 4.278581619262695 7.264555931091309 0
has 3 1 3 10.726085662841797 2.366767644882202 4.8977882862091064
he 3 2 2 8.090316772460938 5.800635814666748 0
been 3 3 4 7.3188605308532715 4.863478183746338 0.9371576309204102
circulating 3 4 11 19.35240364074707 5.000253200531006 0
who 3 5 3 10.242240905761719 4.3961100578308105 0.6041431427001953
he 3 6 2 8.26375961303711 5.707688808441162 0
thought 3 7 7 8.681516647338867 4.379258632659912 1.32843017578125
was 3 8 3 7.0208258628845215 4.383631229400635 0
? 3 9 1 4.346859931945801 5.040851593017578 0
what 4 0 4 4.278581619262695 7.264555931091309 0
will 4 1 4 8.409029006958008 2.366767644882202 4.8977882862091064
he 4 2 2 9.087864875793457 4.559478759765625 0
try 4 3 3 14.97036361694336 3.5629525184631348 0.9965262413024902
