word sentid sentpos wlen surp entropy entred
where 0 0 5 12.907099723815918 0.7632927298545837 0
did 0 1 3 4.906218528747559 6.675032138824463 0
<unk> 0 2 5 3.081393241882324 5.659151554107666 1.0158805847167969
ask 0 3 3 9.320682525634766 8.647272109985352 0
who 0 4 3 8.21760368347168 4.109251022338867 4.538021087646484
<unk> 0 5 5 3.3742589950561523 6.6348466873168945 0
took 0 6 4 9.910979270935059 7.197457313537598 0
? 0 7 1 0.3139421343803406 2.0154974460601807 5.181959867477417
what 1 0 4 0.10689212381839752 0.7632927298545837 0
did 1 1 3 0.4773516356945038 2.6383605003356934 0
she 1 2 3 5.28276252746582 2.700079917907715 0
say 1 3 3 11.848610877990723 1.1680184602737427 1.5320614576339722
that 1 4 4 0.5496877431869507 2.32849383354187 0
<unk> 1 5 5 0.2234703004360199 1.5185856819152832 0.8099081516265869
asked 1 6 5 14.073934555053711 2.468320369720459 0
who 1 7 3 17.989564895629883 0.0261213555932045 2.4421990141272545
will 1 8 4 6.790511608123779 1.6739834547042847 0
read 1 9 4 7.9648356437683105 5.166616916656494 0
? 1 10 1 0.006227788981050253 0.05890122801065445 5.10771568864584
where 2 0 5 12.907099723815918 0.7632927298545837 0
did 2 1 3 4.906218528747559 6.675032138824463 0
<unk> 2 2 5 3.081393241882324 5.659151554107666 1.0158805847167969
ask 2 3 3 9.320682525634766 8.647272109985352 0
how 2 4 3 6.0977582931518555 4.109251022338867 4.538021087646484
<unk> 2 5 5 3.8811137676239014 5.280412673950195 0
went 2 6 4 9.220010757446289 7.227442741394043 0
? 2 7 1 0.04469143971800804 0.36899539828300476 6.858447343111038
what 3 0 4 0.10689212381839752 0.7632927298545837 0
did 3 1 3 0.4773516356945038 2.6383605003356934 0
will 3 2 4 14.895187377929688 2.700079917907715 0
ask 3 3 3 12.552495002746582 2.9008302688598633 0
why 3 4 3 5.392763137817383 3.541321277618408 0
<unk> 3 5 5 1.9995096921920776 4.365226745605469 0
wears 3 6 5 13.92991828918457 4.373603343963623 0
? 3 7 1 0.004548642318695784 0.04570051282644272 4.32790283113718
what 4 0 4 0.10689212381839752 0.7632927298545837 0
did 4 1 3 0.4773516356945038 2.6383605003356934 0
she 4 2 3 5.28276252746582 2.700079917907715 0
say 4 3 3 11.848610877990723 1.1680184602737427 1.5320614576339722
that 4 4 4 0.5496877431869507 2.32849383354187 0
will 4 5 4 7.860034942626953 1.5185856819152832 0.8099081516265869
thinks 4 6 6 4.859147071838379 7.652370929718018 0
he 4 7 2 6.777244567871094 2.1564218997955322 5.495949029922485
knows 4 8 5 5.5405354499816895 3.8482322692871094 0
where 4 9 5 16.460187911987305 0.16410638391971588 3.6841258853673935
<unk> 4 10 5 3.6548101902008057 2.3449816703796387 0
announced 4 11 9 19.829715728759766 2.939307689666748 0
? 4 12 1 0.01910659857094288 0.12433196604251862 2.8149757236242294
what 5 0 4 0.10689212381839752 0.7632927298545837 0
did 5 1 3 0.4773516356945038 2.6383605003356934 0
they 5 2 4 6.225497722625732 2.700079917907715 0
not 5 3 3 23.3967342376709 0.050254710018634796 2.64982520788908
like 5 4 4 6.655618667602539 1.625389575958252 0
that 5 5 4 2.182652235031128 4.62587833404541 0
<unk> 5 6 5 2.029675006866455 3.860269546508789 0.7656087875366211
wonders 5 7 7 16.96736717224121 4.507157325744629 0
how 5 8 3 14.2100830078125 0.025441555306315422 4.4817157704383135
<unk> 5 9 5 4.448981285095215 3.1581242084503174 0
was 5 10 3 8.859848976135254 5.49612283706665 0
? 5 11 1 0.480305552482605 3.1852962970733643 2.310826539993286
what 6 0 4 0.10689212381839752 0.7632927298545837 0
did 6 1 3 0.4773516356945038 2.6383605003356934 0
<unk> 6 2 5 4.990738868713379 2.700079917907715 0
ask 6 3 3 10.28079605102539 3.5049891471862793 0
when 6 4 4 11.086570739746094 3.612905263900757 0
<unk> 6 5 5 2.302548885345459 4.9144511222839355 0
ate 6 6 3 12.102234840393066 6.479883193969727 0
? 6 7 1 0.013836683705449104 0.12945203483104706 6.3504311591386795
what 7 0 4 0.10689212381839752 0.7632927298545837 0
does 7 1 4 4.767871856689453 2.6383605003356934 0
<unk> 7 2 5 3.3772737979888916 4.856053352355957 0
wonder 7 3 6 14.72477912902832 2.904397487640381 1.9516558647155762
where 7 4 5 9.806599617004395 3.1577281951904297 0
<unk> 7 5 5 2.157543659210205 4.753464221954346 0
buys 7 6 4 12.953986167907715 4.1978678703308105 0.5555963516235352
? 7 7 1 0.005479439161717892 0.05743222311139107 4.1404356472194195
what 8 0 4 0.10689212381839752 0.7632927298545837 0
does 8 1 4 4.767871856689453 2.6383605003356934 0
will 8 2 4 12.356493949890137 4.856053352355957 0
wonder 8 3 6 14.511858940124512 3.77970290184021 1.076350450515747
how 8 4 3 5.461179256439209 3.6167819499969482 0.16292095184326172
he 8 5 2 6.9839091300964355 5.025179386138916 0
will 8 6 4 3.6418826580047607 6.095424652099609 0
read 8 7 4 9.264657020568848 6.010379791259766 0.08504486083984375
? 8 8 1 0.013943824917078018 0.1344849169254303 5.875894874334335
how 9 0 3 5.045010566711426 0.7632927298545837 0
did 9 1 3 2.0312745571136475 2.4727890491485596 0
he 9 2 2 5.526742935180664 4.373055934906006 0
hear 9 3 4 0.6555737257003784 2.2596237659454346 2.1134321689605713
that 9 4 4 1.3268269300460815 3.1126534938812256 0
<unk> 9 5 5 0.37723687291145325 2.2068676948547363 0.9057857990264893
thinks 9 6 6 4.679102897644043 2.6673152446746826 0
he 9 7 2 7.875816345214844 0.9874372482299805 1.6798779964447021
knows 9 8 5 5.978996276855469 4.252599716186523 0
where 9 9 5 15.026861190795898 0.24433407187461853 4.008265644311905
<unk> 9 10 5 3.2129507064819336 2.715250015258789 0
gets 9 11 4 9.893902778625488 2.691519260406494 0.023730754852294922
? 9 12 1 0.02574838325381279 0.24929678440093994 2.442222476005554
whom 10 0 4 12.936729431152344 0.7632927298545837 0
does 10 1 4 6.128940105438232 5.573559284210205 0
<unk> 10 2 5 2.1229419708251953 7.33152961730957 0
wonder 10 3 6 14.969826698303223 9.42311954498291 0
how 10 4 3 8.911327362060547 3.4459352493286133 5.977184295654297
<unk> 10 5 5 4.590028285980225 4.978833198547363 0
is 10 6 2 4.291934013366699 7.973725318908691 0
