word sentid sentpos wlen surp entropy entred
what 0 0 4 0.3978290557861328 1.9206409454345703 0
did 0 1 3 3.6814124584198 5.2410759925842285 0
i 0 2 1 6.3531270027160645 5.2281975746154785 0.01287841796875
buy 0 3 3 11.367061614990234 6.492146968841553 0
a 0 4 1 4.357423305511475 6.241117000579834 0.25102996826171875
guitar 0 5 6 13.30408763885498 5.158844470977783 1.0822725296020508
for 0 6 3 5.094784736633301 7.684298992156982 0
myself 0 7 6 12.877226829528809 4.391587734222412 3.2927112579345703
because 0 8 7 11.655900001525879 6.391145706176758 0
they 0 9 4 3.807072639465332 5.040933132171631 1.350212574005127
heard 0 10 5 7.83762788772583 6.404332637786865 0
? 0 11 1 6.644827842712402 6.86530876159668 0
what 1 0 4 0.3978290557861328 1.9206409454345703 0
will 1 1 4 8.397953987121582 5.2410759925842285 0
they 1 2 4 6.346261501312256 6.677485942840576 0
fail 1 3 4 10.311600685119629 7.4571003913879395 0
the 1 4 3 5.150387287139893 5.606958866119385 1.8501415252685547
test 1 5 4 12.189249992370605 9.165964126586914 0
if 1 6 2 9.404276847839355 7.463756084442139 1.7022080421447754
they 1 7 4 2.666999578475952 5.694520473480225 1.769235610961914
do 1 8 2 4.635169982910156 6.678382873535156 0
not 1 9 3 5.083023548126221 6.9101338386535645 0
? 1 10 1 6.962438583374023 7.034895420074463 0
whom 2 0 4 3.2094438076019287 1.9206409454345703 0
will 2 1 4 8.795300483703613 5.240918159484863 0
he 2 2 2 9.890548706054688 6.504049301147461 0
hire 2 3 4 15.145709991455078 7.272387981414795 0
someone 2 4 7 4.526031017303467 7.055247783660889 0.21714019775390625
if 2 5 2 11.139925956726074 1.010603904724121 6.044643878936768
i 2 6 1 5.00374174118042 5.821352481842041 0
need 2 7 4 10.418832778930664 5.711190223693848 0.11016225814819336
? 2 8 1 4.110424041748047 6.573022842407227 0
what 3 0 4 0.3978290557861328 1.9206409454345703 0
has 3 1 3 5.154359817504883 5.2410759925842285 0
he 3 2 2 10.848247528076172 6.381860733032227 0
been 3 3 4 4.246675968170166 7.740143299102783 0
circulating 3 4 11 11.918882369995117 5.5548272132873535 2.1853160858154297
who 3 5 3 12.355008125305176 5.315748691558838 0.23907852172851562
he 3 6 2 10.551231384277344 6.299492835998535 0
thought 3 7 7 8.137496948242188 4.847292900085449 1.452199935913086
was 3 8 3 4.395629405975342 6.3844218254089355 0
? 3 9 1 13.995210647583008 3.4070286750793457 2.97739315032959
what 4 0 4 0.3978290557861328 1.9206409454345703 0
will 4 1 4 8.397953987121582 5.2410759925842285 0
he 4 2 2 8.921355247497559 6.677485942840576 0
try 4 3 3 12.704389572143555 7.2139692306518555 0
to 4 4 2 2.4390833377838135 5.340766429901123 1.8732028007507324
call 4 5 4 7.778334140777588 7.103089809417725 0
you 4 6 3 6.965232849121094 4.656683444976807 2.446406364440918
if 4 7 2 9.91718864440918 7.4270195960998535 0
she 4 8 3 6.208083629608154 5.165925979614258 2.2610936164855957
buys 4 9 4 13.540942192077637 4.7484612464904785 0.4174647331237793
? 4 10 1 7.2242865562438965 6.348045349121094 0
what 5 0 4 0.3978290557861328 1.9206409454345703 0
did 5 1 3 3.6814124584198 5.2410759925842285 0
she 5 2 3 7.7711944580078125 5.2281975746154785 0.01287841796875
say 5 3 3 8.955070495605469 7.672687530517578 0
she 5 4 3 6.345304012298584 4.7139201164245605 2.9587674140930176
would 5 5 5 5.817981719970703 6.060480117797852 0
like 5 6 4 5.930525779724121 5.746886253356934 0.31359386444091797
the 5 7 3 4.580931663513184 5.645135879516602 0.10175037384033203
man 5 8 3 9.64490032196045 9.108623504638672 0
if 5 9 2 10.603066444396973 7.040041446685791 2.068582057952881
he 5 10 2 5.0991435050964355 5.784474849700928 1.2555665969848633
read 5 11 4 6.935617923736572 6.238846302032471 0
? 5 12 1 7.0793137550354 6.164140701293945 0.07470560073852539
where 6 0 5 10.504188537597656 1.9206409454345703 0
did 6 1 3 8.150031089782715 5.258328437805176 0
i 6 2 1 6.400320529937744 5.074588298797607 0.18374013900756836
buy 6 3 3 10.401329040527344 6.906447887420654 0
a 6 4 1 3.483966827392578 5.859816074371338 1.0466318130493164
coffee 6 5 6 9.147692680358887 6.2002787590026855 0
for 6 6 3 7.610810279846191 7.647878646850586 0
myself 6 7 6 11.356988906860352 6.513792037963867 1.1340866088867188
because 6 8 7 11.73706340789795 4.634908199310303 1.8788838386535645
i 6 9 1 2.268064022064209 5.117796421051025 0
went 6 10 4 9.652304649353027 3.35341477394104 1.7643816471099854
? 6 11 1 7.105499744415283 5.198647975921631 0
what 7 0 4 0.3978290557861328 1.9206409454345703 0
will 7 1 4 8.397953987121582 5.2410759925842285 0
