word sentid sentpos wlen surp entropy entred
what 0 0 4 4.007656097412109 6.333801746368408 0
did 0 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
i 0 2 1 7.93536901473999 4.209704875946045 0.5251622200012207
buy 0 3 3 14.016448974609375 1.5497360229492188 2.659968852996826
a 0 4 1 7.067093372344971 5.782582759857178 0
guitar 0 5 6 13.85115909576416 8.603145599365234 0
for 0 6 3 7.077443599700928 6.390744686126709 2.2124009132385254
myself 0 7 6 10.46294116973877 6.6880998611450195 0
because 0 8 7 9.470802307128906 5.105062484741211 1.5830373764038086
they 0 9 4 4.210841178894043 5.521557331085205 0
heard 0 10 5 12.643033981323242 4.280889511108398 1.2406678199768066
? 0 11 1 4.858940124511719 5.121853351593018 0
what 1 0 4 4.007656097412109 6.333801746368408 0
will 1 1 4 7.2352705001831055 4.734867095947266 1.5989346504211426
they 1 2 4 6.0972747802734375 5.844689846038818 0
fail 1 3 4 11.247613906860352 5.992917060852051 0
the 1 4 3 4.961856842041016 6.404371738433838 0
test 1 5 4 12.300350189208984 8.04715347290039 0
if 1 6 2 10.889606475830078 6.0967864990234375 1.9503669738769531
they 1 7 4 3.8295772075653076 5.107786178588867 0.9890003204345703
do 1 8 2 2.3752055168151855 3.882544994354248 1.2252411842346191
not 1 9 3 8.515387535095215 4.8310394287109375 0
? 1 10 1 3.41910719871521 6.481354713439941 0
whom 2 0 4 12.83538818359375 6.333801746368408 0
will 2 1 4 8.119402885437012 5.971333980560303 0.36246776580810547
he 2 2 2 7.720919609069824 7.271790981292725 0
hire 2 3 4 14.447973251342773 7.0539422035217285 0.2178487777709961
someone 2 4 7 8.358765602111816 7.167457580566406 0
if 2 5 2 9.676454544067383 5.008021354675293 2.1594362258911133
i 2 6 1 6.0657172203063965 5.592811107635498 0
need 2 7 4 12.565269470214844 3.3000261783599854 2.2927849292755127
? 2 8 1 5.673112392425537 4.869229316711426 0
what 3 0 4 4.007656097412109 6.333801746368408 0
has 3 1 3 8.037768363952637 4.734867095947266 1.5989346504211426
he 3 2 2 7.5961384773254395 6.423459053039551 0
been 3 3 4 8.352204322814941 6.088776111602783 0.3346829414367676
circulating 3 4 11 15.880690574645996 7.8203325271606445 0
who 3 5 3 7.267129898071289 6.073890686035156 1.7464418411254883
he 3 6 2 5.00515079498291 5.721439361572266 0.3524513244628906
thought 3 7 7 10.598790168762207 4.333282470703125 1.3881568908691406
was 3 8 3 9.465142250061035 4.050840854644775 0.2824416160583496
? 3 9 1 7.320845127105713 4.4599175453186035 0
what 4 0 4 4.007656097412109 6.333801746368408 0
will 4 1 4 7.2352705001831055 4.734867095947266 1.5989346504211426
he 4 2 2 6.661966800689697 5.844689846038818 0
try 4 3 3 11.923637390136719 5.253722190856934 0.5909676551818848
to 4 4 2 5.686741828918457 5.126490592956543 0.12723159790039062
call 4 5 4 8.483007431030273 7.196627140045166 0
you 4 6 3 5.049612998962402 5.7019829750061035 1.4946441650390625
if 4 7 2 9.599044799804688 5.170383453369141 0.5315995216369629
she 4 8 3 5.688940048217773 4.6887593269348145 0.48162412643432617
buys 4 9 4 17.710371017456055 4.691713333129883 0
? 4 10 1 5.717717170715332 6.777394771575928 0
what 5 0 4 4.007656097412109 6.333801746368408 0
did 5 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
she 5 2 3 9.179264068603516 4.209704875946045 0.5251622200012207
say 5 3 3 9.106253623962402 5.9571990966796875 0
she 5 4 3 8.316718101501465 3.760847330093384 2.1963517665863037
would 5 5 5 8.334332466125488 4.33295202255249 0
like 5 6 4 7.350991249084473 6.61276912689209 0
the 5 7 3 4.971299648284912 5.678297996520996 0.9344711303710938
man 5 8 3 9.798298835754395 8.110032081604004 0
if 5 9 2 10.13747787475586 5.547369003295898 2.5626630783081055
he 5 10 2 4.195415496826172 5.804121971130371 0
read 5 11 4 10.944727897644043 3.316678524017334 2.487443447113037
? 5 12 1 5.4653849601745605 4.8407111167907715 0
where 6 0 5 11.536760330200195 6.333801746368408 0
did 6 1 3 5.308706283569336 6.770979881286621 0
i 6 2 1 7.364112854003906 5.523088455200195 1.2478914260864258
buy 6 3 3 11.65184211730957 4.010286331176758 1.5128021240234375
a 6 4 1 6.657956600189209 6.422691345214844 0
coffee 6 5 6 10.444401741027832 9.001011848449707 0
for 6 6 3 7.897964954376221 8.793088912963867 0.20792293548583984
myself 6 7 6 11.149956703186035 8.052111625671387 0.7409772872924805
because 6 8 7 8.759724617004395 6.118731498718262 1.933380126953125
i 6 9 1 4.861269950866699 5.968249320983887 0.150482177734375
went 6 10 4 10.45891284942627 3.0798096656799316 2.888439655303955
? 6 11 1 5.976454257965088 6.641190052032471 0
what 7 0 4 4.007656097412109 6.333801746368408 0
will 7 1 4 7.2352705001831055 4.734867095947266 1.5989346504211426
he 7 2 2 6.661966800689697 5.844689846038818 0
circulate 7 3 9 18.434810638427734 5.253722190856934 0.5909676551818848
a 7 4 1 8.332756042480469 4.713892459869385 0.5398297309875488
call 7 5 4 10.398514747619629 5.048922061920166 0
if 7 6 2 10.46239185333252 5.52269983291626 0
she 7 7 3 7.595020294189453 5.296747207641602 0.2259526252746582
buys 7 8 4 18.15372085571289 4.615788459777832 0.6809587478637695
? 7 9 1 5.791374206542969 6.708575248718262 0
whom 8 0 4 12.83538818359375 6.333801746368408 0
did 8 1 3 5.027536869049072 5.971333980560303 0.36246776580810547
she 8 2 3 10.59597110748291 4.643373489379883 1.32796049118042
say 8 3 3 9.385346412658691 6.967894077301025 0
that 8 4 4 1.034906268119812 3.8464579582214355 3.12143611907959
she 8 5 3 4.641495227813721 6.1497802734375 0
gave 8 6 4 10.786617279052734 4.675378322601318 1.4744019508361816
a 8 7 1 5.813024044036865 6.42757511138916 0
guitar 8 8 6 14.549843788146973 7.309199333190918 0
to 8 9 2 6.104011058807373 6.590010643005371 0.7191886901855469
me 8 10 2 6.871564865112305 6.9568867683410645 0
when 8 11 4 8.708883285522461 4.386500358581543 2.5703864097595215
i 8 12 1 4.67174768447876 5.212683200836182 0
hired 8 13 5 16.9749813079834 3.1773853302001953 2.0352978706359863
? 8 14 1 5.8276872634887695 5.9946465492248535 0
what 9 0 4 4.007656097412109 6.333801746368408 0
did 9 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
he 9 2 2 8.404763221740723 4.209704875946045 0.5251622200012207
get 9 3 3 11.027059555053711 5.061263084411621 0
a 9 4 1 6.516008377075195 6.194010257720947 0
new 9 5 3 6.669671535491943 8.325263023376465 0
phone 9 6 5 12.414549827575684 9.390355110168457 0
for 9 7 3 7.2021965980529785 6.718319892883301 2.6720352172851562
<unk> 9 8 5 4.11619758605957 6.3192925453186035 0.39902734756469727
because 9 9 7 10.352202415466309 5.768311023712158 0.5509815216064453
she 9 10 3 6.485898971557617 5.5364089012146 0.2319021224975586
saw 9 11 3 12.191093444824219 4.304882049560547 1.2315268516540527
? 9 12 1 5.704066276550293 4.272653102874756 0.032228946685791016
what 10 0 4 4.007656097412109 6.333801746368408 0
did 10 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
you 10 2 3 10.107672691345215 4.209704875946045 0.5251622200012207
need 10 3 4 13.793766975402832 3.4262783527374268 0.7834265232086182
to 10 4 2 7.255707263946533 4.627874851226807 0
do 10 5 2 2.4638144969940186 6.34165096282959 0
that 10 6 4 2.055795907974243 4.107699394226074 2.2339515686035156
if 10 7 2 10.65058708190918 3.558661937713623 0.5490374565124512
you 10 8 3 6.094376087188721 5.223338603973389 0
were 10 9 4 8.510151863098145 3.5720975399017334 1.6512410640716553
to 10 10 2 7.765051364898682 7.026804447174072 0
go 10 11 2 6.986758708953857 6.0826191902160645 0.9441852569580078
and 10 12 3 6.600347518920898 6.831485271453857 0
buy 10 13 3 9.29978084564209 6.0468668937683105 0.7846183776855469
? 10 14 1 5.7533392906188965 6.807501792907715 0
what 11 0 4 4.007656097412109 6.333801746368408 0
did 11 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
she 11 2 3 9.179264068603516 4.209704875946045 0.5251622200012207
eat 11 3 3 15.326091766357422 5.9571990966796875 0
the 11 4 3 4.273012161254883 6.875970840454102 0
<unk> 11 5 5 4.121733665466309 9.570194244384766 0
because 11 6 7 10.24294376373291 7.532313346862793 2.0378808975219727
they 11 7 4 3.7572567462921143 5.8800835609436035 1.6522297859191895
<unk> 11 8 5 6.296000003814697 4.192259311676025 1.6878242492675781
? 11 9 1 4.783185958862305 4.497274398803711 0
where 12 0 5 11.536760330200195 6.333801746368408 0
did 12 1 3 5.308706283569336 6.770979881286621 0
she 12 2 3 9.135476112365723 5.523088455200195 1.2478914260864258
say 12 3 3 9.755334854125977 6.8717851638793945 0
that 12 4 4 1.2739605903625488 3.9989144802093506 2.872870683670044
he 12 5 2 4.900325298309326 6.1611857414245605 0
will 12 6 4 6.203141689300537 4.211892127990723 1.949293613433838
hear 12 7 4 4.185976028442383 6.3802385330200195 0
a 12 8 1 8.822672843933105 4.715155601501465 1.6650829315185547
rumour 12 9 6 10.804519653320312 5.172510147094727 0
if 12 10 2 9.190186500549316 3.492231607437134 1.6802785396575928
she 12 11 3 7.306820392608643 4.028380870819092 0
is 12 12 2 7.600788593292236 4.569460868835449 0
? 12 13 1 6.451964855194092 6.186723232269287 0
what 13 0 4 4.007656097412109 6.333801746368408 0
does 13 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
he 13 2 2 9.183650970458984 3.5337069034576416 1.201160192489624
speak 13 3 5 11.655660629272461 5.738116264343262 0
a 13 4 1 8.807609558105469 4.99998664855957 0.7381296157836914
<unk> 13 5 5 4.653398036956787 6.919770240783691 0
language 13 6 8 9.297149658203125 5.476410388946533 1.4433598518371582
because 13 7 7 10.535619735717773 5.067601203918457 0.40880918502807617
you 13 8 3 8.239398002624512 5.479170799255371 0
were 13 9 4 8.652219772338867 3.674614429473877 1.8045563697814941
? 13 10 1 5.624611854553223 7.2678093910217285 0
who 14 0 3 7.367081165313721 6.333801746368408 0
did 14 1 3 3.5041823387145996 6.712063789367676 0
she 14 2 3 11.651012420654297 4.839781761169434 1.8722820281982422
say 14 3 3 8.862282752990723 6.738311767578125 0
that 14 4 4 1.1224591732025146 3.8962409496307373 2.8420708179473877
she 14 5 3 4.732679843902588 6.235706329345703 0
wears 14 6 5 15.858367919921875 4.6626152992248535 1.5730910301208496
extravagant 14 7 11 16.446950912475586 7.218076229095459 0
rings 14 8 5 11.394232749938965 9.761547088623047 0
when 14 9 4 9.477417945861816 6.205533027648926 3.556014060974121
she 14 10 3 2.6676578521728516 6.623369216918945 0
is 14 11 2 6.6714043617248535 5.01760721206665 1.605762004852295
waiting 14 12 7 10.13004207611084 8.022809982299805 0
for 14 13 3 2.366541624069214 6.425050258636475 1.59775972366333
? 14 14 1 4.033933639526367 6.8197407722473145 0
what 15 0 4 4.007656097412109 6.333801746368408 0
does 15 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
<unk> 15 2 5 0.8087847232818604 3.5337069034576416 1.201160192489624
eat 15 3 3 16.042438507080078 5.597381114959717 0
a 15 4 1 8.010017395019531 6.109862327575684 0
yellow 15 5 6 14.043261528015137 8.304303169250488 0
candy 15 6 5 11.642352104187012 8.032636642456055 0.2716665267944336
whenever 15 7 8 14.295743942260742 7.911790370941162 0.12084627151489258
<unk> 15 8 5 3.5187089443206787 6.796398639678955 1.115391731262207
watches 15 9 7 11.710653305053711 6.75343132019043 0.04296731948852539
? 15 10 1 5.9098920822143555 5.754717826843262 0.998713493347168
whom 16 0 4 12.83538818359375 6.333801746368408 0
did 16 1 3 5.027536869049072 5.971333980560303 0.36246776580810547
the 16 2 3 3.833503007888794 4.643373489379883 1.32796049118042
pregnant 16 3 8 17.746389389038086 8.221498489379883 0
teddy 16 4 5 14.331742286682129 9.005008697509766 0
bear 16 5 4 9.509354591369629 7.928963661193848 1.076045036315918
assert 16 6 6 21.09680938720703 7.698619842529297 0.23034381866455078
that 16 7 4 0.7982655167579651 4.037787437438965 3.660832405090332
<unk> 16 8 5 3.7553725242614746 6.13980770111084 0
<unk> 16 9 5 4.100957870483398 6.259076118469238 0
came 16 10 4 10.419690132141113 5.571794033050537 0.6872820854187012
because 16 11 7 9.692339897155762 6.979682445526123 0
<unk> 16 12 5 4.18977165222168 5.758920192718506 1.2207622528076172
hired 16 13 5 15.70352840423584 5.902129650115967 0
? 16 14 1 5.995810031890869 7.203868865966797 0
what 17 0 4 4.007656097412109 6.333801746368408 0
did 17 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 17 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
solve 17 3 5 16.07769775390625 5.554147243499756 0
problems 17 4 8 10.34432601928711 3.5457301139831543 2.0084171295166016
by 17 5 2 8.43305778503418 5.364894390106201 0
<unk> 17 6 5 4.9404191970825195 8.789772987365723 0
analysis 17 7 8 13.7739896774292 6.381159782409668 2.4086132049560547
because 17 8 7 9.756962776184082 5.7173590660095215 0.6638007164001465
will 17 9 4 10.176225662231445 6.09624719619751 0
loaned 17 10 6 22.2473201751709 6.24854850769043 0
him 17 11 3 5.962701797485352 7.15879487991333 0
? 17 12 1 6.0599775314331055 6.5037522315979 0.6550426483154297
what 18 0 4 4.007656097412109 6.333801746368408 0
did 18 1 3 3.5917141437530518 4.734867095947266 1.5989346504211426
<unk> 18 2 5 1.1970324516296387 4.209704875946045 0.5251622200012207
dance 18 3 5 13.727877616882324 5.554147243499756 0
a 18 4 1 9.461808204650879 5.742444038391113 0
ballet 18 5 6 12.661354064941406 8.25130844116211 0
when 18 6 4 10.537073135375977 5.4147047996521 2.8366036415100098
the 18 7 3 4.621263027191162 7.057389736175537 0
pretty 18 8 6 12.856660842895508 8.893765449523926 0
agent 18 9 5 16.892179489135742 8.865998268127441 0.027767181396484375
stole 18 10 5 16.16368293762207 6.4489359855651855 2.417062282562256
? 18 11 1 5.397854328155518 7.465368747711182 0
what 19 0 4 4.007656097412109 6.333801746368408 0
will 19 1 4 7.2352705001831055 4.734867095947266 1.5989346504211426
i 19 2 1 6.770673751831055 5.844689846038818 0
eat 19 3 3 15.492976188659668 3.4775772094726562 2.367112636566162
scandalous 19 4 10 19.47444725036621 6.519055366516113 0
<unk> 19 5 5 4.081676006317139 7.855167388916016 0
if 19 6 2 9.952912330627441 6.049091339111328 1.8060760498046875
the 19 7 3 4.158992290496826 5.635397434234619 0.413693904876709
<unk> 19 8 5 3.9394102096557617 8.978436470031738 0
woman 19 9 5 12.589761734008789 6.302243232727051 2.6761932373046875
sings 19 10 5 12.267010688781738 6.368940830230713 0
? 19 11 1 5.071687698364258 6.117734432220459 0.2512063980102539
what 20 0 4 4.007656097412109 6.333801746368408 0
will 20 1 4 7.2352705001831055 4.734867095947266 1.5989346504211426
the 20 2 3 5.355959892272949 5.844689846038818 0
blue 20 3 4 13.92143726348877 8.2001314163208 0
brothers 20 4 8 9.201314926147461 7.04213285446167 1.1579985618591309
date 20 5 4 12.064346313476562 5.7049078941345215 1.3372249603271484
<unk> 20 6 5 4.665817737579346 5.988367557525635 0
and 20 7 3 6.859179496765137 6.245845317840576 0
direct 20 8 6 16.250490188598633 5.658530235290527 0.5873150825500488
the 20 9 3 4.874661445617676 6.963528633117676 0
<unk> 20 10 5 3.831331491470337 8.00743293762207 0
movie 20 11 5 15.391045570373535 6.376016139984131 1.6314167976379395
if 20 12 2 10.533639907836914 5.4097900390625 0.9662261009216309
he 20 13 2 7.135850429534912 5.996612071990967 0
gets 20 14 4 12.734883308410645 4.066769599914551 1.929842472076416
? 20 15 1 6.56620454788208 6.1719069480896 0
what 21 0 4 4.007656097412109 6.333801746368408 0
does 21 1 4 3.974363327026367 4.734867095947266 1.5989346504211426
<unk> 21 2 5 0.8087847232818604 3.5337069034576416 1.201160192489624
<unk> 21 3 5 4.218482494354248 5.597381114959717 0
like 21 4 4 11.998947143554688 4.306562900543213 1.290818214416504
the 21 5 3 5.946861267089844 6.011765956878662 0
discreet 21 6 8 17.99606704711914 8.1495943069458 0
agent 21 7 5 13.225263595581055 9.363195419311523 0
who 21 8 3 4.963581085205078 6.101355075836182 3.261840343475342
robbed 21 9 6 18.144529342651367 6.34213399887085 0
? 21 10 1 4.567922115325928 7.242049217224121 0
where 22 0 5 11.536760330200195 6.333801746368408 0
did 22 1 3 5.308706283569336 6.770979881286621 0
<unk> 22 2 5 1.8181054592132568 5.523088455200195 1.2478914260864258
announce 22 3 8 17.788814544677734 7.68186092376709 0
a 22 4 1 7.1226372718811035 4.493648529052734 3.1882123947143555
party 22 5 5 9.856975555419922 5.456890106201172 0
boat 22 6 4 17.126609802246094 5.0896148681640625 0.3672752380371094
when 22 7 4 10.045742988586426 5.6630539894104 0
i 22 8 1 5.904802322387695 6.852055549621582 0
went 22 9 4 9.121814727783203 4.278897762298584 2.573157787322998
? 22 10 1 6.502474308013916 6.78865385055542 0
where 23 0 5 11.536760330200195 6.333801746368408 0
did 23 1 3 5.308706283569336 6.770979881286621 0
<unk> 23 2 5 1.8181054592132568 5.523088455200195 1.2478914260864258
<unk> 23 3 5 3.502621650695801 7.68186092376709 0
that 23 4 4 4.928006649017334 6.632349491119385 1.049511432647705
the 23 5 3 5.621553421020508 7.218229293823242 0
pretty 23 6 6 13.97447681427002 8.081408500671387 0
window 23 7 6 16.966150283813477 8.946949005126953 0
was 23 8 3 6.795250415802002 6.7746124267578125 2.1723365783691406
silly 23 9 5 15.07668685913086 7.022653102874756 0
when 23 10 4 7.3610100746154785 6.413899898529053 0.6087532043457031
<unk> 23 11 5 3.6158342361450195 5.7606048583984375 0.6532950401306152
arrived 23 12 7 11.136576652526855 5.789421558380127 0
? 23 13 1 5.5956268310546875 6.491321563720703 0
what 24 0 4 4.007656097412109 6.333801746368408 0
