word sentid sentpos wlen surp entropy entred
what 0 0 4 0.145973801612854 0.9156777262687683 0
did 0 1 3 1.0522295236587524 3.5097084045410156 0
i 0 2 1 11.078690528869629 0.9360025525093079 2.5737058520317078
buy 0 3 3 17.786176681518555 0.15195131301879883 0.784051239490509
a 0 4 1 2.9445576667785645 5.644066333770752 0
guitar 0 5 6 11.557072639465332 7.931697368621826 0
for 0 6 3 7.108012676239014 5.218221187591553 2.7134761810302734
myself 0 7 6 9.522848129272461 6.3018879890441895 0
because 0 8 7 9.752157211303711 3.9675440788269043 2.334343910217285
they 0 9 4 4.019373416900635 4.772864818572998 0
heard 0 10 5 8.773609161376953 5.50875186920166 0
? 0 11 1 0.9295902848243713 3.7485527992248535 1.7601990699768066
what 1 0 4 0.145973801612854 0.9156777262687683 0
will 1 1 4 9.180375099182129 3.5097084045410156 0
they 1 2 4 6.367721080780029 8.485819816589355 0
fail 1 3 4 16.52004623413086 1.6501247882843018 6.835695028305054
the 1 4 3 3.3133695125579834 5.520885944366455 0
test 1 5 4 13.42293930053711 2.94693922996521 2.573946714401245
if 1 6 2 9.593719482421875 8.365410804748535 0
they 1 7 4 4.104884147644043 5.274608612060547 3.0908021926879883
do 1 8 2 5.627460956573486 3.090981960296631 2.183626651763916
not 1 9 3 7.516450881958008 8.073765754699707 0
? 1 10 1 10.19504451751709 3.5079524517059326 4.565813302993774
whom 2 0 4 13.204130172729492 0.9156777262687683 0
will 2 1 4 8.265390396118164 4.278392314910889 0
he 2 2 2 7.919678688049316 8.930617332458496 0
hire 2 3 4 12.347102165222168 4.483320236206055 4.447297096252441
someone 2 4 7 3.0352187156677246 5.087482452392578 0
if 2 5 2 15.87135124206543 0.3242041766643524 4.763278275728226
i 2 6 1 5.848483085632324 4.359325408935547 0
need 2 7 4 11.075535774230957 3.3463661670684814 1.0129592418670654
? 2 8 1 4.375337600708008 6.584127426147461 0
what 3 0 4 0.145973801612854 0.9156777262687683 0
has 3 1 3 8.25899887084961 3.5097084045410156 0
he 3 2 2 7.453397750854492 8.33456039428711 0
been 3 3 4 4.818040370941162 8.11178207397461 0.2227783203125
circulating 3 4 11 14.567511558532715 6.572057723999023 1.539724349975586
who 3 5 3 6.9791059494018555 4.432365894317627 2.1396918296813965
he 3 6 2 7.134014129638672 7.135922908782959 0
thought 3 7 7 7.656130790710449 5.587894916534424 1.5480279922485352
was 3 8 3 8.5576171875 2.2953073978424072 3.2925875186920166
? 3 9 1 7.599634647369385 7.738985538482666 0
what 4 0 4 0.145973801612854 0.9156777262687683 0
will 4 1 4 9.180375099182129 3.5097084045410156 0
he 4 2 2 7.244694709777832 8.485819816589355 0
try 4 3 3 11.504691123962402 4.25395393371582 4.231865882873535
to 4 4 2 3.0766923427581787 6.547714710235596 0
call 4 5 4 7.637698650360107 6.417490005493164 0.13022470474243164
you 4 6 3 9.747733116149902 4.697903633117676 1.7195863723754883
if 4 7 2 10.3562593460083 7.879976272583008 0
she 4 8 3 5.5810651779174805 5.084914207458496 2.7950620651245117
buys 4 9 4 13.610372543334961 6.6514573097229 0
? 4 10 1 0.10784809291362762 0.7987289428710938 5.852728366851807
what 5 0 4 0.145973801612854 0.9156777262687683 0
did 5 1 3 1.0522295236587524 3.5097084045410156 0
she 5 2 3 10.487642288208008 0.9360025525093079 2.5737058520317078
say 5 3 3 8.382523536682129 1.4278178215026855 0
she 5 4 3 5.355811595916748 2.3598806858062744 0
would 5 5 5 5.733875274658203 6.427822589874268 0
like 5 6 4 5.381353855133057 6.874258518218994 0
the 5 7 3 4.277815818786621 5.8150811195373535 1.0591773986816406
man 5 8 3 10.288333892822266 4.40899658203125 1.4060845375061035
if 5 9 2 14.13710880279541 0.8592729568481445 3.5497236251831055
he 5 10 2 3.4431159496307373 3.8864691257476807 0
read 5 11 4 10.37624454498291 6.098268032073975 0
? 5 12 1 0.05829550698399544 0.42527198791503906 5.6729960441589355
where 6 0 5 10.423994064331055 0.9156777262687683 0
did 6 1 3 7.206493854522705 4.311152458190918 0
i 6 2 1 8.743861198425293 1.5005176067352295 2.8106348514556885
buy 6 3 3 14.20095157623291 1.270843744277954 0.2296738624572754
a 6 4 1 2.392425537109375 5.468835353851318 0
coffee 6 5 6 13.569049835205078 6.953895568847656 0
for 6 6 3 11.777172088623047 7.360973834991455 0
myself 6 7 6 10.05141830444336 6.617247104644775 0.7437267303466797
because 6 8 7 10.536767959594727 3.3668153285980225 3.250431776046753
i 6 9 1 3.467373847961426 4.846490859985352 0
went 6 10 4 9.656472206115723 4.39471435546875 0.45177650451660156
? 6 11 1 1.92898428440094 4.972205638885498 0
what 7 0 4 0.145973801612854 0.9156777262687683 0
will 7 1 4 9.180375099182129 3.5097084045410156 0
he 7 2 2 7.244694709777832 8.485819816589355 0
circulate 7 3 9 16.294626235961914 4.25395393371582 4.231865882873535
a 7 4 1 4.778183937072754 4.927169322967529 0
call 7 5 4 9.659419059753418 2.7394585609436035 2.187710762023926
