word sentid sentpos wlen surp entropy entred
what 0 0 4 10.804617881774902 7.472123146057129 0
did 0 1 3 8.09048080444336 6.514146327972412 0.9579768180847168
you 0 2 3 4.334109306335449 6.30725622177124 0.20689010620117188
hear 0 3 4 6.637121677398682 6.70133638381958 0
the 0 4 3 4.335569858551025 6.31145715713501 0.3898792266845703
claim 0 5 5 12.60756778717041 9.797627449035645 0
that 0 6 4 2.6970901489257812 5.701047420501709 4.0965800285339355
<unk> 0 7 5 2.6221208572387695 5.596917152404785 0.10413026809692383
solved 0 8 6 17.743776321411133 5.971670150756836 0
? 0 9 1 11.654703140258789 4.744940280914307 1.2267298698425293
what 1 0 4 7.704610824584961 7.742578506469727 0
does 1 1 4 7.594193935394287 6.771574020385742 0.9710044860839844
she 1 2 3 11.212800025939941 0.7573918700218201 6.014182150363922
like 1 3 4 9.305975914001465 7.2846293449401855 0
the 1 4 3 2.665222406387329 6.154818534851074 1.1298108100891113
possibility 1 5 11 9.798081398010254 9.648738861083984 0
that 1 6 4 1.5629136562347412 3.1384034156799316 6.510335445404053
she 1 7 3 6.022367477416992 5.2265849113464355 0
might 1 8 5 6.952138423919678 6.438924789428711 0
get 1 9 3 6.098122596740723 6.942612648010254 0
for 1 10 3 8.44310474395752 7.140964508056641 0
<unk> 1 11 5 3.842867851257324 6.374579429626465 0.7663850784301758
? 1 12 1 1.977173924446106 5.804340362548828 0.5702390670776367
what 2 0 4 4.34065580368042 7.638553142547607 0
<unk> 2 1 5 5.078004360198975 6.045352458953857 1.59320068359375
language 2 2 8 13.112359046936035 6.6902055740356445 0
did 2 3 3 7.511216163635254 5.465796947479248 1.2244086265563965
they 2 4 4 5.404356479644775 5.925785541534424 0
hire 2 5 4 13.585033416748047 6.80841064453125 0
someone 2 6 7 9.835308074951172 4.8566203117370605 1.9517903327941895
who 2 7 3 6.046374797821045 4.272400379180908 0.5842199325561523
speaks 2 8 6 11.311186790466309 7.5677289962768555 0
? 2 9 1 2.911986827850342 5.6244072914123535 1.943321704864502
what 3 0 4 1.7568832635879517 6.241581439971924 0
candy 3 1 5 18.504253387451172 5.875821113586426 0.36576032638549805
store 3 2 5 13.712566375732422 7.788428783416748 0
did 3 3 3 4.884645462036133 8.287763595581055 0
they 3 4 4 1.277812123298645 3.1646695137023926 5.123094081878662
meet 3 5 4 8.355067253112793 8.02659797668457 0
someone 3 6 7 9.227262496948242 6.040356636047363 1.986241340637207
who 3 7 3 0.6159418821334839 2.9466423988342285 3.0937142372131348
robbed 3 8 6 15.230320930480957 7.5719475746154785 0
yesterday 3 9 9 17.499685287475586 5.005898475646973 2.566049098968506
? 3 10 1 12.322346687316895 4.1737775802612305 0.8321208953857422
which 4 0 5 9.613797187805176 2.719428300857544 0
direction 4 1 9 16.30381965637207 7.688924789428711 0
did 4 2 3 3.701866388320923 7.361268997192383 0.3276557922363281
you 4 3 3 6.419475555419922 1.5336612462997437 5.827607750892639
see 4 4 3 4.890742301940918 5.840433120727539 0
a 4 5 1 7.183607578277588 4.453315734863281 1.3871173858642578
sign 4 6 4 8.624153137207031 9.55899429321289 0
that 4 7 4 3.0547754764556885 2.5181853771209717 7.040808916091919
<unk> 4 8 5 3.971742630004883 5.003939628601074 0
pointed 4 9 7 17.617450714111328 6.678955078125 0
us 4 10 2 8.986106872558594 3.9416449069976807 2.7373101711273193
in 4 11 2 7.764406681060791 1.0297809839248657 2.911863923072815
? 4 12 1 1.2089972496032715 4.434156894683838 0
what 5 0 4 1.2584820985794067 5.679078102111816 0
did 5 1 3 2.778412103652954 6.509028911590576 0
we 5 2 2 4.594226360321045 2.7704479694366455 3.7385809421539307
hear 5 3 4 6.099842071533203 6.901082992553711 0
a 5 4 1 3.5269858837127686 4.129647254943848 2.7714357376098633
rumour 5 5 6 8.90003490447998 9.724190711975098 0
that 5 6 4 0.061352238059043884 0.44401001930236816 9.28018069267273
<unk> 5 7 5 1.1711456775665283 4.898494720458984 0
thinks 5 8 6 10.809110641479492 7.222590923309326 0
? 5 9 1 9.201979637145996 3.113370418548584 4.109220504760742
how 6 0 3 8.28545093536377 2.2165231704711914 0
many 6 1 4 5.914120674133301 5.231245994567871 0
cities 6 2 6 10.258936882019043 6.848227500915527 0
does 6 3 4 14.11281681060791 6.015997409820557 0.8322300910949707
bill 6 4 4 20.613996505737305 6.115667819976807 0
have 6 5 4 8.038044929504395 6.2542619705200195 0
brothers 6 6 8 16.177419662475586 7.433344841003418 0
who 6 7 3 2.5737297534942627 7.196126937866211 0.23721790313720703
live 6 8 4 7.243724822998047 6.884293556213379 0.31183338165283203
in 6 9 2 1.3113933801651 4.757870197296143 2.1264233589172363
? 6 10 1 7.878448963165283 5.30426025390625 0
what 7 0 4 0.6040878295898438 3.5557680130004883 0
does 7 1 4 4.9070000648498535 2.732560634613037 0.8232073783874512
frank 7 2 5 18.31911277770996 1.4768424034118652 1.2557182312011719
believe 7 3 7 6.1119208335876465 8.487293243408203 0
the 7 4 3 3.955958843231201 5.037506103515625 3.449787139892578
rumour 7 5 6 9.105208396911621 10.163942337036133 0
that 7 6 4 1.3380271196365356 4.993209362030029 5.1707329750061035
<unk> 7 7 5 0.7349057793617249 3.655123472213745 1.3380858898162842
sleeps 7 8 6 11.272778511047363 7.749472141265869 0
with 7 9 4 3.4062912464141846 3.731081247329712 4.018390893936157
? 7 10 1 3.378669261932373 4.747447967529297 0
who 8 0 3 10.073437690734863 2.2528040409088135 0
do 8 1 2 9.257620811462402 8.52888298034668 0
n't 8 2 3 24.30701446533203 7.72810697555542 0.8007760047912598
i 8 3 1 9.448694229125977 8.1975736618042 0
believe 8 4 7 4.945021152496338 6.388737201690674 1.8088364601135254
the 8 5 3 4.127567291259766 5.187314510345459 1.2014226913452148
claim 8 6 5 7.738199710845947 9.13371467590332 0
that 8 7 4 0.07142962515354156 0.5779613256454468 8.555753350257874
<unk> 8 8 5 0.7849956154823303 3.677194356918335 0
likes 8 9 5 9.493790626525879 7.136541366577148 0
? 8 10 1 0.7905234098434448 3.5820767879486084 3.55446457862854
who 9 0 3 4.933223247528076 6.067899227142334 0
did 9 1 3 3.3986997604370117 8.336104393005371 0
