word sentid sentpos wlen surp entropy entred
who 0 0 3 11.66788387298584 0.4956612288951874 0
do 0 1 2 9.16600227355957 7.8990797996521 0
n't 0 2 3 27.728118896484375 3.677147388458252 4.221932411193848
we 0 3 2 9.685452461242676 5.648292541503906 0
believe 0 4 7 7.9787278175354 6.138774394989014 0
the 0 5 3 6.364810943603516 3.0422675609588623 3.0965068340301514
rumour 0 6 6 13.925496101379395 9.937422752380371 0
that 0 7 4 4.479337692260742 5.110083103179932 4.8273396492004395
<unk> 0 8 5 6.0511794090271 3.4957685470581055 1.6143145561218262
is 0 9 2 4.434582233428955 7.914628982543945 0
dating 0 10 6 16.697139739990234 0.22219674289226532 7.69243223965168
? 0 11 1 0.3822387754917145 1.3793278932571411 0
how 1 0 3 11.523799896240234 0.4956612288951874 0
does 1 1 4 3.3336503505706787 5.245512008666992 0
will 1 2 4 17.104694366455078 0.742017924785614 4.503494083881378
think 1 3 5 11.425880432128906 3.9696202278137207 0
that 1 4 4 0.47790583968162537 2.2386724948883057 1.730947732925415
she 1 5 3 3.5936899185180664 3.8323888778686523 0
is 1 6 2 4.879739284515381 7.570056438446045 0
dating 1 7 6 15.537252426147461 0.9447832107543945 6.62527322769165
someone 1 8 7 10.028677940368652 2.6591575145721436 0
who 1 9 3 0.3691593408584595 1.689640760421753 0.9695167541503906
solves 1 10 6 14.11484146118164 6.583984851837158 0
? 1 11 1 0.4904196560382843 2.3331785202026367 4.2508063316345215
what 2 0 4 0.061885833740234375 0.4956612288951874 0
does 2 1 4 2.0837056636810303 2.514302968978882 0
she 2 2 3 5.867359638214111 0.6211786270141602 1.8931243419647217
believe 2 3 7 11.328489303588867 1.4788199663162231 0
the 2 4 3 6.660184383392334 1.4707030057907104 0.008116960525512695
rumour 2 5 6 13.89789867401123 9.977243423461914 0
that 2 6 4 3.9143106937408447 5.178818702697754 4.79842472076416
she 2 7 3 3.1143224239349365 3.656548261642456 1.5222704410552979
might 2 8 5 5.992654800415039 6.487581729888916 0
have 2 9 4 4.844377040863037 4.263967990875244 2.223613739013672
this 2 10 4 10.958030700683594 3.434053659439087 0.8299143314361572
year 2 11 4 9.189131736755371 8.39571475982666 0
? 2 12 1 2.993614912033081 4.02773380279541 4.36798095703125
how 3 0 3 11.523799896240234 0.4956612288951874 0
many 3 1 4 6.316641330718994 5.245512008666992 0
cities 3 2 6 11.432209014892578 7.819936752319336 0
does 3 3 4 13.321300506591797 7.101879119873047 0.7180576324462891
he 3 4 2 0.7757455110549927 3.3534834384918213 3.7483956813812256
know 3 5 4 8.226399421691895 1.425701379776001 1.9277820587158203
brothers 3 6 8 20.908174514770508 2.6330840587615967 0
who 3 7 3 3.9352869987487793 5.69699764251709 0
live 3 8 4 8.321331024169922 6.374338626861572 0
in 3 9 2 4.906815052032471 4.198108673095703 2.176229953765869
? 3 10 1 3.265968084335327 5.381011009216309 0
who 4 0 3 11.66788387298584 0.4956612288951874 0
do 4 1 2 9.16600227355957 7.8990797996521 0
they 4 2 4 5.016246318817139 3.677147388458252 4.221932411193848
believe 4 3 7 7.793339252471924 5.562765121459961 0
the 4 4 3 6.145496845245361 2.031233549118042 3.531531572341919
claim 4 5 5 12.162409782409668 10.069073677062988 0
that 4 6 4 3.4165687561035156 5.326411247253418 4.74266242980957
he 4 7 2 2.758073568344116 3.2302370071411133 2.0961742401123047
likes 4 8 5 7.791790962219238 7.193261623382568 0
? 4 9 1 0.7881053686141968 2.6804559230804443 4.512805700302124
what 5 0 4 0.061885833740234375 0.4956612288951874 0
did 5 1 3 0.7783353328704834 2.514302968978882 0
she 5 2 3 5.922632694244385 0.5260989665985107 1.988204002380371
hear 5 3 4 0.32338935136795044 1.3434758186340332 0
a 5 4 1 5.6128106117248535 1.277053952217102 0.06642186641693115
rumour 5 5 6 10.341939926147461 7.0408935546875 0
that 5 6 4 2.297966957092285 2.2154133319854736 4.825480222702026
<unk> 5 7 5 5.452775001525879 3.4293646812438965 0
sleeps 5 8 6 15.16879940032959 7.555332183837891 0
with 5 9 4 7.054423809051514 1.6950687170028687 5.860263466835022
? 5 10 1 1.7593955993652344 3.5782108306884766 0
how 6 0 3 11.523799896240234 0.4956612288951874 0
did 6 1 3 2.056577444076538 5.245512008666992 0
my 6 2 2 14.462166786193848 0.6953279376029968 4.550184071063995
sister 6 3 6 9.112763404846191 8.984755516052246 0
say 6 4 3 11.486679077148438 7.195566177368164 1.789189338684082
that 6 5 4 0.41040825843811035 1.9795821905136108 5.215983986854553
<unk> 6 6 5 5.318558216094971 4.155188083648682 0
<unk> 6 7 5 4.326137065887451 7.895169734954834 0
thinks 6 8 6 11.851346015930176 7.887007236480713 0.008162498474121094
