word sentid sentpos wlen surp entropy entred
how 0 0 3 9.539464950561523 1.9206409454345703 0
<unk> 0 1 5 2.327988624572754 5.954134464263916 0
did 0 2 3 5.401247024536133 8.368227005004883 0
she 0 3 3 9.673230171203613 6.75404167175293 1.6141853332519531
say 0 4 3 9.013873100280762 7.3309712409973145 0
that 0 5 4 4.822309494018555 4.119892120361328 3.2110791206359863
he 0 6 2 5.241846084594727 6.811697006225586 0
directed 0 7 8 10.825801849365234 5.684493541717529 1.1272034645080566
the 0 8 3 3.2463719844818115 6.9989399909973145 0
movie 0 9 5 3.6721315383911133 7.722372055053711 0
that 0 10 4 6.495251655578613 1.7383754253387451 5.983996629714966
i 0 11 1 2.153763771057129 6.542847633361816 0
saw 0 12 3 0.49073535203933716 2.8663415908813477 3.6765060424804688
yesterday 0 13 9 6.507542133331299 6.502658367156982 0
? 0 14 1 5.450397491455078 7.454586505889893 0
how 1 0 3 9.539464950561523 1.9206409454345703 0
discreet 1 1 8 19.676536560058594 5.954134464263916 0
did 1 2 3 7.113085746765137 6.9090423583984375 0
<unk> 1 3 5 4.107273101806641 6.05673360824585 0.8523087501525879
hire 1 4 4 16.664295196533203 7.852429389953613 0
an 1 5 2 8.810346603393555 7.601163864135742 0.2512655258178711
agent 1 6 5 8.03672981262207 9.0931978225708 0
? 1 7 1 3.134748935699463 5.981044769287109 3.1121530532836914
how 2 0 3 9.539464950561523 1.9206409454345703 0
pretty 2 1 6 17.893821716308594 5.954134464263916 0
does 2 2 4 5.690340995788574 6.250092506408691 0
<unk> 2 3 5 4.291473388671875 5.7609429359436035 0.4891495704650879
like 2 4 4 8.187962532043457 8.648035049438477 0
the 2 5 3 2.5474965572357178 7.016393661499023 1.6316413879394531
woman 2 6 5 11.699400901794434 8.76688003540039 0
? 2 7 1 3.8635637760162354 7.879549026489258 0.8873310089111328
how 3 0 3 9.539464950561523 1.9206409454345703 0
difficult 3 1 9 6.816604137420654 5.954134464263916 0
did 3 2 3 8.849405288696289 3.3472108840942383 2.6069235801696777
he 3 3 2 8.148823738098145 6.773325443267822 0
hear 3 4 4 10.522562980651855 7.71401834487915 0
that 3 5 4 6.102799415588379 6.397045612335205 1.3169727325439453
you 3 6 3 8.261919021606445 7.909131050109863 0
failed 3 7 6 11.102774620056152 6.701982498168945 1.207148551940918
the 3 8 3 5.614495277404785 4.9195122718811035 1.7824702262878418
test 3 9 4 11.369075775146484 8.948974609375 0
? 3 10 1 3.233771562576294 7.248673915863037 1.700300693511963
whose 4 0 5 11.063912391662598 1.9206409454345703 0
did 4 1 3 12.139106750488281 9.284708976745605 0
she 4 2 3 7.462090492248535 6.8517913818359375 2.432917594909668
say 4 3 3 9.334263801574707 8.057652473449707 0
that 4 4 4 3.1116745471954346 5.783401012420654 2.2742514610290527
<unk> 4 5 5 3.4204907417297363 6.5201826095581055 0
eats 4 6 4 13.916728973388672 7.47538423538208 0
<unk> 4 7 5 3.431793689727783 7.633693695068359 0
? 4 8 1 1.9241080284118652 6.923736095428467 0.7099575996398926
how 5 0 3 9.539464950561523 1.9206409454345703 0
<unk> 5 1 5 2.327988624572754 5.954134464263916 0
did 5 2 3 5.401247024536133 8.368227005004883 0
she 5 3 3 9.673230171203613 6.75404167175293 1.6141853332519531
say 5 4 3 9.013873100280762 7.3309712409973145 0
that 5 5 4 4.822309494018555 4.119892120361328 3.2110791206359863
he 5 6 2 5.241846084594727 6.811697006225586 0
announced 5 7 9 9.063183784484863 5.684493541717529 1.1272034645080566
a 5 8 1 5.739835739135742 5.4741339683532715 0.2103595733642578
plan 5 9 4 3.3506553173065186 6.115448474884033 0
? 5 10 1 4.896542549133301 6.161125183105469 0
how 6 0 3 9.539464950561523 1.9206409454345703 0
pretty 6 1 6 17.893821716308594 5.954134464263916 0
did 6 2 3 6.413118839263916 6.250092506408691 0
