word sentid sentpos wlen surp entropy entred
where 0 0 5 9.988861083984375 7.264555931091309 0
did 0 1 3 6.8739118576049805 5.935423851013184 1.329132080078125
<unk> 0 2 5 1.0827964544296265 2.8005902767181396 3.134833574295044
ask 0 3 3 13.708402633666992 4.528977870941162 0
who 0 4 3 7.854005813598633 3.8648815155029297 0.6640963554382324
<unk> 0 5 5 3.541262149810791 4.889153003692627 0
took 0 6 4 12.347251892089844 3.880341053009033 1.0088119506835938
? 0 7 1 4.894468784332275 4.688210964202881 0
what 1 0 4 4.278581619262695 7.264555931091309 0
did 1 1 3 10.365785598754883 2.366767644882202 4.8977882862091064
she 1 2 3 12.062315940856934 2.7119948863983154 0
say 1 3 3 11.559962272644043 5.885183811187744 0
that 1 4 4 5.254238605499268 6.335082054138184 0
<unk> 1 5 5 2.0881876945495605 5.699090957641602 0.635991096496582
asked 1 6 5 7.9937357902526855 5.511256217956543 0.1878347396850586
who 1 7 3 8.81954574584961 3.2235107421875 2.287745475769043
will 1 8 4 6.180379390716553 4.865835189819336 0
read 1 9 4 10.954133987426758 4.148839473724365 0.7169957160949707
? 1 10 1 0.10455188900232315 0.6610502004623413 3.487789273262024
where 2 0 5 9.988861083984375 7.264555931091309 0
did 2 1 3 6.8739118576049805 5.935423851013184 1.329132080078125
<unk> 2 2 5 1.0827964544296265 2.8005902767181396 3.134833574295044
ask 2 3 3 13.708402633666992 4.528977870941162 0
how 2 4 3 8.590559959411621 3.8648815155029297 0.6640963554382324
<unk> 2 5 5 1.7576178312301636 5.811180114746094 0
went 2 6 4 10.882594108581543 4.896883487701416 0.9142966270446777
? 2 7 1 2.980623483657837 6.033758163452148 0
what 3 0 4 4.278581619262695 7.264555931091309 0
did 3 1 3 10.365785598754883 2.366767644882202 4.8977882862091064
will 3 2 4 10.831852912902832 2.7119948863983154 0
ask 3 3 3 12.381714820861816 3.268245220184326 0
why 3 4 3 8.887301445007324 2.9945907592773438 0.2736544609069824
<unk> 3 5 5 5.640670299530029 1.6506564617156982 1.3439342975616455
wears 3 6 5 18.283458709716797 3.616260528564453 0
? 3 7 1 4.39882230758667 3.6361587047576904 0
what 4 0 4 4.278581619262695 7.264555931091309 0
did 4 1 3 10.365785598754883 2.366767644882202 4.8977882862091064
she 4 2 3 12.062315940856934 2.7119948863983154 0
say 4 3 3 11.559962272644043 5.885183811187744 0
that 4 4 4 5.254238605499268 6.335082054138184 0
will 4 5 4 7.164324760437012 5.699090957641602 0.635991096496582
thinks 4 6 6 13.52897834777832 3.752115488052368 1.9469754695892334
he 4 7 2 19.75337791442871 0.006219569593667984 3.7458959184587
knows 4 8 5 9.681702613830566 4.5139360427856445 0
where 4 9 5 14.217473030090332 0.11506667733192444 4.39886936545372
<unk> 4 10 5 3.0312445163726807 4.008310317993164 0
announced 4 11 9 16.872028350830078 4.416257381439209 0
? 4 12 1 3.5119805335998535 5.264584541320801 0
what 5 0 4 4.278581619262695 7.264555931091309 0
did 5 1 3 10.365785598754883 2.366767644882202 4.8977882862091064
they 5 2 4 8.46224594116211 2.7119948863983154 0
not 5 3 3 6.749234676361084 5.919366359710693 0
like 5 4 4 5.7967376708984375 5.932023525238037 0
that 5 5 4 6.483123302459717 2.740412950515747 3.19161057472229
