word sentid sentpos wlen surp entropy entred
what 0 0 4 0.06078464537858963 0.5065810680389404 0
did 0 1 3 0.6007139682769775 2.2986910343170166 0
i 0 2 1 7.240380764007568 0.9580833315849304 1.3406077027320862
buy 0 3 3 8.730839729309082 3.1346890926361084 0
a 0 4 1 0.7777947783470154 3.796473741531372 0
guitar 0 5 6 8.463805198669434 9.483763694763184 0
for 0 6 3 4.118701934814453 5.513469219207764 3.97029447555542
myself 0 7 6 11.230405807495117 4.4636383056640625 1.0498309135437012
because 0 8 7 2.6896748542785645 2.712902784347534 1.7507355213165283
they 0 9 4 2.421279191970825 3.402996301651001 0
heard 0 10 5 5.100152015686035 6.788522720336914 0
? 0 11 1 0.17355850338935852 0.9646474123001099 5.823875308036804
what 1 0 4 0.06078464537858963 0.5065810680389404 0
will 1 1 4 6.875864505767822 2.2986910343170166 0
they 1 2 4 3.0837156772613525 2.6012227535247803 0
fail 1 3 4 11.927933692932129 6.806756019592285 0
the 1 4 3 6.763850212097168 3.0605409145355225 3.7462151050567627
test 1 5 4 10.450189590454102 10.32606029510498 0
if 1 6 2 6.6405816078186035 5.2189178466796875 5.107142448425293
they 1 7 4 2.038264274597168 4.0298380851745605 1.189079761505127
do 1 8 2 6.526904582977295 5.726891040802002 0
not 1 9 3 9.623000144958496 0.6507386565208435 5.0761523842811584
? 1 10 1 5.676197052001953 7.422349452972412 0
whom 2 0 4 17.01953887939453 0.5065810680389404 0
will 2 1 4 7.108046531677246 4.275500774383545 0
he 2 2 2 1.3201258182525635 4.852570056915283 0
hire 2 3 4 13.016143798828125 7.1751532554626465 0
someone 2 4 7 5.6247429847717285 5.569893836975098 1.6052594184875488
if 2 5 2 10.651427268981934 2.3364827632904053 3.2334110736846924
i 2 6 1 3.5253396034240723 4.074197292327881 0
need 2 7 4 8.010980606079102 6.365199089050293 0
? 2 8 1 0.7459429502487183 1.3456870317459106 5.019512057304382
what 3 0 4 0.06078464537858963 0.5065810680389404 0
has 3 1 3 8.636177062988281 2.2986910343170166 0
he 3 2 2 1.940202236175537 4.062001705169678 0
been 3 3 4 1.0277996063232422 5.355277061462402 0
circulating 3 4 11 14.5385103225708 8.957725524902344 0
who 3 5 3 9.393303871154785 5.449217319488525 3.5085082054138184
he 3 6 2 6.565333366394043 7.768001556396484 0
thought 3 7 7 7.907144546508789 6.968214988708496 0.7997865676879883
was 3 8 3 5.166194438934326 3.949432611465454 3.018782377243042
? 3 9 1 3.9562530517578125 7.052558422088623 0
what 4 0 4 0.06078464537858963 0.5065810680389404 0
will 4 1 4 6.875864505767822 2.2986910343170166 0
he 4 2 2 0.9033950567245483 2.6012227535247803 0
try 4 3 3 9.114781379699707 5.672883033752441 0
to 4 4 2 0.42061832547187805 2.323176383972168 3.3497066497802734
call 4 5 4 9.433274269104004 8.893085479736328 0
you 4 6 3 6.588127136230469 5.407423973083496 3.485661506652832
if 4 7 2 6.883601665496826 6.35191011428833 0
she 4 8 3 3.8332228660583496 3.8971574306488037 2.4547526836395264
buys 4 9 4 8.384203910827637 6.90141487121582 0
? 4 10 1 0.0023513215128332376 0.024187374860048294 6.877227496355772
what 5 0 4 0.06078464537858963 0.5065810680389404 0
did 5 1 3 0.6007139682769775 2.2986910343170166 0
she 5 2 3 4.6175665855407715 0.9580833315849304 1.3406077027320862
say 5 3 3 7.80206298828125 1.4931647777557373 0
she 5 4 3 5.38668155670166 1.628743052482605 0
would 5 5 5 5.009700298309326 5.931920528411865 0
like 5 6 4 3.671318769454956 5.465888023376465 0.4660325050354004
the 5 7 3 8.883980751037598 0.856173038482666 4.609714984893799
man 5 8 3 7.6054229736328125 9.663358688354492 0
if 5 9 2 10.760087966918945 2.3198866844177246 7.343472003936768
he 5 10 2 3.5622570514678955 3.3162238597869873 0
read 5 11 4 4.123190879821777 6.20164680480957 0
? 5 12 1 0.03036084771156311 0.24630308151245117 5.955343723297119
where 6 0 5 7.524460315704346 0.5065810680389404 0
did 6 1 3 2.967158794403076 5.379003047943115 0
i 6 2 1 5.3927507400512695 2.137979507446289 3.241023540496826
buy 6 3 3 7.510359764099121 4.689765453338623 0
a 6 4 1 0.7429754734039307 3.651885509490967 1.0378799438476562
coffee 6 5 6 8.809234619140625 9.31822681427002 0
for 6 6 3 8.268232345581055 8.402630805969238 0.9155960083007812
myself 6 7 6 12.070428848266602 4.935751914978027 3.466878890991211
because 6 8 7 2.699259042739868 2.672455310821533 2.263296604156494
i 6 9 1 2.8011035919189453 3.6244325637817383 0
went 6 10 4 4.492037296295166 6.80436372756958 0
? 6 11 1 0.008439906872808933 0.06613617390394211 6.738227553665638
what 7 0 4 0.06078464537858963 0.5065810680389404 0
will 7 1 4 6.875864505767822 2.2986910343170166 0
he 7 2 2 0.9033950567245483 2.6012227535247803 0
circulate 7 3 9 16.733461380004883 5.672883033752441 0
a 7 4 1 3.270158290863037 6.041672229766846 0
call 7 5 4 11.875434875488281 9.751077651977539 0
if 7 6 2 6.406965732574463 4.981563091278076 4.769514560699463
she 7 7 3 3.1040244102478027 4.0588178634643555 0.9227452278137207
buys 7 8 4 8.35211181640625 6.75343656539917 0
? 7 9 1 0.0022950018756091595 0.023564357310533524 6.729872208088636
whom 8 0 4 17.01953887939453 0.5065810680389404 0
did 8 1 3 4.896884918212891 4.275500774383545 0
she 8 2 3 4.36350679397583 1.7639267444610596 2.5115740299224854
say 8 3 3 6.227265357971191 4.675950050354004 0
that 8 4 4 0.27304160594940186 1.623234510421753 3.052715539932251
she 8 5 3 2.2018814086914062 4.755458354949951 0
gave 8 6 4 5.892611503601074 5.841639995574951 0
a 8 7 1 1.4179614782333374 2.052786350250244 3.788853645324707
guitar 8 8 6 7.936081409454346 9.448400497436523 0
to 8 9 2 0.14172907173633575 1.1190427541732788 8.329357743263245
me 8 10 2 2.456747531890869 4.512694358825684 0
when 8 11 4 3.833303213119507 2.1851465702056885 2.327547788619995
i 8 12 1 1.511355996131897 2.868975877761841 0
hired 8 13 5 11.533573150634766 6.110315799713135 0
? 8 14 1 1.1489861011505127 3.4070749282836914 2.7032408714294434
what 9 0 4 0.06078464537858963 0.5065810680389404 0
did 9 1 3 0.6007139682769775 2.2986910343170166 0
he 9 2 2 0.21042461693286896 0.9580833315849304 1.3406077027320862
get 9 3 3 12.617177963256836 0.8885524272918701 0.0695309042930603
a 9 4 1 2.0344924926757812 5.8249359130859375 0
new 9 5 3 6.219696998596191 9.867623329162598 0
phone 9 6 5 11.09212589263916 9.926987648010254 0
for 9 7 3 4.722339630126953 6.101254463195801 3.825733184814453
<unk> 9 8 5 2.023581027984619 4.869786262512207 1.2314682006835938
because 9 9 7 5.5508575439453125 5.638125896453857 0
she 9 10 3 1.3417129516601562 3.1016149520874023 2.536510944366455
saw 9 11 3 7.927581787109375 6.505683422088623 0
? 9 12 1 1.8743702173233032 5.049925327301025 1.4557580947875977
what 10 0 4 0.06078464537858963 0.5065810680389404 0
did 10 1 3 0.6007139682769775 2.2986910343170166 0
you 10 2 3 7.317749500274658 0.9580833315849304 1.3406077027320862
need 10 3 4 13.40786075592041 3.1085805892944336 0
to 10 4 2 0.09736364334821701 0.6944832801818848 2.414097309112549
do 10 5 2 4.711472034454346 6.9797892570495605 0
that 10 6 4 5.26609992980957 4.128207683563232 2.851581573486328
if 10 7 2 6.902174949645996 6.349888324737549 0
you 10 8 3 2.3201663494110107 3.775892734527588 2.573995590209961
were 10 9 4 4.390736103057861 5.973038673400879 0
to 10 10 2 6.0183424949646 2.6410574913024902 3.3319811820983887
go 10 11 2 2.6892645359039307 6.587462425231934 0
and 10 12 3 9.428923606872559 1.7970850467681885 4.790377378463745
buy 10 13 3 8.123079299926758 6.467598915100098 0
? 10 14 1 0.18071047961711884 1.0027321577072144 5.464866757392883
what 11 0 4 0.06078464537858963 0.5065810680389404 0
did 11 1 3 0.6007139682769775 2.2986910343170166 0
she 11 2 3 4.6175665855407715 0.9580833315849304 1.3406077027320862
eat 11 3 3 12.891021728515625 1.4931647777557373 0
the 11 4 3 3.5079033374786377 5.116740703582764 0
<unk> 11 5 5 4.48000955581665 10.366591453552246 0
because 11 6 7 4.569398403167725 8.667840957641602 1.6987504959106445
they 11 7 4 2.522149085998535 3.128242015838623 5.5395989418029785
<unk> 11 8 5 6.652266979217529 6.947165489196777 0
? 11 9 1 0.919887900352478 3.9517648220062256 2.9954006671905518
where 12 0 5 7.524460315704346 0.5065810680389404 0
did 12 1 3 2.967158794403076 5.379003047943115 0
she 12 2 3 4.126376628875732 2.137979507446289 3.241023540496826
say 12 3 3 6.401373863220215 3.351987600326538 0
that 12 4 4 0.2213229387998581 1.3424147367477417 2.0095728635787964
he 12 5 2 4.062150955200195 4.7673468589782715 0
will 12 6 4 9.517570495605469 6.122613906860352 0
hear 12 7 4 6.019299030303955 6.264363765716553 0
a 12 8 1 3.6678457260131836 3.0651419162750244 3.1992218494415283
rumour 12 9 6 8.347046852111816 9.500456809997559 0
if 12 10 2 7.832498550415039 3.206185817718506 6.294270992279053
she 12 11 3 2.1147358417510986 3.8028409481048584 0
is 12 12 2 5.299392223358154 6.823975086212158 0
? 12 13 1 0.5334063768386841 3.0775256156921387 3.7464494705200195
what 13 0 4 0.06078464537858963 0.5065810680389404 0
does 13 1 4 2.5787084102630615 2.2986910343170166 0
he 13 2 2 0.16203245520591736 0.7644025087356567 1.5342885255813599
speak 13 3 5 2.6385560035705566 1.7387748956680298 0
a 13 4 1 1.9204717874526978 5.532813549041748 0
<unk> 13 5 5 2.544448137283325 9.483688354492188 0
language 13 6 8 1.6066659688949585 7.175930500030518 2.30775785446167
because 13 7 7 2.43996262550354 5.9512457847595215 1.224684715270996
you 13 8 3 3.7449746131896973 3.9221291542053223 2.029116630554199
were 13 9 4 7.267601490020752 3.8964650630950928 0.025664091110229492
? 13 10 1 0.4524403512477875 2.950928211212158 0.9455368518829346
who 14 0 3 12.38679027557373 0.5065810680389404 0
did 14 1 3 2.2396769523620605 6.845168590545654 0
she 14 2 3 4.606291770935059 5.3034515380859375 1.5417170524597168
say 14 3 3 5.594531536102295 4.5024027824401855 0.801048755645752
that 14 4 4 0.26826342940330505 1.5735483169555664 2.928854465484619
she 14 5 3 2.346806287765503 4.601753234863281 0
wears 14 6 5 11.239336013793945 6.052657127380371 0
extravagant 14 7 11 22.625892639160156 0.45572152733802795 5.596935600042343
rings 14 8 5 12.357758522033691 7.59245491027832 0
when 14 9 4 4.460137367248535 5.241054534912109 2.351400375366211
she 14 10 3 1.589460015296936 3.4843485355377197 1.7567059993743896
is 14 11 2 6.197844982147217 7.144387722015381 0
waiting 14 12 7 7.475586891174316 5.561224937438965 1.583162784576416
for 14 13 3 0.2522328794002533 0.9996143579483032 4.561610579490662
? 14 14 1 6.405825138092041 5.111141204833984 0
what 15 0 4 0.06078464537858963 0.5065810680389404 0
does 15 1 4 2.5787084102630615 2.2986910343170166 0
<unk> 15 2 5 9.362524032592773 0.7644025087356567 1.5342885255813599
eat 15 3 3 7.989793300628662 7.435538291931152 0
a 15 4 1 2.1129865646362305 6.350706577301025 1.084831714630127
yellow 15 5 6 10.767778396606445 9.240554809570312 0
candy 15 6 5 12.779684066772461 8.674549102783203 0.5660057067871094
whenever 15 7 8 14.16373348236084 8.113322257995605 0.5612268447875977
<unk> 15 8 5 4.669262409210205 4.001404285430908 4.111917972564697
watches 15 9 7 8.477823257446289 8.044736862182617 0
? 15 10 1 0.10585369169712067 0.772796630859375 7.271940231323242
whom 16 0 4 17.01953887939453 0.5065810680389404 0
did 16 1 3 4.896884918212891 4.275500774383545 0
