word sentid sentpos wlen surp entropy entred
who 0 0 3 11.498503684997559 0.7311652898788452 0
do 0 1 2 9.885396003723145 6.946621894836426 0
n't 0 2 3 24.890974044799805 4.4634785652160645 2.4831433296203613
we 0 3 2 8.88558578491211 5.712778568267822 0
believe 0 4 7 9.754632949829102 5.527470588684082 0.18530797958374023
the 0 5 3 7.909445762634277 4.422181129455566 1.1052894592285156
rumour 0 6 6 14.008143424987793 10.395247459411621 0
that 0 7 4 4.2958784103393555 5.613525390625 4.781722068786621
<unk> 0 8 5 3.4506731033325195 6.475336074829102 0
is 0 9 2 7.189242839813232 6.7681708335876465 0
dating 0 10 6 13.896971702575684 9.030317306518555 0
? 0 11 1 1.2092472314834595 4.8337554931640625 4.196561813354492
how 1 0 3 13.79781723022461 0.7311652898788452 0
does 1 1 4 8.142265319824219 6.651510238647461 0
will 1 2 4 13.767341613769531 2.380235195159912 4.271275043487549
think 1 3 5 10.164397239685059 5.89390230178833 0
that 1 4 4 4.479361057281494 5.354542255401611 0.5393600463867188
she 1 5 3 5.543083667755127 7.174662113189697 0
is 1 6 2 5.404725074768066 6.6530442237854 0.5216178894042969
dating 1 7 6 14.040350914001465 8.771980285644531 0
someone 1 8 7 10.89979362487793 5.898459434509277 2.873520851135254
who 1 9 3 3.562817335128784 6.8158793449401855 0
solves 1 10 6 15.675182342529297 7.6425676345825195 0
? 1 11 1 2.6653356552124023 5.7092461585998535 1.933321475982666
what 2 0 4 9.07726764678955 0.7311652898788452 0
does 2 1 4 10.845467567443848 6.6985554695129395 0
she 2 2 3 7.970850944519043 3.1166820526123047 3.5818734169006348
believe 2 3 7 10.501476287841797 6.647339344024658 0
the 2 4 3 6.89989709854126 5.592691898345947 1.054647445678711
rumour 2 5 6 13.105978965759277 10.741943359375 0
that 2 6 4 4.2768354415893555 5.627874374389648 5.114068984985352
she 2 7 3 3.1340155601501465 6.660521507263184 0
might 2 8 5 8.922506332397461 6.552790641784668 0.10773086547851562
have 2 9 4 4.075004577636719 7.5417633056640625 0
this 2 10 4 8.719837188720703 8.749124526977539 0
year 2 11 4 10.045526504516602 8.964649200439453 0
? 2 12 1 3.4142074584960938 6.975118160247803 1.9895310401916504
how 3 0 3 13.79781723022461 0.7311652898788452 0
many 3 1 4 6.8367133140563965 6.651510238647461 0
cities 3 2 6 10.671219825744629 9.005099296569824 0
does 3 3 4 14.905198097229004 7.053900718688965 1.9511985778808594
he 3 4 2 7.181262969970703 3.620943307876587 3.432957410812378
know 3 5 4 8.62752914428711 6.022295951843262 0
brothers 3 6 8 14.897456169128418 5.873246192932129 0.1490497589111328
who 3 7 3 6.473073482513428 6.009807109832764 0
live 3 8 4 8.861379623413086 7.3073625564575195 0
in 3 9 2 2.506166934967041 6.252074241638184 1.055288314819336
? 3 10 1 4.515567302703857 7.206147193908691 0
who 4 0 3 11.498503684997559 0.7311652898788452 0
do 4 1 2 9.885396003723145 6.946621894836426 0
they 4 2 4 6.945732116699219 4.4634785652160645 2.4831433296203613
believe 4 3 7 9.17604923248291 5.466863632202148 0
the 4 4 3 7.22548770904541 4.973527908325195 0.4933357238769531
claim 4 5 5 12.57949447631836 10.605206489562988 0
that 4 6 4 3.7111213207244873 6.200409889221191 4.404796600341797
he 4 7 2 5.700281143188477 7.049264907836914 0
likes 4 8 5 11.292008399963379 6.586792469024658 0.46247243881225586
? 4 9 1 0.7659282684326172 3.7052767276763916 2.8815157413482666
what 5 0 4 9.07726764678955 0.7311652898788452 0
did 5 1 3 3.449176073074341 6.6985554695129395 0
she 5 2 3 6.943482875823975 4.0174241065979 2.681131362915039
hear 5 3 4 9.297541618347168 6.871994495391846 0
a 5 4 1 7.144675254821777 5.463972568511963 1.4080219268798828
rumour 5 5 6 11.032857894897461 10.420936584472656 0
that 5 6 4 3.738335609436035 5.535196304321289 4.885740280151367
<unk> 5 7 5 3.593015193939209 6.274078369140625 0
sleeps 5 8 6 15.893693923950195 7.267279624938965 0
with 5 9 4 4.986858367919922 4.868010997772217 2.399268627166748
? 5 10 1 2.950958251953125 7.033905506134033 0
how 6 0 3 13.79781723022461 0.7311652898788452 0
did 6 1 3 2.233978033065796 6.651510238647461 0
my 6 2 2 10.600107192993164 3.468984842300415 3.182525396347046
sister 6 3 6 10.955984115600586 9.786308288574219 0
say 6 4 3 6.385315418243408 5.9026288986206055 3.8836793899536133
that 6 5 4 5.650945663452148 3.9619226455688477 1.9407062530517578
<unk> 6 6 5 2.9680488109588623 6.990636825561523 0
<unk> 6 7 5 2.984713554382324 6.699573993682861 0.2910628318786621
thinks 6 8 6 14.72584342956543 5.220090866088867 1.4794831275939941
that 6 9 4 5.564704418182373 5.368861198425293 0
<unk> 6 10 5 3.0792949199676514 6.79803466796875 0
solves 6 11 6 18.38115692138672 6.509829998016357 0.2882046699523926
? 6 12 1 1.8717572689056396 6.072911262512207 0.4369187355041504
what 7 0 4 9.07726764678955 0.7311652898788452 0
does 7 1 4 10.845467567443848 6.6985554695129395 0
she 7 2 3 7.970850944519043 3.1166820526123047 3.5818734169006348
like 7 3 4 7.15749979019165 6.647339344024658 0
the 7 4 3 7.28375768661499 6.284323692321777 0.36301565170288086
possibility 7 5 11 13.613415718078613 9.816161155700684 0
that 7 6 4 2.614824056625366 5.238709926605225 4.577451229095459
<unk> 7 7 5 2.6744384765625 7.220290660858154 0
dances 7 8 6 14.907838821411133 7.35321569442749 0
? 7 9 1 4.227189540863037 5.2436418533325195 2.1095738410949707
what 8 0 4 9.07726764678955 0.7311652898788452 0
do 8 1 2 11.332883834838867 6.6985554695129395 0
they 8 2 4 6.91004753112793 2.8209598064422607 3.8775956630706787
not 8 3 3 7.404119968414307 5.351358890533447 0
believe 8 4 7 8.85582447052002 6.264808654785156 0
the 8 5 3 6.54420280456543 6.2731428146362305 0
rumour 8 6 6 13.279596328735352 10.652775764465332 0
that 8 7 4 4.630192756652832 5.7732319831848145 4.879543781280518
he 8 8 2 6.188107967376709 6.96376371383667 0
will 8 9 4 6.7360734939575195 6.262938022613525 0.7008256912231445
buy 8 10 3 7.951725959777832 7.850740909576416 0
? 8 11 1 0.3848896622657776 2.472254991531372 5.378485918045044
where 9 0 5 12.439279556274414 0.7311652898788452 0
do 9 1 2 11.340471267700195 6.817488670349121 0
they 9 2 4 6.352088928222656 3.5912859439849854 3.2262027263641357
have 9 3 4 6.465033054351807 5.829540252685547 0
a 9 4 1 6.110950946807861 8.539520263671875 0
window 9 5 6 12.052928924560547 10.267559051513672 0
that 9 6 4 4.3863396644592285 7.4674391746521 2.8001198768615723
opens 9 7 5 13.418831825256348 7.6861467361450195 0
? 9 8 1 3.381870985031128 7.016970157623291 0.6691765785217285
what 10 0 4 9.07726764678955 0.7311652898788452 0
did 10 1 3 3.449176073074341 6.6985554695129395 0
<unk> 10 2 5 5.8382439613342285 4.0174241065979 2.681131362915039
meet 10 3 4 11.179828643798828 6.750932693481445 0
someone 10 4 7 13.217733383178711 4.305861949920654 2.445070743560791
who 10 5 3 4.3676300048828125 6.553210258483887 0
likes 10 6 5 10.155790328979492 7.054009437561035 0
? 10 7 1 0.6412651538848877 3.226148843765259 3.8278605937957764
what 11 0 4 9.07726764678955 0.7311652898788452 0
does 11 1 4 10.845467567443848 6.6985554695129395 0
<unk> 11 2 5 6.584336757659912 3.1166820526123047 3.5818734169006348
believe 11 3 7 9.872272491455078 6.126060485839844 0
the 11 4 3 7.593017578125 4.891690731048584 1.2343697547912598
claim 11 5 5 12.02230453491211 10.577404022216797 0
that 11 6 4 4.152703285217285 5.7510085105896 4.826395511627197
he 11 7 2 5.076601982116699 7.341845989227295 0
robbed 11 8 6 18.1964168548584 6.800137042999268 0.5417089462280273
yesterday 11 9 9 16.160112380981445 6.437463283538818 0.3626737594604492
? 11 10 1 3.7100658416748047 6.533477783203125 0
who 12 0 3 11.498503684997559 0.7311652898788452 0
does 12 1 4 9.813102722167969 6.946621894836426 0
n't 12 2 3 25.551013946533203 3.304870843887329 3.6417510509490967
<unk> 12 3 5 4.593451023101807 5.848061561584473 0
believe 12 4 7 11.944019317626953 4.894425392150879 0.9536361694335938
the 12 5 3 7.7457427978515625 4.653472423553467 0.2409529685974121
rumour 12 6 6 13.48139762878418 10.715645790100098 0
that 12 7 4 4.641017913818359 5.43550443649292 5.280141353607178
<unk> 12 8 5 3.4629642963409424 6.536525249481201 0
is 12 9 2 7.287370204925537 6.595222473144531 0
dating 12 10 6 14.010115623474121 9.06591796875 0
? 12 11 1 1.3961801528930664 5.146008491516113 3.9199094772338867
what 13 0 4 9.07726764678955 0.7311652898788452 0
did 13 1 3 3.449176073074341 6.6985554695129395 0
he 13 2 2 5.4719109535217285 4.0174241065979 2.681131362915039
hear 13 3 4 10.09073543548584 6.814560890197754 0
that 13 4 4 6.125126838684082 5.487722873687744 1.3268380165100098
he 13 5 2 4.149231910705566 6.5714111328125 0
believes 13 6 8 11.83935546875 6.833718299865723 0
