word sentid sentpos wlen surp entropy entred
what 0 0 4 9.56857967376709 0.8530983924865723 0
did 0 1 3 1.6831594705581665 2.6777079105377197 0
i 0 2 1 7.2516608238220215 4.0743937492370605 0
buy 0 3 3 11.643067359924316 3.7138946056365967 0.36049914360046387
a 0 4 1 0.43582233786582947 2.3603861331939697 1.353508472442627
guitar 0 5 6 12.447260856628418 9.147604942321777 0
for 0 6 3 5.4388813972473145 7.628625392913818 1.518979549407959
myself 0 7 6 9.773554801940918 4.075552463531494 3.553072929382324
because 0 8 7 10.066778182983398 3.3515493869781494 0.7240030765533447
they 0 9 4 6.974888324737549 3.8264403343200684 0
heard 0 10 5 7.811328887939453 7.762972354888916 0
? 0 11 1 16.149641036987305 4.107897758483887 3.6550745964050293
what 1 0 4 9.56857967376709 0.8530983924865723 0
will 1 1 4 8.816951751708984 2.6777079105377197 0
they 1 2 4 11.427279472351074 6.325736045837402 0
fail 1 3 4 13.071284294128418 6.430500030517578 0
the 1 4 3 4.727634906768799 6.010538578033447 0.41996145248413086
test 1 5 4 7.882936954498291 10.367502212524414 0
if 1 6 2 10.279067993164062 3.7498419284820557 6.617660284042358
they 1 7 4 4.684091091156006 4.858144760131836 0
do 1 8 2 6.3925676345825195 7.003662586212158 0
not 1 9 3 2.927192211151123 6.419406414031982 0.5842561721801758
? 1 10 1 17.79877471923828 6.320128440856934 0.09927797317504883
whom 2 0 4 15.892292022705078 0.8530983924865723 0
will 2 1 4 7.241339206695557 5.006701469421387 0
he 2 2 2 10.91504955291748 7.528810024261475 0
hire 2 3 4 12.05516242980957 7.374523162841797 0.15428686141967773
someone 2 4 7 7.0242462158203125 4.992828369140625 2.381694793701172
if 2 5 2 12.338769912719727 1.714150071144104 3.278678297996521
i 2 6 1 7.93847131729126 4.1914963722229 0
need 2 7 4 9.157299995422363 6.636654376983643 0
? 2 8 1 17.063976287841797 4.422425746917725 2.214228630065918
what 3 0 4 9.56857967376709 0.8530983924865723 0
has 3 1 3 8.58205795288086 2.6777079105377197 0
he 3 2 2 8.50271224975586 4.362063884735107 0
been 3 3 4 6.235470294952393 7.676630020141602 0
circulating 3 4 11 18.261455535888672 7.995519638061523 0
who 3 5 3 12.257279396057129 4.87869930267334 3.1168203353881836
he 3 6 2 5.135464191436768 6.828835487365723 0
thought 3 7 7 6.4764509201049805 6.8972907066345215 0
was 3 8 3 3.5415444374084473 4.699737071990967 2.1975536346435547
? 3 9 1 19.50652503967285 5.141589641571045 0
what 4 0 4 9.56857967376709 0.8530983924865723 0
will 4 1 4 8.816951751708984 2.6777079105377197 0
he 4 2 2 6.72589111328125 6.325736045837402 0
try 4 3 3 10.909123420715332 6.594967365264893 0
to 4 4 2 1.168201208114624 4.3253703117370605 2.269597053527832
call 4 5 4 8.375986099243164 8.64709758758545 0
you 4 6 3 8.79351806640625 4.765180587768555 3.8819169998168945
if 4 7 2 8.154677391052246 7.2199177742004395 0
she 4 8 3 4.300984859466553 4.864913463592529 2.35500431060791
buys 4 9 4 13.324540138244629 6.770144462585449 0
? 4 10 1 18.610769271850586 1.9033377170562744 4.866806745529175
what 5 0 4 9.56857967376709 0.8530983924865723 0
did 5 1 3 1.6831594705581665 2.6777079105377197 0
she 5 2 3 5.444180965423584 4.0743937492370605 0
say 5 3 3 3.892451047897339 2.826692819595337 1.2477009296417236
she 5 4 3 7.12274694442749 0.4143146574497223 2.4123781621456146
would 5 5 5 6.059292793273926 6.754183769226074 0
like 5 6 4 9.106575965881348 7.498414039611816 0
the 5 7 3 4.793890476226807 3.3139123916625977 4.184501647949219
man 5 8 3 7.383843898773193 10.126731872558594 0
if 5 9 2 10.596229553222656 4.225101470947266 5.901630401611328
he 5 10 2 1.1958950757980347 3.68489408493042 0.5402073860168457
read 5 11 4 9.842070579528809 6.575616359710693 0
? 5 12 1 16.469242095947266 4.086881160736084 2.4887351989746094
where 6 0 5 5.4149041175842285 0.8530983924865723 0
did 6 1 3 0.7277746796607971 1.555612564086914 0
i 6 2 1 8.473550796508789 3.3729193210601807 0
buy 6 3 3 10.367230415344238 4.509317874908447 0
a 6 4 1 0.2682892680168152 1.5974897146224976 2.9118281602859497
coffee 6 5 6 9.458199501037598 9.052513122558594 0
for 6 6 3 10.875800132751465 4.675778865814209 4.376734256744385
myself 6 7 6 12.143362045288086 4.125919818878174 0.5498590469360352
because 6 8 7 10.300593376159668 2.9100465774536133 1.2158732414245605
i 6 9 1 6.815793514251709 3.385967493057251 0
went 6 10 4 8.075602531433105 6.97099494934082 0
? 6 11 1 17.797468185424805 5.163413047790527 1.807581901550293
what 7 0 4 9.56857967376709 0.8530983924865723 0
will 7 1 4 8.816951751708984 2.6777079105377197 0
he 7 2 2 6.72589111328125 6.325736045837402 0
circulate 7 3 9 18.934690475463867 6.594967365264893 0
a 7 4 1 2.7397851943969727 5.173886775970459 1.4210805892944336
call 7 5 4 9.951165199279785 9.79759407043457 0
if 7 6 2 8.727930068969727 5.647190570831299 4.1504034996032715
she 7 7 3 3.7515408992767334 4.0284504890441895 1.6187400817871094
buys 7 8 4 14.980796813964844 7.269619941711426 0
? 7 9 1 19.716276168823242 1.882401704788208 5.387218236923218
whom 8 0 4 15.892292022705078 0.8530983924865723 0
did 8 1 3 3.8161656856536865 5.006701469421387 0
she 8 2 3 6.083189964294434 4.9555768966674805 0.05112457275390625
say 8 3 3 5.781768321990967 3.546518087387085 1.4090588092803955
that 8 4 4 0.12137636542320251 0.6755037903785706 2.8710142970085144
she 8 5 3 0.2957402169704437 1.4866286516189575 0
gave 8 6 4 9.508662223815918 7.472893714904785 0
a 8 7 1 0.8924863934516907 3.7294998168945312 3.743393898010254
guitar 8 8 6 14.100010871887207 9.243437767028809 0
to 8 9 2 5.2247443199157715 8.075736045837402 1.1677017211914062
me 8 10 2 12.346415519714355 5.187412738800049 2.8883233070373535
when 8 11 4 6.224027156829834 6.607982635498047 0
i 8 12 1 8.334946632385254 2.7278177738189697 3.880164861679077
hired 8 13 5 14.747495651245117 6.972259044647217 0
? 8 14 1 17.736846923828125 3.750131607055664 3.2221274375915527
what 9 0 4 9.56857967376709 0.8530983924865723 0
did 9 1 3 1.6831594705581665 2.6777079105377197 0
he 9 2 2 2.606923818588257 4.0743937492370605 0
get 9 3 3 8.46599006652832 3.192101001739502 0.8822927474975586
a 9 4 1 0.285886287689209 1.8042147159576416 1.3878862857818604
new 9 5 3 5.890369892120361 10.01129150390625 0
phone 9 6 5 11.40755558013916 9.333813667297363 0.6774778366088867
for 9 7 3 6.5193657875061035 5.840472221374512 3.4933414459228516
<unk> 9 8 5 2.3362131118774414 4.432916164398193 1.4075560569763184
because 9 9 7 8.065974235534668 7.27849817276001 0
she 9 10 3 3.9548802375793457 2.970337152481079 4.308161020278931
saw 9 11 3 9.008115768432617 7.559394836425781 0
? 9 12 1 18.871187210083008 4.5450439453125 3.0143508911132812
what 10 0 4 9.56857967376709 0.8530983924865723 0
did 10 1 3 1.6831594705581665 2.6777079105377197 0
you 10 2 3 7.254690647125244 4.0743937492370605 0
need 10 3 4 10.571273803710938 3.2563414573669434 0.8180522918701172
to 10 4 2 1.8461943864822388 4.111755847930908 0
do 10 5 2 5.9620137214660645 7.575867652893066 0
that 10 6 4 3.764212131500244 5.28797721862793 2.2878904342651367
if 10 7 2 7.810749053955078 7.5461273193359375 0
you 10 8 3 4.432828903198242 4.774625778198242 2.7715015411376953
were 10 9 4 5.840106964111328 6.442807197570801 0
to 10 10 2 7.097047805786133 8.819547653198242 0
go 10 11 2 6.037792682647705 7.868947982788086 0.9505996704101562
and 10 12 3 8.03237533569336 5.5141825675964355 2.3547654151916504
buy 10 13 3 10.0912446975708 6.9554948806762695 0
? 10 14 1 15.16115951538086 2.8156001567840576 4.139894723892212
what 11 0 4 9.56857967376709 0.8530983924865723 0
did 11 1 3 1.6831594705581665 2.6777079105377197 0
she 11 2 3 5.444180965423584 4.0743937492370605 0
eat 11 3 3 11.757110595703125 2.826692819595337 1.2477009296417236
the 11 4 3 3.9960930347442627 2.873487949371338 0
<unk> 11 5 5 3.928135633468628 10.171284675598145 0
because 11 6 7 10.915030479431152 9.46018123626709 0.7111034393310547
they 11 7 4 7.638400554656982 2.73948073387146 6.72070050239563
<unk> 11 8 5 6.46317195892334 7.686404228210449 0
? 11 9 1 15.53156852722168 6.202171802520752 1.4842324256896973
where 12 0 5 5.4149041175842285 0.8530983924865723 0
did 12 1 3 0.7277746796607971 1.555612564086914 0
she 12 2 3 7.056701183319092 3.3729193210601807 0
say 12 3 3 5.4779582023620605 3.9725024700164795 0
that 12 4 4 0.05393698066473007 0.32843196392059326 3.6440705060958862
he 12 5 2 3.8208253383636475 1.0852878093719482 0
will 12 6 4 8.895547866821289 7.632068634033203 0
