word sentid sentpos wlen surp entropy entred
where 0 0 5 6.556055068969727 1.4452098608016968 0
did 0 1 3 3.930163621902466 1.7624523639678955 0
<unk> 0 2 5 1.8332476615905762 2.9667069911956787 0
ask 0 3 3 5.650691032409668 7.207043170928955 0
who 0 4 3 9.449624061584473 1.635986566543579 5.571056604385376
<unk> 0 5 5 1.5956339836120605 5.624844551086426 0
took 0 6 4 8.644596099853516 6.575230598449707 0
? 0 7 1 0.4443705081939697 2.3006906509399414 4.274539947509766
what 1 0 4 0.24559028446674347 1.4452098608016968 0
did 1 1 3 4.6956658363342285 1.6946603059768677 0
she 1 2 3 6.760990142822266 2.710386037826538 0
say 1 3 3 6.582444667816162 5.21512508392334 0
that 1 4 4 0.48367494344711304 2.3946704864501953 2.8204545974731445
<unk> 1 5 5 0.1281834840774536 1.1093086004257202 1.285361886024475
asked 1 6 5 5.880127906799316 5.760035037994385 0
who 1 7 3 7.677955627441406 2.9689345359802246 2.79110050201416
will 1 8 4 5.695822715759277 6.0907816886901855 0
read 1 9 4 7.457092761993408 7.043667316436768 0
? 1 10 1 0.004293172154575586 0.04172748699784279 7.001939829438925
where 2 0 5 6.556055068969727 1.4452098608016968 0
did 2 1 3 3.930163621902466 1.7624523639678955 0
<unk> 2 2 5 1.8332476615905762 2.9667069911956787 0
ask 2 3 3 5.650691032409668 7.207043170928955 0
how 2 4 3 5.772420406341553 1.635986566543579 5.571056604385376
<unk> 2 5 5 0.13492605090141296 1.0801477432250977 0.5558388233184814
went 2 6 4 7.557170867919922 5.371816635131836 0
? 2 7 1 0.010385367088019848 0.08781275153160095 5.284003883600235
what 3 0 4 0.24559028446674347 1.4452098608016968 0
did 3 1 3 4.6956658363342285 1.6946603059768677 0
will 3 2 4 10.873763084411621 2.710386037826538 0
ask 3 3 3 4.347513675689697 6.330856800079346 0
why 3 4 3 6.362481594085693 1.350550889968872 4.980305910110474
<unk> 3 5 5 0.09283987432718277 0.726969301700592 0.62358158826828
wears 3 6 5 12.964068412780762 7.017146587371826 0
? 3 7 1 0.0016021602787077427 0.019802622497081757 6.997343964874744
what 4 0 4 0.24559028446674347 1.4452098608016968 0
did 4 1 3 4.6956658363342285 1.6946603059768677 0
she 4 2 3 6.760990142822266 2.710386037826538 0
say 4 3 3 6.582444667816162 5.21512508392334 0
that 4 4 4 0.48367494344711304 2.3946704864501953 2.8204545974731445
will 4 5 4 11.77807331085205 1.1093086004257202 1.285361886024475
thinks 4 6 6 12.67119312286377 6.059345722198486 0
he 4 7 2 7.363588809967041 2.2461979389190674 3.813147783279419
knows 4 8 5 6.575582027435303 4.138463020324707 0
where 4 9 5 6.573505878448486 2.742337942123413 1.396125078201294
<unk> 4 10 5 0.15717142820358276 1.0958037376403809 1.6465342044830322
announced 4 11 9 14.366454124450684 5.233185768127441 0
? 4 12 1 0.09345028549432755 0.5391103029251099 4.6940754652023315
what 5 0 4 0.24559028446674347 1.4452098608016968 0
did 5 1 3 4.6956658363342285 1.6946603059768677 0
they 5 2 4 2.7368757724761963 2.710386037826538 0
not 5 3 3 1.3807231187820435 4.43010950088501 0
like 5 4 4 0.1392025202512741 1.175467610359192 3.254641890525818
that 5 5 4 0.5713328123092651 2.8800454139709473 0
<unk> 5 6 5 0.46782976388931274 3.428769588470459 0
wonders 5 7 7 14.75633430480957 6.4263715744018555 0
how 5 8 3 1.9123529195785522 2.40632700920105 4.020044565200806
