word sentid sentpos wlen surp entropy entred
where 0 0 5 7.524460315704346 0.5065810680389404 0
did 0 1 3 2.967158794403076 5.379003047943115 0
<unk> 0 2 5 6.587470531463623 2.137979507446289 3.241023540496826
ask 0 3 3 9.768292427062988 8.302451133728027 0
who 0 4 3 6.730403423309326 5.602433681488037 2.7000174522399902
<unk> 0 5 5 5.2557196617126465 6.321102619171143 0
took 0 6 4 9.282145500183105 7.299808979034424 0
? 0 7 1 4.353347301483154 5.310433864593506 1.989375114440918
what 1 0 4 0.06078464537858963 0.5065810680389404 0
did 1 1 3 0.6007139682769775 2.2986910343170166 0
she 1 2 3 4.6175665855407715 0.9580833315849304 1.3406077027320862
say 1 3 3 7.80206298828125 1.4931647777557373 0
that 1 4 4 0.2749249339103699 1.628743052482605 0
<unk> 1 5 5 3.5634374618530273 4.73137092590332 0
asked 1 6 5 8.741962432861328 6.533865928649902 0
who 1 7 3 6.48784065246582 4.972405433654785 1.5614604949951172
will 1 8 4 8.526415824890137 6.227128505706787 0
read 1 9 4 7.047579288482666 7.064186096191406 0
? 1 10 1 1.7362730503082275 4.77285623550415 2.291329860687256
where 2 0 5 7.524460315704346 0.5065810680389404 0
did 2 1 3 2.967158794403076 5.379003047943115 0
<unk> 2 2 5 6.587470531463623 2.137979507446289 3.241023540496826
ask 2 3 3 9.768292427062988 8.302451133728027 0
how 2 4 3 8.222200393676758 5.602433681488037 2.7000174522399902
<unk> 2 5 5 5.2738566398620605 4.017734527587891 1.5846991539001465
went 2 6 4 6.209256172180176 7.026541709899902 0
? 2 7 1 0.13288938999176025 0.8049110770225525 6.22163063287735
what 3 0 4 0.06078464537858963 0.5065810680389404 0
did 3 1 3 0.6007139682769775 2.2986910343170166 0
will 3 2 4 16.150800704956055 0.9580833315849304 1.3406077027320862
ask 3 3 3 9.629640579223633 7.876991271972656 0
why 3 4 3 7.573548316955566 5.613458633422852 2.2635326385498047
<unk> 3 5 5 5.132450580596924 4.246444225311279 1.3670144081115723
wears 3 6 5 12.232611656188965 7.295886516571045 0
? 3 7 1 0.008359202183783054 0.0774802565574646 7.21840626001358
what 4 0 4 0.06078464537858963 0.5065810680389404 0
did 4 1 3 0.6007139682769775 2.2986910343170166 0
she 4 2 3 4.6175665855407715 0.9580833315849304 1.3406077027320862
say 4 3 3 7.80206298828125 1.4931647777557373 0
that 4 4 4 0.2749249339103699 1.628743052482605 0
will 4 5 4 11.563237190246582 4.73137092590332 0
thinks 4 6 6 15.622089385986328 6.684978008270264 0
he 4 7 2 3.497995376586914 3.8567020893096924 2.8282759189605713
knows 4 8 5 7.215822219848633 6.377509593963623 0
where 4 9 5 7.693158149719238 3.358663558959961 3.018846035003662
<unk> 4 10 5 6.907656192779541 3.448638677597046 0
announced 4 11 9 16.57435417175293 6.790835857391357 0
? 4 12 1 1.509091854095459 2.874188184738159 3.9166476726531982
what 5 0 4 0.06078464537858963 0.5065810680389404 0
did 5 1 3 0.6007139682769775 2.2986910343170166 0
they 5 2 4 4.026883602142334 0.9580833315849304 1.3406077027320862
not 5 3 3 4.39932918548584 5.307331562042236 0
like 5 4 4 2.4208266735076904 7.254927635192871 0
that 5 5 4 0.3116104304790497 1.7353112697601318 5.519616365432739
<unk> 5 6 5 4.942652702331543 4.316369533538818 0
wonders 5 7 7 15.67354965209961 7.524106979370117 0
how 5 8 3 5.106651782989502 3.5297389030456543 3.994368076324463
<unk> 5 9 5 7.009640216827393 2.985394239425659 0.5443446636199951
was 5 10 3 4.676570415496826 7.430135726928711 0
? 5 11 1 1.7542214393615723 6.3312764167785645 1.0988593101501465
what 6 0 4 0.06078464537858963 0.5065810680389404 0
did 6 1 3 0.6007139682769775 2.2986910343170166 0
<unk> 6 2 5 8.340981483459473 0.9580833315849304 1.3406077027320862
ask 6 3 3 9.780031204223633 7.5028462409973145 0
when 6 4 4 7.298024654388428 5.552885055541992 1.9499611854553223
<unk> 6 5 5 4.197969436645508 3.8438711166381836 1.7090139389038086
ate 6 6 3 11.494949340820312 7.158778667449951 0
? 6 7 1 0.06257502734661102 0.5073406100273132 6.651438057422638
what 7 0 4 0.06078464537858963 0.5065810680389404 0
does 7 1 4 2.5787084102630615 2.2986910343170166 0
<unk> 7 2 5 9.362524032592773 0.7644025087356567 1.5342885255813599
wonder 7 3 6 11.434548377990723 7.435538291931152 0
where 7 4 5 8.765789985656738 7.895793437957764 0
<unk> 7 5 5 3.9652109146118164 4.726337909698486 3.1694555282592773
buys 7 6 4 8.79532241821289 7.622192859649658 0
? 7 7 1 0.0132234962657094 0.09785354882478714 7.524339310824871
what 8 0 4 0.06078464537858963 0.5065810680389404 0
does 8 1 4 2.5787084102630615 2.2986910343170166 0
will 8 2 4 16.904441833496094 0.7644025087356567 1.5342885255813599
wonder 8 3 6 14.547013282775879 7.883835315704346 0
how 8 4 3 3.951429605484009 3.9908690452575684 3.8929662704467773
he 8 5 2 4.375231742858887 4.432469367980957 0
will 8 6 4 4.110161781311035 7.284684181213379 0
read 8 7 4 7.507906913757324 6.408484935760498 0.8761992454528809
? 8 8 1 0.1455071121454239 0.9375833868980408 5.470901548862457
how 9 0 3 9.090604782104492 0.5065810680389404 0
did 9 1 3 1.8168361186981201 4.417975425720215 0
he 9 2 2 0.650676429271698 2.111259698867798 2.306715726852417
hear 9 3 4 0.23647484183311462 1.7275818586349487 0.3836778402328491
that 9 4 4 0.25515609979629517 1.5989282131195068 0.1286536455154419
<unk> 9 5 5 4.078193187713623 3.8934457302093506 0
thinks 9 6 6 15.054314613342285 7.035222053527832 0
he 9 7 2 2.9355015754699707 3.8831474781036377 3.1520745754241943
knows 9 8 5 9.434528350830078 5.466572284698486 0
where 9 9 5 7.7404561042785645 3.441774845123291 2.0247974395751953
<unk> 9 10 5 6.196569919586182 3.6949872970581055 0
gets 9 11 4 9.027631759643555 6.7452778816223145 0
? 9 12 1 0.49838322401046753 2.3892881870269775 4.355989694595337
whom 10 0 4 17.01953887939453 0.5065810680389404 0
does 10 1 4 7.3766984939575195 4.275500774383545 0
<unk> 10 2 5 7.407022476196289 1.4587695598602295 2.8167312145233154
