word sentid sentpos wlen surp entropy entred
where 0 0 5 6.890187740325928 1.6002271175384521 0
did 0 1 3 2.835636854171753 1.634846568107605 0
<unk> 0 2 5 0.9527505040168762 2.7861180305480957 0
ask 0 3 3 6.940433025360107 4.963117599487305 0
who 0 4 3 8.744585037231445 1.808961272239685 3.1541563272476196
<unk> 0 5 5 1.8326104879379272 3.9220633506774902 0
took 0 6 4 18.076580047607422 0.22806885838508606 3.693994492292404
? 0 7 1 0.0031378483399748802 0.035406071692705154 0.1926627866923809
what 1 0 4 0.2815271019935608 1.6002271175384521 0
did 1 1 3 0.6001021265983582 1.5451631546020508 0.05506396293640137
she 1 2 3 9.104694366455078 1.34601891040802 0.19914424419403076
say 1 3 3 4.960404872894287 4.810909748077393 0
that 1 4 4 3.7979724407196045 0.8643369078636169 3.9465728402137756
<unk> 1 5 5 1.0217418670654297 1.8877512216567993 0
asked 1 6 5 6.102066993713379 4.663064479827881 0
who 1 7 3 8.792258262634277 1.819561243057251 2.84350323677063
will 1 8 4 7.187723159790039 4.339432239532471 0
read 1 9 4 9.69183349609375 5.16253662109375 0
? 1 10 1 0.0007422581547871232 0.008587454445660114 5.15394916664809
where 2 0 5 6.890187740325928 1.6002271175384521 0
did 2 1 3 2.835636854171753 1.634846568107605 0
<unk> 2 2 5 0.9527505040168762 2.7861180305480957 0
ask 2 3 3 6.940433025360107 4.963117599487305 0
how 2 4 3 5.405889987945557 1.808961272239685 3.1541563272476196
<unk> 2 5 5 0.11635062843561172 0.7169002294540405 1.0920610427856445
went 2 6 4 9.965774536132812 2.7468388080596924 0
? 2 7 1 1.2382697605062276e-05 0.00019535906903911382 2.7466434489906533
what 3 0 4 0.2815271019935608 1.6002271175384521 0
did 3 1 3 0.6001021265983582 1.5451631546020508 0.05506396293640137
will 3 2 4 11.771490097045898 1.34601891040802 0.19914424419403076
ask 3 3 3 4.965976715087891 6.1569504737854 0
why 3 4 3 5.225005626678467 2.0938057899475098 4.063144683837891
<unk> 3 5 5 0.5593769550323486 1.1642805337905884 0.9295252561569214
wears 3 6 5 16.124540328979492 1.683187484741211 0
? 3 7 1 0.0003002504527103156 0.00393097847700119 1.6792565062642097
what 4 0 4 0.2815271019935608 1.6002271175384521 0
did 4 1 3 0.6001021265983582 1.5451631546020508 0.05506396293640137
she 4 2 3 9.104694366455078 1.34601891040802 0.19914424419403076
say 4 3 3 4.960404872894287 4.810909748077393 0
that 4 4 4 3.7979724407196045 0.8643369078636169 3.9465728402137756
will 4 5 4 7.1109514236450195 1.8877512216567993 0
thinks 4 6 6 13.572115898132324 5.751393795013428 0
he 4 7 2 10.824986457824707 2.0264806747436523 3.7249131202697754
knows 4 8 5 7.366279602050781 5.565234661102295 0
where 4 9 5 9.404216766357422 1.0408316850662231 4.524402976036072
<unk> 4 10 5 0.6587849259376526 1.5154067277908325 0
announced 4 11 9 14.606063842773438 5.824872016906738 0
? 4 12 1 0.005041794385761023 0.04287203028798103 5.781999986618757
what 5 0 4 0.2815271019935608 1.6002271175384521 0
did 5 1 3 0.6001021265983582 1.5451631546020508 0.05506396293640137
they 5 2 4 4.875697135925293 1.34601891040802 0.19914424419403076
not 5 3 3 1.947747826576233 4.247613906860352 0
like 5 4 4 0.13562051951885223 0.9319877624511719 3.3156261444091797
that 5 5 4 3.3518128395080566 0.9502921104431152 0
<unk> 5 6 5 0.9397422075271606 2.548457622528076 0
wonders 5 7 7 14.1334810256958 3.879953384399414 0
how 5 8 3 3.9907937049865723 1.5475207567214966 2.3324326276779175
<unk> 5 9 5 0.11296774446964264 0.6632078886032104 0.8843128681182861
was 5 10 3 8.550291061401367 3.251361608505249 0
? 5 11 1 0.0015380806289613247 0.020571555942296982 3.230790052562952
what 6 0 4 0.2815271019935608 1.6002271175384521 0
did 6 1 3 0.6001021265983582 1.5451631546020508 0.05506396293640137
<unk> 6 2 5 0.22362275421619415 1.34601891040802 0.19914424419403076
ask 6 3 3 9.084001541137695 3.3519768714904785 0
when 6 4 4 8.2904691696167 2.3363780975341797 1.0155987739562988
<unk> 6 5 5 1.4337257146835327 1.5550905466079712 0.7812875509262085
ate 6 6 3 14.198704719543457 5.2159037590026855 0
? 6 7 1 0.00022012100089341402 0.002974467119202018 5.2129292918834835
what 7 0 4 0.2815271019935608 1.6002271175384521 0
does 7 1 4 5.194620132446289 1.5451631546020508 0.05506396293640137
<unk> 7 2 5 0.27561047673225403 1.4490784406661987 0.09608471393585205
wonder 7 3 6 0.9606192708015442 3.8016462326049805 0
where 7 4 5 4.701474666595459 1.724237322807312 2.0774089097976685
<unk> 7 5 5 0.1898367702960968 0.9204201102256775 0.8038172125816345
buys 7 6 4 11.338714599609375 6.398349761962891 0
? 7 7 1 0.00017592751828487962 0.0024320194497704506 6.39591774251312
what 8 0 4 0.2815271019935608 1.6002271175384521 0
does 8 1 4 5.194620132446289 1.5451631546020508 0.05506396293640137
will 8 2 4 10.880264282226562 1.4490784406661987 0.09608471393585205
wonder 8 3 6 4.969686031341553 5.47812557220459 0
how 8 4 3 2.4727327823638916 1.853154182434082 3.624971389770508
he 8 5 2 11.993786811828613 0.9267485737800598 0.9264056086540222
will 8 6 4 5.188559532165527 3.545006275177002 0
read 8 7 4 15.664266586303711 0.48991286754608154 3.0550934076309204
? 8 8 1 7.842195918783545e-05 0.0010765535989776254 0.4888363139471039
how 9 0 3 5.7983622550964355 1.6002271175384521 0
did 9 1 3 4.984532356262207 0.7428625226020813 0.8573645949363708
he 9 2 2 5.353005409240723 1.7620729207992554 0
hear 9 3 4 3.3483240604400635 5.794732093811035 0
that 9 4 4 1.1259958744049072 1.4685156345367432 4.326216459274292
<unk> 9 5 5 0.22011613845825195 1.5371731519699097 0
thinks 9 6 6 12.56015396118164 5.878782272338867 0
he 9 7 2 8.28906536102295 2.907735586166382 2.9710466861724854
knows 9 8 5 6.8522515296936035 5.5173187255859375 0
where 9 9 5 8.989898681640625 1.2774237394332886 4.239894986152649
<unk> 9 10 5 0.5614702105522156 1.471280574798584 0
gets 9 11 4 6.612972259521484 5.847783088684082 0
? 9 12 1 0.023236079141497612 0.21994204819202423 5.627841040492058
whom 10 0 4 4.286594390869141 1.6002271175384521 0
does 10 1 4 7.526409149169922 0.4944818317890167 1.1057452857494354
<unk> 10 2 5 1.0922918319702148 3.8659684658050537 0
wonder 10 3 6 0.9956520199775696 4.433915138244629 0
how 10 4 3 3.5790889263153076 1.4934178590774536 2.9404972791671753
<unk> 10 5 5 0.10513994097709656 0.687987208366394 0.8054306507110596
is 10 6 2 3.3374340534210205 3.127514600753784 0
waiting 10 7 7 15.670503616333008 0.024390308186411858 3.1031242925673723
for 10 8 3 8.449105262756348 0.039098937064409256 0
? 10 9 1 0.0001791947870515287 0.002439402276650071 0.036659534787759185
what 11 0 4 0.2815271019935608 1.6002271175384521 0
did 11 1 3 0.6001021265983582 1.5451631546020508 0.05506396293640137
<unk> 11 2 5 0.22362275421619415 1.34601891040802 0.19914424419403076
ask 11 3 3 9.084001541137695 3.3519768714904785 0
why 11 4 3 6.159923076629639 2.3363780975341797 1.0155987739562988
<unk> 11 5 5 0.8083344101905823 1.297303557395935 1.0390745401382446
is 11 6 2 5.565802097320557 2.1872146129608154 0
? 11 7 1 0.002110059140250087 0.027835819870233536 2.159378793090582
what 12 0 4 0.2815271019935608 1.6002271175384521 0
did 12 1 3 0.6001021265983582 1.5451631546020508 0.05506396293640137
<unk> 12 2 5 0.22362275421619415 1.34601891040802 0.19914424419403076
ask 12 3 3 9.084001541137695 3.3519768714904785 0
who 12 4 3 8.708441734313965 2.3363780975341797 1.0155987739562988
will 12 5 4 6.447388172149658 1.5056692361831665 0.8307088613510132
is 12 6 2 11.812169075012207 0.6616905927658081 0.8439786434173584
for 12 7 3 12.62614631652832 0.3838527202606201 0.277837872505188
? 12 8 1 0.0023830861318856478 0.026517195627093315 0.3573355246335268
