word sentid sentpos wlen surp entropy entred
what 0 0 4 1.7228440046310425 3.9928994178771973 0
did 0 1 3 1.527768611907959 3.9278664588928223 0.065032958984375
i 0 2 1 5.3437724113464355 2.970618963241577 0.9572474956512451
buy 0 3 3 12.376741409301758 3.86183762550354 0
a 0 4 1 4.7780842781066895 4.331763744354248 0
guitar 0 5 6 14.105284690856934 6.910017967224121 0
for 0 6 3 7.813274383544922 4.497056007385254 2.412961959838867
myself 0 7 6 8.549537658691406 5.21732234954834 0
because 0 8 7 14.200285911560059 2.943939208984375 2.273383140563965
they 0 9 4 5.783613681793213 4.206084251403809 0
heard 0 10 5 9.106203079223633 6.402040481567383 0
? 0 11 1 3.87911319732666 5.088550090789795 1.313490390777588
what 1 0 4 1.7228440046310425 3.9928994178771973 0
will 1 1 4 12.111468315124512 3.9278664588928223 0.065032958984375
they 1 2 4 5.388754844665527 5.12765645980835 0
fail 1 3 4 11.151606559753418 4.3378167152404785 0.7898397445678711
the 1 4 3 10.308475494384766 1.8196842670440674 2.518132448196411
test 1 5 4 13.0708589553833 7.166451454162598 0
if 1 6 2 11.166847229003906 5.2523393630981445 1.9141120910644531
they 1 7 4 6.149351119995117 3.3043811321258545 1.94795823097229
do 1 8 2 6.397212505340576 6.368367671966553 0
not 1 9 3 7.650158882141113 1.8988287448883057 4.469538927078247
? 1 10 1 3.865689754486084 5.529758930206299 0
whom 2 0 4 5.586685657501221 3.9928994178771973 0
will 2 1 4 11.174952507019043 4.910046577453613 0
he 2 2 2 5.812624454498291 7.404017925262451 0
hire 2 3 4 15.630626678466797 5.238070011138916 2.165947914123535
someone 2 4 7 8.396163940429688 3.3287546634674072 1.9093153476715088
if 2 5 2 13.016121864318848 2.425889492034912 0.9028651714324951
i 2 6 1 4.671180725097656 4.2491068840026855 0
need 2 7 4 9.487046241760254 5.103226184844971 0
? 2 8 1 6.255937576293945 1.325413465499878 3.7778127193450928
what 3 0 4 1.7228440046310425 3.9928994178771973 0
has 3 1 3 7.410407543182373 3.9278664588928223 0.065032958984375
he 3 2 2 8.849916458129883 2.820200204849243 1.107666254043579
been 3 3 4 1.2498326301574707 4.594351291656494 0
circulating 3 4 11 19.484920501708984 7.16456937789917 0
who 3 5 3 9.257948875427246 4.143413543701172 3.021155834197998
he 3 6 2 11.07767391204834 2.66465163230896 1.478761911392212
thought 3 7 7 9.410398483276367 5.792181015014648 0
was 3 8 3 8.159538269042969 3.4659159183502197 2.3262650966644287
? 3 9 1 2.8404481410980225 6.058749198913574 0
what 4 0 4 1.7228440046310425 3.9928994178771973 0
will 4 1 4 12.111468315124512 3.9278664588928223 0.065032958984375
he 4 2 2 6.291017532348633 5.12765645980835 0
try 4 3 3 9.691261291503906 1.860005259513855 3.2676512002944946
to 4 4 2 0.12505678832530975 0.644120991230011 1.215884268283844
call 4 5 4 3.1178460121154785 7.036668300628662 0
you 4 6 3 6.513284206390381 1.8970504999160767 5.1396178007125854
if 4 7 2 12.677878379821777 3.68765926361084 0
she 4 8 3 6.8104352951049805 2.065915107727051 1.621744155883789
buys 4 9 4 12.585481643676758 2.7518327236175537 0
? 4 10 1 1.1158809661865234 4.122097492218018 0
what 5 0 4 1.7228440046310425 3.9928994178771973 0
did 5 1 3 1.527768611907959 3.9278664588928223 0.065032958984375
she 5 2 3 1.19868004322052 2.970618963241577 0.9572474956512451
say 5 3 3 0.10480508208274841 0.7955165505409241 2.175102412700653
she 5 4 3 6.281951904296875 3.594783067703247 0
would 5 5 5 6.099569797515869 6.548285484313965 0
like 5 6 4 2.1345341205596924 6.351390838623047 0.19689464569091797
the 5 7 3 9.958693504333496 2.4106154441833496 3.9407753944396973
man 5 8 3 7.5484442710876465 8.82981014251709 0
if 5 9 2 11.302054405212402 4.7134480476379395 4.11636209487915
he 5 10 2 5.963276386260986 3.306255340576172 1.4071927070617676
read 5 11 4 11.007270812988281 2.706404209136963 0.599851131439209
? 5 12 1 0.602212131023407 2.6311795711517334 0.07522463798522949
where 6 0 5 7.365363597869873 3.9928994178771973 0
did 6 1 3 4.960470676422119 5.93120002746582 0
i 6 2 1 6.527244567871094 3.987175226211548 1.9440248012542725
buy 6 3 3 10.066621780395508 6.3636155128479 0
a 6 4 1 3.2949976921081543 4.66279411315918 1.7008213996887207
coffee 6 5 6 13.59133529663086 6.996365547180176 0
for 6 6 3 10.559693336486816 7.278228759765625 0
myself 6 7 6 9.324675559997559 5.976955890655518 1.3012728691101074
because 6 8 7 12.5396089553833 3.1548311710357666 2.822124719619751
i 6 9 1 3.887526750564575 4.35502815246582 0
went 6 10 4 8.874898910522461 4.5716681480407715 0
? 6 11 1 7.246449947357178 1.6014783382415771 2.9701898097991943
what 7 0 4 1.7228440046310425 3.9928994178771973 0
will 7 1 4 12.111468315124512 3.9278664588928223 0.065032958984375
he 7 2 2 6.291017532348633 5.12765645980835 0
circulate 7 3 9 23.600994110107422 1.860005259513855 3.2676512002944946
a 7 4 1 5.133504390716553 4.354880332946777 0
call 7 5 4 5.784316062927246 6.348496437072754 0
